,Frame,CoM pos x,CoM pos y,CoM pos z,CoM vel x,CoM vel y,CoM vel z,CoM acc x,CoM acc y,CoM acc z
0,0,0.168781681099368,-0.0527470761930431,0.895326253536991,0.00697863493340554,0.00357131929749859,-0.0242492964463152,0.00180034766703753,-0.0141586796594239,0.0427101084571725
1,1,0.169009133731027,-0.0525553436812787,0.895402969167971,0.00670130093778083,0.00260643796403679,-0.0239782978384204,-0.0788432918696324,-0.0151420016869885,0.000849783518717598
2,2,0.169237667962507,-0.0523579079924026,0.895476206643381,0.00638748176931843,0.0018781700447374,-0.0237140806540281,-0.0653947325105945,-0.0549712481343874,0.0400002806552431
3,3,0.169465651444818,-0.0521633347961553,0.895551187212654,0.0059149907058983,0.00121733171177587,-0.0234367752879445,-0.0573015620133917,-0.047723856343564,0.042935978609437
4,4,0.169691453662838,-0.0519801904284942,0.895633133657837,0.00569869278948572,0.000625017723011668,-0.0231276322081169,-0.0933581010777721,-0.0489344312306002,0.0274635340603634
5,5,0.169913446095832,-0.0518170418786048,0.895727270236301,0.00582442535624094,0.00037683570764256,-0.0228410010024225,-0.0777463047837711,-0.0461594058275534,0.0539146918285658
6,6,0.170135197138302,-0.0516780273438168,0.895843582479159,0.00624725240063592,8.8803852932428e-05,-0.0225271616064647,-0.0531490037728033,-0.0168900515256259,0.0242809467162584
7,7,0.170357798351689,-0.0515574377229436,0.895978591512623,0.00702041415581408,-0.000172734353509479,-0.0221968540646883,-0.0718621138256155,0.0105681287045093,0.0383682284263545
8,8,0.170575905888267,-0.0514490682612491,0.896117324499234,0.00770534754791964,-0.000190848970327009,-0.0218604832367769,0.0032731436196792,-0.0368957234196219,0.0360519105939747
9,9,0.170784172949634,-0.0513467123788705,0.896244806437769,0.00784803769237552,0.000416961391641078,-0.0215464417808192,0.0156182962097651,-0.0553735450090041,0.0148124223912391
10,10,0.17097724969269,-0.0512441617362484,0.89634606025345,0.00820482413642562,0.000950346806297486,-0.0213366205636372,-0.0336020013281877,0.00433496352819702,0.0196220188529815
11,11,0.171153558785945,-0.0511450505136659,0.896416376734402,0.00838244488246575,0.0011123179964184,-0.0212319696917601,-0.0777591580236083,0.0139331111705987,0.00539524633861726
12,12,0.171316666734326,-0.0510535166102761,0.896465740169042,0.00833347228052944,0.00121900959228136,-0.0212308309128088,-0.0764861787328523,0.0257394091555364,-0.0010177755049014
13,13,0.17146893694713,-0.0509641043001288,0.896501210790153,0.00819422353550123,0.00149399624224061,-0.0212578434954608,-0.108641912724656,0.00169127927973851,-0.0101980869546532
14,14,0.171612732103861,-0.0508713557535415,0.896529846895597,0.00796311626576041,0.00182545095311702,-0.0213030475925575,-0.0847235906287555,-0.0049086088985467,-0.0126268569794266
