,Frame,L5S1 Lateral Bending,L5S1 Axial Bending,L5S1 Flexion/Extension,L4L3 Lateral Bending,L4L3 Axial Rotation,L4L3 Flexion/Extension,L1T12 Lateral Bending,L1T12 Axial Rotation,L1T12 Flexion/Extension,T9T8 Lateral Bending,T9T8 Axial Rotation,T9T8 Flexion/Extension,T1C7 Lateral Bending,T1C7 Axial Rotation,T1C7 Flexion/Extension,C1 Head Lateral Bending,C1 Head Axial Rotation,C1 Head Flexion/Extension,Right T4 Shoulder Abduction/Adduction,Right T4 Shoulder Internal/External Rotation,Right T4 Shoulder Flexion/Extension,Right Shoulder Abduction/Adduction,Right Shoulder Internal/External Rotation,Right Shoulder Flexion/Extension,Right Elbow Ulnar Deviation/Radial Deviation,Right Elbow Pronation/Supination,Right Elbow Flexion/Extension,Right Wrist Ulnar Deviation/Radial Deviation,Right Wrist Pronation/Supination,Right Wrist Flexion/Extension,Left T4 Shoulder Abduction/Adduction,Left T4 Shoulder Internal/External Rotation,Left T4 Shoulder Flexion/Extension,Left Shoulder Abduction/Adduction,Left Shoulder Internal/External Rotation,Left Shoulder Flexion/Extension,Left Elbow Ulnar Deviation/Radial Deviation,Left Elbow Pronation/Supination,Left Elbow Flexion/Extension,Left Wrist Ulnar Deviation/Radial Deviation,Left Wrist Pronation/Supination,Left Wrist Flexion/Extension,Right Hip Abduction/Adduction,Right Hip Internal/External Rotation,Right Hip Flexion/Extension,Right Knee Abduction/Adduction,Right Knee Internal/External Rotation,Right Knee Flexion/Extension,Right Ankle Abduction/Adduction,Right Ankle Internal/External Rotation,Right Ankle Dorsiflexion/Plantarflexion,Right Ball Foot Abduction/Adduction,Right Ball Foot Internal/External Rotation,Right Ball Foot Flexion/Extension,Left Hip Abduction/Adduction,Left Hip Internal/External Rotation,Left Hip Flexion/Extension,Left Knee Abduction/Adduction,Left Knee Internal/External Rotation,Left Knee Flexion/Extension,Left Ankle Abduction/Adduction,Left Ankle Internal/External Rotation,Left Ankle Dorsiflexion/Plantarflexion,Left Ball Foot Abduction/Adduction,Left Ball Foot Internal/External Rotation,Left Ball Foot Flexion/Extension
0,0,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,0.163149282910239,-0.120430696394342,12.6134574973667,-0.140234861085863,0.0869003557669962,-12.6137286023234,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-1.07908606467135,2.28486152838261,-3.09560368898247,0.0592128703680841,-0.520283175159071,-5.49951972494358,2.63590929917293,-0.160098226658368,0.226321256416889,-1.1206605257605,0.00497547100333558,-0.508740197518007,0.484193024935404,2.21208328308512,-1.27746211165217,-0.224049851835131,0.0773918003253423,-3.36895105358186,0.232149073299374,3.22292558244462,1.0134337726856,0.0,0.0,0.0
1,1,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495348,0.166934163125573,-0.121152870974076,12.6138151812583,-0.143951184707785,0.0867924958558737,-12.6140938122581,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-1.12968620347709,2.29818574006725,-3.11743737079593,0.0952476848980741,-0.558493389350621,-5.53100689367482,2.62139006938253,-0.168611804962479,0.181810453303669,-1.12586959757962,0.00543761052793945,-0.526230658596101,0.512533637514543,2.22228472729812,-1.28207416849969,-0.218590856163523,0.0923230405089948,-3.37214409636817,0.237529275668405,3.22736993999665,0.998405430273666,0.0,0.0,0.0
2,2,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.2692626097445,0,0,4.88473757495349,0.171062336266699,-0.121920470088699,12.614172797806,-0.148009128278212,0.08665430997847,-12.6144596309914,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-1.18373666857778,2.31088058023563,-3.13900381591742,0.133621026490439,-0.596618663540202,-5.56154895384388,2.60798835790017,-0.177027483477095,0.137975611988301,-1.13305210222095,0.0059131864302183,-0.544456246292793,0.542722935163697,2.2328219801528,-1.287052253812,-0.212987630670706,0.107323773051211,-3.37573641874386,0.243044358467257,3.23155550139126,0.983500850166399,0.0,0.0,0.0
3,3,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.2692626097445,0,0,4.88473757495348,0.175019010765525,-0.122663994864901,12.6145284941038,-0.151896723643655,0.0865297879245413,-12.6148232509758,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-1.23606273538403,2.32389767426847,-3.16067867155016,0.170857764138312,-0.634836595044943,-5.59250925979978,2.59401880904769,-0.185484948945146,0.0938011925976966,-1.13925234291381,0.00638933143270037,-0.562312634337756,0.571994546042972,2.24318219281643,-1.29183343243245,-0.207452904387329,0.122287775921953,-3.37912904184163,0.248493576585769,3.23586923652113,0.968533994352865,0.0,0.0,0.0
4,4,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.2692626097445,0,0,4.88473757495349,0.178289414475678,-0.123314160943215,12.6148807442081,-0.155101972862319,0.086463147905758,-12.6151821779994,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-1.28148889392226,2.33818840426114,-3.1828403821364,0.203486448662443,-0.673321487968606,-5.62525566881923,2.57779471999082,-0.194128675156332,0.0482728262894582,-1.14151383322526,0.00684859160211747,-0.578696641952229,0.597581272760185,2.25285369758417,-1.29585642064225,-0.202199276788247,0.137108951158938,-3.38172302686922,0.253677008042732,3.24069804325587,0.95331898715988,0.0,0.0,0.0
5,5,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,0.180358794932804,-0.123801898849227,12.6152283667265,-0.157112848400311,0.0864988362855108,-12.6155342507789,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-1.31483880349012,2.35470400981384,-3.20587003649574,0.228039504503335,-0.712243898267406,-5.66116111265111,2.5576279186196,-0.203108580842619,0.0003775544980795,-1.1368793907553,0.00726886446675627,-0.592505986889604,0.616715115691822,2.26132601270693,-1.29856168615955,-0.1974391521404,0.151681298501904,-3.38291945323482,0.258395591194948,3.24642874199653,0.937670076042182,0.0,0.0,0.0
6,6,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.2692626097445,0,0,4.88473757495349,0.18080716377463,-0.124075170904445,12.615585873617,-0.157510593894909,0.0866775109785566,-12.6158931833789,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-1.3324811337243,2.37544680910646,-3.23012057903619,0.241876589830556,-0.754182680273571,-5.70182649169284,2.53131931256378,-0.211485853693562,-0.0519616962652878,-1.12225742266634,0.00763457645371958,-0.601265602377986,0.627784875371175,2.26969389419305,-1.29936886431789,-0.19329647699104,0.164864493485668,-3.38231097468703,0.262581067376812,3.25318615582845,0.920957642018056,0.0,0.0,0.0
7,7,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,0.179977755207759,-0.12418060569208,12.6159550547391,-0.156636493461537,0.0869701558283965,-12.6162613944377,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-1.33786293515344,2.39978311368173,-3.25534376875692,0.247323238455343,-0.799012979488717,-5.74635123601481,2.49999238596284,-0.219179642285582,-0.108066121166296,-1.09961764216189,0.00794612518454071,-0.6057119151519,0.632634180939181,2.27830067367401,-1.29865604090216,-0.189629247039549,0.176729350233407,-3.38029683053244,0.266368486135261,3.26071210951852,0.90330567995808,0.0,0.0,0.0
8,8,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,0.178500628713396,-0.124197110589771,12.6163155758806,-0.155118563565437,0.0873166855218178,-12.6166197116816,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-1.33642764238685,2.4247094764358,-3.28101948002741,0.248356226099266,-0.842849296691436,-5.79235715072216,2.46693933031061,-0.227623250516621,-0.164813439011057,-1.07359533589533,0.00820834141354606,-0.60955957209734,0.633676775963896,2.28550888423495,-1.2973011160913,-0.186250459726737,0.188986586580768,-3.37748800911182,0.269863811481551,3.26881903429428,0.885658883970532,0.0,0.0,0.0
9,9,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,0.177005790090918,-0.124203302957823,12.6166465979743,-0.153584833389625,0.0876567127100378,-12.6169484659638,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-1.33362276141182,2.44722162698099,-3.30662668170015,0.248941090349237,-0.881811122284981,-5.83745911426816,2.43544955424572,-0.238236580204609,-0.219080993583281,-1.04882666223322,0.008435564060621,-0.616522833562115,0.633326639190449,2.28967987201185,-1.29617956183688,-0.182972726706067,0.203346913697546,-3.37449552706279,0.273172001560396,3.27731961968884,0.868961964367747,0.0,0.0,0.0
10,10,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.2692626097445,0,0,4.88473757495349,0.176123192809241,-0.124277518200432,12.6169267631087,-0.152663344327159,0.0879295569641428,-12.6172274753955,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-1.3348996920561,2.46431435517434,-3.33164339106001,0.253032396192459,-0.912023349740225,-5.87926473651008,2.40881074862457,-0.252426034937441,-0.26774674749007,-1.0299485354157,0.00865122845004789,-0.630315826470975,0.633998045827363,2.2891737671419,-1.29616432723274,-0.179608416893511,0.221521065500405,-3.3719304808739,0.276396902805521,3.28602680787579,0.854159683556841,0.0,0.0,0.0
11,11,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,0.175869603926584,-0.124422899164981,12.6171451515079,-0.152370593794241,0.0881347037478681,-12.6174458598725,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-1.34040827877897,2.47631269246799,-3.35833910811628,0.261228148483578,-0.931920296743898,-5.92004706593278,2.38720366633158,-0.273053857595764,-0.311471512010676,-1.01713332343486,0.00886241985285572,-0.653057899758843,0.635391603767273,2.28197812048204,-1.29818550481103,-0.1760728113539,0.245668419974889,-3.3697508476346,0.279368725102029,3.29542860963166,0.841320344865957,0.00845612136907671,1.96865391540276e-06,0.00709223930140363
12,12,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495348,0.175824988296561,-0.124587142488084,12.6173157833486,-0.15228783947413,0.0883125333414745,-12.6176168586729,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-1.34652104390122,2.48521829626939,-3.3870631792553,0.270883645880957,-0.944086435994272,-5.9614021235693,2.36842522159039,-0.299173482321251,-0.352333155908466,-1.00729118525683,0.00906098080735647,-0.682272444004615,0.635897106430159,2.26918609868368,-1.30166007115624,-0.172489007679782,0.274648479894036,-3.36754970729892,0.282018441702774,3.30565008106031,0.829814212944809,0.0253679622427572,3.93200327006589e-06,0.0212771975595235
13,13,0,0,-2.84254309044708,0,0,-7.08969429797764,0,0,-1.2692626097445,0,0,4.88473757495349,0.175964072338112,-0.124765259181716,12.6174543454019,-0.152390275006981,0.0884635459382054,-12.6177561080474,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-1.35302382514227,2.49054021458933,-3.41441209661496,0.281076977242839,-0.950872966579712,-5.99991876666483,2.35219679750196,-0.326469017359345,-0.389341169724929,-1.00016588848472,0.00925244027812038,-0.714779422787696,0.635962639219597,2.25381562986498,-1.30518989750357,-0.168982479973845,0.305222289624106,-3.36539052476732,0.284599366929017,3.31595977900704,0.819538977960597,0.0380513758545832,2.40156741191427e-06,0.0319164719225035
