,Frame,L5S1 Lateral Bending,L5S1 Axial Bending,L5S1 Flexion/Extension,L4L3 Lateral Bending,L4L3 Axial Rotation,L4L3 Flexion/Extension,L1T12 Lateral Bending,L1T12 Axial Rotation,L1T12 Flexion/Extension,T9T8 Lateral Bending,T9T8 Axial Rotation,T9T8 Flexion/Extension,T1C7 Lateral Bending,T1C7 Axial Rotation,T1C7 Flexion/Extension,C1 Head Lateral Bending,C1 Head Axial Rotation,C1 Head Flexion/Extension,Right T4 Shoulder Abduction/Adduction,Right T4 Shoulder Internal/External Rotation,Right T4 Shoulder Flexion/Extension,Right Shoulder Abduction/Adduction,Right Shoulder Internal/External Rotation,Right Shoulder Flexion/Extension,Right Elbow Ulnar Deviation/Radial Deviation,Right Elbow Pronation/Supination,Right Elbow Flexion/Extension,Right Wrist Ulnar Deviation/Radial Deviation,Right Wrist Pronation/Supination,Right Wrist Flexion/Extension,Left T4 Shoulder Abduction/Adduction,Left T4 Shoulder Internal/External Rotation,Left T4 Shoulder Flexion/Extension,Left Shoulder Abduction/Adduction,Left Shoulder Internal/External Rotation,Left Shoulder Flexion/Extension,Left Elbow Ulnar Deviation/Radial Deviation,Left Elbow Pronation/Supination,Left Elbow Flexion/Extension,Left Wrist Ulnar Deviation/Radial Deviation,Left Wrist Pronation/Supination,Left Wrist Flexion/Extension,Right Hip Abduction/Adduction,Right Hip Internal/External Rotation,Right Hip Flexion/Extension,Right Knee Abduction/Adduction,Right Knee Internal/External Rotation,Right Knee Flexion/Extension,Right Ankle Abduction/Adduction,Right Ankle Internal/External Rotation,Right Ankle Dorsiflexion/Plantarflexion,Right Ball Foot Abduction/Adduction,Right Ball Foot Internal/External Rotation,Right Ball Foot Flexion/Extension,Left Hip Abduction/Adduction,Left Hip Internal/External Rotation,Left Hip Flexion/Extension,Left Knee Abduction/Adduction,Left Knee Internal/External Rotation,Left Knee Flexion/Extension,Left Ankle Abduction/Adduction,Left Ankle Internal/External Rotation,Left Ankle Dorsiflexion/Plantarflexion,Left Ball Foot Abduction/Adduction,Left Ball Foot Internal/External Rotation,Left Ball Foot Flexion/Extension
0,0,0,0,-2.84254309044707,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495348,0.159211745963808,-0.0848032950253901,12.6135069975625,-0.136850211140041,0.117524492621971,-12.6137651750145,0,0,0,90.0,1.26586381389443,1.26586381389443,0,90,0,0,0,0,0,0,0,90.0,0.0,0.0,0,90,0,0,0,0,-1.07751129468898,2.34314141525563,-3.0961517144493,0.0589403135329089,-0.514608365097979,-5.49952264378958,2.63588872076043,-0.149678925634372,0.226560968340358,-1.12061634395569,-0.00497622662598045,-0.508837520485348,0.484072678933016,2.20128839173093,-1.2775077131181,-0.223662651359979,0.0642253515054551,-3.36897675221647,0.2321127593492,3.22703158698532,1.01344208967994,0.0,0.0,0.0
1,1,0,0,-2.84254309044708,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495348,0.162905051673152,-0.0846979325034665,12.6138670061735,-0.140476638392742,0.118229092759282,-12.614132350086,0,0,0,90.0,0.0,0.0,0,90,0,0,0,0,0,0,0,90.0,0.0,0.0,0,90,0,0,0,0,-1.12801423897169,2.35962906991619,-3.11804222508848,0.0948042287528739,-0.549312988164899,-5.53101448883333,2.62137686260395,-0.160287838722968,0.182000904151281,-1.12582210585167,-0.00490407668933037,-0.526332265336,0.512405325633508,2.21081671297434,-1.28212544898535,-0.218212373741592,0.0794652357316612,-3.37216858102941,0.237493213880822,3.23150881160882,0.99841400817711,0.0,0.0,0.0
2,2,0,0,-2.84254309044708,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495348,0.166933353781258,-0.0845629777577616,12.6142272190581,-0.144436428685988,0.11897802163662,-12.6145003732948,0,0,0,90.0,-90.0,-90.0,0,90,0,0,0,0,0,0,0,90.0,90.0,90.0,0,90,0,0,0,0,-1.18196036759685,2.37570947936108,-3.13967252062626,0.132992026221886,-0.583668760724729,-5.56156398317596,2.60798079070533,-0.170742776915087,0.138118669859534,-1.13300093946431,-0.0048549440733188,-0.544562717482238,0.542586007879158,2.22063129317545,-1.28710997661195,-0.212618064218122,0.0947822297308018,-3.37575968888484,0.243008552805545,3.23572725767255,0.983509697013281,0.0,0.0,0.0
3,3,0,0,-2.84254309044707,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495348,0.170794286999128,-0.0844413577875146,12.6145854635104,-0.148229972875489,0.119703455949674,-12.6148661628171,0,0,0,90.0,-2.53049303995912,-2.53049303995912,0,90,0,0,0,0,0,0,0,90.0,1.26586381389443,1.26586381389443,0,90,0,0,0,0,-1.23418219338454,2.3920601122508,-3.16141282798189,0.170044504292744,-0.618185981237374,-5.59253396796757,2.59401533039271,-0.181235275810166,0.0938974091142541,-1.13919747049523,-0.00479282084111615,-0.562423803951021,0.571849159003998,2.23028624106986,-1.29189778796153,-0.207092217944385,0.11005987926147,-3.37915114037164,0.248458073833313,3.24006962483873,0.96854310167312,0.0,0.0,0.0
4,4,0,0,-2.84254309044707,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495348,0.173985507686814,-0.0843762219985884,12.6149398641171,-0.151357635576728,0.120337781596332,-12.6152269211518,0,0,0,90.0,179.366990846572,179.366990846572,0,90,0,0,0,0,0,0,0,90.0,2.53049303995912,2.53049303995912,0,90,0,0,0,0,-1.27951178826704,2.40935167293371,-3.18363501341572,0.202506512700734,-0.653375341481455,-5.62529091774023,2.57779380446274,-0.191955365835346,0.0483217242061922,-1.14145560123769,-0.0046822122897329,-0.578811505003087,0.597428434277615,2.23933888756595,-1.29592688137296,-0.201847184814548,0.125181583274043,-3.38174403634102,0.253641894459501,3.24491869496814,0.953328329347506,0.0,0.0,0.0
5,5,0,0,-2.84254309044707,0,0,-7.08969429797762,0,0,-1.26926260974451,0,0,4.88473757495348,0.176004693991746,-0.0844109419795452,12.6152888685566,-0.15331975521329,0.120813594107029,-12.6155801628304,0,0,0,90.0,0.422015641371098,0.422015641371097,0,90,0,0,0,0,0,0,0,90.0,0.0,0.0,0,90,0,0,0,0,-1.31278077285305,2.42824765737719,-3.20671260225281,0.226927274042655,-0.689748775336844,-5.66120566011785,2.55762791856403,-0.20309171597335,0.000377930976284758,-1.13681859437181,-0.00448914374301756,-0.592622637374636,0.61655672389762,2.247349329275,-1.29863688804545,-0.197095105852012,0.140030608285571,-3.38293949220028,0.258360989035527,3.25065733688904,0.937679609953925,0.0,0.0,0.0
6,6,0,0,-2.84254309044707,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495348,0.176441992143712,-0.0845851872353793,12.6156466782454,-0.153707682586284,0.121080103066283,-12.6159393294133,0,0,0,90.0,1.26586381389443,1.26586381389443,0,90,0,0,0,0,0,0,0,90.0,180.0,-180.0,0,90,0,0,0,0,-1.33036381436677,2.45054079421821,-3.2309924305429,0.240679874959285,-0.73015174408032,-5.70187696461909,2.53131827091581,-0.213783008427281,-0.0520124484829349,-1.12219562081305,-0.00414375524177159,-0.601380951317816,0.627623439790631,2.25545747340887,-1.29944683865431,-0.192959770671835,0.15346030955539,-3.38233017811546,0.262547146962344,3.25740666425209,0.920967311878507,0.0,0.0,0.0
7,7,0,0,-2.84254309044707,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495348,0.175632354572353,-0.0848706421074376,12.6160153044398,-0.152854466535322,0.121182813150645,-12.6163070309643,0,0,0,90.0,0.0,0.0,0,90,0,0,0,0,0,0,0,90.0,90.0,90.0,0,90,0,0,0,0,-1.33570373952233,2.47576863521304,-3.25622951250476,0.246080405923999,-0.774249662447629,-5.74640441424734,2.49998793639169,-0.223897893835758,-0.108169073284471,-1.09955618847419,-0.00367987736795706,-0.605823475161686,0.632471676689624,2.26396214415347,-1.29873518116363,-0.189299321949145,0.165548183153445,-3.38031530125835,0.266335382842351,3.26491144032511,0.903315440121934,0.0,0.0,0.0
8,8,0,0,-2.84254309044707,0,0,-7.08969429797763,0,0,-1.2692626097445,0,0,4.88473757495348,0.17419064686616,-0.085208680527016,12.6163748422472,-0.151372975716832,0.121198740598381,-12.6166644691723,0,0,0,90.0,1.26586381389443,1.26586381389443,0,90,0,0,0,0,0,0,0,90.0,-90.0,-90.0,0,90,0,0,0,0,-1.33423661552783,2.50121147026002,-3.28191026456853,0.247088156073517,-0.817784140294523,-5.79241119757365,2.46692911770321,-0.234723871696504,-0.164966324929449,-1.07353457216919,-0.00321456904656894,-0.609666589125526,0.633514343339753,2.27116170446769,-1.29738043464577,-0.185926951383255,0.178013760127438,-3.37750581274399,0.269831571341511,3.27299036302257,0.885668706319365,0.0,0.0,0.0
9,9,0,0,-2.84254309044707,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495348,0.172731678680165,-0.0855403822885995,12.61670487728,-0.149876087610973,0.121204618408703,-12.6169923438193,0,0,0,90.0,-2.53049303995912,-2.53049303995912,0,90,0,0,0,0,0,0,0,90.0,5.05115252801793,5.05115252801793,0,90,0,0,0,0,-1.33140208248077,2.52415815907727,-3.30752062262258,0.247650180125151,-0.856491984455692,-5.83751383294867,2.4354317397135,-0.247554561170526,-0.219279059865678,-1.04876593673193,-0.00285122423281578,-0.616626135495986,0.633164576892299,2.27535301497483,-1.29625872430587,-0.182655474431827,0.192576733973216,-3.37451269441766,0.273140585087584,3.28146248639496,0.868971839328775,0.0,0.0,0.0
