,Frame,Pelvis q0,Pelvis q1,Pelvis q2,Pelvis q3,L5 q0,L5 q1,L5 q2,L5 q3,L3 q0,L3 q1,L3 q2,L3 q3,T12 q0,T12 q1,T12 q2,T12 q3,T8 q0,T8 q1,T8 q2,T8 q3,Neck q0,Neck q1,Neck q2,Neck q3,Head q0,Head q1,Head q2,Head q3,Right Shoulder q0,Right Shoulder q1,Right Shoulder q2,Right Shoulder q3,Right Upper Arm q0,Right Upper Arm q1,Right Upper Arm q2,Right Upper Arm q3,Right Forearm q0,Right Forearm q1,Right Forearm q2,Right Forearm q3,Right Hand q0,Right Hand q1,Right Hand q2,Right Hand q3,Left Shoulder q0,Left Shoulder q1,Left Shoulder q2,Left Shoulder q3,Left Upper Arm q0,Left Upper Arm q1,Left Upper Arm q2,Left Upper Arm q3,Left Forearm q0,Left Forearm q1,Left Forearm q2,Left Forearm q3,Left Hand q0,Left Hand q1,Left Hand q2,Left Hand q3,Right Upper Leg q0,Right Upper Leg q1,Right Upper Leg q2,Right Upper Leg q3,Right Lower Leg q0,Right Lower Leg q1,Right Lower Leg q2,Right Lower Leg q3,Right Foot q0,Right Foot q1,Right Foot q2,Right Foot q3,Right Toe q0,Right Toe q1,Right Toe q2,Right Toe q3,Left Upper Leg q0,Left Upper Leg q1,Left Upper Leg q2,Left Upper Leg q3,Left Lower Leg q0,Left Lower Leg q1,Left Lower Leg q2,Left Lower Leg q3,Left Foot q0,Left Foot q1,Left Foot q2,Left Foot q3,Left Toe q0,Left Toe q1,Left Toe q2,Left Toe q3
0,0,0.14731290292855,0.628520379955111,-0.0108632488663904,-0.763638023173227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.438254931135879,0.589923088360856,-0.54898645997065,0.398167341607482,0.106047594935853,0.728595590389804,0.0530380424155124,0.674603097628216,0.0230658429271924,0.25157481313217,-0.124535737189957,0.959514945402168,0,0,0,0,0.303795812878611,-0.647565082778826,-0.471024558021067,-0.516239705354145,0.693929472848993,0.113607416631147,0.710222566468708,-0.0337512618507419,0.150712250911764,-0.254770362546572,-0.0656100553877761,-0.952928748871085,0,0,0,0
1,1,0.147406887260116,0.628515900686532,-0.0107354925568066,-0.763625380256604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.438325372962113,0.590043084981302,-0.548820906018335,0.398140224544804,0.10603195752489,0.728610134224259,0.0530308450247055,0.674590413336206,0.0230746628636053,0.251587053875226,-0.12457577473742,0.959506326505817,0,0,0,0,0.303852290872659,-0.647586437654393,-0.471013370402535,-0.516189883666442,0.693878773691452,0.113640065965695,0.710267161920668,-0.0337452444785777,0.150724309072984,-0.25478144570219,-0.0656082197189627,-0.952924004884798,0,0,0,0
2,2,0.147551540146752,0.62850466223813,-0.0106127879699092,-0.763608408332937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43834283974757,0.590190555154519,-0.548614138551388,0.398187381053136,0.106016917243813,0.728617086624066,0.0530105819161421,0.674586860635819,0.0230568166809301,0.251625418443384,-0.124630950285341,0.959489530025579,0,0,0,0,0.303905814907421,-0.647596443470769,-0.471033278877551,-0.516127651128411,0.693833115590757,0.113668595414081,0.710307462259363,-0.0337396974627384,0.150723369322558,-0.254795852512957,-0.0655916381480181,-0.95292144297802,0,0,0,0
3,3,0.147681025634723,0.628506328996439,-0.010486572915842,-0.763583748430634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.438329994469995,0.590381551440966,-0.548371432587063,0.398252698155963,0.105970343617277,0.728637524635637,0.0530027416093196,0.674572719095861,0.0230500970652916,0.251720447008469,-0.124664918334803,0.959460352343813,0,0,0,0,0.303948161942116,-0.647588101963021,-0.471069771791673,-0.516079872841484,0.693800212199679,0.113697124017441,0.710335943318107,-0.0337205749093744,0.15073392448221,-0.254814237524158,-0.0655858053466026,-0.952915258825364,0,0,0,0
4,4,0.147830069744178,0.628472215775322,-0.0103508035571277,-0.763584838340581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.438301964222175,0.590597374441325,-0.548089941103742,0.398351033540636,0.105872990562616,0.728638028959726,0.0530811466072234,0.674581295692281,0.0230274502903401,0.25175902475722,-0.124757000000227,0.95943880520717,0,0,0,0,0.303963461025335,-0.647609771323623,-0.471074685694234,-0.516039183537203,0.6937470277829,0.113723817806355,0.710384723521911,-0.0336971703951216,0.15073650086821,-0.254836105080783,-0.0655837611994965,-0.952909144210607,0,0,0,0
5,5,0.147962561387974,0.628423417828971,-0.010228669260871,-0.763600983941755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.438284161643119,0.590839764549051,-0.547771463517385,0.398449231441639,0.105738534193795,0.728631306751207,0.0531944975444444,0.674600716453496,0.0230011119424806,0.251846789348942,-0.124920400193269,0.959395141304975,0,0,0,0,0.303958233019794,-0.647610101912051,-0.47107387260055,-0.516042590329586,0.693713548354579,0.113751429731292,0.710414487424917,-0.0336657261941229,0.150748280168446,-0.254878390413747,-0.0655713108298069,-0.95289682826758,0,0,0,0
6,6,0.148080713881301,0.628369596934597,-0.0100982574698856,-0.763624107150061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.438304008892611,0.591069750942314,-0.547407086306772,0.398587038387837,0.105619010998822,0.728622729382844,0.0532457430355335,0.674624661267968,0.022948483924933,0.251933291536883,-0.125137842250596,0.95934535186126,0,0,0,0,0.303957762800503,-0.647603442836057,-0.471068339633975,-0.516056274697526,0.693678161510799,0.113774002533843,0.710447154746114,-0.0336292269250747,0.150743374693479,-0.254925815508171,-0.0655795988356199,-0.952884347541754,0,0,0,0
7,7,0.148191066556869,0.628312879776953,-0.00994613769876267,-0.763651364985363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43838407062925,0.591290539821272,-0.546974556981683,0.398765266981829,0.105568104599531,0.728607581296177,0.0532419740920054,0.674649286639943,0.0228916539087886,0.252049947284036,-0.125409020564368,0.959280654353313,0,0,0,0,0.303969759836399,-0.647560433698626,-0.471087558693315,-0.516085634228877,0.693630772993312,0.113799775499266,0.710491304963981,-0.0335867149866723,0.150738468902251,-0.254973239928204,-0.0655878866890339,-0.95287186443571,0,0,0,0
8,8,0.148314992392501,0.628263762081688,-0.00978551575947017,-0.763669792494046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.438522157790674,0.591504733217776,-0.546512673505317,0.398929023017442,0.105555003057422,0.728593234957047,0.0532208625048995,0.674668495706305,0.022808232750284,0.252168118783897,-0.125715373905831,0.959211483016919,0,0,0,0,0.304016085808233,-0.647473713695628,-0.471174414210404,-0.516087861741115,0.693596531408761,0.113789840168957,0.710528615728569,-0.0335381890224221,0.150716319162719,-0.2550146940099,-0.0655800570010209,-0.952864813654498,0,0,0,0
9,9,0.148434487275749,0.62825280197349,-0.00965950086652148,-0.763657196550033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.438683514613347,0.591745263814228,-0.546056443434188,0.399019645310752,0.105460777869609,0.728557154945415,0.0532722938996406,0.674718133009371,0.0227352436001002,0.252289804496718,-0.125994277951013,0.959144621612953,0,0,0,0,0.304101078633737,-0.647385674043941,-0.471265465246861,-0.516065096942362,0.69355143746782,0.113750595262115,0.710582054508829,-0.033471621918386,0.150720903143281,-0.255051330227261,-0.0655885500439411,-0.952853698323154,0,0,0,0
