,Frame,T8_Head Lateral Bending,T8_Head Axial Bending,T8_Head Flexion/Extension,T8_LeftUpperArm Lateral Bending,T8_LeftUpperArm Axial Bending,T8_LeftUpperArm Flexion/Extension,T8_RightUpperArm Lateral Bending,T8_RightUpperArm Axial Bending,T8_RightUpperArm Flexion/Extension,Pelvis_T8 Lateral Bending,Pelvis_T8 Axial Bending,Pelvis_T8 Flexion/Extension,Vertical_Pelvis Lateral Bending,Vertical_Pelvis Axial Bending,Vertical_Pelvis Flexion/Extension,Vertical_T8 Lateral Bending,Vertical_T8 Axial Bending,Vertical_T8 Flexion/Extension
0,0,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,1.28755409457853,-0.0246094215113054,1.09499441268767,1.28483515674091,-0.0247074660770269,-5.22176742672181
1,1,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,1.24104739172763,-0.0236264979754827,1.09066642982267,1.23843703280079,-0.02372082455178,-5.22609545528652
2,2,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,1.19348055036346,-0.0226304565222191,1.08633513426768,1.19098022115532,-0.0227209962999715,-5.23042679525181
3,3,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,1.14644521554103,-0.0216514435880731,1.08199200806523,1.14405303610435,-0.0217382486283832,-5.23476996324196
4,4,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,1.10153306424735,-0.0207191511414916,1.07762874062953,1.09924387400635,-0.0208023934924445,-5.23913326875389
5,5,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,1.06033580579408,-0.0198628112304462,1.0732372834902,1.05814121427346,-0.0199427820169142,-5.24352475939114
6,6,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,1.0233161085255,-0.0190936982486186,1.06901034617338,1.02120648005094,-0.0191707287562171,-5.2477517255889
7,7,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.989412868570013,-0.0183909364508263,1.0649538082229,0.987380873764554,-0.0184652762482485,-5.25180828893187
8,8,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.957932211570237,-0.0177358945845939,1.06077996974613,0.955972578507306,-0.0178077299295251,-5.2559821502196
9,9,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.928180335040192,-0.0171107826307048,1.05620145227303,0.926289756481986,-0.0171802378118347,-5.26056068868995
10,10,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.899463493088896,-0.0164985762960228,1.05093110509917,0.897640542052661,-0.0165657148353181,-5.26583105569725
11,11,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,0.871899014484969,-0.0159024191870249,1.04498536031171,0.870141916874483,-0.0159673148644318,-5.27177681910373
12,12,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.845949601955757,-0.0153341572379985,1.03855688087824,0.844255275460059,-0.015396924821368,-5.27820531564714
13,13,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.821439509221279,-0.0147904155362151,1.03162329161387,0.81980524442896,-0.014851156023126,-5.28513892070031
14,14,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.798192862848854,-0.0142678671646924,1.024162546294,0.796616317957107,-0.0143266678437677,-5.2925996806565
15,15,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.776033637621844,-0.0137632421121049,1.01615288186074,0.774512832162638,-0.0138201766438889,-5.30060935872442
16,16,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.755060074886755,-0.0132777056188294,1.00753794222315,0.753592899568474,-0.0133328531779974,-5.30922431101749
17,17,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.73538918696743,-0.0128136353979841,0.998334062044721,0.73397326986274,-0.0128670839204052,-5.3184282028671
18,18,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.716873000799885,-0.0123695472011698,0.988628451444723,0.715506134226297,-0.0124213758744129,-5.32813382424701
19,19,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.699363597133088,-0.0119438744958979,0.978508019147867,0.698043746717443,-0.0119941537346211,-5.33825426651995
20,20,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.682713131710632,-0.0115349979813054,0.968059415332418,0.68143844219706,-0.011583789471362,-5.34870287958902
21,21,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.666949289295622,-0.0111360299145687,0.956666961854169,0.665718665317811,-0.0111833795857013,-5.36009534178595
22,22,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.652170173575222,-0.0107481888638201,0.944273707747197,0.650982385126988,-0.0107941475109607,-5.37248860407428
23,23,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,0.638333744704943,-0.0103812237770473,0.931803981341907,0.637186486267571,-0.0104258640908287,-5.38495833795367
24,24,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.625398179973628,-0.0100439884821172,0.920181825855066,0.62428816911621,-0.0100874048081863,-5.39658050008039
25,25,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.613321893008703,-0.00974458838171748,0.910331040946711,0.612244952830009,-0.00978689649676682,-5.40643129070019
26,26,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.602299658161887,-0.00948596846319981,0.90238871041586,0.601251286050432,-0.00952729970179004,-5.41437362602566
27,27,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.592359288624274,-0.00926065581081757,0.895738814512692,0.591335806394497,-0.0093011246618235,-5.42102352600097
28,28,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.583208753532603,-0.00906096779794756,0.890175550280182,0.582207331472121,-0.009100661689215,-5.4265867937608
29,29,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.574555882063238,-0.00887957567755476,0.885493351341717,0.573574499916015,-0.00891855549358372,-5.43126899583685
30,30,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.566108415727103,-0.00870943172897912,0.881486861680576,0.565145831706082,-0.00874773225587763,-5.43527548838345
31,31,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,0.558217843803748,-0.0085578852372035,0.87839256267865,0.557272004145912,-0.00859557063593643,-5.43836978990852
32,32,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.55107889563058,-0.00842876780161839,0.876347772622319,0.550147323200529,-0.00846591801699599,-5.44041458207973
33,33,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.544164161483753,-0.00831018684543644,0.874998505236829,0.54324569291258,-0.00834683613637657,-5.44176385137927
34,34,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.536946224562237,-0.00819050868712625,0.873990769317825,0.536040981688971,-0.00822664617149523,-5.44277158920259
35,35,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.528897614238079,-0.00805831290485321,0.872970607791707,0.52800698058101,-0.00809388305566774,-5.44379175280011
36,36,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.519788047191279,-0.00790966060580197,0.871884671276608,0.518913841540419,-0.00794459123544901,-5.44487769160423
37,37,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.509969192726741,-0.00775209348618626,0.870969511861521,0.509112400686124,-0.00778634201538761,-5.44579285339911
38,38,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,0.499786506710911,-0.00759150794123671,0.870305732740182,0.498947462293162,-0.00762505677258975,-5.4464566348966
39,39,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,0.489585501503468,-0.00743371317192505,0.869973460818042,0.488763896752767,-0.00746656945380979,-5.44678890910519
40,40,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.47971171701933,-0.00728444599524411,0.870052339695942,0.478906610000451,-0.00731664141747685,-5.44671003234601
41,41,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,0.469941389324689,-0.00714460563867431,0.871092334733469,0.46915173940532,-0.00717616860344671,-5.4456700392545
42,42,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,0.460044310507079,-0.00700976772367025,0.873039856231663,0.459269565914416,-0.00704070855699105,-5.44372251959707
43,43,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.450356216294822,-0.00687808888731238,0.875068794120344,0.449596027882809,-0.00690842145406431,-5.44169358347218
44,44,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.441212730248028,-0.00674832680034796,0.876352953736822,0.44046688514964,-0.00677807032046835,-5.44040942556103
45,45,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.43294946494913,-0.00661976835391904,0.876066101250774,0.432217828162714,-0.00664894892709026,-5.44069627970443
46,46,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.425494990132992,-0.00648707983110181,0.873546981235921,0.424778015479581,-0.00651570716640442,-5.44321540139627
47,47,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,0.418625819376815,-0.00635165560606652,0.869345682216265,0.41792380737329,-0.00637973702662463,-5.44741670209236
48,48,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.412449393771605,-0.00622272543695118,0.864453384078984,0.411761626076129,-0.00625029583464311,-5.45230900179278
49,49,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.407072726349898,-0.00610898408375596,0.859861723004723,0.406397524768133,-0.00613610489551009,-5.45690066421942
50,50,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,0.402602373494405,-0.00601871547847904,0.85656267546123,0.401937145280354,-0.00604547402082388,-5.46019971281849
51,51,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,0.399402189372299,-0.00594598329704894,0.852991858161428,0.398744996083263,-0.00597245962481128,-5.46377053095731
52,52,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.397400801724755,-0.00588495377718446,0.848488304862313,0.396750348969439,-0.00591120971228823,-5.46827408495248
53,53,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,0.396051833092911,-0.0058436256323065,0.845399200787808,0.395405944924326,-0.00586973216267646,-5.47136318949427
54,54,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.394809275661939,-0.00582992508588575,0.846071703239905,0.394164902520915,-0.00585596281088566,-5.47069068719647
55,55,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.393127577591838,-0.00585161628525705,0.852853008376657,0.392480814280833,-0.00587767398926143,-5.46390938181577
56,56,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.390928340445802,-0.00591518375127841,0.866968966272286,0.390274566581914,-0.00594136272075372,-5.44979342319968
57,57,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.388577238436391,-0.00601445985862916,0.886854942236393,0.387912514082079,-0.00604084643943708,-5.42990744609475
58,58,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.386194075541489,-0.00613809198213573,0.910672302423665,0.385515713982172,-0.00616473770050596,-5.40609008446025
59,59,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.383896509313445,-0.00627515686882405,0.936582200879048,0.383203029404415,-0.00630208258989698,-5.38018018436605
60,60,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.381799677162735,-0.00641520376500174,0.962745597606174,0.381090750810123,-0.00644240525071809,-5.35401678592718
61,61,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.380421086210466,-0.00657224485639806,0.989890170799566,0.379694837847024,-0.00659976664465375,-5.32687221076938
62,62,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.379680773102252,-0.00675393126089738,1.01924177202266,0.378934483516894,-0.00678182990610539,-5.29752060721434
63,63,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.378795228947147,-0.00693957042149655,1.0497084416362,0.378028464476449,-0.00696782642021615,-5.2670539351527
64,64,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.37698018879924,-0.0071068931894982,1.08019796825503,0.376194974971559,-0.00713541086242583,-5.23656440627091
65,65,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.373450947113782,-0.00723208075882324,1.1096175948803,0.372651939279562,-0.00726068878362814,-5.20714477791806
66,66,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.369279897161145,-0.00732570100352834,1.13668108369063,0.36847058081239,-0.00735429550070958,-5.18008128779665
67,67,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.36498627853216,-0.00740251835597719,1.16211603419845,0.364168508516764,-0.0074310481790832,-5.15464633620089
68,68,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.358953687633142,-0.00744134483923744,1.18784855950996,0.358131661604732,-0.00746965361711168,-5.12891381033653
69,69,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.349562604735649,-0.00741716884853113,1.21580251616297,0.348743285147494,-0.0074449843111567,-5.1009598540326
70,70,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.335189332206007,-0.00729990873312997,1.24789848846381,0.334383005665568,-0.00732683096898654,-5.06886388339811
71,71,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.31449574684164,-0.0070564678545782,1.28566348644216,0.313716355464728,-0.00708197654266115,-5.03109888879128
72,72,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,0.288547898629229,-0.00668642551112361,1.32780387600962,0.287809426280836,-0.00671005128083955,-4.98895850412777
73,73,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.25932511992607,-0.00620925718178271,1.37200670951837,0.258639393702972,-0.00623066588897664,-4.94475567655126
74,74,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.228808510741946,-0.00565403819049426,1.41596036249684,0.228184142001385,-0.00567305181027036,-4.90080202992144
75,75,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.198982432240321,-0.00506072271112197,1.45735556871745,0.198423617097304,-0.00507733589090369,-4.85940682982724
76,76,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.16824134499135,-0.00439344125359866,1.49638328854035,0.167756240383778,-0.00440753227612211,-4.8203791160828
77,77,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.135244057159898,-0.00362183304683171,1.53456039916903,0.134844172543708,-0.0036331819058197,-4.78220201141229
78,78,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.10238439359516,-0.00280798010512019,1.57158144959773,0.102074382732542,-0.00281657778081124,-4.74518096602427
79,79,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.072068157094144,-0.00202126367544175,1.60715924670994,0.0718450139462876,-0.00202731348890714,-4.70960317257134
80,80,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,0.0467122643893175,-0.00133771646926211,1.64102451295674,0.0465645905428943,-0.00134163278815915,-4.67573790853579
81,81,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.0285540422955378,-0.000834701588995095,1.67512843430753,0.0284619019814818,-0.000837090246537459,-4.64163398823733
82,82,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.0159886487475,-0.000477021723739292,1.70967463152373,0.0159359942557667,-0.000478354960019082,-4.6070877914729
83,83,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.00568732552370815,-0.0001728665307381,1.74177621004005,0.00566824507232147,-0.000173338953386528,-4.5749862131469
84,84,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.00566652770102569,0.000174879674018358,1.7685360420702,-0.00564722576463345,0.000175348554602107,-4.54822638111609
85,85,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,-0.021379942740107,0.000666729775362238,1.78704850981647,-0.0213063558827252,0.000668493534045048,-4.52971391297132
86,86,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.0421904381781581,0.00132140208892069,1.79479369571588,-0.0420445968040497,0.00132487793316373,-4.52196872581891
87,87,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.0658636476810779,0.00206160066815445,1.7937096755013,-0.065636111243247,0.00206702786489503,-4.52305274362286
88,88,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.0912528390864553,0.00284654162583227,1.78757337409679,-0.0909386669760944,0.0028540689447177,-4.52918904131846
89,89,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.117218928038812,0.00364137127889529,1.78016032986845,-0.116817026649678,0.00365105258584081,-4.53660208058224
90,90,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.142627532777482,0.00441845183251596,1.7752437024233,-0.142139860993982,0.00443024114132056,-4.54151870199767
91,91,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.167432161769204,0.00517963095213529,1.77276278186903,-0.166860475429903,0.00519347607039218,-4.54399961551838
92,92,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,-0.192389469172197,0.0059431230118338,1.7702048249783,-0.191733512343015,0.00595903831649342,-4.54655756423342
93,93,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.217572913983891,0.00671141880158949,1.76766090014682,-0.216832155878558,0.00672942454672175,-4.5491014797047
94,94,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.243055789310802,0.00748713874200423,1.76521921993037,-0.242229410019058,0.00750726095678968,-4.55154314931733
95,95,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.268911245769989,0.00827303177045804,1.76296506071006,-0.267998122107716,0.00829530216643871,-4.55379729661316
96,96,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.296161093584629,0.00910180796942949,1.76111136137472,-0.295156492385054,0.00912634197508197,-4.55565098208497
97,97,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.32475676057338,0.00997205389417097,1.75959480740159,-0.323656104696994,0.00999896288084301,-4.55716752007738
98,98,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.353165353332769,0.0108351002663982,1.75808607118352,-0.351969437032146,0.0108643697227406,-4.55867623900666
99,99,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.379853356409703,0.0116418027631801,1.75625896974013,-0.378568397641957,0.0116732925154317,-4.56050332299295
100,100,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.403286538331173,0.0123426456656088,1.75379094195533,-0.401924219661033,0.012376089986517,-4.56297133459392
101,101,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.423093578937827,0.0129272986671643,1.75086914050473,-0.421666723424884,0.0129624001901714,-4.56589312181978
102,102,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,-0.4402959112641,0.0134286664029831,1.74771122084481,-0.438813710571224,0.0134652112439348,-4.56905102875673
103,103,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.455447503426001,0.0138616596455123,1.74404411820474,-0.453917502900915,0.0138994810731351,-4.57271812001898
104,104,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.469101878658363,0.0142408434493063,1.73959521163426,-0.46753001541267,0.014279821918629,-4.5771670163285
105,105,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,-0.481812246542844,0.014580459725592,1.73409183156211,-0.480202885049626,0.0146205228321878,-4.58267038697463
106,106,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,-0.493525275917228,0.0148805889173154,1.72778000401397,-0.491882772261793,0.0149216582185989,-4.58898220600708
107,107,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.503870174557818,0.0151315711054378,1.72084642221182,-0.502199951519466,0.0151735358685921,-4.59591578055398
108,108,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.512923233012162,0.0153326067965435,1.71292900960906,-0.511230800835826,0.0153753637198977,-4.60383318725664
109,109,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.520759921498923,0.0154827170973263,1.70366541718508,-0.519050897688865,0.0155261698319659,-4.61309677522276
110,110,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.527454925117664,0.0155808091664226,1.69269303655223,-0.525735047035084,0.0156248676337578,-4.62406915291679
111,111,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.533123252935835,0.0156293275766861,1.67990608632186,-0.531397987993429,0.0156739095336918,-4.63685610168333
112,112,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.537711358090546,0.0156291652090513,1.66554983291338,-0.535986075955764,0.0156741804158166,-4.6512123550902
113,113,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.541040842079658,0.0155771684684533,1.64978828460291,-0.539321261243052,0.0156225085179734,-4.66697390495602
114,114,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.542933709621046,0.0154706151064876,1.63278575205726,-0.54122584987923,0.0155161535076328,-4.68397644067977
115,115,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.543212342477219,0.0153072154658213,1.61470684244714,-0.541522477267403,0.0153528078942929,-4.70205535512492
116,116,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.540759027026323,0.0150524247765589,1.59502880732769,-0.539097242811255,0.0150978309742546,-4.72173339768532
117,117,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.535689737996229,0.01471147280743,1.57364735587788,-0.53406554462291,0.0147564586861815,-4.74311485889958
118,118,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.529678049313749,0.014340329724601,1.55135252606114,-0.528094780078425,0.0143847988893959,-4.76540969909217
119,119,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,-0.524397862143047,0.0139922267718219,1.52893133097391,-0.522852975307185,0.0140362231221529,-4.78783090367023
120,120,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,-0.521523351069157,0.0137174887006161,1.5071677252382,-0.520008749865993,0.0137611985111271,-4.80959451673086
121,121,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.522667492887189,0.0135483052452257,1.48531552627564,-0.521171523770478,0.013592048532628,-4.83144672012919
122,122,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.52671177933903,0.0134466500787718,1.46284618241428,-0.525226985393173,0.0134906495122406,-4.85391606662633
123,123,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.531235153356872,0.0133584492409622,1.44087136614932,-0.529760050492667,0.0134027278549703,-4.87589088516146
124,124,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.533818972467533,0.0132337566614172,1.42050807075437,-0.532357594345807,0.0132781432326771,-4.89625418374404
125,125,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.532047207427336,0.0130261728447812,1.40287901832253,-0.530608714400729,0.0130703073951072,-4.9138832414218
126,126,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.524859158076766,0.0127216616450182,1.38884597123981,-0.523454262894525,0.0127651098279499,-4.92791629605387
127,127,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.513871317321781,0.0123551271857135,1.37767153914095,-0.512506876781785,0.0123975906417465,-4.93909073700492
128,128,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.500684067298142,0.0119542610961015,1.36808102080508,-0.499363877356052,0.0119955686168095,-4.94868126472689
129,129,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.486895319970465,0.0115461322727803,1.35879463211865,-0.485620184543682,0.0115862369638428,-4.95796766265182
130,130,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.474100308130392,0.011157762816116,1.34852720038269,-0.4728680443966,0.0111967401844704,-4.96823510288093
131,131,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.462077721686086,0.0107741893787561,1.33604828867738,-0.460887797258932,0.0108120869523084,-4.98071402268904
132,132,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.449762429599293,0.0103784557665796,1.3222142358763,-0.448616186681881,0.0104152391797655,-4.99454808355286
133,133,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.437485212114285,0.00999324418730578,1.30886571593396,-0.436381491178199,0.0100289204505059,-5.00789661105413
134,134,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.425580837328491,0.00963945311647408,1.29784288301792,-0.424516173483595,0.00967407194206301,-5.01891945066115
135,135,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.414387938145929,0.00933633916223485,1.29098538725361,-0.413356741958262,0.00936999328871145,-5.02577695196681
136,136,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.404225722977899,0.0091122115283101,1.29167146123354,-0.403219282687553,0.00914504565787935,-5.02509088197135
