,Frame,Pelvis x,Pelvis y,Pelvis z,L5 x,L5 y,L5 z,L3 x,L3 y,L3 z,T12 x,T12 y,T12 z,T8 x,T8 y,T8 z,Neck x,Neck y,Neck z,Head x,Head y,Head z,Right Shoulder x,Right Shoulder y,Right Shoulder z,Right Upper Arm x,Right Upper Arm y,Right Upper Arm z,Right Forearm x,Right Forearm y,Right Forearm z,Right Hand x,Right Hand y,Right Hand z,Left Shoulder x,Left Shoulder y,Left Shoulder z,Left Upper Arm x,Left Upper Arm y,Left Upper Arm z,Left Forearm x,Left Forearm y,Left Forearm z,Left Hand x,Left Hand y,Left Hand z,Right Upper Leg x,Right Upper Leg y,Right Upper Leg z,Right Lower Leg x,Right Lower Leg y,Right Lower Leg z,Right Foot x,Right Foot y,Right Foot z,Right Toe x,Right Toe y,Right Toe z,Left Upper Leg x,Left Upper Leg y,Left Upper Leg z,Left Lower Leg x,Left Lower Leg y,Left Lower Leg z,Left Foot x,Left Foot y,Left Foot z,Left Toe x,Left Toe y,Left Toe z
0,0,-0.0352825261925793,-0.0188618493326468,0.0539361471303508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0553052086676484,-0.107595769510641,0.105743271560369,-0.0844794156312803,-0.0119766328521232,0.0460875607418458,0.00475530167610221,-0.0160359431482217,0.0588670892025807,0,0,0,-0.0149984197077142,0.0209289709351183,0.0500946913227587,-0.0245016151488836,-0.0402081548969445,0.0454221119970537,0.0118042419796241,-0.0240951422331063,0.0322332983765694,0,0,0
1,1,-0.000827744903899587,-0.0216385109381529,0.0455690941815501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0463016146514152,-0.0853984212487082,0.0998342785674406,-0.0315025578058609,-0.0407260340650687,0.0493550481128988,-0.00979057699996115,-0.032263306517108,0.0318535095774291,0,0,0,0.00140729372244738,0.0156403208726449,-0.00148266382455553,-0.0242079706986621,-0.0300522031354169,0.067244490743251,-0.00789719583702893,-0.0113835157903342,0.0283685907531979,0,0,0
2,2,-0.00174550360311019,0.00892431511635983,0.0973755107941514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0383578180589809,-0.0632557059628881,0.0939612281185269,-0.0174281737751832,-0.0605966787203552,0.0412949960227511,0.00888139136362429,0.00410924044850612,0.0673386883663198,0,0,0,-0.0307511699010228,-0.030642755607985,0.0499696827340621,-0.0444422717693328,0.0148161899099853,0.0448464320244764,-0.0170311248182598,0.0122386561374827,0.00526620695839952,0,0,0
3,3,-0.0232500651180324,-0.014437612835381,0.0876838045802035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0916111173981844,-0.0715011559647167,0.0876322348951799,-0.0182929760420617,-0.0230369811353091,0.0233492395550066,0.0414558389648155,-0.0253860635379194,0.0643640122803291,0,0,0,-0.0530454350688986,-0.024422769660528,0.0418843317008122,-0.0621599706893503,0.0387906586130081,0.0596615606358206,0.0129271494627991,0.0180876290406341,0.0236692054856551,0,0,0
4,4,0.000449855380931232,0.00991962863181265,0.0976599903357531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0870003691131858,-0.0417801309824228,0.104619193146535,0.00148198944732989,-0.00958371655843376,0.0200709840769377,-0.0134658334320491,0.0413443542937438,0.0384901314446289,0,0,0,-0.00297237227296996,-0.00402617951490887,0.0682972926848819,-0.0971437929507116,0.0366104106067052,0.0609653487220392,-0.017274240464783,0.0196442168565192,0.039048663438022,0,0,0
5,5,0.00347212271499773,0.0345590150188162,0.0952870042311371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0516339434193713,-0.0329978969071453,0.0818364123945674,0.00193926764320833,-0.0106398661737272,0.0201258568688001,-0.00381397695330246,-0.0141288862805158,0.0404274749555604,0,0,0,0.0022752746320031,0.0281869604527602,0.0786176430393297,-0.0613772554626205,0.00590104892654909,0.0749779501013546,0.00468518231242618,0.00774075951285847,0.0429230872331647,0,0,0
6,6,0.0057025459976162,0.00525384631946523,0.0437450586211039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0204524140255909,-0.0174264332875654,0.08197327930454,0.00840452307065263,0.022340322926178,0.0249998373832732,-0.0164939671875957,-0.00696507552833896,0.0218083476736801,0,0,0,-0.031349091111383,-0.0300331255759574,0.0499028779329613,-0.0240772779522447,-0.0663351084386501,0.0824959413771289,-0.0149259360481891,0.0204331686072897,0.0390578734749099,0,0,0
7,7,-0.047741746225047,0.00984984717038295,0.0400666609847811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00281428738467884,-0.0235581010879667,0.0879587924680365,0.0220710696706912,0.00235743073399661,0.0169472508149386,0.0138270950926771,-0.00161147697145799,0.0675886315569443,0,0,0,-0.0221933956763988,-0.0102736267308019,0.039612326899702,-0.00957612451995341,-0.0203109645970388,0.0588439777904135,-0.01952953874834,-0.004292295339758,-0.00922019253380668,0,0,0
8,8,-0.0401465314648209,-0.0111758817954104,0.0759609321068293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00344333823976452,-0.0235429072505032,0.0878889986424021,0.0174353054753886,0.0156748533943226,0.0479381820880622,0.0350118052512618,2.10006097823526e-05,0.0543302660058327,0,0,0,-0.0226615691869077,-0.00945239426567955,0.0396216074678719,-0.028401119116838,-0.0176107728246843,0.0299933451175587,4.50204453064e-05,-0.00963734963053712,0.0284089986496134,0,0,0
9,9,0.00992666055952527,0.0310475691999218,0.0415992810416927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0121141703198272,-0.068350017093052,0.0995126850326393,0.0513838979655291,-0.0278523499491105,0.0544992629854839,0.0137614837192041,-0.027277033370913,0.0592929292352178,0,0,0,-0.0065678043194824,-0.0481890139209195,0.0373497912837255,0.00430620890256098,0.0136051869042267,0.0133632432797661,-0.0276998227871336,-0.0148253178767172,0.0100423535309933,0,0,0
