,Frame,Pelvis x,Pelvis y,Pelvis z,L5 x,L5 y,L5 z,L3 x,L3 y,L3 z,T12 x,T12 y,T12 z,T8 x,T8 y,T8 z,Neck x,Neck y,Neck z,Head x,Head y,Head z,Right Shoulder x,Right Shoulder y,Right Shoulder z,Right Upper Arm x,Right Upper Arm y,Right Upper Arm z,Right Forearm x,Right Forearm y,Right Forearm z,Right Hand x,Right Hand y,Right Hand z,Left Shoulder x,Left Shoulder y,Left Shoulder z,Left Upper Arm x,Left Upper Arm y,Left Upper Arm z,Left Forearm x,Left Forearm y,Left Forearm z,Left Hand x,Left Hand y,Left Hand z,Right Upper Leg x,Right Upper Leg y,Right Upper Leg z,Right Lower Leg x,Right Lower Leg y,Right Lower Leg z,Right Foot x,Right Foot y,Right Foot z,Right Toe x,Right Toe y,Right Toe z,Left Upper Leg x,Left Upper Leg y,Left Upper Leg z,Left Lower Leg x,Left Lower Leg y,Left Lower Leg z,Left Foot x,Left Foot y,Left Foot z,Left Toe x,Left Toe y,Left Toe z
0,0,50.3172057154182,74.4776107170074,-116.657249979594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.819634871376,-70.76708660909,-78.6788464844,118.468344822615,-75.9437480007622,57.0501425167237,-13.5648831934349,-26.8169279461423,-178.308941661664,0,0,0,158.495068338071,-72.1151702912497,87.5485123537268,121.538861466262,83.4232107446614,105.216703288923,5.22174929173248,-30.8989292134376,-165.522477110226,0,0,0
1,1,50.3336737710573,74.4795851797978,-116.644518110228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.823416099744,-70.7662106206474,-78.6878517975707,118.452072453991,-75.9475691621491,57.0664955612054,-13.5676964223763,-26.8172055343455,-178.304757856312,0,0,0,158.453494388445,-72.1179489341435,87.5805845675125,121.540091884941,83.422212789669,105.211766355135,5.21963423452997,-30.8971375679939,-165.52142245216,0,0,0
2,2,50.3558212458313,74.4832922136427,-116.629709182368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.837806835671,-70.7640182354675,-78.7069957325784,118.446815049767,-75.9501328451277,57.066248158871,-13.5688416331528,-26.8146693616501,-178.30221589575,0,0,0,158.426104686425,-72.1150527870919,87.6028957010209,121.537210266901,83.4230686712549,105.203750457297,5.21688196533468,-30.8962834723104,-165.524149013636,0,0,0
3,3,50.363009264736,74.4862628372513,-116.630938258684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.854315985684,-70.7665121232685,-78.7272328053586,118.434747265082,-75.9525641655107,57.0715837551931,-13.5699003812827,-26.8140984156889,-178.301969290131,0,0,0,158.404355973664,-72.1145455139199,87.617900800661,121.533181690565,83.420121729464,105.193688100663,5.21469113305858,-30.8962790197259,-165.525663080302,0,0,0
4,4,50.3742977885826,74.4895931032548,-116.630022772848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.869406743661,-70.7678538694274,-78.7478871523025,118.425159513733,-75.9566373900817,57.0732774560209,-13.5692705342047,-26.8118782754504,-178.300677769394,0,0,0,158.393065830884,-72.1106671458318,87.6266541923287,121.514400223293,83.4189958833829,105.170196342631,5.21268245691784,-30.8936262990997,-165.527597912984,0,0,0
5,5,50.3811803511971,74.4930549515313,-116.634011967862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.879913479473,-70.7704317104185,-78.7632775285065,118.415241802957,-75.9619300723935,57.0750108541743,-13.5712623805603,-26.8101665122077,-178.298658934314,0,0,0,158.382722455597,-72.1094446502929,87.6294357435179,121.476885704811,83.4176780467303,105.130303604352,5.21218453165525,-30.8922381765799,-165.529493293391,0,0,0
6,6,50.3907395948938,74.4952568502049,-116.634406819693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.891693086384,-70.770870951086,-78.7802581140245,118.394250938389,-75.9671688950979,57.0866657147152,-13.5726920652027,-26.8068571132571,-178.295667252736,0,0,0,158.376906908518,-72.1079306455017,87.6264411326379,121.431494938506,83.4171077311031,105.080932469418,5.21207462778932,-30.8904146250965,-165.533773963412,0,0,0
7,7,50.400303195487,74.4974591465638,-116.634796913382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.901329926337,-70.7725435376857,-78.7995742984174,118.375811425441,-75.9726204226425,57.0970722945895,-13.5720642475649,-26.8046371198984,-178.294375731391,0,0,0,158.372194491564,-72.1090977788329,87.6219295685265,121.392938903047,83.4167534743641,105.035479349631,5.2106430015751,-30.8890747046857,-165.537276344699,0,0,0
8,8,50.4117701976287,74.5005454333032,-116.632473630083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.909250241744,-70.7727649321656,-78.8206091891195,118.365629246921,-75.9777029062939,57.1012460463147,-13.5710690945399,-26.8020119989187,-178.293956026777,0,0,0,158.366061903521,-72.1069026188277,87.6182065004317,121.346567612474,83.4158562491416,104.98060141504,5.20893045031298,-30.8873093910336,-165.54138410207,0,0,0
9,9,50.4273468660566,74.5039910967305,-116.627996102944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.920331931739,-70.7706000526145,-78.8473257970971,118.353744848681,-75.9830785774061,57.1084999511933,-13.5736250412545,-26.8018986462053,-178.292910538844,0,0,0,158.360245403552,-72.1053831099952,87.6152172251053,121.309575115538,83.4150524201983,104.933936751152,5.20785306774881,-30.8846051543895,-165.541708173326,0,0,0
