,Frame,T8_Head Lateral Bending,T8_Head Axial Bending,T8_Head Flexion/Extension,T8_LeftUpperArm Lateral Bending,T8_LeftUpperArm Axial Bending,T8_LeftUpperArm Flexion/Extension,T8_RightUpperArm Lateral Bending,T8_RightUpperArm Axial Bending,T8_RightUpperArm Flexion/Extension,Pelvis_T8 Lateral Bending,Pelvis_T8 Axial Bending,Pelvis_T8 Flexion/Extension,Vertical_Pelvis Lateral Bending,Vertical_Pelvis Axial Bending,Vertical_Pelvis Flexion/Extension,Vertical_T8 Lateral Bending,Vertical_T8 Axial Bending,Vertical_T8 Flexion/Extension
0,0,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,-0.730372750723745,0.0917024976253745,7.21246411927335,-0.720281945553992,0.0909880112226287,0.895709707383297
1,1,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.76884845871133,0.0969150029112033,7.24109024433737,-0.758183993174576,0.0961545751644591,0.924336768586591
2,2,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,-0.806031122912314,0.102322406857946,7.29267136308295,-0.794771462566828,0.101509412797936,0.975918912643828
3,3,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.8394997679564,0.107904262110092,7.38436327926445,-0.827625536443012,0.107027912436145,1.06761194459643
4,4,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.8736472144604,0.114364229833283,7.52127867440821,-0.861061505868826,0.113405334826458,1.20452870386866
5,5,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.910136428504133,0.121829136947029,7.69195549720107,-0.896728313657139,0.120767701956921,1.37520720069278
6,6,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.942498963298436,0.129368271890128,7.88867549807711,-0.928259859778683,0.128192249460363,1.57192899799377
7,7,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.964280909576878,0.135943030125753,8.10372597461984,-0.949316500466233,0.134651052228834,1.78698112682118
8,8,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.969030162194025,0.140390801969044,8.32941046627428,-0.95357413054068,0.138995643373817,2.01266677914028
9,9,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.956539409046054,0.142608650946515,8.57330005286847,-0.940836717239432,0.141124569710884,2.25655695322541
10,10,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.931431333660203,0.143159867819109,8.84057151180213,-0.915664877658967,0.141596446590032,2.52382855171107
11,11,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,-0.894316334954381,0.141762117361164,9.11995543180423,-0.878700273442531,0.140137740524576,2.80321208313528
12,12,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,-0.845530154355198,0.138109127464992,9.40016093254906,-0.830312667809958,0.136452098238598,3.0834166036229
13,13,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.785124530571018,0.131885932610113,9.66985170119478,-0.770588895904744,0.130235051105687,3.3531057696748
14,14,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.697807431215772,0.120334716436239,9.92963537511747,-0.684541236239026,0.118768174384792,3.61288667429956
15,15,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.583146857270722,0.103140042564216,10.1870405458187,-0.571772930719136,0.101746144695272,3.87028819851334
16,16,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,-0.463396452555384,0.0839802054509473,10.4410468361953,-0.454132535384099,0.0828040824932976,4.12429108977008
17,17,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,-0.360956453991259,0.0669605664988972,10.6906546193985,-0.353567593376719,0.0659905267268776,4.37389643885823
18,18,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,-0.298377777653702,0.0566009097319555,10.934915651448,-0.292129973923318,0.0557542344431036,4.61815625821659
19,19,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.281354449420459,0.0545224615646694,11.1737072137145,-0.275333992809291,0.0536817040285539,4.85694760072221
20,20,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,-0.294882093117335,0.0583248125245795,11.4076723496843,-0.288439485822756,0.0573990183797775,5.0909131408464
21,21,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,-0.330540068991614,0.0666743997029511,11.6370531530787,-0.323172472976773,0.0655864593803638,5.32029492853925
22,22,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,-0.37985734911553,0.0780833377056424,11.8620925796936,-0.371225829675607,0.0767751868745199,5.54533591244533
23,23,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.434312196725622,0.0909157902429146,12.0830311385408,-0.424258309541745,0.0893537028793427,5.76627651525901
24,24,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.497516832999338,0.105976473241988,12.2985534472523,-0.485792931489321,0.104111293299561,5.98180161770377
25,25,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.575066779092517,0.124555281484199,12.5085790208821,-0.561282167992072,0.122312309628202,6.19183122520618
26,26,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.661391914415625,0.145581583214025,12.7151791560923,-0.645273903589831,0.142901512931833,6.39843670766461
27,27,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.750939084955745,0.167916929092188,12.9203957825576,-0.732340641486392,0.164758646827494,6.60365992261215
28,28,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.838169537795228,0.190358883760117,13.1262352685221,-0.817076527503185,0.186702215567554,6.8095069694198
29,29,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.92936290903295,0.214388336185677,13.3361653301326,-0.905596731599253,0.210182381163991,7.01944617185771
30,30,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.02814858314394,0.240894237163428,13.5489069909067,-1.00143169129535,0.236068329180014,7.23219916895059
31,31,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.12506802234378,0.267621972685361,13.7592656798582,-1.0953728176889,0.262150721440719,7.4425706180582
32,32,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,-1.21072351866873,0.292161749925398,13.9619737013837,-1.17829022092963,0.286073087784556,7.64529152697718
