,Frame,T8_Head Lateral Bending,T8_Head Axial Bending,T8_Head Flexion/Extension,T8_LeftUpperArm Lateral Bending,T8_LeftUpperArm Axial Bending,T8_LeftUpperArm Flexion/Extension,T8_RightUpperArm Lateral Bending,T8_RightUpperArm Axial Bending,T8_RightUpperArm Flexion/Extension,Pelvis_T8 Lateral Bending,Pelvis_T8 Axial Bending,Pelvis_T8 Flexion/Extension,Vertical_Pelvis Lateral Bending,Vertical_Pelvis Axial Bending,Vertical_Pelvis Flexion/Extension,Vertical_T8 Lateral Bending,Vertical_T8 Axial Bending,Vertical_T8 Flexion/Extension
0,0,0,0,0,90.0,0.0,0.0,90.0,1.26586381389443,1.26586381389443,0,0,-6.31676242321572,-0.724593303343403,0,7.21304398672643,-0.720193926669461,0.0797276489995164,0.895780478314052
1,1,0,0,0,90.0,-171.826446743046,-171.826446743046,90.0,1.68760489417698,1.68760489417698,0,0,-6.31676242321572,-0.762716191965623,0,7.24173531585755,-0.758085325308702,0.0839228218760595,0.92441768945076
2,2,0,0,0,90.0,90.0,90.0,90.0,0.0,0.0,0,0,-6.31676242321572,-0.799510460044118,0,7.29338528289072,-0.794656167208529,0.0879718583972378,0.976012792801175
3,3,0,0,0,90.0,90.0,90.0,90.0,-1.26586381389443,-1.26586381389443,0,0,-6.31676242321572,-0.832536695929736,0,7.38514724508009,-0.827481854198555,0.0916063016203524,1.06772330816553
4,4,0,0,0,90.0,-90.0,-90.0,90.0,0.0,0.0,0,0,-6.31676242321572,-0.866130056378102,0,7.52214310296572,-0.860871218521426,0.0953032170080636,1.20466469892503
5,5,0,0,0,90.0,-1.26586381389443,-1.26586381389443,90.0,0.0,0.0,0,0,-6.31676242321572,-0.901946343149459,0,7.69291443044288,-0.896470006467296,0.0992448345667918,1.37537558132301
6,6,0,0,0,90.0,-5.05115252801793,-5.05115252801793,90.0,0.0,0.0,0,0,-6.31676242321572,-0.933578934636217,0,7.88972948685222,-0.927910501612705,0.102726095985702,1.57213521587169
7,7,0,0,0,90.0,173.69522212885,173.69522212885,90.0,0.0,0.0,0,0,-6.31676242321572,-0.95465117992236,0,8.10485852957021,-0.948854778846529,0.105045193893624,1.78722627841059
8,8,0,0,0,90.0,90.0,90.0,90.0,-2.53049303995912,-2.53049303995912,0,0,-6.31676242321572,-0.958807445638561,0,8.33058516846072,-0.952985804107064,0.105502613425767,2.01294532599943
9,9,0,0,0,90.0,-1.68760489417698,-1.68760489417697,90.0,90.0,90.0,0,0,-6.31676242321572,-0.945850020460601,0,8.57447718606705,-0.940107067470639,0.104076582270739,2.25686090107072
10,10,0,0,0,90.0,4.21262540413503,4.21262540413503,90.0,-90.0,-90.0,0,0,-6.31676242321572,-0.920364788751021,0,8.84172135394081,-0.914776602141867,0.101271832255258,2.52415046720929
11,11,0,0,0,90.0,0.0,0.0,90.0,0.0,0.0,0,0,-6.31676242321572,-0.883010079290339,0,9.12104783268495,-0.87764873592728,0.0971608707635104,2.80354124642654
12,12,0,0,0,90.0,5.05115252801793,5.05115252801793,90.0,-5.05115252801793,-5.05115252801793,0,0,-6.31676242321572,-0.834175316437362,0,9.40116632349516,-0.829110524242514,0.091786628688056,3.08373977977393
13,13,0,0,0,90.0,-2.53049303995912,-2.53049303995912,90.0,-5.05115252801793,-5.05115252801793,0,0,-6.31676242321572,-0.773968789601264,0,9.67074249274847,-0.769269594100591,0.0851611100234984,3.35340836207627
