,Frame,L5S1 Lateral Bending,L5S1 Axial Bending,L5S1 Flexion/Extension,L4L3 Lateral Bending,L4L3 Axial Rotation,L4L3 Flexion/Extension,L1T12 Lateral Bending,L1T12 Axial Rotation,L1T12 Flexion/Extension,T9T8 Lateral Bending,T9T8 Axial Rotation,T9T8 Flexion/Extension,T1C7 Lateral Bending,T1C7 Axial Rotation,T1C7 Flexion/Extension,C1 Head Lateral Bending,C1 Head Axial Rotation,C1 Head Flexion/Extension,Right T4 Shoulder Abduction/Adduction,Right T4 Shoulder Internal/External Rotation,Right T4 Shoulder Flexion/Extension,Right Shoulder Abduction/Adduction,Right Shoulder Internal/External Rotation,Right Shoulder Flexion/Extension,Right Elbow Ulnar Deviation/Radial Deviation,Right Elbow Pronation/Supination,Right Elbow Flexion/Extension,Right Wrist Ulnar Deviation/Radial Deviation,Right Wrist Pronation/Supination,Right Wrist Flexion/Extension,Left T4 Shoulder Abduction/Adduction,Left T4 Shoulder Internal/External Rotation,Left T4 Shoulder Flexion/Extension,Left Shoulder Abduction/Adduction,Left Shoulder Internal/External Rotation,Left Shoulder Flexion/Extension,Left Elbow Ulnar Deviation/Radial Deviation,Left Elbow Pronation/Supination,Left Elbow Flexion/Extension,Left Wrist Ulnar Deviation/Radial Deviation,Left Wrist Pronation/Supination,Left Wrist Flexion/Extension,Right Hip Abduction/Adduction,Right Hip Internal/External Rotation,Right Hip Flexion/Extension,Right Knee Abduction/Adduction,Right Knee Internal/External Rotation,Right Knee Flexion/Extension,Right Ankle Abduction/Adduction,Right Ankle Internal/External Rotation,Right Ankle Dorsiflexion/Plantarflexion,Right Ball Foot Abduction/Adduction,Right Ball Foot Internal/External Rotation,Right Ball Foot Flexion/Extension,Left Hip Abduction/Adduction,Left Hip Internal/External Rotation,Left Hip Flexion/Extension,Left Knee Abduction/Adduction,Left Knee Internal/External Rotation,Left Knee Flexion/Extension,Left Ankle Abduction/Adduction,Left Ankle Internal/External Rotation,Left Ankle Dorsiflexion/Plantarflexion,Left Ball Foot Abduction/Adduction,Left Ball Foot Internal/External Rotation,Left Ball Foot Flexion/Extension
0,0,0,0,-2.84254309044707,0,0,-7.08969429797762,0,0,-1.26926260974451,0,0,4.88473757495348,0.0116046624911326,-0.049059493951216,12.6109057264809,-0.00061358969980089,0.05040957858531,-12.6109109646478,0,0,0,90.0,1.26586381389443,1.26586381389443,0,90,0,0,0,0,0,0,0,90.0,0.0,0.0,0,90,0,0,0,0,1.47031800460732,3.50004264388788,4.81912922687087,-0.106819996081328,1.2724102551449,4.11479556801469,-0.96812820665284,-2.61556453909951,6.37173172863008,-0.00120389057063769,0.000552860493852128,0.0758998440167719,-2.0702990899885,-1.09395109871288,4.06169790303213,-0.221425653850579,0.373520631073688,2.31270557577227,2.68634911561078,1.50326612648896,5.35642428304216,0.298966564727186,0.000360177477331371,-0.138073695589887
1,1,0,0,-2.84254309044707,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495348,0.0116471013224768,-0.0490391336934675,12.6109442206306,-0.000659416063653831,0.0503989755854629,-12.6109494949955,0,0,0,90.0,1.68760489417698,1.68760489417698,0,90,0,0,0,0,0,0,0,90.0,-171.826446743046,-171.826446743046,0,90,0,0,0,0,1.42243889357572,3.53088711128538,5.01332595221371,-0.0532360132354722,1.22528320417702,4.55015484489669,-1.02327043726968,-2.68265338535071,6.56401561746333,-0.00179852424458403,0.00083181446644267,0.113849867336212,-2.04132951800844,-1.00668386479469,4.11371828588511,-0.262199970177889,0.219129724340454,2.43938419432406,2.68964524058749,1.64585131901194,5.44784550022783,0.336743242999629,0.000447232231111171,-0.15221602485874
2,2,0,0,-2.84254309044707,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495348,0.0117075613426923,-0.0490157461045297,12.6109814041193,-0.000723490972480532,0.0503893529060114,-12.6109867300887,0,0,0,90.0,0.0,0.0,0,90,0,0,0,0,0,0,0,90.0,90.0,90.0,0,90,0,0,0,0,1.38226719730469,3.52178385804184,5.26126476604798,-0.00149516040176018,1.24161585402356,5.05364125642853,-1.09868798352471,-2.75936822338858,6.77289769729392,-0.00159335985302732,0.000724269954070405,0.101200078264773,-2.01527091002913,-0.965698387800133,4.15715762168598,-0.305760104861761,0.128720640475065,2.51777483859902,2.68921785018663,1.76228290992979,5.52568439788232,0.38498528377468,0.000544087979321075,-0.161966829049471
3,3,0,0,-2.84254309044707,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495348,0.011799023199131,-0.0489874225103349,12.6110146932766,-0.000818900900018505,0.050381681990832,-12.6110200973516,0,0,0,90.0,-1.26586381389443,-1.26586381389443,0,90,0,0,0,0,0,0,0,90.0,90.0,90.0,0,90,0,0,0,0,1.36240742393862,3.45254493196669,5.59460660463308,0.0420726721968058,1.37434575532538,5.64990092101082,-1.214286889427,-2.86569157433647,7.00262881727628,0.0,0.0,0.0,-2.00181792460131,-1.0001097534925,4.20325535598675,-0.34299445832771,0.179197526860152,2.53942271067993,2.6897263904919,1.7964085613003,5.59079589851491,0.443186820495052,0.000624978962590086,-0.161595304321815
4,4,0,0,-2.84254309044707,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495348,0.0119239215072478,-0.0489544613653337,12.6110476741452,-0.00094795340504275,0.0503767857416081,-12.611053184883,0,0,0,90.0,0.0,0.0,0,90,0,0,0,0,0,0,0,90.0,-90.0,-90.0,0,90,0,0,0,0,1.36495562490991,3.28251496955503,5.98435553371882,0.083743128750459,1.66633898092697,6.2867425824889,-1.36940118285551,-2.99400898652425,7.25643699825234,-0.0221517758776431,-0.000995884826050301,-0.194634128695804,-1.99776438252907,-1.14243329636972,4.23807521452058,-0.375100200242252,0.422818491341751,2.47665691244645,2.69872783278109,1.73167909764478,5.62901401637689,0.536755590466401,0.000617922667804119,-0.147467504939532
5,5,0,0,-2.84254309044707,0,0,-7.08969429797762,0,0,-1.26926260974451,0,0,4.88473757495348,0.0120735231661971,-0.0489178842806728,12.611082095869,-0.00110190148679141,0.0503737544972494,-12.6110877343136,0,0,0,90.0,0.0,0.0,0,90,0,0,0,0,0,0,0,90.0,-1.26586381389443,-1.26586381389443,0,90,0,0,0,0,1.38215558317789,3.02518546589649,6.40921747748162,0.131949738661819,2.08238532253588,6.94715018965489,-1.55054374001243,-3.1308689626285,7.53190047556773,-0.0683546500273271,-0.00183701237065264,-0.457418468286479,-1.9970275562385,-1.3732936403766,4.25421226869061,-0.408469464619287,0.808377874005785,2.33559649566888,2.71321157338949,1.60549583245262,5.63987582249541,0.666027069711161,0.000488809920952798,-0.123391326648661
6,6,0,0,-2.84254309044707,0,0,-7.08969429797762,0,0,-1.26926260974451,0,0,4.88473757495348,0.0122440224682577,-0.0488768031790156,12.6111126712303,-0.00127722979532416,0.0503708906344563,-12.6111184551111,0,0,0,90.0,0.0,0.0,0,90,0,0,0,0,0,0,0,90.0,-5.05115252801793,-5.05115252801793,0,90,0,0,0,0,1.41182416939416,2.74171740487899,6.91244720877318,0.184264564669548,2.5585604242993,7.70862532425248,-1.7585497297809,-3.28718700512187,7.82509215065495,-0.100881350317893,-0.00229374917184605,-0.781023121475923,-2.00494373950161,-1.64390328578205,4.2726807499748,-0.441633224307831,1.25754694800564,2.15839454414859,2.7220749302825,1.44267399462986,5.6449207303271,0.792886832026175,0.000304300287267553,-0.0948007017761633
7,7,0,0,-2.84254309044708,0,0,-7.08969429797762,0,0,-1.26926260974451,0,0,4.88473757495348,0.0124316152942521,-0.048830379605156,12.6111341495076,-0.00147041366721799,0.0503665452259251,-12.6111400932281,0,0,0,90.0,0.0,0.0,0,90,0,0,0,0,0,0,0,90.0,173.69522212885,173.69522212885,0,90,0,0,0,0,1.45155698352577,2.49340010404812,7.53749813201456,0.23734498076256,3.03104628756284,8.64904409113814,-1.99459524034338,-3.47356343233397,8.13216958685065,-0.0822322068676394,-0.00182627021357026,-1.15807753642169,-2.02638709613594,-1.9054215896086,4.31443241413567,-0.47241556028435,1.69193583489749,1.98685396546399,2.71433963646921,1.26808823439812,5.66573486935878,0.879222141651237,0.000204941940869118,-0.0671442299647945
8,8,0,0,-2.84254309044707,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495348,0.0126325093616527,-0.0487778355121449,12.6111413178949,-0.00167792676765398,0.0503591307903189,-12.6111474325289,0,0,0,90.0,-2.53049303995912,-2.53049303995912,0,90,0,0,0,0,0,0,0,90.0,90.0,90.0,0,90,0,0,0,0,1.49819444233451,2.34176109046291,8.32803831401833,0.286073657107324,3.43619828094658,9.84669500861541,-2.26031945122257,-3.70020246544857,8.44939913731381,0.0247748817824642,0.000326897200828602,-1.58128210271485,-2.06565191863205,-2.1090025267696,4.40035289443464,-0.497811214391006,2.03308649204524,1.86241993774363,2.67917927348215,1.1066546685572,5.72392858280239,0.886922697983701,0.000355180022648788,-0.045888799231786
9,9,0,0,-2.84254309044707,0,0,-7.08969429797762,0,0,-1.26926260974451,0,0,4.88473757495348,0.0128535176946764,-0.0487186725456639,12.6111341886951,-0.0019065265416909,0.0503496483543184,-12.611140491073,0,0,0,90.0,90.0,90.0,0,90,0,0,0,0,0,0,0,90.0,-1.68760489417698,-1.68760489417697,0,90,0,0,0,0,1.55566200700249,2.29012437442923,9.32539114085277,0.327357875892327,3.81774993867194,11.3907043804392,-2.57982276939675,-3.97377895607931,8.7907643152715,0.261280377354136,0.00578589317230433,-2.15455243481386,-2.12359787542426,-2.27805808110523,4.5410972295556,-0.519588237626165,2.28560425296678,1.78516151656989,2.62167953365803,0.961321756697548,5.81183678569059,0.780509199194405,0.000651295788787498,-0.0314384169563229
