,Frame,Pelvis x,Pelvis y,Pelvis z,L5 x,L5 y,L5 z,L3 x,L3 y,L3 z,T12 x,T12 y,T12 z,T8 x,T8 y,T8 z,Neck x,Neck y,Neck z,Head x,Head y,Head z,Right Shoulder x,Right Shoulder y,Right Shoulder z,Right Upper Arm x,Right Upper Arm y,Right Upper Arm z,Right Forearm x,Right Forearm y,Right Forearm z,Right Hand x,Right Hand y,Right Hand z,Left Shoulder x,Left Shoulder y,Left Shoulder z,Left Upper Arm x,Left Upper Arm y,Left Upper Arm z,Left Forearm x,Left Forearm y,Left Forearm z,Left Hand x,Left Hand y,Left Hand z,Right Upper Leg x,Right Upper Leg y,Right Upper Leg z,Right Lower Leg x,Right Lower Leg y,Right Lower Leg z,Right Foot x,Right Foot y,Right Foot z,Right Toe x,Right Toe y,Right Toe z,Left Upper Leg x,Left Upper Leg y,Left Upper Leg z,Left Lower Leg x,Left Lower Leg y,Left Lower Leg z,Left Foot x,Left Foot y,Left Foot z,Left Toe x,Left Toe y,Left Toe z
0,0,-0.724593303343404,7.21304398672642,-4.98742979672148,-0.720955452221354,4.37072697028741,-4.95139236201029,-0.719668566598392,-2.71840849887037,-4.86231195673188,-0.720603230339292,-3.9875708633818,-4.84633231327966,-0.718946738981159,0.896781741453798,-4.90769868005955,-0.73948525792114,13.5060466594188,-5.11957707585921,-0.718946738981159,0.896781741453798,-4.90769868005955,-0.718946738981159,0.896781741453798,-4.90769868005955,-0.718946738981159,0.896781741453798,-4.90769868005955,-0.718946738981159,0.896781741453798,-4.90769868005955,-0.718946738981159,0.896781741453798,-4.90769868005955,-0.718946738981159,0.896781741453798,-4.90769868005955,-0.718946738981159,0.896781741453798,-4.90769868005955,-0.718946738981159,0.896781741453798,-4.90769868005955,-0.718946738981159,0.896781741453798,-4.90769868005955,-2.03956110840626,2.5234880739274,-1.4256220719457,-1.79609003652401,6.67719361198664,-0.29256330035795,-0.829030937497931,0.271016018909236,-2.7085935681707,-0.82782962171427,0.346915905430325,-2.70913895582732,-2.72957521231582,3.20434487290165,-3.84166479535056,-2.99535941275679,5.49501774460298,-4.32702732296799,-0.298967432812539,0.138071815923452,-5.55078303064471,0.0,0.0,-5.55042274823151
1,1,-0.762716191965621,7.24173531585755,-4.91395495421633,-0.758867894542787,4.39944270734787,-4.8760201398741,-0.757466245579722,-2.68963248223647,-4.7822578050313,-0.758441527122758,-3.9587840416739,-4.76543953003861,-0.756730491365219,0.925527055090212,-4.83002852861374,-0.77840511441298,13.534688061272,-5.05039582474029,-0.756730491365219,0.925527055090212,-4.83002852861374,-0.756730491365219,0.925527055090212,-4.83002852861374,-0.756730491365219,0.925527055090212,-4.83002852861374,-0.756730491365219,0.925527055090212,-4.83002852861374,-0.756730491365219,0.925527055090212,-4.83002852861374,-0.756730491365219,0.925527055090212,-4.83002852861374,-0.756730491365219,0.925527055090212,-4.83002852861374,-0.756730491365219,0.925527055090212,-4.83002852861374,-0.756730491365219,0.925527055090212,-4.83002852861374,-2.03825980410105,2.35882704236549,-1.31592937364714,-1.84941044113226,6.94722218895984,-0.245179196016698,-0.829800843488883,0.348138100655548,-2.71623145312346,-0.828007269408483,0.461988048579746,-2.71704855329688,-2.74370497199733,3.17705441969485,-3.85212989388381,-3.03638257044541,5.60206761255093,-4.18930320927169,-0.336744431325789,0.152213395906676,-5.5469921559428,0.0,0.0,-5.54654477527614
2,2,-0.799510460044111,7.29338528289072,-4.85252305929311,-0.795440564774131,4.45111741151487,-4.81275556797349,-0.793882584071299,-2.63789674284547,-4.71447888502117,-0.794888795788635,-3.90703737040663,-4.69685319093011,-0.793156661214383,0.977231716814517,-4.76454686585312,-0.816012837667517,13.5862871951226,-4.99311924098113,-0.793156661214383,0.977231716814517,-4.76454686585312,-0.793156661214383,0.977231716814517,-4.76454686585312,-0.793156661214383,0.977231716814517,-4.76454686585312,-0.793156661214383,0.977231716814517,-4.76454686585312,-0.793156661214383,0.977231716814517,-4.76454686585312,-0.793156661214383,0.977231716814517,-4.76454686585312,-0.793156661214383,0.977231716814517,-4.76454686585312,-0.793156661214383,0.977231716814517,-4.76454686585312,-0.793156661214383,0.977231716814517,-4.76454686585312,-2.04686929953756,2.16241678584845,-1.25741358890681,-1.90271878135198,7.25574669050257,-0.188287800398107,-0.811363569492865,0.448005341380394,-2.72311555394723,-0.80977573880048,0.54920550868241,-2.72382443109014,-2.7562478447839,3.18351632668978,-3.82845104428056,-3.08424654344305,5.69145811520258,-4.07925811188033,-0.384986821962611,0.161963172776605,-5.54466191335957,0.0,0.0,-5.54411770926822
3,3,-0.832536695929721,7.3851472450801,-4.81379392895097,-0.828232154973736,4.5429025564919,-4.77237861458011,-0.826445814445126,-2.54605451230255,-4.67005822810731,-0.827463816989181,-3.81518493266655,-4.65171160303426,-0.825773667377715,1.06904490116587,-4.7221812344678,-0.84985450784563,13.6780011989713,-4.95814175602474,-0.825773667377715,1.06904490116587,-4.7221812344678,-0.825773667377715,1.06904490116587,-4.7221812344678,-0.825773667377715,1.06904490116587,-4.7221812344678,-0.825773667377715,1.06904490116587,-4.7221812344678,-0.825773667377715,1.06904490116587,-4.7221812344678,-0.825773667377715,1.06904490116587,-4.7221812344678,-0.825773667377715,1.06904490116587,-4.7221812344678,-0.825773667377715,1.06904490116587,-4.7221812344678,-0.825773667377715,1.06904490116587,-4.7221812344678,-2.07664335696068,1.91963824037418,-1.28063038727785,-1.95275254184766,7.6148317354545,-0.101213416764614,-0.751254895156051,0.57939052897489,-2.72878636374267,-0.751254895156052,0.579390528974889,-2.72878636374267,-2.77275528571573,3.23120147528581,-3.75219943428358,-3.14349245393892,5.75784333013466,-4.0554665851773,-0.443188583092613,0.161590470104872,-5.54573199566547,0.0,0.0,-5.54510703291396
4,4,-0.866130056378105,7.52214310296572,-4.7961384742012,-0.861548463042873,4.67992294241332,-4.75304383951181,-0.859435452699877,-2.40897385973469,-4.64661884988237,-0.860448345895118,-3.67809352393364,-4.62754291666943,-0.858866173591961,1.20609491239663,-4.70082489769593,-0.884373363763985,13.8149451582094,-4.94432917133293,-0.858866173591961,1.20609491239663,-4.70082489769593,-0.858866173591961,1.20609491239663,-4.70082489769593,-0.858866173591961,1.20609491239663,-4.70082489769593,-0.858866173591961,1.20609491239663,-4.70082489769593,-0.858866173591961,1.20609491239663,-4.70082489769593,-0.858866173591961,1.20609491239663,-4.70082489769593,-0.858866173591961,1.20609491239663,-4.70082489769593,-0.858866173591961,1.20609491239663,-4.70082489769593,-0.858866173591961,1.20609491239663,-4.70082489769593,-2.13224417468626,1.66325296376859,-1.4243853982564,-2.00241167586747,8.00723111216584,0.0213833753623295,-0.652258339803908,0.72208852168525,-2.71979496892105,-0.630091570451465,0.527456052717555,-2.71857506820966,-2.79180502187399,3.34085225330406,-3.58907280944002,-3.21948413983467,5.7909724067181,-4.13462370045216,-0.509253491955865,0.155465132698383,-5.55061613323783,0.0275038819428645,0.00800374922503585,-5.54992336120424
5,5,-0.901946343149452,7.69291443044288,-4.79250682212349,-0.897041059769846,4.85072147679962,-4.7476191247932,-0.894510370682123,-2.23810858492819,-4.6368235741232,-0.89550527627146,-3.50721635387191,-4.61697290134254,-0.894086139813643,1.37692627374132,-4.69324547334857,-0.92124812464307,13.9856579243048,-4.94481543232827,-0.894086139813643,1.37692627374132,-4.69324547334857,-0.894086139813643,1.37692627374132,-4.69324547334857,-0.894086139813643,1.37692627374132,-4.69324547334857,-0.894086139813643,1.37692627374132,-4.69324547334857,-0.894086139813643,1.37692627374132,-4.69324547334857,-0.894086139813643,1.37692627374132,-4.69324547334857,-0.894086139813643,1.37692627374132,-4.69324547334857,-0.894086139813643,1.37692627374132,-4.69324547334857,-0.894086139813643,1.37692627374132,-4.69324547334857,-2.20528972586928,1.40279009186379,-1.66809908650726,-2.05343695265787,8.42494879051673,0.165699985259574,-0.529294064797134,0.870210551380351,-2.69628285716033,-0.46090533860741,0.412796821740053,-2.69389425596923,-2.80921372577005,3.50753044315423,-3.35136258177077,-3.30928428244717,5.79422565993936,-4.2776374791956,-0.583518632354539,0.147400746758594,-5.55801267444503,0.0825101122559619,0.0240165230507258,-5.55724484956007
6,6,-0.933578934636217,7.88972948685222,-4.8054088172234,-0.928341399681982,5.04756145823503,-4.75893315437362,-0.925328185432852,-2.04120763537149,-4.64428667718095,-0.926286676694775,-3.31030456420641,-4.62375636744126,-0.925089977113308,1.57379627417423,-4.7026574326155,-0.953925124010597,14.1824193431336,-4.96138305966524,-0.925089977113308,1.57379627417423,-4.7026574326155,-0.925089977113308,1.57379627417423,-4.7026574326155,-0.925089977113308,1.57379627417423,-4.7026574326155,-0.925089977113308,1.57379627417423,-4.7026574326155,-0.925089977113308,1.57379627417423,-4.7026574326155,-0.925089977113308,1.57379627417423,-4.7026574326155,-0.925089977113308,1.57379627417423,-4.7026574326155,-0.925089977113308,1.57379627417423,-4.7026574326155,-0.925089977113308,1.57379627417423,-4.7026574326155,-2.28727031973753,1.08881327987509,-1.95310779505602,-2.10054264987067,8.89391577567207,0.323778131421207,-0.378158642851004,1.05405392525176,-2.67794032539421,-0.277228525895164,0.273036713610899,-2.67507937110669,-2.82653437132625,3.70018591305083,-3.09053645081676,-3.4050315583256,5.78265488517695,-4.45941781575602,-0.669125980284681,0.130828324573596,-5.56726269654629,0.123762272464352,0.0360347447671433,-5.5664598962412
7,7,-0.954651179922368,8.10485852957021,-4.83730381906359,-0.949116233716738,5.26270754900618,-4.78976312557328,-0.945595197955265,-1.82602012310594,-4.67256612854803,-0.94649576944779,-3.09510972939413,-4.6515906025535,-0.945575896533708,1.78896280970908,-4.73222181163009,-0.975868473195899,14.3975127340722,-4.99576429910476,-0.945575896533708,1.78896280970908,-4.73222181163009,-0.945575896533708,1.78896280970908,-4.73222181163009,-0.945575896533708,1.78896280970908,-4.73222181163009,-0.945575896533708,1.78896280970908,-4.73222181163009,-0.945575896533708,1.78896280970908,-4.73222181163009,-0.945575896533708,1.78896280970908,-4.73222181163009,-0.945575896533708,1.78896280970908,-4.73222181163009,-0.945575896533708,1.78896280970908,-4.73222181163009,-0.945575896533708,1.78896280970908,-4.73222181163009,-2.36974473369465,0.672093261101301,-2.22068787307698,-2.13838874058989,9.44002031005844,0.487721401334881,-0.194755537431789,1.30401608237569,-2.68423503515965,-0.112478175450223,0.14594164892485,-2.68212511988226,-2.84585429852334,3.88775222019296,-2.85808561473377,-3.49892250004187,5.77142136315,-4.65492367817615,-0.769215094788257,0.0991787718266712,-5.57768218644136,0.110007964461365,0.0320409862764166,-5.57698572132887
8,8,-0.958807445638558,8.33058516846072,-4.89059261020768,-0.9530594267376,5.48843753109857,-4.84282725368573,-0.94905993340098,-1.60028256873671,-4.72515726160012,-0.949880756734768,-2.86937092016969,-4.70410920732605,-0.949276600994789,2.0146966285926,-4.78503934136392,-0.980549158921078,14.6232353444926,-5.04963138153296,-0.949276600994789,2.0146966285926,-4.78503934136392,-0.949276600994789,2.0146966285926,-4.78503934136392,-0.949276600994789,2.0146966285926,-4.78503934136392,-0.949276600994789,2.0146966285926,-4.78503934136392,-0.949276600994789,2.0146966285926,-4.78503934136392,-0.949276600994789,2.0146966285926,-4.78503934136392,-0.949276600994789,2.0146966285926,-4.78503934136392,-0.949276600994789,2.0146966285926,-4.78503934136392,-0.949276600994789,2.0146966285926,-4.78503934136392,-2.44469232089911,0.103642974160996,-2.41209629991777,-2.16159383975928,10.0891075728746,0.649740064787931,0.0247847524970532,1.65065025931717,-2.73431783124657,0.0,0.0693683044693993,-2.73467487140682,-2.86983534222857,4.03914399811418,-2.70553247282884,-3.58326345184877,5.77581748030897,-4.83917617789155,-0.886922982400095,0.0458833013627195,-5.58855141548913,0.0,0.0,-5.58819627790619
9,9,-0.945850020460599,8.57447718606706,-4.98103135273453,-0.939978094629034,5.73231885026407,-4.93389173675648,-0.935539390158685,-1.35642830863009,-4.81784944146976,-0.936260123568573,-2.62552160562627,-4.79710545333929,-0.936004404284357,2.25856478399527,-4.87688787669532,-0.967756511095646,14.8671559208064,-5.13871766766389,-0.936004404284357,2.25856478399527,-4.87688787669532,-0.936004404284357,2.25856478399527,-4.87688787669532,-0.936004404284357,2.25856478399527,-4.87688787669532,-0.936004404284357,2.25856478399527,-4.87688787669532,-0.936004404284357,2.25856478399527,-4.87688787669532,-0.936004404284357,2.25856478399527,-4.87688787669532,-0.936004404284357,2.25856478399527,-4.87688787669532,-0.936004404284357,2.25856478399527,-4.87688787669532,-0.936004404284357,2.25856478399527,-4.87688787669532,-2.5189612231278,-0.649556539057063,-2.53965211902165,-2.16218958630588,10.8983838729309,0.837182976541078,0.30756073787582,2.14020683549399,-2.80866035133066,0.0460643781661339,-0.0143192385793759,-2.81443720363071,-2.89837518164264,4.15243012421733,-2.62516577067184,-3.66029422814316,5.79403358356265,-5.00914291174802,-1.01964517071461,-0.0231378071302277,-5.59991383154926,-0.239135730572421,-0.0545739642006105,-5.60000566799725
