,Frame,Pelvis x,Pelvis y,Pelvis z,L5 x,L5 y,L5 z,L3 x,L3 y,L3 z,T12 x,T12 y,T12 z,T8 x,T8 y,T8 z,Neck x,Neck y,Neck z,Head x,Head y,Head z,Right Shoulder x,Right Shoulder y,Right Shoulder z,Right Upper Arm x,Right Upper Arm y,Right Upper Arm z,Right Forearm x,Right Forearm y,Right Forearm z,Right Hand x,Right Hand y,Right Hand z,Left Shoulder x,Left Shoulder y,Left Shoulder z,Left Upper Arm x,Left Upper Arm y,Left Upper Arm z,Left Forearm x,Left Forearm y,Left Forearm z,Left Hand x,Left Hand y,Left Hand z,Right Upper Leg x,Right Upper Leg y,Right Upper Leg z,Right Lower Leg x,Right Lower Leg y,Right Lower Leg z,Right Foot x,Right Foot y,Right Foot z,Right Toe x,Right Toe y,Right Toe z,Left Upper Leg x,Left Upper Leg y,Left Upper Leg z,Left Lower Leg x,Left Lower Leg y,Left Lower Leg z,Left Foot x,Left Foot y,Left Foot z,Left Toe x,Left Toe y,Left Toe z
0,0,0.485056250421083,-0.134879494725959,0.0610548856395603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.73713903823504,0.348671166741206,0.227296441985629,0.737619916497307,0.0682614977177001,-0.214361385543018,-0.0119286053120408,0.15813841311996,-0.0284753508273745,0,0,0,-1.09072890839283,0.950895145835482,0.615451796160629,-0.727370998857791,1.67013569348981,0.611918503687875,0.0371009549997068,0.667215279129853,-0.0192258438454225,0,0,0
1,1,0.463027482217475,-0.203150513576915,0.156204328371706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.504966842276167,0.292077661035337,0.1338051986182,1.19192815666537,-0.194608743601885,-0.423504505685084,-0.0457046022418781,-0.0725752940006571,0.117789384101554,0,0,0,-1.56796014949954,0.852506272239489,0.578002449221241,-0.872375248485104,1.13333216712992,0.402393575526766,-0.334966345310048,0.00457108243996566,0.120213859659362,0,0,0
2,2,0.327548933378868,-0.242636541704075,0.282434360594436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.544086886049656,0.240403076871147,0.00350219625080683,2.07420540690234,-0.281088111033865,-0.532214088477339,0.050545372367696,-0.242375903388487,0.248625666278006,0,0,0,-1.7582435426418,0.638757411999947,0.348669999776204,-0.91014297858401,0.861816381939645,0.0262832545361498,-0.284656024218704,0.21105608147792,0.00769944284718527,0,0,0
3,3,0.159126551080233,-0.127558676977131,0.448881354007042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.916178331956911,0.166337711704445,0.0572660854964351,3.15108287074084,-0.226038574270062,-0.747054010270768,0.00551862216465974,-0.292859153951894,0.105156248535343,0,0,0,-1.62237165796853,0.32466634889349,-0.015535166234331,-0.949852516892268,-0.0229323456742047,-0.248851275175296,-0.077315847321179,0.163269853075142,0.013156809759165,0,0,0
4,4,0.120690574154393,-0.0208616093914288,0.589368579706123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41301171958438,0.102105712845104,-0.0299390468357412,4.02670882575771,0.0577181673499046,-0.894857489196113,0.096235731189187,-0.326251397197679,0.0951892942995052,0,0,0,-1.24952285371865,0.0726220975046991,-0.127837774933921,-1.07101553310268,-0.696032989676433,-0.200519345633571,-0.0940318101682254,0.146298443091073,0.0358976787378325,0,0,0
5,5,-0.00161170679995874,0.0630065270492879,0.668486250159885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.93665296258227,0.00599394254191046,-0.217818135118225,4.59836918521973,0.390284933263854,-0.955825818480809,0.292384083921509,-0.220271584924006,0.255035573953506,0,0,0,-0.787424443811042,-0.120053315464004,-0.146813643277625,-0.959499171297019,-0.682858633365212,0.114315134754383,-0.0859677709035173,0.0201240461809412,0.12829907989628,0,0,0
6,6,0.000555613821984398,0.0701391226861284,0.77152852982614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63847173643193,0.0359998240680399,-0.326323318836675,5.21393369482115,0.537582681722979,-1.00211466795077,0.533128180232699,-0.376315259812534,0.518097506098997,0,0,0,-0.410581461430881,-0.0636581019747024,-0.215123200504006,-0.775134218256742,-0.372915174055245,0.251490695698509,-0.236377437143586,0.469253655696986,0.2159602331499,0,0,0
7,7,-0.0443801364874535,0.0542409420574581,0.722964676574046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.29487393988398,0.0721569974093622,-0.160413207555552,5.64854086719441,0.529327890795301,-1.0042912368419,0.395722006839444,-0.58763294444991,0.718941030445865,0,0,0,-0.115946096595344,-0.22880336468021,-0.225193587024172,-0.309129358362061,-0.169527599808664,-0.00542219105186525,-0.465400044589617,0.156956063889003,0.172541906043586,0,0,0
8,8,-0.131321975222709,0.137900793699645,0.712084054522863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.94303496544762,0.215019343697669,-0.049032212527889,5.70781059884765,0.520920537316788,-0.949651804375799,0.455487992091406,-0.541514943281338,0.528152285968227,0,0,0,0.401860333266398,-0.582691321846936,-0.38268234881526,0.0310978502360199,-0.0421192493323007,-0.213159390031823,-0.461229010876616,-0.0178906165362236,0.068296085899048,0,0,0
9,9,-0.168903153242828,0.229109142118123,0.669028438789987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.52787618800243,0.439850362826835,0.149366874859901,5.56606021045304,-0.188445406369441,-0.449070252650667,1.16778029771766,-0.324008487518525,0.731555452729415,0,0,0,1.0670750494595,-0.750487322663024,-0.315446006361112,0.21891096291357,0.0901292372175466,-0.0648068140240934,-0.309787242076899,0.227913465775993,0.202497278193675,0,0,0
