,Frame,Pelvis x,Pelvis y,Pelvis z,L5 x,L5 y,L5 z,L3 x,L3 y,L3 z,T12 x,T12 y,T12 z,T8 x,T8 y,T8 z,Neck x,Neck y,Neck z,Head x,Head y,Head z,Right Shoulder x,Right Shoulder y,Right Shoulder z,Right Upper Arm x,Right Upper Arm y,Right Upper Arm z,Right Forearm x,Right Forearm y,Right Forearm z,Right Hand x,Right Hand y,Right Hand z,Left Shoulder x,Left Shoulder y,Left Shoulder z,Left Upper Arm x,Left Upper Arm y,Left Upper Arm z,Left Forearm x,Left Forearm y,Left Forearm z,Left Hand x,Left Hand y,Left Hand z,Right Upper Leg x,Right Upper Leg y,Right Upper Leg z,Right Lower Leg x,Right Lower Leg y,Right Lower Leg z,Right Foot x,Right Foot y,Right Foot z,Right Toe x,Right Toe y,Right Toe z,Left Upper Leg x,Left Upper Leg y,Left Upper Leg z,Left Lower Leg x,Left Lower Leg y,Left Lower Leg z,Left Foot x,Left Foot y,Left Foot z,Left Toe x,Left Toe y,Left Toe z
0,0,32.8694773251171,68.8882623110804,-147.537145076289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-179.188193860226,-75.2923470317493,-98.0221454853851,119.126008297304,-70.8109977634984,51.871102773886,-17.7543977792739,-28.2099421555125,176.646401928729,0,0,0,-167.886973397194,-77.4330239692115,75.8329843127424,167.695858666962,82.8833085919346,149.491432576561,9.90793076909829,-31.0285656517282,-168.915189208198,0,0,0
1,1,32.9065217987223,68.8496612325261,-147.42860289822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-178.468918557311,-75.2855034816169,-98.6222013572309,119.697268319562,-70.6079428834074,51.4194779298832,-17.7634808018417,-28.2597784033545,176.639081514419,0,0,0,-168.056240260543,-77.4214365554372,75.9940247675239,168.274757202438,82.8152175656411,150.182141989381,9.9555695350808,-31.049915231781,-168.940821109651,0,0,0
2,2,32.8999964216794,68.8002554071987,-147.368170809321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-177.818430715033,-75.2838985398772,-99.2176878945731,120.225782306497,-70.3885633976328,50.9781808821524,-17.7943941354119,-28.3222883400239,176.642795201978,0,0,0,-167.893717593495,-77.4108474671042,75.9217455821168,168.766095293813,82.7659481715959,150.789502535948,10.0186182523119,-31.0600408423176,-168.963194939335,0,0,0
3,3,32.8224581914097,68.7238965090826,-147.38383271311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-177.180243893446,-75.2964548899976,-99.8841823785918,120.781237337522,-70.1358426989979,50.4932637071562,-17.8527896480452,-28.4112288957684,176.660976625267,0,0,0,-167.407768648083,-77.4053663603288,75.6178757829007,169.185238823799,82.7329035909827,151.299858526043,10.0965824292947,-31.0599627568579,-169.003160110369,0,0,0
4,4,32.6758314157251,68.6126840638163,-147.48012978714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-176.416316221962,-75.3393328261,-100.759810998583,121.386491795543,-69.8476785168716,49.9770807446697,-17.9410231431363,-28.518863714076,176.694213438022,0,0,0,-166.684769061721,-77.3921241609977,75.1397880686417,169.632729799581,82.7212211597918,151.746589518068,10.1781085673039,-31.0676012950539,-169.055254472022,0,0,0
5,5,32.4667636820106,68.4678327310527,-147.655245305726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-175.37734013231,-75.4098477763034,-101.981530999417,122.080538730747,-69.5168218270784,49.4288298648277,-18.0559156441885,-28.653497126646,176.735589649297,0,0,0,-165.839119946402,-77.3722194781838,74.5673870815121,170.085041228804,82.7240496945328,152.058737420603,10.2594372347866,-31.0709675312488,-169.11355188829,0,0,0
6,6,32.206003851479,68.2893658449101,-147.907376589628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-173.946450061914,-75.4926247389391,-103.637926409155,122.901644891144,-69.1436794138733,48.8361062266399,-18.2083422201563,-28.8392910270195,176.79240991818,0,0,0,-164.954934129327,-77.3347119804578,73.9522217585306,170.564825194279,82.7409179929831,152.297456000872,10.3469421259868,-31.0844654203685,-169.165045213501,0,0,0
7,7,31.8822372346244,68.0837083719854,-148.251919363748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-172.007454333882,-75.5683770101648,-105.821470224231,123.899039964149,-68.7246513789156,48.1665681393984,-18.4203505895321,-29.0890855166812,176.869659090723,0,0,0,-164.109135565183,-77.3043671864728,73.3498426658786,171.023242131681,82.7579877823759,152.508994086912,10.4599348543656,-31.0925693993256,-169.234193857484,0,0,0
8,8,31.5006718200756,67.859275366909,-148.682546483908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-169.491677292537,-75.6070898292818,-108.574665428128,125.149100845206,-68.2397348467523,47.3240634149377,-18.6850257755881,-29.3822425208718,176.970745471616,0,0,0,-163.344575015201,-77.3002636445094,72.810349026513,171.495822864262,82.7666543235954,152.765045700706,10.5840857520897,-31.0808048671049,-169.312291127761,0,0,0
9,9,31.056296866319,67.619846541843,-149.203003274736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-166.390775251815,-75.5713470778177,-111.876398287352,126.646258464853,-67.6782364502692,46.2910568547083,-18.9898823232629,-29.7338333130326,177.073280060512,0,0,0,-162.711828124745,-77.2970189766225,72.396405639636,171.945998712591,82.7733941695013,153.015276412942,10.7158829470825,-31.0586925861333,-169.397594639034,0,0,0
