,Frame,Pelvis q0,Pelvis q1,Pelvis q2,Pelvis q3,L5 q0,L5 q1,L5 q2,L5 q3,L3 q0,L3 q1,L3 q2,L3 q3,T12 q0,T12 q1,T12 q2,T12 q3,T8 q0,T8 q1,T8 q2,T8 q3,Neck q0,Neck q1,Neck q2,Neck q3,Head q0,Head q1,Head q2,Head q3,Right Shoulder q0,Right Shoulder q1,Right Shoulder q2,Right Shoulder q3,Right Upper Arm q0,Right Upper Arm q1,Right Upper Arm q2,Right Upper Arm q3,Right Forearm q0,Right Forearm q1,Right Forearm q2,Right Forearm q3,Right Hand q0,Right Hand q1,Right Hand q2,Right Hand q3,Left Shoulder q0,Left Shoulder q1,Left Shoulder q2,Left Shoulder q3,Left Upper Arm q0,Left Upper Arm q1,Left Upper Arm q2,Left Upper Arm q3,Left Forearm q0,Left Forearm q1,Left Forearm q2,Left Forearm q3,Left Hand q0,Left Hand q1,Left Hand q2,Left Hand q3,Right Upper Leg q0,Right Upper Leg q1,Right Upper Leg q2,Right Upper Leg q3,Right Lower Leg q0,Right Lower Leg q1,Right Lower Leg q2,Right Lower Leg q3,Right Foot q0,Right Foot q1,Right Foot q2,Right Foot q3,Right Toe q0,Right Toe q1,Right Toe q2,Right Toe q3,Left Upper Leg q0,Left Upper Leg q1,Left Upper Leg q2,Left Upper Leg q3,Left Lower Leg q0,Left Lower Leg q1,Left Lower Leg q2,Left Lower Leg q3,Left Foot q0,Left Foot q1,Left Foot q2,Left Foot q3,Left Toe q0,Left Toe q1,Left Toe q2,Left Toe q3
0,0,0.0674505302785665,0.586087038782904,-0.0723838604377264,-0.804184671380871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45735075977261,0.522603641318715,-0.594824564146676,0.404844975890222,0.152854280124077,0.760332897490416,0.0434133918568038,0.629797373326586,0.0656302040046599,0.236297457685511,-0.156646174387185,0.956722615946509,0,0,0,0,0.447157893413336,-0.571555925595923,-0.528859169785974,-0.440092741143985,0.655997585634358,0.127663662816192,0.737715660504695,-0.0956282441769631,0.115705902585542,-0.257197083493326,-0.10855708292417,-0.953245594847617,0,0,0,0
1,1,0.0681495009532378,0.585936725135445,-0.0722151353275376,-0.804250442267209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.45615852476178,0.522378747349997,-0.59504322144463,0.406156877594116,0.152548239412344,0.76174694507063,0.0445912419244333,0.628078217638054,0.0657720684995541,0.236699254493563,-0.156732951902466,0.956599330814851,0,0,0,0,0.446889155233151,-0.571527555242492,-0.529044408922601,-0.440179906312496,0.655513266221737,0.126674594242644,0.738365437271695,-0.095249073608883,0.115610319637075,-0.257351748230258,-0.108908768797538,-0.953175331067295,0,0,0,0
2,2,0.0687693151971813,0.585662811695013,-0.0720223807581661,-0.804414463417168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.455299342439964,0.521877872010254,-0.595454706721181,0.407160518374976,0.152530462951203,0.763149094006269,0.045666471591099,0.626300639918022,0.0658828372555805,0.237209566642445,-0.156978036092103,0.956425098705134,0,0,0,0,0.44738272492729,-0.571277129359594,-0.529337327812613,-0.439651148402341,0.655172909043996,0.125672883583353,0.738892014547554,-0.0948334140718849,0.11557093500082,-0.257394079744493,-0.109389055945636,-0.953113676921512,0,0,0,0
3,3,0.0693061178085395,0.585129908808477,-0.071808266373136,-0.80477526349446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.454833023428408,0.520905080840558,-0.596165359718702,0.407886848801155,0.152713490097357,0.764696615414736,0.0467454717916914,0.624285621476664,0.0659632104950918,0.237944866285727,-0.157419935408582,0.95616424290255,0,0,0,0,0.448619690912161,-0.57080738283218,-0.529700270011052,-0.438562342866295,0.654932493850764,0.124844768389995,0.739282033392353,-0.0945478048784585,0.115413599526643,-0.257353098375573,-0.109947701338994,-0.953079528041112,0,0,0,0
4,4,0.0697418731746699,0.584285887732054,-0.0716332162245717,-0.805366224059948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.454716818435717,0.519237211341139,-0.59723713753457,0.408574515773915,0.152880546830962,0.766424152355011,0.0480387278485844,0.622023984838414,0.0660044310816769,0.238839856419,-0.158077058740361,0.955829786919895,0,0,0,0,0.450344510683858,-0.570245307776503,-0.530117988962091,-0.437018338785212,0.654742427037108,0.124542900263699,0.739461611780646,-0.0948574980390749,0.115167384734031,-0.257385017957264,-0.110513297113092,-0.953035275939908,0,0,0,0
5,5,0.0700475613714209,0.583141914548386,-0.0715268113819744,-0.806177872368306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.454765943244708,0.516759962230703,-0.598749484998075,0.409446128953021,0.152801019451226,0.768406447416884,0.0497791356254382,0.619455743115853,0.0660692131630801,0.239956232523907,-0.158935624123671,0.95540323054162,0,0,0,0,0.452300556095643,-0.569659238572232,-0.530542139188645,-0.435244296240645,0.654527221076266,0.125107090704109,0.739409601669592,-0.0959988212664627,0.114866981603058,-0.257387878292819,-0.111060722329475,-0.953007120960268,0,0,0,0
6,6,0.0701758412299984,0.581703848439785,-0.0715500691052652,-0.807202930884817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.454719881214664,0.5135145156822,-0.600713507629923,0.410701781786679,0.152269858317312,0.770703997509906,0.0520737209599077,0.616536751585553,0.0661519951340917,0.241499542484605,-0.160067120787104,0.954819564819675,0,0,0,0,0.454230486262223,-0.569192397317013,-0.530932923931327,-0.433364639157636,0.654307673352275,0.126274623897846,0.739173953164995,-0.0977653052684,0.114642495637398,-0.257463083152575,-0.111680634622867,-0.952941391092775,0,0,0,0
7,7,0.0700483765486363,0.579993340366796,-0.0716738595482029,-0.808432933477188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.454335965202209,0.509513941483123,-0.603156114605096,0.412525242345962,0.151127218941421,0.773411421028607,0.0549659123773251,0.613167257764202,0.0662781940697912,0.243570781181874,-0.161640309234413,0.954019332076611,0,0,0,0,0.456051545776651,-0.568772618656475,-0.531210258520217,-0.431660001742422,0.654088520715947,0.127495291600186,0.738920342099819,-0.0995484089199565,0.11432573039982,-0.257485540319319,-0.112469556286979,-0.952880592101459,0,0,0,0
8,8,0.0696486853562582,0.578068770997339,-0.0718677686797294,-0.809827500428806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.453366555455793,0.504845513330337,-0.606078846593193,0.415040005031614,0.149431654859932,0.776735434049763,0.0582757770719601,0.609061720865799,0.0663841988721938,0.246006034264357,-0.163588398217708,0.953054565706595,0,0,0,0,0.457801830541717,-0.568245545018709,-0.531419055832883,-0.430242108139976,0.65383890472137,0.128525373315429,0.738745116821332,-0.101151210865337,0.113948739417508,-0.257340524266229,-0.113319789496213,-0.952864190041832,0,0,0,0
9,9,0.0689554522633691,0.575947481884557,-0.0720947231518976,-0.811376604671125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.451567974832962,0.499664400519239,-0.609446131238958,0.418326743200664,0.147306119546152,0.780719872895506,0.0618457132904153,0.604112981947814,0.0666555352956819,0.248905503840543,-0.165848925867327,0.951891392733954,0,0,0,0,0.459375223224538,-0.567649617863628,-0.531747268373295,-0.428944236707083,0.653596772501891,0.12946832397187,0.738589551232881,-0.102638622714054,0.113522852283507,-0.257109639149448,-0.114211850048469,-0.952870845799347,0,0,0,0
