,Frame,T8_Head Lateral Bending,T8_Head Axial Bending,T8_Head Flexion/Extension,T8_LeftUpperArm Lateral Bending,T8_LeftUpperArm Axial Bending,T8_LeftUpperArm Flexion/Extension,T8_RightUpperArm Lateral Bending,T8_RightUpperArm Axial Bending,T8_RightUpperArm Flexion/Extension,Pelvis_T8 Lateral Bending,Pelvis_T8 Axial Bending,Pelvis_T8 Flexion/Extension,Vertical_Pelvis Lateral Bending,Vertical_Pelvis Axial Bending,Vertical_Pelvis Flexion/Extension,Vertical_T8 Lateral Bending,Vertical_T8 Axial Bending,Vertical_T8 Flexion/Extension
0,0,0,0,0,90.0,-90.0,-90.0,90.0,0.0,0.0,0,0,-6.31676242321572,0.336842074561686,0,1.00058584930538,0.334797018679118,-0.0370615044439674,-5.31628485515758
1,1,0,0,0,90.0,0.0,0.0,90.0,-5.05115252801793,-5.05115252801793,0,0,-6.31676242321572,0.334837553543494,0,1.00417145785456,0.332804667904999,-0.0368409493344348,-5.31269796167841
2,2,0,0,0,90.0,5.05115252801793,5.05115252801793,90.0,-7.55237227989766,-7.55237227989767,0,0,-6.31676242321572,0.332564583194377,0,1.00713015966119,0.330545497656637,-0.0365908571659076,-5.30973781214075
3,3,0,0,0,90.0,-174.948847471982,-174.948847471982,90.0,0.0,0.0,0,0,-6.31676242321572,0.330426800983879,0,1.01040294631319,0.328420694760549,-0.0363556396880272,-5.30646367286285
4,4,0,0,0,90.0,2.53049303995912,2.53049303995912,90.0,-90.0,-90.0,0,0,-6.31676242321572,0.328828207858221,0,1.01493064660264,0.326831807317235,-0.0361797485698585,-5.30193496680589
5,5,0,0,0,90.0,5.05115252801793,5.05115252801793,90.0,2.53049303995912,2.53049303995912,0,0,-6.31676242321572,0.328173161761219,0,1.02165392958461,0.326180738259664,-0.0361076747176167,-5.2952112731054
6,6,0,0,0,90.0,0.0,0.0,90.0,3.79266029964088,3.79266029964088,0,0,-6.31676242321572,0.328817815188623,0,1.03121964628781,0.326821477745589,-0.0361786050781516,-5.28564596059805
7,7,0,0,0,90.0,0.0,0.0,90.0,-90.0,-90.0,0,0,-6.31676242321572,0.330493504095067,0,1.0430002576588,0.328486992891052,-0.0363629789456278,-5.27386640359004
8,8,0,0,0,90.0,-90.0,-90.0,90.0,0.0,0.0,0,0,-6.31676242321572,0.332667348060337,0,1.05602488538735,0.33064763859664,-0.0366021642569108,-5.26084315165613
9,9,0,0,0,90.0,-174.948847471982,-174.948847471982,90.0,90.0,90.0,0,0,-6.31676242321572,0.334806110960126,0,1.06932285088373,0.33277341622201,-0.0368374897443716,-5.24754654855514
10,10,0,0,0,89.9999982924527,-4.04469123538627,-4.04469123538627,89.9999985212207,-1.26586381389443,-1.26586381389443,0,0,-6.31676242321572,0.336376207189699,0,1.08192367207031,0.33433397977362,-0.0370102455924466,-5.23494673308009
11,11,0,0,0,90.0,177.469506960041,177.469506960041,90.0,-1.26586381389443,-1.26586381389443,0,0,-6.31676242321572,0.337486819965452,0,1.09385318243351,0.335437849576117,-0.0371324450477282,-5.22301793695176
12,12,0,0,0,89.9999985212207,180.0,-180.0,89.9999987925817,-0.843985497738321,-0.843985497738322,0,0,-6.31676242321572,0.338493625678084,0,1.10575844227592,0.336438542568305,-0.0372432227542343,-5.21111332662054
13,13,0,0,0,90.0,0.0,0.0,90.0,-2.53049303995912,-2.53049303995912,0,0,-6.31676242321572,0.339232537871894,0,1.11760099980817,0.337172968529635,-0.0373245244509417,-5.19927124700694
14,14,0,0,0,90.0,0.0,0.0,90.0,-0.633009153427971,-0.633009153427971,0,0,-6.31676242321572,0.339539497448922,0,1.12934246130074,0.33747806443168,-0.0373582988794948,-5.18752998435817
15,15,0,0,0,90.0,-2.53049303995912,-2.53049303995912,90.0,90.0,90.0,0,0,-6.31676242321572,0.339250471706405,0,1.14094449527365,0.337190793480641,-0.0373264976911989,-5.17592776315378
