,Frame,L5S1 Lateral Bending,L5S1 Axial Bending,L5S1 Flexion/Extension,L4L3 Lateral Bending,L4L3 Axial Rotation,L4L3 Flexion/Extension,L1T12 Lateral Bending,L1T12 Axial Rotation,L1T12 Flexion/Extension,T9T8 Lateral Bending,T9T8 Axial Rotation,T9T8 Flexion/Extension,T1C7 Lateral Bending,T1C7 Axial Rotation,T1C7 Flexion/Extension,C1 Head Lateral Bending,C1 Head Axial Rotation,C1 Head Flexion/Extension,Right T4 Shoulder Abduction/Adduction,Right T4 Shoulder Internal/External Rotation,Right T4 Shoulder Flexion/Extension,Right Shoulder Abduction/Adduction,Right Shoulder Internal/External Rotation,Right Shoulder Flexion/Extension,Right Elbow Ulnar Deviation/Radial Deviation,Right Elbow Pronation/Supination,Right Elbow Flexion/Extension,Right Wrist Ulnar Deviation/Radial Deviation,Right Wrist Pronation/Supination,Right Wrist Flexion/Extension,Left T4 Shoulder Abduction/Adduction,Left T4 Shoulder Internal/External Rotation,Left T4 Shoulder Flexion/Extension,Left Shoulder Abduction/Adduction,Left Shoulder Internal/External Rotation,Left Shoulder Flexion/Extension,Left Elbow Ulnar Deviation/Radial Deviation,Left Elbow Pronation/Supination,Left Elbow Flexion/Extension,Left Wrist Ulnar Deviation/Radial Deviation,Left Wrist Pronation/Supination,Left Wrist Flexion/Extension,Right Hip Abduction/Adduction,Right Hip Internal/External Rotation,Right Hip Flexion/Extension,Right Knee Abduction/Adduction,Right Knee Internal/External Rotation,Right Knee Flexion/Extension,Right Ankle Abduction/Adduction,Right Ankle Internal/External Rotation,Right Ankle Dorsiflexion/Plantarflexion,Right Ball Foot Abduction/Adduction,Right Ball Foot Internal/External Rotation,Right Ball Foot Flexion/Extension,Left Hip Abduction/Adduction,Left Hip Internal/External Rotation,Left Hip Flexion/Extension,Left Knee Abduction/Adduction,Left Knee Internal/External Rotation,Left Knee Flexion/Extension,Left Ankle Abduction/Adduction,Left Ankle Internal/External Rotation,Left Ankle Dorsiflexion/Plantarflexion,Left Ball Foot Abduction/Adduction,Left Ball Foot Internal/External Rotation,Left Ball Foot Flexion/Extension
0,0,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,-0.19311627870505,0.0515700382428271,12.6067711865249,0.186353489981262,-0.009653286833597,-12.6068713202034,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-0.870601906998104,5.62942118487511,-1.70385858163691,0.097189023984454,0.527459478584968,1.89121917835999,4.4118192966223,-3.2102889637373,4.55868432340364,0.0,0.0,0.0,-0.691541821178734,-1.05223236667149,-2.20894755645866,-0.259657080495731,0.452929187382246,-1.92259889641765,-0.34605821188142,4.70301069252123,2.35229104171123,0.0,0.0,0.0
1,1,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,-0.189437184026423,0.0509235192269808,12.6068077690151,0.182728091579041,-0.00981351770635012,-12.6069051951514,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-0.898956646941116,5.60897898030541,-1.70911710533016,0.148990468065085,0.549265713108549,1.90540247396811,4.37266828432591,-3.22468321151916,4.621847726901,0.0,0.0,0.0,-0.676538738403005,-1.0407139321074,-2.21381592775647,-0.281382322870428,0.45634462806137,-1.92971972640506,-0.334031202273551,4.70023074363977,2.33008797758189,0.0,0.0,0.0
2,2,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,-0.185670516654472,0.050262130462838,12.6068444932879,0.179016282435964,-0.00997810147684698,-12.6069391807903,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-0.928332946323989,5.58843799580644,-1.71448817929741,0.202202366057504,0.571269183239777,1.92091371774127,4.33261595381661,-3.23935069376014,4.68651559504742,0.0,0.0,0.0,-0.660873383899976,-1.02783069870536,-2.21928408160536,-0.303818336514262,0.458081685025178,-1.93682811946872,-0.321702778277329,4.69784259998743,2.30757711157875,0.0,0.0,0.0
3,3,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,-0.181947637642191,0.0496084908801008,12.6068800284026,0.175347610372305,-0.0101408406715176,-12.6069720407752,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-0.957204788393525,5.56794523343291,-1.71978046114642,0.254724476895861,0.59317578152326,1.93573482528747,4.29305089564359,-3.25383743184256,4.75045183027365,0.0,0.0,0.0,-0.645534943348514,-1.01562929075187,-2.22444379804067,-0.325899044839363,0.460664391021488,-1.94394230850056,-0.309528228765179,4.69525993736303,2.2852191297424,0.0,0.0,0.0
4,4,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,-0.17839991326803,0.0489853233661583,12.6069131026406,0.171851605327104,-0.0102956423600616,-12.6070025940181,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-0.984046523706333,5.54764880496926,-1.72480421213516,0.304454723299428,0.614687949399563,1.94784947718235,4.25535905544037,-3.26769380404222,4.81141880459912,0.0,0.0,0.0,-0.631513588227142,-1.00615724909698,-2.22838840414954,-0.346558755921408,0.466616382697092,-1.95107825339962,-0.297963675537057,4.69189648366265,2.26347446078709,0.0,0.0,0.0
5,5,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,-0.175158714187928,0.0484154370895933,12.6069425025214,0.168657782439225,-0.0104365003159408,-12.6070297139367,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-1.00733286408432,5.52769768991694,-1.72937125720219,0.349289272388792,0.635505252278811,1.95524306464796,4.22092389833474,-3.28047419653028,4.86717745353727,0.0,0.0,0.0,-0.619800470412329,-1.00146281806482,-2.23021259459871,-0.364732160731509,0.478460892907982,-1.95825015007736,-0.287465997956973,4.68716601199372,2.2428033076712,0.0,0.0,0.0
6,6,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,-0.172295600626743,0.0479088107450207,12.6069678117065,0.165837238218801,-0.0105576350631451,-12.6070530196083,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-1.02656906699815,5.50809678306732,-1.73343494245773,0.388884817581511,0.656438274891446,1.9566324135091,4.19080706447645,-3.29292218130219,4.91673446537267,0.0,0.0,0.0,-0.610912683319026,-1.00412387759237,-2.22934828667053,-0.380159489941035,0.499400439132592,-1.96558289390343,-0.278108881457926,4.680317326657,2.22316301616958,0.0,0.0,0.0
7,7,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,-0.169723000225329,0.0474504049988466,12.6069899804016,0.163303600248122,-0.0106632180320207,-12.6070733951175,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-1.04277299777344,5.48874825497974,-1.73712411829959,0.42463998630903,0.677681455505068,1.95336385312602,4.16408262414362,-3.3053446842868,4.96157988557771,0.0,0.0,0.0,-0.604192258507578,-1.01277607363918,-2.2264021562809,-0.393552240475068,0.527751973744136,-1.97306330662575,-0.269589891038845,4.67174141756794,2.20424616021711,0.0,0.0,0.0
8,8,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,-0.16733358534126,0.0470254884179032,12.6070098534026,0.160950183894126,-0.0107621552604906,-12.6070916189166,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-1.05668812000978,5.46964684341781,-1.74051460792049,0.45706330807579,0.698010858573992,1.9473685343474,4.13914898868931,-3.31663996421951,5.00319848888063,0.0,0.0,0.0,-0.598867339519317,-1.02355414790832,-2.22223060254455,-0.405301555198555,0.55871011549567,-1.98050009934185,-0.261801012114867,4.66256521133549,2.1861160221914,0.0,0.0,0.0
9,9,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,-0.165020027722567,0.0466192797058434,12.6070282313766,0.158670315041659,-0.0108633022852861,-12.6071084272017,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-1.06905733867513,5.4507868632729,-1.74368174818356,0.486664331168739,0.716204863673847,1.94057784351675,4.11440228243413,-3.32570205597302,5.04307485595384,0.0,0.0,0.0,-0.594164520468138,-1.03259255651473,-2.21768869508373,-0.415797533438833,0.587469566237012,-1.98770414621839,-0.254632750901779,4.65391544978702,2.16883633421111,0.0,0.0,0.0
