,Frame,Pelvis x,Pelvis y,Pelvis z,L5 x,L5 y,L5 z,L3 x,L3 y,L3 z,T12 x,T12 y,T12 z,T8 x,T8 y,T8 z,Neck x,Neck y,Neck z,Head x,Head y,Head z,Right Shoulder x,Right Shoulder y,Right Shoulder z,Right Upper Arm x,Right Upper Arm y,Right Upper Arm z,Right Forearm x,Right Forearm y,Right Forearm z,Right Hand x,Right Hand y,Right Hand z,Left Shoulder x,Left Shoulder y,Left Shoulder z,Left Upper Arm x,Left Upper Arm y,Left Upper Arm z,Left Forearm x,Left Forearm y,Left Forearm z,Left Hand x,Left Hand y,Left Hand z,Right Upper Leg x,Right Upper Leg y,Right Upper Leg z,Right Lower Leg x,Right Lower Leg y,Right Lower Leg z,Right Foot x,Right Foot y,Right Foot z,Right Toe x,Right Toe y,Right Toe z,Left Upper Leg x,Left Upper Leg y,Left Upper Leg z,Left Lower Leg x,Left Lower Leg y,Left Lower Leg z,Left Foot x,Left Foot y,Left Foot z,Left Toe x,Left Toe y,Left Toe z
0,0,0.0125925355693836,0.00637834873620374,0.00481076149614879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113107902718071,0.00412919185773242,0.0822909109391485,0.0479777245651423,-0.0146053506250493,0.0385402176163669,0.0087026092041995,-0.0301516189360246,0.0737679282247257,0,0,0,0.0793482589442238,-0.0214485055386446,0.0616850906118955,0.0100372479836956,-0.0512306205963935,0.0943741785184589,-0.0145648653350499,0.0244587067208903,0.00596010244127676,0,0,0
1,1,0.0131542888259488,0.00633371661560248,0.0780330124149771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0725738458496515,-0.0651221005980473,0.0858000257689948,0.0393155812976097,-0.0738577875902862,0.033324088777114,-0.0076856136526225,-0.0133463366603395,0.0199284525391246,0,0,0,0.0543217589855831,-0.004577286943468,0.043594312349704,0.00952949139087292,0.0388338512524126,0.0507766918003369,0.0215329857006399,0.0205538931354601,0.0541347823583553,0,0,0
2,2,0.0140821572439306,0.00717333118158536,0.0780235170154242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027087224000117,-0.0361391635141192,0.128092297766065,0.00760473420282733,-0.0702069320151778,0.0451728862092882,-0.00657277508711177,-0.0144743341863029,0.0199634527057171,0,0,0,0.0119064551434471,0.000596077759905736,0.0384767254938687,0.0636377196315117,0.0860839624421317,0.0419612005951233,-0.0204198853834263,-0.00467470250063201,0.021340569296024,0,0,0
3,3,0.0275661353891394,-0.0266230757168797,0.110513415951713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00216202366848731,-0.0492260883766832,0.0815022106085213,-0.013912447786169,-0.0769264427477163,0.0370349063512752,0.013782004766857,-0.0231155052337309,0.0331416971556067,0,0,0,-0.0297485539154091,0.00618429026572713,0.033348677860582,0.0313980120143463,0.110815243351162,0.0538228476164395,0.000511358136187179,0.00969660312551712,0.0206544297107012,0,0,0
4,4,0.0452685934764194,-0.00823810953566404,0.0861809244066549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0641427842969292,-0.0205468067513828,0.0454730767973697,-0.0505638847194484,-0.00912183160778008,0.0145475706990013,-0.0235652828295931,-0.00992899231873821,0.006889279247833,0,0,0,-0.0596619995233763,-0.00993883695676843,0.0258226551108329,0.0273461958272436,-0.0278191094667204,0.0828678304816144,0.0101546261325325,-0.0440550683531422,-0.00295966004522263,0,0,0
5,5,0.0184570833032513,-0.0256462221619225,0.0778696190536881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.111980087949605,-0.0287284629816611,-0.0025395476528427,-0.107687508524396,0.0314203830412923,-0.00456896742430146,0.0221031018802969,0.00734845262810945,0.0424213635616475,0,0,0,-0.0649425785471839,-0.0164666750193519,0.0593720527013097,0.0203090951037904,-0.0982010859021131,0.0610986560732627,-0.0170863991959196,-0.004048411352126,0.0213640691090227,0,0,0
6,6,0.0721703605741507,-0.0409038745297944,0.0779453413911284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.129712912274556,-0.00158129169667807,-0.0131006924710775,-0.0838388208274716,0.0151581134968056,0.0149616193559954,0.0171280309666074,0.0318761069913098,0.0201319774220945,0,0,0,-0.0553123382138077,0.0226515637400716,0.0153090559222857,0.0226366332808509,-0.0762096797351801,0.0683145757522308,-0.00771366986808558,-0.0163510429383743,0.00187343789745142,0,0,0
7,7,0.0439613887725459,-0.0235572439682866,0.0696563013916371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.102888620135116,0.0209815791737612,0.0561034886724769,-0.113739585278466,-0.00310828316833385,0.038308969003424,-0.0143698328419331,-0.0386272328973897,0.029318293230018,0,0,0,-0.00234019913970471,-0.00377199554778759,0.0180907636566481,-0.0258729899733967,-0.0221801329423518,0.0734310747709461,-0.00379576802809626,0.0233395141410017,0.0401816145208063,0,0,0
8,8,0.0502229909245065,-0.00551400734752263,0.0858809983378102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0312171473099605,0.00543572892394359,0.0604067095842833,-0.0476390719728226,-0.0327914207896205,0.025976683032404,0.00587621689994064,0.0110730433699063,0.0294000389768936,0,0,0,0.0392079086079656,0.0174212958776752,0.0462168696343035,0.012661558531249,0.0215202486118169,0.0832770399792899,-0.0166921430163549,-0.0421263204929473,-0.0169020370599018,0,0,0
9,9,0.0233984674238133,-0.0231037610967853,0.0774926957775168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0364071694297918,-0.0257226497717419,0.0470541396420021,-0.024477125844616,-0.0963419741695301,0.00888024316246216,-0.0250289519842754,-0.000667866511668721,0.0255068757763066,0,0,0,0.0387893594164242,-0.00839911014431788,0.0233060145931638,-0.0253629888763485,0.0321404458212944,0.0552578182257353,-0.0165113212998669,0.000115588634429535,-0.0127719789960441,0,0,0
