,Frame,Pelvis x,Pelvis y,Pelvis z,L5 x,L5 y,L5 z,L3 x,L3 y,L3 z,T12 x,T12 y,T12 z,T8 x,T8 y,T8 z,Neck x,Neck y,Neck z,Head x,Head y,Head z,Right Shoulder x,Right Shoulder y,Right Shoulder z,Right Upper Arm x,Right Upper Arm y,Right Upper Arm z,Right Forearm x,Right Forearm y,Right Forearm z,Right Hand x,Right Hand y,Right Hand z,Left Shoulder x,Left Shoulder y,Left Shoulder z,Left Upper Arm x,Left Upper Arm y,Left Upper Arm z,Left Forearm x,Left Forearm y,Left Forearm z,Left Hand x,Left Hand y,Left Hand z,Right Upper Leg x,Right Upper Leg y,Right Upper Leg z,Right Lower Leg x,Right Lower Leg y,Right Lower Leg z,Right Foot x,Right Foot y,Right Foot z,Right Toe x,Right Toe y,Right Toe z,Left Upper Leg x,Left Upper Leg y,Left Upper Leg z,Left Lower Leg x,Left Lower Leg y,Left Lower Leg z,Left Foot x,Left Foot y,Left Foot z,Left Toe x,Left Toe y,Left Toe z
0,0,50.2804993074101,74.8028052762805,-118.847777969301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.838748371694,-72.4078575797244,-83.726389761459,119.693090311373,-73.8310140078886,61.3014090385794,-13.7890542421396,-26.6993588576706,-177.71301603295,0,0,0,156.604864082112,-72.7088883601058,93.6421226016779,107.495189931243,84.1456320805766,98.10070352989,5.13567426941963,-29.5594935292924,-162.337594695639,0,0,0
1,1,50.2555839344948,74.8002402741552,-118.872380108035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.843176896956,-72.4050776072989,-83.7242581227765,119.715612724973,-73.830418662306,61.2901226357293,-13.7896866475751,-26.7014282511725,-177.710706995698,0,0,0,156.618770948544,-72.7088409129956,93.6170693123835,107.517195603626,84.1444357065018,98.1126360016511,5.13583118903803,-29.5596734430771,-162.338532419185,0,0,0
2,2,50.2329657556785,74.796238623318,-118.892378506724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.841197205153,-72.4021161525823,-83.7142250388985,119.734809677438,-73.8286667614925,61.2785712340851,-13.7903189166733,-26.7034979735871,-177.708397907444,0,0,0,156.626519641818,-72.7096527624719,93.5964374618439,107.543108990941,84.1409678696774,98.1359371942471,5.13724641162524,-29.5594363284519,-162.339303667992,0,0,0
3,3,50.2049752906963,74.7923466293859,-118.918399468766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.842401177077,-72.4004107291272,-83.7059520967417,119.759815620053,-73.8272702188696,61.2564642645381,-13.7922739426453,-26.7055860228127,-177.707387690921,0,0,0,156.643519660301,-72.7091695500981,93.5691559290228,107.553046196757,84.1407057705084,98.1552280913508,5.13565061708072,-29.5596607176196,-162.339337155869,0,0,0
4,4,50.1774396190903,74.7887349218951,-118.943157179795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.84240811251,-72.4005999132167,-83.6965785515443,119.779726976391,-73.827111736861,61.2373339030077,-13.7961435815034,-26.7076418870051,-177.704173149697,0,0,0,156.663965467255,-72.7105766694393,93.5451778940865,107.567786160384,84.1370384190406,98.187862123575,5.13571754839369,-29.5587740696014,-162.340897044146,0,0,0
5,5,50.1405681582661,74.7833402544785,-118.977861605053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.828692099835,-72.3998955175254,-83.6761659247634,119.796200700889,-73.8267279505542,61.2223489364786,-13.7978264132464,-26.7095259879323,-177.701341383444,0,0,0,156.686951401828,-72.7122394253869,93.5286699854201,107.590272140491,84.1338153077917,98.2221733101245,5.13537994905417,-29.5585813500821,-162.340763558791,0,0,0
6,6,50.0922653451836,74.7769551402035,-119.024785784951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.809307359088,-72.3987257042662,-83.6522919334768,119.803399325084,-73.828042038948,61.2221385038752,-13.7994237270395,-26.7108659066581,-177.697847836243,0,0,0,156.706722681815,-72.7142262862158,93.5231378712955,107.615502343556,84.1289186195912,98.2492734441805,5.13212062049221,-29.557736217304,-162.339050854393,0,0,0
7,7,50.0454273187964,74.7685603052195,-119.069554936876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.779740780152,-72.3970602173051,-83.618214621707,119.815089180396,-73.8296743724349,61.2200608136404,-13.8010209314388,-26.7122060584667,-177.69435422111,0,0,0,156.721517114663,-72.7178088331178,93.5257014646595,107.642819134471,84.1257370553464,98.2705736302885,5.13326681067948,-29.5564802685028,-162.341908174522,0,0,0
8,8,49.9964382901314,74.7594009316534,-119.11320164697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.754204029932,-72.3956062401214,-83.5879289322299,119.817156651808,-73.8304209864318,61.224968947904,-13.803955772577,-26.7121375548913,-177.691997662004,0,0,0,156.737532182665,-72.7190011697379,93.5255016833672,107.657311370484,84.1248011908508,98.2788197508348,5.13126642549793,-29.5573984426048,-162.340247618877,0,0,0
9,9,49.9365153354576,74.749522774033,-119.16776221835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.721247462853,-72.3941959371725,-83.5569156406342,119.814768685156,-73.8326584793783,61.229603236938,-13.8042151235625,-26.7148867766862,-177.687366437815,0,0,0,156.760628283541,-72.720962079235,93.5166951443779,107.663197096486,84.1181949693469,98.2804762327808,5.12908625446405,-29.5561837324283,-162.339832555222,0,0,0
