,Frame,Pelvis q0,Pelvis q1,Pelvis q2,Pelvis q3,L5 q0,L5 q1,L5 q2,L5 q3,L3 q0,L3 q1,L3 q2,L3 q3,T12 q0,T12 q1,T12 q2,T12 q3,T8 q0,T8 q1,T8 q2,T8 q3,Neck q0,Neck q1,Neck q2,Neck q3,Head q0,Head q1,Head q2,Head q3,Right Shoulder q0,Right Shoulder q1,Right Shoulder q2,Right Shoulder q3,Right Upper Arm q0,Right Upper Arm q1,Right Upper Arm q2,Right Upper Arm q3,Right Forearm q0,Right Forearm q1,Right Forearm q2,Right Forearm q3,Right Hand q0,Right Hand q1,Right Hand q2,Right Hand q3,Left Shoulder q0,Left Shoulder q1,Left Shoulder q2,Left Shoulder q3,Left Upper Arm q0,Left Upper Arm q1,Left Upper Arm q2,Left Upper Arm q3,Left Forearm q0,Left Forearm q1,Left Forearm q2,Left Forearm q3,Left Hand q0,Left Hand q1,Left Hand q2,Left Hand q3,Right Upper Leg q0,Right Upper Leg q1,Right Upper Leg q2,Right Upper Leg q3,Right Lower Leg q0,Right Lower Leg q1,Right Lower Leg q2,Right Lower Leg q3,Right Foot q0,Right Foot q1,Right Foot q2,Right Foot q3,Right Toe q0,Right Toe q1,Right Toe q2,Right Toe q3,Left Upper Leg q0,Left Upper Leg q1,Left Upper Leg q2,Left Upper Leg q3,Left Lower Leg q0,Left Lower Leg q1,Left Lower Leg q2,Left Lower Leg q3,Left Foot q0,Left Foot q1,Left Foot q2,Left Foot q3,Left Toe q0,Left Toe q1,Left Toe q2,Left Toe q3
0,0,0.143654091430827,0.645076605246706,-0.0108600625905478,-0.75041437514156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.410606431933763,0.589844196471673,-0.550430237767852,0.424867903346601,0.0807336256437292,0.748560819025393,0.0928849525994663,0.651545215231488,0.00843467004647028,0.231509052928915,-0.11220062276331,0.966304007548706,0,0,0,0,0.311556577269224,-0.627289366026694,-0.492852591639297,-0.516272092354935,0.695813556426812,0.0930424163462837,0.711811116213361,-0.022617212211157,0.159589111125488,-0.245175947616374,-0.0819315636069726,-0.952736736567614,0,0,0,0
1,1,0.143645993003355,0.645032117564357,-0.0108485461907272,-0.750454332421413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.410562967629082,0.589881330557202,-0.550412002308647,0.424881975595873,0.0806538472940245,0.748587088319517,0.0929424492868673,0.65151671447365,0.00841866814533846,0.23152869760526,-0.112200441670848,0.966299461399383,0,0,0,0,0.311519563334333,-0.62735941770506,-0.492778315892812,-0.516280208862008,0.695796030662009,0.0931090726591417,0.711817717917312,-0.0226742312447007,0.159581656227232,-0.245177900890817,-0.0819310770328354,-0.952737524466622,0,0,0,0
2,2,0.143662238984854,0.644984820021802,-0.0108335077264782,-0.750492090658951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.410522360152003,0.589934175386761,-0.550377447183516,0.424892605440161,0.0806034669817184,0.748613671354199,0.0929854570059132,0.651486267666108,0.00840266626303334,0.231548345091863,-0.112200258359304,0.966294914148366,0,0,0,0,0.311473686398942,-0.627425097701313,-0.492696478306458,-0.516306178270187,0.695773747713965,0.0931424196085925,0.71183518186574,-0.0226727924987381,0.159578264230099,-0.245174502836083,-0.0819409098882261,-0.952738121432683,0,0,0,0
3,3,0.143668708618914,0.644930676975088,-0.0108165953871888,-0.750537624189792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.410477655651217,0.589984986750922,-0.550336007011794,0.424918920508267,0.0805732378979789,0.748652151878272,0.0929906265838558,0.65144504924837,0.00840030989997134,0.231566778190309,-0.112213845564773,0.966288939652996,0,0,0,0,0.311441081545888,-0.627497357710894,-0.492625945239366,-0.516305332984655,0.695769043591278,0.0930844888997898,0.711849170109734,-0.022615811292693,0.159574578720291,-0.245178621522334,-0.0819278387053185,-0.952738802935897,0,0,0,0
4,4,0.143679469998552,0.644878411464669,-0.0107940866643829,-0.750580796464193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.410443728833512,0.590029276340754,-0.5502870959741,0.424953539256284,0.080552748127265,0.748682009458609,0.092979676685045,0.651414831889565,0.00838320175796065,0.231586959010429,-0.11223913537699,0.966281314542724,0,0,0,0,0.311453077705709,-0.627541440736172,-0.492580192651024,-0.516288169876371,0.695757312735099,0.09299319520392,0.711876644805212,-0.0224871074679311,0.159561724120345,-0.24517224459806,-0.081923997830575,-0.952742927160285,0,0,0,0
5,5,0.143686439226105,0.64480588453407,-0.0107755021058249,-0.750642036530812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.410435423364335,0.590080963894532,-0.550235171070929,0.424957028196482,0.0805323465386894,0.74870656052547,0.0929774590413273,0.651389453013565,0.00836472098726676,0.231605478917363,-0.112246828076149,0.966276142293241,0,0,0,0,0.311514113817629,-0.627545872081228,-0.49258559139168,-0.516240806677986,0.695740344827489,0.0929358436773871,0.711903494086273,-0.0223990322794365,0.159562105445524,-0.245171011035681,-0.0819212461750161,-0.952743417336832,0,0,0,0
6,6,0.143682534373846,0.644713628004485,-0.0107557984295394,-0.750722305504071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.410441346366176,0.590130806719257,-0.55018796389257,0.424943215667398,0.0804794969477563,0.748709001762338,0.0930100125646074,0.651388531380321,0.00833991091393411,0.231620070260662,-0.112252684890928,0.966272178877759,0,0,0,0,0.311608849889274,-0.627511056482567,-0.492635095935798,-0.516178710249797,0.695716885550327,0.0929499487898614,0.711925751999244,-0.0223617043274289,0.159569344890203,-0.245167272815243,-0.0818968012912958,-0.952745268395442,0,0,0,0
7,7,0.143694391354115,0.644614790607124,-0.0107437636924458,-0.750805078010016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.410459614676886,0.590195123177365,-0.550127576314043,0.424914427944961,0.0804062189313941,0.748715432012266,0.0930542030308632,0.651383878463487,0.00831510085506411,0.231634664097694,-0.112258539653478,0.966268214193651,0,0,0,0,0.311721935503452,-0.627451063569725,-0.492699066485977,-0.516122299106568,0.695693485687402,0.0930024863653527,0.711941090843377,-0.0223829102378672,0.159548000311583,-0.245157238189406,-0.0818987165828933,-0.952751260498769,0,0,0,0
8,8,0.143729396290124,0.644510047917874,-0.0107151355759681,-0.750888703234085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.410472182930426,0.590254814282684,-0.550071051590485,0.4248925504861,0.0803608269126587,0.748711311707917,0.093094051919602,0.65138852209393,0.00830108956807032,0.231636183130477,-0.112278551689029,0.966265645362259,0,0,0,0,0.311815555129808,-0.627405442862665,-0.49276454100693,-0.516058695277604,0.695681744428264,0.0930448330387377,0.711945950744886,-0.0224172418464609,0.15955755633899,-0.245166498809469,-0.0818867350004797,-0.952748307113478,0,0,0,0
9,9,0.14375782153795,0.644387442331674,-0.0106797977241065,-0.750988984494765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.410520498134452,0.590291228971146,-0.550038120747358,0.424837911839198,0.0803381463544314,0.748701125381618,0.0930988527122426,0.651402341657057,0.00826547775998634,0.231663857189062,-0.11227024337249,0.966260281499125,0,0,0,0,0.311913582970557,-0.627375673321217,-0.492811189271928,-0.515991097802672,0.695666067166025,0.0931097747222795,0.711953199078262,-0.0224039096398776,0.159556304311162,-0.245159101270402,-0.0818680441816047,-0.952752026584426,0,0,0,0
