,Frame,T8_Head Lateral Bending,T8_Head Axial Bending,T8_Head Flexion/Extension,T8_LeftUpperArm Lateral Bending,T8_LeftUpperArm Axial Bending,T8_LeftUpperArm Flexion/Extension,T8_RightUpperArm Lateral Bending,T8_RightUpperArm Axial Bending,T8_RightUpperArm Flexion/Extension,Pelvis_T8 Lateral Bending,Pelvis_T8 Axial Bending,Pelvis_T8 Flexion/Extension,Vertical_Pelvis Lateral Bending,Vertical_Pelvis Axial Bending,Vertical_Pelvis Flexion/Extension,Vertical_T8 Lateral Bending,Vertical_T8 Axial Bending,Vertical_T8 Flexion/Extension
0,0,0,0,0,90.0,-2.53049303995912,-2.53049303995912,90.0,10.0249878620757,10.0249878620757,0,0,-6.31676242321572,0.472776240940784,0,2.12058254738216,0.469905861578245,-0.0520184190663221,-4.19639318909093
1,1,0,0,0,90.0,-90.0,-90.0,90.0,0.0,0.0,0,0,-6.31676242321572,0.496710304135592,0,2.14346862694215,0.493694606197626,-0.0546519529948982,-4.17352925465834
2,2,0,0,0,90.0,-1.26586381389443,-1.26586381389443,90.0,-5.05115252801793,-5.05115252801793,0,0,-6.31676242321572,0.526439928741947,0,2.16338860213871,0.523243722314578,-0.0579232155855281,-4.15363830977418
3,3,0,0,0,90.0,-174.948847471982,-174.948847471982,90.0,0.0,0.0,0,0,-6.31676242321572,0.55334394213186,0,2.18470171962231,0.549984381928344,-0.0608835920431324,-4.13235291783057
4,4,0,0,0,90.0,180.0,-180.0,90.0,10.0249878620757,10.0249878620757,0,0,-6.31676242321572,0.56882427927071,0,2.21180181792279,0.565370726053183,-0.0625869790501775,-4.10526939886136
5,5,0,0,0,90.0,0.0,0.0,90.0,0.0,0.0,0,0,-6.31676242321572,0.564308806083573,0,2.24912293514364,0.56088266982219,-0.0620901156707501,-4.06794339833964
6,6,0,0,0,90.0,-1.68760489417697,-1.68760489417698,90.0,10.0249878620757,10.0249878620757,0,0,-6.31676242321572,0.543602105531242,0,2.30104153516576,0.540301695248372,-0.0598116484669434,-4.01600290338996
7,7,0,0,0,90.0,-3.79266029964088,-3.79266029964088,90.0,-90.0,-90.0,0,0,-6.31676242321572,0.512503871276986,0,2.36468407907237,0.509392280207333,-0.0563897749530651,-3.95232901450522
8,8,0,0,0,90.0,-90.0,-90.0,90.0,0.0,0.0,0,0,-6.31676242321572,0.465423560020051,0,2.43367093665315,0.462597823152259,-0.0512093860445675,-3.88329821628137
9,9,0,0,0,90.0,1.26586381389443,1.26586381389443,90.0,0.0,0.0,0,0,-6.31676242321572,0.396719015594926,0,2.50165187903788,0.394310420578335,-0.0436497381175511,-3.81526074385665
10,10,0,0,0,90.0,0.0,0.0,90.0,-10.0249878620757,-10.0249878620757,0,0,-6.31676242321572,0.300694543381089,0,2.56229691886213,0.298868952799223,-0.0330842469965966,-3.75455179235799
11,11,0,0,0,90.0,90.0,90.0,90.0,-3.3722866834339,-3.3722866834339,0,0,-6.31676242321572,0.17315459493423,0,2.62069558699221,0.172103337162843,-0.0190514087629624,-3.69609544926926
12,12,0,0,0,89.9999985212207,-5.05115252801793,-5.05115252801793,90.0,-5.05115252801793,-5.05115252801793,0,0,-6.31676242321572,0.0178973194663141,0,2.68127763760716,0.0177886614198385,-0.00196915441092628,-3.63548509129095
13,13,0,0,0,90.0,-17.1899348451505,-17.1899348451505,90.0,0.0,0.0,0,0,-6.31676242321572,-0.158871867533966,0,2.7366545675755,-0.157907323648948,0.0174799372241409,-3.58013194303284
14,14,0,0,0,90.0,90.0,90.0,90.0,-5.05115252801793,-5.05115252801793,0,0,-6.31676242321572,-0.351012073888121,0,2.77931735618794,-0.348880986162549,0.0386206155288257,-3.53756265021356
15,15,0,0,0,90.0,90.0,90.0,90.0,180.0,-180.0,0,0,-6.31676242321572,-0.552426967961783,0,2.80162336175401,-0.549072975397219,0.0607826925878693,-3.51543030797848
16,16,0,0,0,90.0,90.0,90.0,90.0,0.0,0.0,0,0,-6.31676242321572,-0.781869161494651,0,2.79652480674915,-0.777121992565399,0.0860305075416052,-3.52082105592336
17,17,0,0,0,90.0,3.79266029964088,3.79266029964088,90.0,180.0,180.0,0,0,-6.31676242321572,-1.04349431821414,0,2.76899461412137,-1.0371583708358,0.114823107638293,-3.54880709191877
18,18,0,0,0,90.0,90.0,90.0,90.0,5.05115252801793,5.05115252801793,0,0,-6.31676242321572,-1.30928891697419,0,2.72923330182574,-1.30133860270562,0.14407941883268,-3.5891654048178
19,19,0,0,0,90.0,90.0,90.0,90.0,-90.0,-90.0,0,0,-6.31676242321572,-1.55121033697126,0,2.68737130499263,-1.54179036213672,0.1707132782117,-3.63168814749416
20,20,0,0,0,90.0,178.734136186106,178.734136186106,90.0,0.0,0.0,0,0,-6.31676242321572,-1.74120930023614,0,2.65353602441166,-1.73063486026863,0.191635009379026,-3.66612081578606
21,21,0,0,0,90.0,-90.0,-90.0,90.0,19.4712206344907,19.4712206344907,0,0,-6.31676242321572,-1.87539576161624,0,2.62559766848045,-1.86400584502078,0.206413432329266,-3.69452268268999
22,22,0,0,0,90.0,-7.55237227989766,-7.55237227989767,90.0,90.0,90.0,0,0,-6.31676242321572,-1.97243225857906,0,2.59664902893555,-1.96045255604003,0.217101786072292,-3.72382797669519
23,23,0,0,0,90.0,90.0,90.0,90.0,0.0,0.0,0,0,-6.31676242321572,-2.03810948233916,0,2.56970602106771,-2.02573055642705,0.224336681082069,-3.75102260698019
24,24,0,0,0,90.0,2.53049303995912,2.53049303995912,90.0,10.0249878620757,10.0249878620757,0,0,-6.31676242321572,-2.0782264842248,0,2.54779968300782,-2.06560368863666,0.228756189739019,-3.77308670401478
25,25,0,0,0,90.0,5.05115252801793,5.05115252801793,90.0,10.0249878620758,10.0249878620758,0,0,-6.31676242321572,-2.09860099292308,0,2.53397298154112,-2.08585433681106,0.231000841895944,-3.78699470763975
26,26,0,0,0,90.0,90.0,90.0,90.0,-90.0,-90.0,0,0,-6.31676242321572,-2.090255708842,0,2.52987701246806,-2.07755978568837,0.230081438051289,-3.79105727969053
27,27,0,0,0,90.0,-90.0,-90.0,90.0,0.0,0.0,0,0,-6.31676242321572,-2.04935867167222,0,2.53373094060576,-2.03691136360593,0.225575931257907,-3.78704161367151
28,28,0,0,0,90.0,-90.0,-90.0,90.0,0.0,0.0,0,0,-6.31676242321572,-1.98946451127787,0,2.54337980603283,-1.97738128009952,0.218977976079244,-3.77716166045897
