,Frame,L5S1 Lateral Bending,L5S1 Axial Bending,L5S1 Flexion/Extension,L4L3 Lateral Bending,L4L3 Axial Rotation,L4L3 Flexion/Extension,L1T12 Lateral Bending,L1T12 Axial Rotation,L1T12 Flexion/Extension,T9T8 Lateral Bending,T9T8 Axial Rotation,T9T8 Flexion/Extension,T1C7 Lateral Bending,T1C7 Axial Rotation,T1C7 Flexion/Extension,C1 Head Lateral Bending,C1 Head Axial Rotation,C1 Head Flexion/Extension,Right T4 Shoulder Abduction/Adduction,Right T4 Shoulder Internal/External Rotation,Right T4 Shoulder Flexion/Extension,Right Shoulder Abduction/Adduction,Right Shoulder Internal/External Rotation,Right Shoulder Flexion/Extension,Right Elbow Ulnar Deviation/Radial Deviation,Right Elbow Pronation/Supination,Right Elbow Flexion/Extension,Right Wrist Ulnar Deviation/Radial Deviation,Right Wrist Pronation/Supination,Right Wrist Flexion/Extension,Left T4 Shoulder Abduction/Adduction,Left T4 Shoulder Internal/External Rotation,Left T4 Shoulder Flexion/Extension,Left Shoulder Abduction/Adduction,Left Shoulder Internal/External Rotation,Left Shoulder Flexion/Extension,Left Elbow Ulnar Deviation/Radial Deviation,Left Elbow Pronation/Supination,Left Elbow Flexion/Extension,Left Wrist Ulnar Deviation/Radial Deviation,Left Wrist Pronation/Supination,Left Wrist Flexion/Extension,Right Hip Abduction/Adduction,Right Hip Internal/External Rotation,Right Hip Flexion/Extension,Right Knee Abduction/Adduction,Right Knee Internal/External Rotation,Right Knee Flexion/Extension,Right Ankle Abduction/Adduction,Right Ankle Internal/External Rotation,Right Ankle Dorsiflexion/Plantarflexion,Right Ball Foot Abduction/Adduction,Right Ball Foot Internal/External Rotation,Right Ball Foot Flexion/Extension,Left Hip Abduction/Adduction,Left Hip Internal/External Rotation,Left Hip Flexion/Extension,Left Knee Abduction/Adduction,Left Knee Internal/External Rotation,Left Knee Flexion/Extension,Left Ankle Abduction/Adduction,Left Ankle Internal/External Rotation,Left Ankle Dorsiflexion/Plantarflexion,Left Ball Foot Abduction/Adduction,Left Ball Foot Internal/External Rotation,Left Ball Foot Flexion/Extension
0,0,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,-0.0355408649961077,-0.00600650294916816,12.642639248317,0.0377713013219286,0.0141278525237381,-12.642632886683,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-0.396003006351415,8.64610148196425,-1.28360414009363,0.703493808281516,0.88545785998948,-0.154256468299317,0.79802829641442,-16.050092509238,2.31510620799229,-0.287342529230815,0.00176150881731437,-0.702475510814692,2.22328379711428,8.98058252936064,3.88659049511443,-1.86806845989325,-0.00843670487082251,2.18124046630506,-1.31191030918897,3.31782557396479,-0.0866233557733883,0.297242043454979,-0.00241796202259105,-0.932140358885374
1,1,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,-0.0414985517353937,-0.00490522493145869,12.6421775347474,0.0436298825541873,0.0143352055607391,-12.6421704757223,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-0.462655593430835,8.58444317759715,-1.12701667018753,0.711454450634021,0.923048651891966,0.0674250378798364,0.864287229846186,-16.1564505344307,2.35590240666359,-0.30305252958641,0.00194230402926926,-0.73442141434056,2.18650533466346,8.68582251484461,4.22879566969288,-1.79170225308458,0.319064249690936,2.75177694249195,-1.42079236958364,3.41918515156978,0.168256325092774,0.308044760193827,-0.00247564072608967,-0.924422351391834
2,2,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.2692626097445,0,0,4.88473757495348,-0.0476284785789899,-0.00377217563100893,12.6417128535411,0.0496578529230328,0.0145485304879242,-12.6417051719755,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-0.524596050905917,8.52235980738407,-0.973260115962311,0.721455118248438,0.950960643353871,0.290513749719699,0.927510312467535,-16.249740701584,2.39880177224226,-0.3166491401987,0.00211724506925277,-0.766194301687816,2.15362715856292,8.38243891410585,4.54925134940497,-1.71915558037653,0.657836037662177,3.28398691334475,-1.52664910139836,3.5171893763937,0.406278451117203,0.319060217026424,-0.00253033526772138,-0.919305224891078
3,3,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.2692626097445,0,0,4.88473757495349,-0.053673707831382,-0.00265813921262242,12.6412694078955,0.0556032879117767,0.0147622654031941,-12.6412612035663,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-0.588154634830433,8.46088220992607,-0.817739446391104,0.730120888615318,0.983428784927236,0.512960275599795,0.992275195642981,-16.3497009317832,2.44046734211106,-0.331302803495571,0.00230733895737205,-0.798053606825395,2.12007716872764,8.08331294709627,4.88048673620431,-1.63648366748913,0.993468465057561,3.833651177017,-1.6346631236922,3.6176124441425,0.652431875233486,0.329968411989424,-0.00258316703499079,-0.912886220926327
4,4,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,-0.0593772226316029,-0.00161475245940747,12.6408710741794,0.0612143735494756,0.0149717222245691,-12.6408624537762,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-0.659620753245107,8.40105679513561,-0.655829744815121,0.734075711013701,1.03466870754739,0.732736914825894,1.06314799971724,-16.4760792446141,2.47748618700208,-0.350183926453044,0.00253726003816106,-0.830258779905493,2.08122417194296,7.80149574423444,5.25513686173135,-1.52886891845817,1.31216226111835,4.45634707780642,-1.75016107680971,3.72638043029227,0.93166024959681,0.340448967997909,-0.0026359015966638,-0.901263070184473
5,5,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,-0.0644819142464014,-0.000694307997782831,12.6405412665691,0.0662393491456164,0.0151728794541764,-12.6405323272812,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-0.745240098725243,8.34394765459908,-0.482872050741461,0.729939952192818,1.11887719933013,0.947836362723622,1.14466959527846,-16.6486299341616,2.50634794731061,-0.376462886608538,0.00283546958134948,-0.86306931890293,2.03229478329169,7.55027521653099,5.70591491868433,-1.3806995692659,1.60089060193907,5.20746648825911,-1.87864198135763,3.84959398043906,1.26885564321471,0.350181783741196,-0.00269089605501065,-0.880533938800134
6,6,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.2692626097445,0,0,4.88473757495349,-0.0688940115797889,0.000171287197357641,12.6403124040395,0.0705668533430136,0.0152749929923781,-12.6403033259845,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-0.844596156663433,8.29046066326219,-0.292458431561478,0.719793201127772,1.25844215928474,1.16228808656648,1.24417049836217,-16.8943304862148,2.52490337596117,-0.416152097904744,0.00326013034862718,-0.897679553249437,1.9639705253646,7.3244252043584,6.24360104711999,-1.18034914829949,1.8696619455204,6.10011948968357,-2.00484019316354,4.00934154653622,1.68421413810527,0.365987009783849,-0.00297054361973832,-0.855262194836858
7,7,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.2692626097445,0,0,4.88473757495348,-0.0727846573677633,0.00101568572498957,12.6401675665131,0.0743647299134442,0.0152819648439978,-12.640158519062,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-0.953381060881622,8.23996540308121,-0.0876051476319586,0.705880879760646,1.44385531840919,1.37751137897839,1.35848144367613,-17.2000273730882,2.53505280689931,-0.467137346419173,0.00380731627917168,-0.933917668291177,1.8789367459485,7.11584016418354,6.84648291516464,-0.936044780033885,2.12971183457794,7.0967207662539,-2.12568804139569,4.20157388383714,2.16116887723799,0.388065124470957,-0.00344684301132451,-0.82803877934815
8,8,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,-0.0762940142465165,0.00173526327820734,12.6400555113531,0.0777998484946983,0.0153313760526651,-12.6400464819868,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-1.07203572943322,8.19117970884986,0.122225729734064,0.685053337541622,1.64145995475443,1.58753345360216,1.47642126456924,-17.5252545662817,2.53951412065619,-0.520399965727897,0.00440527039560074,-0.9699925820052,1.79015182869396,6.93363477488639,7.49854065652708,-0.66227428908911,2.3701558939459,8.17685326435598,-2.26492062512221,4.3939259571172,2.66919285026191,0.406182900765929,-0.00378099784875685,-0.792023746430669
9,9,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495348,-0.0795621929680718,0.00222687635230791,12.6399252061512,0.0810389163076415,0.0155602871771661,-12.6399159773117,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-1.20109958984763,8.14274095866662,0.327548337119479,0.654148549570309,1.81760679447176,1.78629301057609,1.58693717296011,-17.8295242550549,2.54141969957703,-0.566922518033449,0.00496787693780423,-1.00411083328087,1.71051393142735,6.78671054439488,8.18373886345144,-0.374755938259457,2.57931668165354,9.3205955408859,-2.44594323009872,4.55495473134713,3.1774124548777,0.410142365486491,-0.0036965815003808,-0.740401590040188
10,10,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,-0.0827292918659542,0.00238759495046974,12.6397262795796,0.0842485778468985,0.0161055245919779,-12.639716407584,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-1.34121144025618,8.09320816710709,0.51884757647379,0.61000373539297,1.93865701581211,1.96764497615253,1.67911731193562,-18.0723364221203,2.54429886049886,-0.597688553377801,0.0053958401790111,-1.03447745735965,1.65289606013679,6.68371381971064,8.88603685144935,-0.0905852068853013,2.74449700126865,10.5085223455548,-2.69189901296531,4.65415028550569,3.65470933050469,0.38982947927332,-0.00301517634444738,-0.666332701931429
11,11,0,0,-2.84254309044707,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,-0.0861648208304574,0.00203558757112263,12.6394276383678,0.0878482805264302,0.017236237413729,-12.639416238447,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-1.49319530000142,8.02687602836481,0.705895969601996,0.545706759109452,1.99869186472797,2.13925098605251,1.75357690795532,-18.2415746995073,2.55329677701256,-0.61071451609741,0.00565545068096095,-1.06112852955533,1.61209200167199,6.63868868729169,9.63131470114569,0.199687212939274,2.86896981416618,11.7734228221049,-3.03260179297246,4.67384417688082,4.09166136030863,0.332272353289748,-0.00172118706197354,-0.551854449174077
12,12,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,-0.0897747294116779,0.00123869584744033,12.6390662082358,0.091726422312442,0.0188618441976814,-12.6390524227863,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-1.65657596028149,7.94460699155529,0.895105651423884,0.463359020961472,2.02007263835195,2.30506155562864,1.81770242932294,-18.3642056109159,2.56643132024187,-0.612013358740553,0.00579635445324332,-1.08526035698323,1.57774938846655,6.64686502998438,10.4300976209738,0.506312440219975,2.96288582390246,13.128863157226,-3.45293315443982,4.63764572554732,4.50857648392001,0.244646823523995,-0.000396393889162092,-0.401271076208591
13,13,0,0,-2.84254309044707,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,-0.0930044283193557,0.00027043873672541,12.6386894264616,0.095253312268675,0.020577738459194,-12.6386729500206,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-1.83033101698824,7.86975067606889,1.0718363148582,0.373322834804131,2.01167651653631,2.45332854768722,1.87077444706238,-18.458335270336,2.5766853160867,-0.604563052208282,0.0058395437619044,-1.10681910919153,1.55580646281803,6.68797990168794,11.2434038731353,0.811752432861922,3.02177117996825,14.5270420254098,-3.90858919694067,4.57643830123649,4.91895119337548,0.146999547170141,0.000365346749426574,-0.241172130660551
14,14,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,-0.0953001568747212,-0.000593316548186246,12.638337718176,0.09779959497908,0.0219771096216531,-12.6383189345182,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-2.01371001774198,7.82565287559391,1.22138162716425,0.285971164450498,1.98249092696424,2.57232802835606,1.91203380485581,-18.5420637467594,2.5769720685912,-0.591340667464626,0.00580954963587187,-1.1257506559857,1.55343675881488,6.7410108610953,12.0324127947835,1.09776638525836,3.03940705209488,15.9202583610877,-4.35514995122672,4.51951615019756,5.33617052796376,0.0590237103794312,0.000402184898582457,-0.0983808360321133
15,15,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,-0.096108665551662,-0.00107526541411445,12.6380454693515,0.0987361278993601,0.022651799801483,-12.6380255446522,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-2.20616115531131,7.83564965524959,1.32896626180244,0.211717807817325,1.94159327017944,2.65036961846984,1.94069272012097,-18.6334946037197,2.56016761248068,-0.575322580686688,0.00573380366551932,-1.14199972512548,1.5791077836745,6.78413311619255,12.7584694709539,1.34544272123929,3.00782691684467,17.260845394252,-4.74800965781165,4.49453192825201,5.77349463582838,0.0,0.0,0.0
16,16,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,-0.0949542726460306,-0.00108336635139912,12.6378040944454,0.0975547914302378,0.0224008387829071,-12.637784610083,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-2.42745740750154,7.91279377516078,1.38831311687296,0.149732189776141,1.89681729177708,2.68444311030676,1.959399075008,-18.755048561261,2.52130975997437,-0.557506878782388,0.00562245538236524,-1.15560392712945,1.65558751354484,6.83050898506767,13.4407841521036,1.53776390450819,2.87019229812859,18.5955250477085,-5.11688009251238,4.51261172619678,6.24594476020693,-0.0243369950318194,-0.000365711805808247,0.0429988804685698
17,17,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,-0.0922057630203716,-0.000802080849416567,12.6375804155348,0.0946748842129529,0.0214959228359379,-12.6375624562247,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-2.67835012242788,8.04136087723826,1.40917045449753,0.0932685028572914,1.84227475731697,2.68229407778728,1.96860538244917,-18.8946530840737,2.46521042493774,-0.535908296366573,0.00545605276426681,-1.16660172644133,1.77783200089881,6.89418666555555,14.1051842860008,1.68219006352038,2.62794285973201,19.9569235716603,-5.49270481125787,4.555826675401,6.74375265955329,-0.0272232162330758,-0.000508219740314421,0.0484620576753322
18,18,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.2692626097445,0,0,4.88473757495349,-0.0885764417088984,-0.000368814374208205,12.6373728991256,0.0908582347019687,0.0202378145450992,-12.6373569633636,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-2.92972566133489,8.20155548407863,1.40065048643525,0.0439528957167392,1.76649465079949,2.64844553459759,1.96427236124963,-19.0186953453415,2.39940809556863,-0.509027858216956,0.00521939350931763,-1.17493849176966,1.9140131016321,6.9539656854816,14.7230086674608,1.79816044021834,2.36012592293786,21.275805284986,-5.83155661058232,4.60522867204308,7.24418218500489,-0.0180460992585563,-0.000394953310194159,0.0323655012500255
19,19,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.2692626097445,0,0,4.88473757495349,-0.0847801176866253,8.06334029578826e-05,12.6371850784238,0.0868668243881742,0.0189257387565604,-12.6371711374118,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-3.1523621752536,8.37369515479687,1.37179756598452,0.00340288164749543,1.65798510836153,2.58747674983044,1.94246994785537,-19.093583585724,2.331419673543,-0.475366641663396,0.00489755463508558,-1.18056032248651,2.03295248264241,6.98839870815293,15.2655977870901,1.90833735942215,2.14734749465522,22.4826050905541,-6.08794864261863,4.63948215593237,7.72607073722815,-0.00598616693338052,-0.000144114344286793,0.010804698299978
20,20,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.2692626097445,0,0,4.88473757495349,-0.0815314714170882,0.000413000897183373,12.6370240602958,0.0834629554197679,0.017856508079812,-12.6370116562638,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-3.31697207706613,8.53821877917536,1.3316549165447,-0.0268303398412365,1.50522724236907,2.50401925908286,1.89935813020465,-19.0857377344949,2.26866542756747,-0.433425720468201,0.00447627078489305,-1.18341423302621,2.10390230229883,6.97579718036208,15.7043686577102,2.03850004181288,2.07196490802776,23.5075749564105,-6.21490937043843,4.6351786315471,8.16929154472732,0.0,0.0,0.0
