,Frame,Pelvis x,Pelvis y,Pelvis z,L5 x,L5 y,L5 z,L3 x,L3 y,L3 z,T12 x,T12 y,T12 z,T8 x,T8 y,T8 z,Neck x,Neck y,Neck z,Head x,Head y,Head z,Right Shoulder x,Right Shoulder y,Right Shoulder z,Right Upper Arm x,Right Upper Arm y,Right Upper Arm z,Right Forearm x,Right Forearm y,Right Forearm z,Right Hand x,Right Hand y,Right Hand z,Left Shoulder x,Left Shoulder y,Left Shoulder z,Left Upper Arm x,Left Upper Arm y,Left Upper Arm z,Left Forearm x,Left Forearm y,Left Forearm z,Left Hand x,Left Hand y,Left Hand z,Right Upper Leg x,Right Upper Leg y,Right Upper Leg z,Right Lower Leg x,Right Lower Leg y,Right Lower Leg z,Right Foot x,Right Foot y,Right Foot z,Right Toe x,Right Toe y,Right Toe z,Left Upper Leg x,Left Upper Leg y,Left Upper Leg z,Left Lower Leg x,Left Lower Leg y,Left Lower Leg z,Left Foot x,Left Foot y,Left Foot z,Left Toe x,Left Toe y,Left Toe z
0,0,50.2015823547772,-75.0695253537591,-42.5570344715128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-178.578240201174,-69.5689129996577,-61.2226310164357,90.9641505630354,-77.5315799039601,92.7159010791115,8.4153078144372,33.4911511515038,-14.9706518536704,0,0,0,159.837522393201,-76.5606348042855,97.0891639210664,-115.620693679314,-69.0904178489229,-82.6480847406054,-1.68145253836242,-30.8494619073025,-166.16661044958,0,0,0
1,1,50.0730341919672,-75.0389527870378,-42.329810233837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-178.271131753028,-69.5058054020716,-61.4446285126878,91.5960956216699,-77.5749067941347,92.2026631469781,8.42086817210763,33.4939647003685,-14.9715242702439,0,0,0,158.652855754698,-76.5968367271496,98.5752331028745,-116.031672644831,-68.9654059904154,-82.1486771366359,-1.66387239457788,-30.8540404321825,-166.173716592149,0,0,0
2,2,49.8535190855558,-75.0004337397276,-42.0063819819168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-177.917906334445,-69.4698397807708,-61.6994598859885,92.2430673060637,-77.6083512581923,91.6427051341204,8.42951894339053,33.4931700739455,-14.9741881440626,0,0,0,157.301204446991,-76.6196815074326,100.256980117497,-116.591622888198,-68.8135961615701,-81.5371567691496,-1.64395238089774,-30.8564347737394,-166.182109215414,0,0,0
3,3,49.5278937598029,-74.951795868339,-41.5774125563252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-177.498460575207,-69.4772552212557,-61.9899352181947,92.7136766608565,-77.6376220232591,91.2373499261591,8.41975126526981,33.4931740071574,-14.9796012983438,0,0,0,155.79012796913,-76.6211866633033,102.118543767303,-117.245503055895,-68.6397208495687,-80.8340141256316,-1.63791284271989,-30.8513706256212,-166.189026467398,0,0,0
4,4,49.1304429315326,-74.8994447030007,-41.0716545968274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-177.042320461208,-69.523544220967,-62.2981138966772,93.0046165877924,-77.6651206715309,91.0344304354046,8.39001047344273,33.4909453845605,-14.9918119000917,0,0,0,154.104113051748,-76.6006959523097,104.157994454633,-118.004039582458,-68.4374240080884,-80.0011109092436,-1.63426084944295,-30.8484992050221,-166.193351017567,0,0,0
5,5,48.701997108426,-74.8529834826615,-40.5291543710767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-176.563807023792,-69.5980153743054,-62.6105797205072,93.2390858434735,-77.7022021729956,90.9579686418756,8.33485379528897,33.489101068068,-15.0124672637997,0,0,0,152.24006011571,-76.5510444908547,106.358607072008,-118.899172260541,-68.1974722097381,-79.0081742829579,-1.63766438538243,-30.8456270585498,-166.198217452284,0,0,0
6,6,48.2810069326174,-74.8170693752823,-39.9832569725285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-176.07378984067,-69.6763501809003,-62.9250716299796,93.3140896261729,-77.7433372436259,91.1036090361057,8.27134473910288,33.4797370012693,-15.0379764498412,0,0,0,150.245726404382,-76.4584063396051,108.662044469498,-119.924748901639,-67.9212728652374,-77.8813346027944,-1.6423426063195,-30.8397668819874,-166.203220694426,0,0,0
7,7,47.8304461350645,-74.7811964016275,-39.391608906495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-175.590884877723,-69.7378042235046,-63.2393185244326,93.5557581834603,-77.7873080716457,91.1392509300754,8.20792946748531,33.4647538098113,-15.0652410917324,0,0,0,148.135782080053,-76.3135116080309,111.049989854346,-121.068451373726,-67.6134127603239,-76.6461615443386,-1.64109562153571,-30.8440104720879,-166.200349903812,0,0,0
8,8,47.3234239469209,-74.749267619779,-38.7264448589486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-175.122390537681,-69.7799189405687,-63.5396770562305,93.8867188742607,-77.8295484271873,91.1268195489949,8.14991023252951,33.4491608091709,-15.0916212296206,0,0,0,145.942361291071,-76.1174272591134,113.49263530721,-122.316527243742,-67.2777204901912,-75.3266610903471,-1.64833707815649,-30.8452918891706,-166.194224242498,0,0,0
9,9,46.7551349403915,-74.7184151528483,-37.9780402606195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-174.655501541202,-69.8131419480938,-63.8444136504023,94.19210959747,-77.8682849834774,91.1162229226511,8.1033432141338,33.4354139689715,-15.1173141350111,0,0,0,143.648975128734,-75.881298796159,115.993946161094,-123.661615100949,-66.9150729577148,-73.9240586871012,-1.65310050738352,-30.8385925540999,-166.18310780517,0,0,0
