,Frame,Pelvis q0,Pelvis q1,Pelvis q2,Pelvis q3,L5 q0,L5 q1,L5 q2,L5 q3,L3 q0,L3 q1,L3 q2,L3 q3,T12 q0,T12 q1,T12 q2,T12 q3,T8 q0,T8 q1,T8 q2,T8 q3,Neck q0,Neck q1,Neck q2,Neck q3,Head q0,Head q1,Head q2,Head q3,Right Shoulder q0,Right Shoulder q1,Right Shoulder q2,Right Shoulder q3,Right Upper Arm q0,Right Upper Arm q1,Right Upper Arm q2,Right Upper Arm q3,Right Forearm q0,Right Forearm q1,Right Forearm q2,Right Forearm q3,Right Hand q0,Right Hand q1,Right Hand q2,Right Hand q3,Left Shoulder q0,Left Shoulder q1,Left Shoulder q2,Left Shoulder q3,Left Upper Arm q0,Left Upper Arm q1,Left Upper Arm q2,Left Upper Arm q3,Left Forearm q0,Left Forearm q1,Left Forearm q2,Left Forearm q3,Left Hand q0,Left Hand q1,Left Hand q2,Left Hand q3,Right Upper Leg q0,Right Upper Leg q1,Right Upper Leg q2,Right Upper Leg q3,Right Lower Leg q0,Right Lower Leg q1,Right Lower Leg q2,Right Lower Leg q3,Right Foot q0,Right Foot q1,Right Foot q2,Right Foot q3,Right Toe q0,Right Toe q1,Right Toe q2,Right Toe q3,Left Upper Leg q0,Left Upper Leg q1,Left Upper Leg q2,Left Upper Leg q3,Left Lower Leg q0,Left Lower Leg q1,Left Lower Leg q2,Left Lower Leg q3,Left Foot q0,Left Foot q1,Left Foot q2,Left Foot q3,Left Toe q0,Left Toe q1,Left Toe q2,Left Toe q3
0,0,0.76293349478694,0.113244679946821,-0.63617394019357,-0.0197697449279706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.281708268350707,0.71039809076339,-0.412093541865538,0.496139009689112,0.0542076031974526,0.701388932056224,0.0993480360440566,0.703736505717023,0.944120276509572,0.107094450546956,0.275744125693634,-0.145371452806208,0,0,0,0,0.366166634264795,-0.592942082336683,-0.507450915302229,-0.506789158826785,0.0126460547539887,-0.722962488514167,0.233426249543414,-0.650136526834678,0.112201753828555,-0.265711495418779,-0.0179850831414223,-0.957332076358308,0,0,0,0
1,1,0.763204151416346,0.113783313135805,-0.635773313208221,-0.0191069391828372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.280530986080776,0.710619883697688,-0.412305625942096,0.49631221782113,0.0532209790404839,0.702162881098765,0.0998188992937674,0.702972974687388,0.94410675176543,0.107144901318534,0.275759571707411,-0.145392812766368,0,0,0,0,0.366835060275406,-0.590042634008864,-0.509704595710361,-0.507427781774273,0.0136305073144184,-0.724106187135985,0.23330667491691,-0.648885532633417,0.11218131571014,-0.265733615858036,-0.0181202648522003,-0.957325782484856,0,0,0,0
2,2,0.763608041577797,0.114282165547715,-0.635221171196046,-0.0183414595866791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.279310015980779,0.710717124358707,-0.412450722657333,0.496740863524988,0.0524816020417214,0.70297215228178,0.100147993461644,0.702172495879084,0.944097319129847,0.107221866626496,0.27573951736633,-0.145435352963264,0,0,0,0,0.367478940036168,-0.586818598421099,-0.51223906858228,-0.508147909367883,0.0144537264444567,-0.725523666724843,0.233457909145402,-0.647227860549486,0.11215643829909,-0.265735433184432,-0.0182697222067418,-0.957325352296091,0,0,0,0
3,3,0.764168988877593,0.114698458422991,-0.634494846727075,-0.0175017013451162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277996846796388,0.710660550963671,-0.41241257468841,0.497589391681689,0.0518960161659113,0.703558963185652,0.100363901645374,0.701597232088151,0.94409957498122,0.107154421848445,0.275746884207506,-0.145456447943904,0,0,0,0,0.368034113789453,-0.583320367606253,-0.515030175247063,-0.508952019750289,0.015309347207725,-0.727169688674737,0.233661136588807,-0.645284697640341,0.112114672928952,-0.265688359806528,-0.0182988490364436,-0.957342753511663,0,0,0,0
4,4,0.764825506866686,0.115070196073914,-0.633661300619098,-0.0165574792568739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27668413297251,0.710462581870463,-0.412214930740249,0.498766138784519,0.0511821035398264,0.703883569771273,0.100730593981685,0.701271459507219,0.944117575155,0.106936758833631,0.275754764257171,-0.145484857916804,0,0,0,0,0.368423486406567,-0.579588825615941,-0.517986897752099,-0.509931859803172,0.0163701365283318,-0.729135003463787,0.233758456156186,-0.643001671482574,0.112088154199173,-0.265661511857613,-0.0183163351723861,-0.957352974963573,0,0,0,0
5,5,0.765496095144673,0.115405018312329,-0.632816703592465,-0.0155057963663635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275365376563077,0.710182507899285,-0.411861257420581,0.50018498528054,0.0499811861193383,0.704074836305254,0.101468959964252,0.701059595241094,0.944147454113708,0.106530353995402,0.275790277039049,-0.145521791010632,0,0,0,0,0.368530557327809,-0.57570173309615,-0.52103059986431,-0.51115541357867,0.017639555473472,-0.731503184022903,0.233769988773902,-0.640268326715997,0.112040750582906,-0.265641644710165,-0.0182736208699154,-0.95736485290865,0,0,0,0
6,6,0.766119661261422,0.115755855206052,-0.632025082319312,-0.0143367337098548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.274006664412998,0.709903688779026,-0.411449335687409,0.501663776525259,0.048375993172463,0.703999540734399,0.102571325633654,0.701087393331308,0.944197981722819,0.106059950095707,0.275769680647013,-0.145576583048568,0,0,0,0,0.36826490765779,-0.571767847726273,-0.524139378308337,-0.512582089231389,0.0189787570776891,-0.73423116758997,0.233796499704401,-0.637089943450079,0.111990440060344,-0.265598101312917,-0.0182168236647798,-0.957383902752512,0,0,0,0
7,7,0.766775177782335,0.116153241042058,-0.631185239748278,-0.013017083244857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272632647320949,0.709674981481631,-0.411105021953434,0.503016422394424,0.0464022771461339,0.704090802013185,0.104000112888639,0.700918645575386,0.944260309999043,0.105589340993397,0.275700913822766,-0.145644650249789,0,0,0,0,0.367568437074994,-0.567803267770595,-0.527328791640773,-0.514215167689522,0.020272776481037,-0.737272545080977,0.233883028211238,-0.633495807340751,0.112015624593602,-0.265631845862359,-0.0182383239625836,-0.957371184990282,0,0,0,0
8,8,0.767477165410203,0.11655224657721,-0.630287501666362,-0.0114908500512848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.271217087401685,0.709537315667328,-0.410785249721126,0.504235627250299,0.0441842401764926,0.704254791721184,0.10568976394624,0.700644428404855,0.944320074473986,0.105160408725233,0.275621189077683,-0.145718377405158,0,0,0,0,0.366479492322125,-0.563799998252313,-0.530583328597861,-0.516046194726813,0.0214307239979255,-0.740582652304315,0.234062292397867,-0.629517992159309,0.112049504419591,-0.265648647329499,-0.0181933621838077,-0.957363413915416,0,0,0,0
9,9,0.768239019841854,0.116983522727183,-0.629308356972734,-0.00972911337398043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269800502193302,0.709412239620921,-0.410518746733355,0.505387298883488,0.0421332109329503,0.704398878787314,0.107255063123196,0.700388009273499,0.944365258042828,0.104825803849305,0.275542954129761,-0.145814576358112,0,0,0,0,0.365013474333085,-0.559741428721778,-0.533779789832318,-0.518202501435838,0.0224641882801356,-0.744166059890629,0.234272231661575,-0.625162984368139,0.112134011047605,-0.265595626561404,-0.0181723356527278,-0.957368629596122,0,0,0,0
