,Frame,CoM pos x,CoM pos y,CoM pos z,CoM vel x,CoM vel y,CoM vel z,CoM acc x,CoM acc y,CoM acc z
0,0,-0.158264455939095,0.258622985200629,0.952515330575674,0.00962580871774236,0.002346575292694,-0.0228553331063582,0.000661628272780977,0.0204512212546644,0.028840055623389
1,1,-0.158005405691594,0.258483887071768,0.952441101024174,0.00984025631788567,0.00172341932144446,-0.0222488875713036,-0.0238384408039101,-0.0185759456713093,0.0609959126043919
2,2,-0.157744124978072,0.258345048761071,0.952357691737267,0.0100434290686306,0.00161052411368231,-0.0216429404809335,-0.0338145576504016,-0.0599816656672647,0.0588896523129041
3,3,-0.15748396397542,0.25820607893627,0.95227890234856,0.00972778759089772,0.00102038699662403,-0.021017891899278,0.0146510478851767,-0.0286932540442621,0.0893901612120643
4,4,-0.157228271877782,0.258066586206826,0.952218528810901,0.0100075235901486,0.000590948962769257,-0.0204450486444473,-0.0226559146485148,-0.0735325456729165,0.0735956889396171
5,5,-0.156980397040176,0.257926179128883,0.952190363871247,0.0102462865931401,-0.000587520621662767,-0.0198687488645052,-0.0605193150269897,-0.022060560231479,0.0474579848193326
6,6,-0.156737154158646,0.257786340351214,0.952206386509943,0.0106894105097191,-0.0013431675515829,-0.0193652469118799,-0.033504277510566,-0.0498168901491797,0.0592360202105074
7,7,-0.156496309146145,0.257647330649145,0.952257394540649,0.0112948166301833,-0.00212128860751541,-0.0188956862588632,0.0215356895868903,-0.0678597837675616,0.0452929675733911
8,8,-0.156262637467313,0.257506925872795,0.952325409582143,0.0119188374291526,-0.00268462884755849,-0.0184479409197541,-0.052751409041173,-0.148047889320547,0.0607320277838702
9,9,-0.156040915408487,0.257362901998017,0.952392456202053,0.0125197333734956,-0.00323917654331,-0.0179843234313283,-0.0251062896977355,-0.164318732674034,0.0680108549869819
10,10,-0.155835919882805,0.257213035003895,0.952440561484567,0.0126412512832281,-0.00441975048403172,-0.0175038486529621,-0.054597060118765,-0.132741779103432,0.0897578744366326
11,11,-0.155653881283488,0.257057175082848,0.952468160944265,0.0116033589067164,-0.0056744261207981,-0.0170105459643306,-0.0274377836421392,-0.172847836753764,0.0778729971423085
12,12,-0.155491615515901,0.256896804247126,0.952487240712335,0.0103562087225661,-0.00731910479730928,-0.0165200859687576,-0.0346457853467016,-0.177536807860089,0.0689645207510496
13,13,-0.155339778043412,0.256732146533553,0.952500152203279,0.00876218996927904,-0.0093461199676774,-0.0159928045286778,0.0111350041237329,-0.11078169191594,0.0993315919180342
14,14,-0.155189024362327,0.256563426743348,0.952509242650634,0.00772583685174893,-0.0112779502757876,-0.0154596056991483,-0.00642208736635077,-0.124603734721644,0.0688554829447785
15,15,-0.155030009980051,0.256390870573052,0.952516855476704,0.00727153438799752,-0.0130014806014577,-0.014892855954395,-0.0107048610259796,-0.143303684614296,0.0822481644255773
16,16,-0.154863265933386,0.256219210282825,0.952522466124646,0.00742511147587162,-0.0140574974373504,-0.0143242569222051,-0.0300809997265505,-0.158422477930123,0.0825738888305729
17,17,-0.154695021678588,0.256048296317832,0.952524507669558,0.00839965603914041,-0.0151875612445438,-0.0137272642704377,-0.0726983334155572,-0.173550868609517,0.0808663478549378
18,18,-0.154524480523251,0.255871032399924,0.95252375739436,0.00963746604335311,-0.0161678661058944,-0.0131263743616143,-0.0679018314158951,-0.1676840817687,0.0636873149775216
19,19,-0.154350846026558,0.255680322150564,0.952520991905525,0.0109781315468794,-0.016849118834442,-0.0125296989393087,-0.0470090589365652,-0.181763843675925,0.0937771278692058
20,20,-0.154173322116344,0.255469069249614,0.952516987080542,0.0120276532317575,-0.0179400735662216,-0.0119620533116743,-0.054882696627776,-0.194215298000792,0.10193743525426
