,Frame,L5S1 Lateral Bending,L5S1 Axial Bending,L5S1 Flexion/Extension,L4L3 Lateral Bending,L4L3 Axial Rotation,L4L3 Flexion/Extension,L1T12 Lateral Bending,L1T12 Axial Rotation,L1T12 Flexion/Extension,T9T8 Lateral Bending,T9T8 Axial Rotation,T9T8 Flexion/Extension,T1C7 Lateral Bending,T1C7 Axial Rotation,T1C7 Flexion/Extension,C1 Head Lateral Bending,C1 Head Axial Rotation,C1 Head Flexion/Extension,Right T4 Shoulder Abduction/Adduction,Right T4 Shoulder Internal/External Rotation,Right T4 Shoulder Flexion/Extension,Right Shoulder Abduction/Adduction,Right Shoulder Internal/External Rotation,Right Shoulder Flexion/Extension,Right Elbow Ulnar Deviation/Radial Deviation,Right Elbow Pronation/Supination,Right Elbow Flexion/Extension,Right Wrist Ulnar Deviation/Radial Deviation,Right Wrist Pronation/Supination,Right Wrist Flexion/Extension,Left T4 Shoulder Abduction/Adduction,Left T4 Shoulder Internal/External Rotation,Left T4 Shoulder Flexion/Extension,Left Shoulder Abduction/Adduction,Left Shoulder Internal/External Rotation,Left Shoulder Flexion/Extension,Left Elbow Ulnar Deviation/Radial Deviation,Left Elbow Pronation/Supination,Left Elbow Flexion/Extension,Left Wrist Ulnar Deviation/Radial Deviation,Left Wrist Pronation/Supination,Left Wrist Flexion/Extension,Right Hip Abduction/Adduction,Right Hip Internal/External Rotation,Right Hip Flexion/Extension,Right Knee Abduction/Adduction,Right Knee Internal/External Rotation,Right Knee Flexion/Extension,Right Ankle Abduction/Adduction,Right Ankle Internal/External Rotation,Right Ankle Dorsiflexion/Plantarflexion,Right Ball Foot Abduction/Adduction,Right Ball Foot Internal/External Rotation,Right Ball Foot Flexion/Extension,Left Hip Abduction/Adduction,Left Hip Internal/External Rotation,Left Hip Flexion/Extension,Left Knee Abduction/Adduction,Left Knee Internal/External Rotation,Left Knee Flexion/Extension,Left Ankle Abduction/Adduction,Left Ankle Internal/External Rotation,Left Ankle Dorsiflexion/Plantarflexion,Left Ball Foot Abduction/Adduction,Left Ball Foot Internal/External Rotation,Left Ball Foot Flexion/Extension
0,0,0,0,-2.84254309044707,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495348,-0.040099805262623,-0.0748412064536878,12.6012836772444,0.0554615833032693,0.06429007481287,-12.6012263715545,0,0,0,90.0,5.05115252801793,5.05115252801793,0,90,0,0,0,0,0,0,0,90.0,0.0,0.0,0,90,0,0,0,0,-0.27899652860342,2.91874412366822,-3.27871751749462,0.00929265115094371,-0.708256436906825,-2.77706337204494,-1.01471283166956,-4.32516650720896,-0.483602178783607,0.641303645680877,0.00578826006115503,-1.03423832810482,-0.641955721005728,6.24468699750121,-2.98013643877656,-0.16718083569304,-0.615974300795485,-2.16250657961401,1.45272957862839,0.23948505737374,0.386131400095788,0.0,0.0,0.0
1,1,0,0,-2.84254309044707,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495348,-0.0409526785386547,-0.074591565544231,12.6010334067203,0.0562391703043247,0.0638606264887222,-12.6009754077338,0,0,0,90.0,5.05115252801793,5.05115252801793,0,90,0,0,0,0,0,0,0,90.0,-5.05115252801793,-5.05115252801793,0,90,0,0,0,0,-0.273825058640079,2.92783665442506,-3.26733957659566,0.0622831006532749,-0.713170149538364,-2.74090258595111,-1.036378095447,-4.32932463345099,-0.43986999694807,0.642794397288578,0.00575541164992863,-1.02598625303268,-0.634382953123189,6.24602563143483,-2.97926573928916,-0.246903531461685,-0.606159461273626,-2.16620206211895,1.48739977951288,0.240434777825829,0.38144718126239,0.0860963641914991,9.9738325934959e-05,-0.0750312311855438
2,2,0,0,-2.84254309044707,0,0,-7.08969429797762,0,0,-1.26926260974451,0,0,4.88473757495348,-0.0415724668080463,-0.0743205781835758,12.6007679095236,0.0567846166248525,0.0634612165192271,-12.6007094993587,0,0,0,90.0,90.0,90.0,0,90,0,0,0,0,0,0,0,90.0,0.0,0.0,0,90,0,0,0,0,-0.268890886556788,2.93685323588996,-3.25768493783151,0.116479510606468,-0.719566626744212,-2.70610139300657,-1.059221465119,-4.33195604261445,-0.396119849671622,0.644855188007651,0.00572597697438738,-1.01747746373737,-0.626042928801112,6.24724963298825,-2.97973192860236,-0.328794475042863,-0.594196350670844,-2.17076054323795,1.52344024346989,0.239743931757704,0.377140318187899,0.178307559595912,0.00029994810298735,-0.153907844349949
3,3,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.2692626097445,0,0,4.88473757495348,-0.0423089412509381,-0.074060244414734,12.6005104513397,0.0574462752905904,0.063046745378164,-12.6004515009901,0,0,0,90.0,5.05115252801793,5.05115252801793,0,90,0,0,0,0,0,0,0,90.0,0.0,0.0,0,90,0,0,0,0,-0.263835645680138,2.94591784576102,-3.24717728879878,0.1700537962605,-0.725302004231269,-2.67059624417185,-1.08146456065381,-4.33538010992103,-0.35237272909962,0.646629673404285,0.00569444285808666,-1.00909675478141,-0.61808617604779,6.24852826270145,-2.97952662459029,-0.409598207708091,-0.583285562828156,-2.17486748208397,1.55879490468519,0.239852929786507,0.372638530522666,0.267474570910795,0.000592717015554967,-0.230846907351431
4,4,0,0,-2.84254309044707,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495348,-0.0435118603898322,-0.0738427679088354,12.6002843674761,0.0585725315937365,0.0625723199616606,-12.6002243451085,0,0,0,90.0,5.05115252801793,5.05115252801793,0,90,0,0,0,0,0,0,0,90.0,0.0,0.0,0,90,0,0,0,0,-0.25830080848653,2.95515792937546,-3.23324033742671,0.221179042508065,-0.728232129808732,-2.6323257661821,-1.10132469743602,-4.34191389787387,-0.308648447134732,0.647261556223086,0.00565556857600861,-1.00122909327694,-0.611663718013488,6.25002896944332,-2.97664149823734,-0.486060466002635,-0.57662700163737,-2.17721367686775,1.59140957773962,0.243202342907816,0.367373667387396,0.344435289385663,0.000932020128447551,-0.300069451896611
5,5,0,0,-2.84254309044707,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495348,-0.0455309656892728,-0.0737005987187659,12.6001130700153,0.0605118078191733,0.0619932938960793,-12.6000510498531,0,0,0,90.0,-1.68760489417697,-1.68760489417698,0,90,0,0,0,0,0,0,0,89.9999987925817,90.0,90.0,0,90,0,0,0,0,-0.251927685567257,2.96470433355459,-3.2132978040824,0.268029535101165,-0.726212197317667,-2.58923054012033,-1.11701504702072,-4.35387225317739,-0.26496654898195,0.645894592614595,0.0056043380646637,-0.994259632023733,-0.607927130217751,6.25191731819451,-2.96906833053057,-0.554928181334341,-0.577420171122239,-2.17649440325819,1.61923243959525,0.252233219250205,0.360780697249268,0.400025164484693,0.00124206125246337,-0.355799365720054
6,6,0,0,-2.84254309044707,0,0,-7.08969429797763,0,0,-1.2692626097445,0,0,4.88473757495348,-0.0486695516351997,-0.0736552178380427,12.6000183295686,0.0635648024562389,0.0612644472339051,-12.599953062716,0,0,0,90.0,-2.53049303995912,-2.53049303995912,0,90,0,0,0,0,0,0,0,90.0,90.0,90.0,0,90,0,0,0,0,-0.243994518851217,2.97547766261694,-3.18566928984649,0.310652290064866,-0.719156341864477,-2.54072187422843,-1.12866934984259,-4.37258603920087,-0.221492248229748,0.642400788280272,0.00554188600769788,-0.988527395550618,-0.608151595673081,6.25469066030072,-2.95482369746144,-0.615280514649178,-0.589855376819232,-2.17157763794701,1.64210536033813,0.270212562624916,0.352370758421588,0.427896910043386,0.00145148586165075,-0.394698604881284
7,7,0,0,-2.84254309044707,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495348,-0.0526943958320663,-0.0736858918258666,12.5999847896815,0.0674993688076259,0.0604164329853301,-12.5999153176683,0,0,0,90.0,5.05115252801793,5.05115252801793,0,90,0,0,0,0,0,0,0,90.0,-174.948847471982,-174.948847471982,0,90,0,0,0,0,-0.234740066449364,2.98739990129458,-3.15207307060508,0.350265370864118,-0.708492709279113,-2.48817519003275,-1.13746938823479,-4.39650775773004,-0.178213698852099,0.637351182988207,0.00547189956175791,-0.983776022260705,-0.611571162181276,6.2582325443881,-2.93524664406629,-0.669290146094739,-0.611798331085636,-2.16334374006879,1.66140582932085,0.295514079667348,0.342526575180823,0.434155717191411,0.00156315171946046,-0.420622731064035
8,8,0,0,-2.84254309044707,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495348,-0.0571504641391976,-0.0737616081816937,12.5999801327967,0.0718646304985831,0.0595182772719993,-12.5999060193882,0,0,0,90.0,-90.0,-90.0,0,90,0,0,0,0,0,0,0,90.0,0.0,0.0,0,90,0,0,0,0,-0.225246424708173,2.99910309130048,-3.11502970824307,0.386802824610438,-0.694345692448003,-2.43247992563247,-1.14319937065937,-4.42363305515695,-0.13488680284213,0.630938004326707,0.00539328500891463,-0.97949774970675,-0.616275536225982,6.26178914818619,-2.91331307202818,-0.718342991278511,-0.636963503945423,-2.1535031168255,1.67738303216337,0.323240839286123,0.331987872183126,0.428316012249497,0.00161542685627725,-0.438585608336476
9,9,0,0,-2.84254309044707,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495349,-0.0615827576758975,-0.0738507280735345,12.5999718873036,0.0762096104078913,0.0586383943248471,-12.5998932013788,0,0,0,90.0,-1.26586381389443,-1.26586381389443,0,90,0,0,0,0,0,0,0,90.0,180.0,-180.0,0,90,0,0,0,0,-0.216595653981164,3.00921446097216,-3.07705831506188,0.420202037296144,-0.676838702694526,-2.37452710623977,-1.14564570897532,-4.45195731450023,-0.0912683474775713,0.623353318719404,0.0053049848849016,-0.975184858485725,-0.620353368416122,6.26461084639319,-2.89199904305072,-0.763821798147154,-0.659067186508144,-2.14376015283181,1.69027840294206,0.348497072177822,0.321490888360881,0.419893196545578,0.00165302014725694,-0.453600561403599
