,Frame,Pelvis x,Pelvis y,Pelvis z,L5 x,L5 y,L5 z,L3 x,L3 y,L3 z,T12 x,T12 y,T12 z,T8 x,T8 y,T8 z,Neck x,Neck y,Neck z,Head x,Head y,Head z,Right Shoulder x,Right Shoulder y,Right Shoulder z,Right Upper Arm x,Right Upper Arm y,Right Upper Arm z,Right Forearm x,Right Forearm y,Right Forearm z,Right Hand x,Right Hand y,Right Hand z,Left Shoulder x,Left Shoulder y,Left Shoulder z,Left Upper Arm x,Left Upper Arm y,Left Upper Arm z,Left Forearm x,Left Forearm y,Left Forearm z,Left Hand x,Left Hand y,Left Hand z,Right Upper Leg x,Right Upper Leg y,Right Upper Leg z,Right Lower Leg x,Right Lower Leg y,Right Lower Leg z,Right Foot x,Right Foot y,Right Foot z,Right Toe x,Right Toe y,Right Toe z,Left Upper Leg x,Left Upper Leg y,Left Upper Leg z,Left Lower Leg x,Left Lower Leg y,Left Lower Leg z,Left Foot x,Left Foot y,Left Foot z,Left Toe x,Left Toe y,Left Toe z
0,0,-0.0461394708112135,0.00950227179722348,0.0022934876199745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0277575799016778,0.00446842091604595,0.106105817827666,0.107489365443643,0.116417512463224,0.0251147755984071,-0.0246728849815369,-0.00913503234157946,-0.0404918050295375,0,0,0,0.0462189465628392,0.0753126687256245,0.0765631110659868,0.0594924420628858,0.0487522947339517,0.0415585177337956,-0.00205005060003376,0.013650573965019,0.0136296463494681,0,0,0
1,1,0.00796557291198458,0.00669754439618997,0.0261066709401589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0526508736758292,0.0725932539810507,0.11911054046943,0.107945710830898,0.115584946450267,0.0251378532068216,-0.0405124885226378,0.00403953288631315,-0.00265726345855377,0,0,0,0.0695738994672668,0.0410584994378998,0.111608953647426,0.082674345996806,-0.0299664634836337,0.0452260919451088,0.01123790396479,-0.00651251444278378,0.0181370229874087,0,0,0
2,2,-0.0346229101534187,0.0106817344798345,0.0231651756364482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0336935319213003,-0.00152583750255147,0.128670199614985,0.0789280441224483,0.0762404772434278,0.00416134515417532,-0.000657763299984765,-0.00457666184769008,0.000633071446049627,0,0,0,0.0661901678272774,0.00571833862843887,0.11415314552522,0.0656051815482319,-0.0830206361090042,0.0214920172514308,0.0121641438400241,-0.00628067608295056,0.0181227159286035,0,0,0
3,3,-0.0228696581712082,0.0108410958905405,0.0440114007416952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00967861607153106,-0.0399844801917001,0.0970896661659832,0.114614851143649,0.0973328509621053,0.0133827797638872,-0.0242549718409708,0.0172583437170649,-0.0148064021610157,0,0,0,0.0876024256773723,-0.0140447830568893,0.0962855535404916,0.0837485515837573,-0.0840144745201242,0.0595157549398451,0.00335399176259717,-0.018519587236494,-0.0124515638616156,0,0,0
4,4,-0.0125015882763563,-0.040995656092467,0.0354840930457794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0273293074876182,0.00532388027003096,0.105740558487982,0.133961202332184,0.108918163507766,-0.0224519804768786,-0.0205666248729839,-0.0129421365213754,0.0129139521144399,0,0,0,0.0360187368961866,-0.0605477705149838,0.121062730333925,0.0836266873119348,-0.0852284316926271,0.0595002736821399,0.0115966873353844,0.0157482194891766,-0.00907986028126473,0,0,0
5,5,-0.0674268962473808,-0.0368247213416399,0.0116429041337458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0478569071768558,0.00473060401361761,0.124593554103084,0.173713318463655,0.110432633922097,0.0154504107180351,0.0149410489030156,0.00968900024055763,-0.011454199018468,0,0,0,-0.0135667446883574,-0.0398952260532243,0.106201531263087,0.0623556030674905,-0.061167541417859,0.0701422261154256,0.00299816878183437,0.0150183595227969,0.0135643273582193,0,0,0
6,6,-0.0258380581256393,-0.0392992059548414,0.0145509075162451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0588510957440107,0.0627458598453225,0.118150325285296,0.183133869042424,0.114471763143084,0.0379025171367608,-0.0221895406423572,-0.0105851309048883,0.0130061107397683,0,0,0,-0.0360535896713574,0.0124491106959387,0.086766254002633,0.0649103619262622,0.129078544360082,0.0233153958025802,-0.00566727749313809,0.00271872066146409,-0.017003986944804,0,0,0
7,7,0.0564270380072777,-0.0966073762948327,-0.00895735541000597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117302219799017,-0.0502866005964529,0.126636501231717,0.195782987695892,0.09936180237064,0.0890126827522923,0.0260682309351438,0.0134207352024624,0.00918810811704063,0,0,0,-0.0372170174374346,0.0126458559523004,0.0865658440577945,0.148270775976372,0.269192931368359,0.0312450951258416,0.0211736195780124,0.0498960099027577,-0.0057346721525704,0,0,0
8,8,-0.0606831323538358,-0.104299320204472,0.0329676183261896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0701419711479183,-0.145231155446625,0.112666274712845,0.185310829307555,0.0331251094542559,0.0265047174076205,-0.024112160542791,-0.00898112292701918,0.0131162155748648,0,0,0,-0.0836339211217535,0.0182037920425815,0.124382086790156,0.207009899452353,0.270529244818206,0.033657958563051,0.00889280091675469,-0.0168681102858895,-0.0125068790485265,0,0,0
9,9,0.0228573472531822,-0.091215606904831,0.0684664899929377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034162441540923,-0.181626831503535,0.0924578683097117,0.137861811444825,-0.0165578024733605,0.000725557769062135,0.02062316699908,-0.00753115124066429,-0.0162716769431768,0,0,0,-0.105610734834771,0.00550407604619566,0.178775809280067,0.115153915591662,0.0282225162297265,0.0753434895141716,-0.0146859376862572,0.0250617344069745,-0.021547785411304,0,0,0
10,10,-0.0323594723005555,-0.0868219872766144,0.0444937063364215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0583866943677618,-0.13488355444183,0.0818531633202664,0.134112352905037,-0.0401584829124063,0.00671895908456932,-0.0264270587184791,-0.00669111852397951,0.013222781580712,0,0,0,-0.0837259436338198,-0.0627314634138388,0.216203699242049,-0.0480117319366744,-0.143878995690973,0.0898406552454531,-0.00716536021006479,-0.0165330612204779,0.0327902066624262,0,0,0
11,11,-0.0609701325735526,-0.13661724531035,-0.0267657909457899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.057743395586415,-0.134878366555794,0.0814863768099077,0.164984557291813,-0.0427955149265429,0.021957595842979,-0.0307471013434518,-0.0284880282035277,-0.0122983578289748,0,0,0,-0.116123317537377,-0.132504983051063,0.188748142119028,-0.16977310956081,-0.327153323000245,0.100157859915194,-0.00933799457964982,0.0049366818379522,0.00560464881040268,0,0,0
12,12,-0.0596413672281998,-0.119334356166732,-0.0568893393593832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0254488307819635,-0.179660403569196,0.102947974423959,0.0819467774368065,-0.03385836252037,-0.00189284657750122,0.0225436577667402,-0.0350058757950064,0.0116115409129183,0,0,0,-0.121511229185281,-0.185521410697476,0.175279075191032,-0.218891422738124,-0.349573669860274,0.108085748372945,-0.0154435601015225,-0.0284326067869654,0.002224326020837,0,0,0
13,13,-0.0393483325100079,-0.137320823287559,0.0147613443036434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0335677065457334,-0.0258070964515227,0.110049784623795,0.0458340425295295,-0.0180639546258911,0.0346938584818712,-0.0161250704189642,0.0394750395987563,-0.0265300245382445,0,0,0,-0.0490073336072639,-0.15939427338664,0.132461225127106,-0.273038678095866,-0.281023147551331,0.118951032044535,-0.00395091096404501,-0.0155188718422913,0.032753272450794,0,0,0
14,14,0.00467255892458857,-0.122838834017687,-0.0122680366207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0549427591586254,0.0275244084293792,0.156671088125842,-0.0390734303859682,-0.0507299533012054,0.0456302743472961,-0.0140170499467865,-0.0678207196267952,-0.0221537538403247,0,0,0,-0.105503073271771,-0.226783422887842,0.106947526771457,-0.270122686676825,-0.104275402787021,0.103747642271623,0.00579605935038547,-0.0157679700736597,0.0100790987661359,0,0,0
15,15,0.0292630195278393,-0.123450909560353,0.0294921534365855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0705104793966582,-0.0328506082121056,0.0898995094230308,-0.109457674107049,-0.136432805082469,0.0617440756464767,-0.0152105322381565,0.0634114683982828,-0.000843648175816725,0,0,0,-0.150879619700786,-0.187255481104879,0.107902957267074,-0.224696488199847,-0.0447940807607696,0.112904185869869,-0.00558595884758702,0.00500713292161631,0.0055570355979615,0,0,0
16,16,0.0312061269466597,-0.0882195250765805,0.0291618943667533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0855309103282333,-0.159103812690316,0.0825714417146006,-0.227966738103396,-0.313090916096793,0.0869721155784013,-0.0226589542099264,-0.0237152245919263,0.00853083878869043,0,0,0,-0.220342715196366,-0.178342445256497,0.147768059501672,-0.157111787834556,-0.0103116286729777,0.111432673598646,-0.00143573140206236,-0.0163184228528101,0.0327203671758927,0,0,0
17,17,0.0123283032669792,-0.120308288797963,0.0682357502035487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0497331111913572,-0.260078585940058,0.121674897372589,-0.298708741234957,-0.478063380207499,0.0917117361530639,-0.028963798423454,0.00824642677506992,-0.0191547782121457,0,0,0,-0.239111964390169,-0.106907506467675,0.144335039245238,-0.155493138441769,-0.0499105599567924,0.0941493106060793,-0.00366540679675367,0.00532130515866862,0.00553722479302898,0,0,0
18,18,0.0390398922954657,-0.138780841930127,0.0802610295110355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0260443182989848,-0.228004148271879,0.0839538765826244,-0.303115182463738,-0.45952110148192,0.0628124220574104,-0.0101435346892911,-0.0353620368606155,-0.0291638103671268,0,0,0,-0.258374883282596,-0.0528928822681404,0.159415974554708,-0.142996576032422,-0.108402907722669,0.0872745271089066,0.00657429950326792,0.00574574752088106,-0.0171394605458133,0,0,0
19,19,0.0493930135247241,-0.173200353213637,0.101348957794656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0803704208148969,-0.254940166768935,0.11355722543874,-0.304517822209275,-0.338213227642669,0.0390829483990363,0.00161689697351329,-0.0335266611596954,-0.00859175627164888,0,0,0,-0.210348356305616,-0.0574958889563701,0.155685515141723,-0.0835522426785482,-0.0925170458609857,0.0581874884429059,-0.00170120271825066,0.00555906845225588,0.00551909480611812,0,0,0
20,20,0.00400512584331422,-0.203893221007665,0.0985384843548385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.185193028530058,-0.235918920058751,0.0910275491035613,-0.252341608625351,-0.143779028332442,0.0350961441850632,-0.0274435057322362,-0.0220910419669399,0.00861659649667246,0,0,0,-0.135699509605698,-0.0144757760078253,0.128942422491704,-0.011947183973894,-0.0952523812765789,0.0395399474899527,-0.0196479188103329,-0.00708765203253415,-0.00235932826404905,0,0,0
21,21,0.0487365116450263,-0.189895285036376,0.0713706598170329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.209490841015203,-0.168044921142372,0.103915437602623,-0.158855124470341,-0.0292867443822118,0.0578123350915813,0.00304146001057458,-0.00897808198622278,0.0169825176161975,0,0,0,-0.109573567959233,-0.0156138598320258,0.161371880094375,0.0148436064967505,-0.0498946748181697,0.0422591758054338,0.0003062201331164,0.00600022871068257,0.00549832564419361,0,0,0
22,22,0.0641106140613502,-0.172917269600943,0.0621106289482469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.130434741176637,-0.134557578220085,0.0816359031177143,-0.149584910306433,-0.064280085217221,0.0342142849960947,-0.0243848113394424,-0.0105828678014225,-0.0241162689681893,0,0,0,-0.0610986145392747,-0.0209389791714955,0.157561989922145,0.0312119356812887,0.00167510743513519,0.0660817165862557,0.0226788835504706,-0.0134500263505798,-0.0126755427979219,0,0,0
23,23,0.0787834889283294,-0.137859309000578,0.082494757013265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0800185023428459,-0.0689171367003871,0.11358860514785,-0.189734415187053,-0.152028541415998,0.0658197792028581,-0.0124460395861753,-0.0089241853596083,-0.00355994109545854,0,0,0,-0.0638235191552237,-0.0718304692096439,0.178615863577599,0.071390342869746,-0.0101867512608372,0.0619580364009114,0.00258773307513815,0.00671107340270041,0.0054758555280543,0,0,0
24,24,-0.0192099884371508,-0.112870335503693,0.0850719552973995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0239843311078815,-0.0564000137233765,0.117561657922387,-0.220749664578053,-0.192598726972176,0.0852156534449442,-0.00352536599102678,-0.0304511151289393,-0.00856802935297196,0,0,0,-0.0453279341325323,-0.0948763395455909,0.126518320953025,0.0344682802597966,-0.0917651916139249,0.0630350983342094,-0.0254355791568876,-0.0186995023209021,-0.0329209977312157,0,0,0
25,25,-0.0321985741321994,-0.110599192302655,0.0639759608449673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.105076219961604,-0.0517533414563842,0.113784779072473,-0.186980375058851,-0.0911853408375114,0.105852243309103,-0.00139520901411214,-0.00685977163758251,0.0169809617714787,0,0,0,0.0217547304146356,-0.121797982842441,0.0706941422696126,-0.00206369581038712,-0.172471346590582,0.0640786467102785,-0.00773824875633532,0.0277461444041601,0.000955964524992581,0,0,0
26,26,-0.0980442626580036,-0.0708636971420735,0.0185974343511948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0408139280768941,-0.0563190249929162,0.148091482422256,-0.178996280556148,0.114829920883001,0.116442683141376,-0.0155501834842166,-0.00673807002710101,-0.00359442619266659,0,0,0,0.0720175954973659,-0.0908099593923399,0.0642970222302814,-0.00135675544103307,-0.159030230810013,0.0325685391683219,0.0175177786561023,-0.0133158543999218,0.00995372835205011,0,0,0
27,27,-0.122573507917671,-0.033383482296842,-0.0237997242410781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0504649165573155,-0.0104291651191697,0.13788023805758,-0.13761979793576,0.242935004827173,0.0502567647150958,-0.0131681233604061,0.0175188073538331,0.021943186153722,0,0,0,0.14485716827095,-0.112474317240182,0.0771193996423651,0.0169423866987026,-0.160107940967948,0.070592724982415,0.0190424859569842,-0.0135018381586063,0.00993947046509902,0,0,0
28,28,-0.0592133711661481,0.0141500505443433,-0.0901657448194175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.127322321037461,0.0196701339445441,0.100651165019787,-0.0432713465576466,0.196909887647892,0.0505135872626301,0.0104225948571637,-0.0148301808520976,-0.0207838559381841,0,0,0,0.0973538023864847,-0.0589787600727448,0.0596879404920774,0.0425627535100452,-0.0754228474569943,0.0906077539745649,0.00748247668296948,0.00770970547899958,0.00543529389751463,0,0,0
29,29,-0.0415452384385236,0.0305262787680492,-0.1591742721586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.156632082519807,-0.0105899987026883,0.0581667474282241,0.00683076630943872,0.126849900406154,0.0188984290222187,0.00986399952336188,-0.0134032552110516,-0.0207850408956851,0,0,0,0.0512930175571257,-0.0690909906838191,0.116090171313894,0.0496754350388696,0.00991949826906868,0.0725672438988845,-0.0195631713300186,-0.00552068988634883,0.0202547861561744,0,0,0
30,30,-0.00264983093885424,0.0635148357048524,-0.0970414663247041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.18255227549305,-0.0712787851207975,0.0340946289596573,0.0616061447504556,-0.0846948327262096,0.0392709991142173,-0.0226191119302315,-0.0255264643250012,-0.02915518170696,0,0,0,0.000609244198516989,-0.0995697554677901,0.122310973087997,0.0580356788750995,0.0561378092188211,0.037257293909871,0.0278386658296081,0.00905416619753027,-0.0399364692140729,0,0,0
31,31,0.0209185096855545,0.0803946790715679,-0.0257657555612081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.141990903342625,-0.0930759618818545,0.0910282110193581,0.0786468338658697,-0.336259537443839,-0.024466403500119,-0.0334606858645253,-0.00260472980414313,-0.0241790837718856,0,0,0,0.0327067651707442,-0.0309958257572459,0.14941016990077,0.0380678247936101,0.0273704598206433,0.0621307968104574,-0.0107977238044624,0.0285861770314677,0.0235934002224898,0,0,0
32,32,0.0324713929140824,0.0978416881122066,0.0246192712331617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0889693435525044,-0.145897541173699,0.0632137105317394,0.0606788408454698,-0.429785696698419,-1.11295111189236e-05,-0.042885084324042,-0.0348931019401404,-0.0169814080158428,0,0,0,0.0129904081128646,0.038994392062348,0.145932307087522,0.0386832415415196,0.0407828738864413,0.0306255944693987,-0.0264133867117041,-0.0170503160968133,-0.0102762507729661,0,0,0
33,33,-0.0265422348781366,0.0851319269893518,0.0305242211450611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0586250461847026,-0.224734395506372,0.126242783208175,0.079573001216583,-0.15798534115869,0.0732983618094565,-0.00952565790686075,0.00148529189135105,0.0169412193532761,0,0,0,0.0390805824532714,0.102486874771823,0.104405917862517,0.031130269624376,-0.0460392561273293,0.0485609819717965,0.0127743319811011,0.00934211482607051,0.00539708766712366,0,0,0
