,Frame,T8_Head Lateral Bending,T8_Head Axial Bending,T8_Head Flexion/Extension,T8_LeftUpperArm Lateral Bending,T8_LeftUpperArm Axial Bending,T8_LeftUpperArm Flexion/Extension,T8_RightUpperArm Lateral Bending,T8_RightUpperArm Axial Bending,T8_RightUpperArm Flexion/Extension,Pelvis_T8 Lateral Bending,Pelvis_T8 Axial Bending,Pelvis_T8 Flexion/Extension,Vertical_Pelvis Lateral Bending,Vertical_Pelvis Axial Bending,Vertical_Pelvis Flexion/Extension,Vertical_T8 Lateral Bending,Vertical_T8 Axial Bending,Vertical_T8 Flexion/Extension
0,0,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,0.945059904907318,-0.06780293861008,4.11382522139569,0.937594364181639,-0.067678262017336,-2.20293279589803
1,1,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.945747879412818,-0.0676920527383145,4.10409252917339,0.938294499120325,-0.0675688470678964,-2.21266550243721
2,2,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.9461698398414,-0.0675840846269472,4.09570452975938,0.938728305433974,-0.0674621657092607,-2.22105351577843
3,3,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.946709547555138,-0.0674732896605356,4.08664327375375,0.939280166869084,-0.0673527464438885,-2.23011478604933
4,4,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.947746412696525,-0.0673532626773976,4.07488998225608,0.940330188591884,-0.0672344563638547,-2.24186809295873
5,5,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.949655650825818,-0.0672167339651034,4.05842508852781,0.942254376233739,-0.0671002969877171,-2.25833300415903
6,6,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.953585669395753,-0.0671241435542129,4.03609154692401,0.946194475806665,-0.0670107502493621,-2.2806665574993
7,7,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.959275476457979,-0.0670761061096426,4.00923230661994,0.951889433672302,-0.066966259145088,-2.30752580375949
8,8,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.964986954854953,-0.0669773079329711,3.9795801449514,0.957611636368998,-0.0668714427958228,-2.33717797787799
9,9,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.968987150595213,-0.0667368547110823,3.94887161353244,0.961638148192285,-0.0666353117259737,-2.3678865398663
10,10,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.969548185145625,-0.0662685750726577,3.91884666761809,0.962250590116206,-0.0661715720556047,-2.39791154524785
11,11,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.966088687844229,-0.0655303179931842,3.88902262951871,0.958872232478827,-0.0654381552885418,-2.42773567639792
12,12,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.959761479725262,-0.0645866450115851,3.85824564669468,0.952648782269689,-0.0644996335942987,-2.45851277671375
13,13,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.951446583449884,-0.0635133865726795,3.82724940985715,0.944451916586951,-0.0634316085670326,-2.48950914514814
14,14,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.942028026633011,-0.0623843988780181,3.79676511564731,0.935157534123567,-0.0623077334396064,-2.51999357543598
15,15,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.932393479958432,-0.0612713563580223,3.76752148680178,0.925645416074759,-0.061199506296612,-2.54923733606568
16,16,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.921363865872538,-0.0600835587515145,3.738678011093,0.914746469771726,-0.0600164361596115,-2.57808094982068
17,17,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.9083568044451,-0.0587774797496802,3.70974765220001,0.901883107327477,-0.0587150883328216,-2.607011457418
18,18,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,0.89515853421123,-0.0574904489148875,3.68198608320171,0.888826448987403,-0.0574324949383391,-2.63477316977149
19,19,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.883556174436519,-0.0563552105068218,3.65664763802577,0.877348999122871,-0.0563011488898421,-2.66011173876531
20,20,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.875336724385913,-0.0555005917318892,3.63498661962434,0.869223572162036,-0.0554496635637552,-2.68177284874005
21,21,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.871388713005015,-0.0549907373834529,3.61789145318333,0.865331634113965,-0.0549420862814645,-2.69886806912546
22,22,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.87052669055089,-0.0547336297664447,3.60452477107118,0.86449786488582,-0.0546866141749151,-2.7122347782264
23,23,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.87142550254648,-0.0546235986516744,3.5935532695222,0.865408741946309,-0.0545778310107491,-2.72320629125817
