,Frame,CoM pos x,CoM pos y,CoM pos z,CoM vel x,CoM vel y,CoM vel z,CoM acc x,CoM acc y,CoM acc z
0,0,0.0785100214951042,-0.209741552139651,0.951965891387496,-0.0082049680535221,-0.0157439865349761,-0.00224578991709722,0.0392663117501136,-0.122361966842246,-0.0286903026425956
1,1,0.0784271420947303,-0.209890678502551,0.951952696458308,-0.00691436648125632,-0.0163770076587935,-0.00203485218583016,0.0766698684387859,-0.0503204414968954,0.0135750543070699
2,2,0.0783559411020967,-0.210051101929145,0.951946341517652,-0.00520028005566595,-0.0169724987358393,-0.0016074474211468,0.151445566303407,-0.0772333259191849,0.0618083171298918
3,3,0.0782985112164323,-0.210225892939246,0.951951280697853,-0.00255396424239515,-0.017464341624555,-0.000838371138514226,0.224789045421866,-0.0686451624695089,0.122525289204886
4,4,0.0782328418792876,-0.210418671636329,0.95197406229304,0.00108578890206692,-0.0182004262196286,0.000697237871005385,0.210466957081094,-0.0750315181199397,0.14074176827747
5,5,0.0781575353875946,-0.210627386274923,0.952011719470704,0.00600632148875951,-0.0190105873702436,0.00295092259902716,0.163911571720558,-0.0557008246349476,0.178492515447414
6,6,0.0781056071004728,-0.210846601465063,0.952054439394987,0.0110781480895745,-0.0198917435951742,0.00533941224019168,0.112344759104186,-0.0921147914966284,0.157826956876585
7,7,0.0781100770118408,-0.211070891790463,0.952092407925413,0.0158643792034729,-0.0208209373983737,0.00718053096576094,0.179843213096159,-0.139990590634037,0.18168960879517
8,8,0.0782039702885506,-0.211294840605741,0.952115818624943,0.0203444700764814,-0.022143976886192,0.00779590975941414,0.242639426664639,-0.0919642070258215,0.178098604968512
9,9,0.0784074677830599,-0.21151301212794,0.952126855038907,0.0241546912174776,-0.0234948919960769,0.00689286404520434,0.225448138985782,-0.0736087884854409,0.0925659929417657
10,10,0.0786985659630006,-0.211729017286515,0.952132123534364,0.0270609118578451,-0.0252471292955459,0.00486556268339852,0.257579274651267,-0.136844517494564,0.00100172670278404
11,11,0.0790470091846602,-0.211951003002531,0.952128440135037,0.0296171756871907,-0.0270492182851746,0.00228613904788322,0.213827209028841,-0.133172838976826,-0.174705966357851
