,Frame,T8_Head Lateral Bending,T8_Head Axial Bending,T8_Head Flexion/Extension,T8_LeftUpperArm Lateral Bending,T8_LeftUpperArm Axial Bending,T8_LeftUpperArm Flexion/Extension,T8_RightUpperArm Lateral Bending,T8_RightUpperArm Axial Bending,T8_RightUpperArm Flexion/Extension,Pelvis_T8 Lateral Bending,Pelvis_T8 Axial Bending,Pelvis_T8 Flexion/Extension,Vertical_Pelvis Lateral Bending,Vertical_Pelvis Axial Bending,Vertical_Pelvis Flexion/Extension,Vertical_T8 Lateral Bending,Vertical_T8 Axial Bending,Vertical_T8 Flexion/Extension
0,0,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.460364601381266,-0.0244276141551432,3.04156034865561,0.457672553704645,-0.0244331113272261,-3.27520150150161
1,1,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,0.466350371502833,-0.024476983349622,3.00855687500548,0.463652793721928,-0.0244840480305437,-3.30820497279648
2,2,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.472804884135822,-0.024602607970577,2.98269034347735,0.470093390388554,-0.0246109350736084,-3.33407149837403
3,3,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.479814255032645,-0.0248466045117191,2.96825144536077,0.477075829738718,-0.0248557054690636,-3.34851038488557
4,4,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.486568113676461,-0.0251759796216661,2.96584820099906,0.483793380068072,-0.0251853178079593,-3.35091361341905
5,5,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.493018495341414,-0.0255679401569774,2.97261950950827,0.490200581860712,-0.0255770901314613,-3.34414228581393
6,6,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.500399334926282,-0.0260818371656809,2.9876512696397,0.497524827404548,-0.0260904156232937,-3.32911050020735
7,7,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.509945067316919,-0.0267782938975452,3.01002770269811,0.506993869369169,-0.0267859469063159,-3.30673403181928
8,8,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.522890939733585,-0.027720650313922,3.03883091948284,0.519835974370911,-0.0277270343130348,-3.27793076575055
9,9,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.540491377363316,-0.0290401339154882,3.07984454416821,0.537291128176629,-0.0290445272212594,-3.23691706920223
10,10,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.561950764996528,-0.0307203683113007,3.13367129552301,0.558565530834159,-0.0307218304532937,-3.18309022151655
11,11,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.585418099974179,-0.0325945883457774,3.19162269338961,0.581826536147755,-0.0325925014145231,-3.12513870982107
12,12,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.609023047717353,-0.0344756025172333,3.24501469315217,0.605224408536411,-0.0344698500514137,-3.0717465890511
13,13,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.630874037943952,-0.0361540665255819,3.28516828451056,0.626890608742909,-0.0361452383408181,-3.03159288398358
