,Frame,Pelvis x,Pelvis y,Pelvis z,L5 x,L5 y,L5 z,L3 x,L3 y,L3 z,T12 x,T12 y,T12 z,T8 x,T8 y,T8 z,Neck x,Neck y,Neck z,Head x,Head y,Head z,Right Shoulder x,Right Shoulder y,Right Shoulder z,Right Upper Arm x,Right Upper Arm y,Right Upper Arm z,Right Forearm x,Right Forearm y,Right Forearm z,Right Hand x,Right Hand y,Right Hand z,Left Shoulder x,Left Shoulder y,Left Shoulder z,Left Upper Arm x,Left Upper Arm y,Left Upper Arm z,Left Forearm x,Left Forearm y,Left Forearm z,Left Hand x,Left Hand y,Left Hand z,Right Upper Leg x,Right Upper Leg y,Right Upper Leg z,Right Lower Leg x,Right Lower Leg y,Right Lower Leg z,Right Foot x,Right Foot y,Right Foot z,Right Toe x,Right Toe y,Right Toe z,Left Upper Leg x,Left Upper Leg y,Left Upper Leg z,Left Lower Leg x,Left Lower Leg y,Left Lower Leg z,Left Foot x,Left Foot y,Left Foot z,Left Toe x,Left Toe y,Left Toe z
0,0,0.45971607615629,3.04165834738641,2.25213931995747,0.459071197570649,0.199206588534741,2.22934146842426,0.462408120597207,-6.89025907238069,2.17226994280021,0.463763268457297,-8.15948022872661,2.16192250309793,0.459819352792087,-3.2749011142707,2.20147681418684,0.462771484294473,9.33472244377205,2.21107363163699,0.459819352792087,-3.2749011142707,2.20147681418684,0.459819352792087,-3.2749011142707,2.20147681418684,0.459819352792087,-3.2749011142707,2.20147681418684,0.459819352792087,-3.2749011142707,2.20147681418684,0.459819352792087,-3.2749011142707,2.20147681418684,0.459819352792087,-3.2749011142707,2.20147681418684,0.459819352792087,-3.2749011142707,2.20147681418684,0.459819352792087,-3.2749011142707,2.20147681418684,0.459819352792087,-3.2749011142707,2.20147681418684,0.230988051025902,1.26401619865812,2.49680580342142,0.129950071103155,4.86443198675707,3.33255647162962,0.145295211440825,-0.194788266085055,-0.0538657295254642,0.145295211440825,-0.194788266085055,-0.0538657295254642,0.570052180094631,0.546442367247637,-1.14785289688196,-0.258770127862497,1.63319864029129,-1.44059086391187,0.0672001313951382,-0.0939738334484947,-0.0232318288977877,0.0672001313951382,-0.0939738334484947,-0.0232318288977877
1,1,0.46570759010454,3.00865635161577,2.27370531831045,0.465067609076539,0.166206991608614,2.25061038957783,0.468481659510137,-6.92325264059134,2.1927893756708,0.469860705215864,-8.19247270029327,2.1823051623073,0.465841821250819,-3.3078977719293,2.22238083877922,0.468777980319861,9.30171415578766,2.23327640591893,0.465841821250819,-3.3078977719293,2.22238083877922,0.465841821250819,-3.3078977719293,2.22238083877922,0.465841821250819,-3.3078977719293,2.22238083877922,0.465841821250819,-3.3078977719293,2.22238083877922,0.465841821250819,-3.3078977719293,2.22238083877922,0.465841821250819,-3.3078977719293,2.22238083877922,0.465841821250819,-3.3078977719293,2.22238083877922,0.465841821250819,-3.3078977719293,2.22238083877922,0.465841821250819,-3.3078977719293,2.22238083877922,0.250506324834571,1.23349571382097,2.53108603496538,0.130673898450555,4.89752500850117,3.29382362826666,0.135646623335661,-0.187544574818475,-0.0501787598978312,0.135646623335661,-0.187544574818475,-0.0501787598978312,0.572656821448837,0.524729507859454,-1.13141746230054,-0.242359875408917,1.64802712017749,-1.38564838861943,0.0859368370246434,-0.0778537551902883,-0.0214121817964279,0.0859368370246434,-0.0778537551902883,-0.0214121817964279
2,2,0.472164361049985,2.98279171691786,2.29781768005126,0.471526076868651,0.140344976111354,2.27440258871823,0.475014191653643,-6.94910807965117,2.21577540450471,0.476417313168464,-8.21832694400176,2.20514431033528,0.472323980633572,-3.33375658004067,2.24578026887811,0.475260061089374,9.27584288287072,2.25807768896014,0.472323980633572,-3.33375658004067,2.24578026887811,0.472323980633572,-3.33375658004067,2.24578026887811,0.472323980633572,-3.33375658004067,2.24578026887811,0.472323980633572,-3.33375658004067,2.24578026887811,0.472323980633572,-3.33375658004067,2.24578026887811,0.472323980633572,-3.33375658004067,2.24578026887811,0.472323980633572,-3.33375658004067,2.24578026887811,0.472323980633572,-3.33375658004067,2.24578026887811,0.472323980633572,-3.33375658004067,2.24578026887811,0.269105619799576,1.2072451874724,2.5647117193109,0.132992471888445,4.92739923530954,3.2799778312066,0.138797059832546,-0.190858891772082,-0.0515622660746488,0.138797059832546,-0.190858891772082,-0.0515622660746489,0.578406663442785,0.502034915277382,-1.11054834379877,-0.2243690214925,1.66562140181669,-1.34201910424802,0.0889389629155035,-0.0791772490529154,-0.0195388949098595,0.0889389629155035,-0.0791772490529154,-0.0195388949098595
3,3,0.479170512416737,2.96835534332582,2.32399798718795,0.478528744031003,0.125911484302095,2.30023547590312,0.482083755667272,-6.96353434510448,2.24073580717288,0.483510503893163,-8.23275189740543,2.22994610307433,0.479345826246353,-3.34818654582186,2.27118766667239,0.482306892514579,9.26139942864734,2.28500886965908,0.479345826246353,-3.34818654582186,2.27118766667239,0.479345826246353,-3.34818654582186,2.27118766667239,0.479345826246353,-3.34818654582186,2.27118766667239,0.479345826246353,-3.34818654582186,2.27118766667239,0.479345826246353,-3.34818654582186,2.27118766667239,0.479345826246353,-3.34818654582186,2.27118766667239,0.479345826246353,-3.34818654582186,2.27118766667239,0.479345826246353,-3.34818654582186,2.27118766667239,0.479345826246353,-3.34818654582186,2.27118766667239,0.28472372496336,1.18366980540651,2.59308619296673,0.139362985587103,4.95519172920184,3.31606744580875,0.163900114240164,-0.212819353049952,-0.0618375652867561,0.163900114240165,-0.212819353049952,-0.0618375652867561,0.589594799733171,0.476656031372406,-1.08612227788456,-0.204183848004366,1.68875733777217,-1.32390530322633,0.0630198204992087,-0.112007819708417,-0.0175502330456837,0.0630198204992087,-0.112007819708417,-0.0175502330456837
4,4,0.485916365738831,2.96595495837409,2.35181842127572,0.48526657157761,0.123513913210595,2.32772138699176,0.488874177524811,-6.96592486862719,2.26738365722242,0.490321482965793,-8.23514114263379,2.25644191168538,0.48609639214023,-3.35058067661356,2.29826451357698,0.489100382332994,9.25899226896855,2.31355237443723,0.48609639214023,-3.35058067661356,2.29826451357698,0.48609639214023,-3.35058067661356,2.29826451357698,0.48609639214023,-3.35058067661356,2.29826451357698,0.48609639214023,-3.35058067661356,2.29826451357698,0.48609639214023,-3.35058067661356,2.29826451357698,0.48609639214023,-3.35058067661356,2.29826451357698,0.48609639214023,-3.35058067661356,2.29826451357698,0.48609639214023,-3.35058067661356,2.29826451357698,0.48609639214023,-3.35058067661356,2.29826451357698,0.297022851243746,1.17110361431556,2.6128636744017,0.149385101075367,4.971621148356,3.41806976869186,0.223350965553436,-0.263491541207361,-0.0855252289051101,0.223350965553436,-0.263491541207361,-0.0855252289051101,0.608596632676516,0.449399162878303,-1.05257532398719,-0.18071715301862,1.71683100710436,-1.33529787361993,-0.00383481640026968,-0.190016791298573,-0.0158683299660479,-0.00383481640026964,-0.190016791298573,-0.0158683299660479
5,5,0.492355088605651,2.97272936562003,2.38160080781186,0.491693796969875,0.130291042080887,2.35718447280028,0.495341894713821,-6.95914093035003,2.29604848918994,0.496807020829971,-8.22835597035442,2.28496217984747,0.492531070725357,-3.34380022242708,2.32733766706925,0.495590972339704,9.26576026636256,2.34402458494374,0.492531070725357,-3.34380022242708,2.32733766706925,0.492531070725357,-3.34380022242708,2.32733766706925,0.492531070725357,-3.34380022242708,2.32733766706925,0.492531070725357,-3.34380022242708,2.32733766706925,0.492531070725357,-3.34380022242708,2.32733766706925,0.492531070725357,-3.34380022242708,2.32733766706925,0.492531070725357,-3.34380022242708,2.32733766706925,0.492531070725357,-3.34380022242708,2.32733766706925,0.492531070725357,-3.34380022242708,2.32733766706925,0.307389177459046,1.170614128482,2.62711531019339,0.161427383622271,4.97590928716585,3.56928529194948,0.3110779628444,-0.337447262775136,-0.120155150875682,0.3110779628444,-0.337447262775136,-0.120155150875682,0.633873574028139,0.421387138773757,-1.00932970569358,-0.154396474797003,1.74800893495482,-1.36672340592396,-0.102836039034882,-0.303826930291514,-0.0144022933604493,-0.102836039034882,-0.303826930291514,-0.0144022933604493
6,6,0.499719170548552,2.98776500992731,2.41399226550617,0.499041484414063,0.145329842365079,2.38921073252176,0.502727685365669,-6.94409424016736,2.32716316509975,0.504211671075845,-8.21330785131896,2.31591198458223,0.499883304146478,-3.32875756806227,2.35891838211693,0.503024965680478,9.28078868059653,2.37720937788008,0.499883304146478,-3.32875756806227,2.35891838211693,0.499883304146478,-3.32875756806227,2.35891838211693,0.499883304146478,-3.32875756806227,2.35891838211693,0.499883304146478,-3.32875756806227,2.35891838211693,0.499883304146478,-3.32875756806227,2.35891838211693,0.499883304146478,-3.32875756806227,2.35891838211693,0.499883304146478,-3.32875756806227,2.35891838211693,0.499883304146478,-3.32875756806227,2.35891838211693,0.499883304146478,-3.32875756806227,2.35891838211693,0.316339731974368,1.16970809300732,2.64086567495829,0.176142276255881,4.98194004299506,3.74575602855256,0.408526026953055,-0.419544377409092,-0.159038423215932,0.408526026953055,-0.419544377409092,-0.159038423215932,0.661851503471283,0.391397241601669,-0.964741932499634,-0.126887693817001,1.78322773547195,-1.41218626498468,-0.215967928868158,-0.432927228372743,-0.0123425073027881,-0.215967928868158,-0.432927228372743,-0.0123425073027881
7,7,0.509241508067485,3.01014670543183,2.44964056656812,0.508541042769828,0.167715687878485,2.42438679744706,0.512272519960624,-6.92169802301089,2.36116115227917,0.513780152191624,-8.19090975637717,2.34969700742865,0.509386804445243,-3.30636665558464,2.39351852793873,0.512649218899785,9.3031610688958,2.41389135423185,0.509386804445243,-3.30636665558464,2.39351852793873,0.509386804445243,-3.30636665558464,2.39351852793873,0.509386804445243,-3.30636665558464,2.39351852793873,0.509386804445243,-3.30636665558464,2.39351852793873,0.509386804445243,-3.30636665558464,2.39351852793873,0.509386804445243,-3.30636665558464,2.39351852793873,0.509386804445243,-3.30636665558464,2.39351852793873,0.509386804445243,-3.30636665558464,2.39351852793873,0.509386804445243,-3.30636665558464,2.39351852793873,0.324384140757999,1.15589022743974,2.65913488693216,0.194254745868458,5.00360126515337,3.92353728493388,0.497105434999067,-0.49468206458888,-0.195395565022713,0.497105434999067,-0.49468206458888,-0.195395565022713,0.688962951731965,0.358219281586684,-0.927166178659944,-0.099853871913407,1.82341722522145,-1.46569156271394,-0.325216053055243,-0.55680499814062,-0.00901390137385803,-0.325216053055243,-0.55680499814062,-0.00901390137385803
8,8,0.522155648897265,3.0389572341498,2.48919486534817,0.52142439862495,0.196531969927924,2.4633006478124,0.52521755651383,-6.89286736266453,2.39847724159756,0.526757310083653,-8.16207649289373,2.3867242576807,0.522275640027967,-3.2775433490979,2.43165130000192,0.525711549581078,9.33195884753477,2.45485661973988,0.522275640027967,-3.2775433490979,2.43165130000192,0.522275640027967,-3.2775433490979,2.43165130000192,0.522275640027967,-3.2775433490979,2.43165130000192,0.522275640027967,-3.2775433490979,2.43165130000192,0.522275640027967,-3.2775433490979,2.43165130000192,0.522275640027967,-3.2775433490979,2.43165130000192,0.522275640027967,-3.2775433490979,2.43165130000192,0.522275640027967,-3.2775433490979,2.43165130000192,0.522275640027967,-3.2775433490979,2.43165130000192,0.332019537643712,1.11666365052045,2.68693948097906,0.216560615057626,5.05478987800129,4.0787018025937,0.558189942487187,-0.547802643109314,-0.222354896005612,0.558189942487187,-0.547802643109314,-0.222354896005612,0.71164929144272,0.320655382344087,-0.904953567590854,-0.0749538058180979,1.86949863731539,-1.52124573882166,-0.412564947337885,-0.654947318801279,-0.00389305614280286,-0.412564947337885,-0.654947318801278,-0.00389305614280286
9,9,0.539710685988004,3.07998132027073,2.5336777005942,0.538935685806555,0.237564107404773,2.50691286398059,0.542807888681391,-6.8518151087417,2.43991830479892,0.544390417859495,-8.12102059771375,2.42777295232024,0.539792047141647,-3.23650138296682,2.4742019825858,0.543483320344223,9.37296527550864,2.50126738123712,0.539792047141647,-3.23650138296682,2.4742019825858,0.539792047141647,-3.23650138296682,2.4742019825858,0.539792047141647,-3.23650138296682,2.4742019825858,0.539792047141647,-3.23650138296682,2.4742019825858,0.539792047141647,-3.23650138296682,2.4742019825858,0.539792047141647,-3.23650138296682,2.4742019825858,0.539792047141647,-3.23650138296682,2.4742019825858,0.539792047141647,-3.23650138296682,2.4742019825858,0.539792047141647,-3.23650138296682,2.4742019825858,0.335000350935516,1.04191611300169,2.72672988066754,0.247988291718847,5.14487098814069,4.22765397680979,0.589805648657693,-0.579504790703102,-0.239407372201124,0.589805648657692,-0.579504790703102,-0.239407372201124,0.729991405261604,0.273493355561058,-0.911346510242106,-0.0532848441967667,1.92672884890024,-1.5986868132201,-0.483927513864414,-0.732899481098845,0.00376672926985499,-0.483927513864414,-0.732899481098846,0.00376672926985499
