,Frame,Pelvis x,Pelvis y,Pelvis z,L5 x,L5 y,L5 z,L3 x,L3 y,L3 z,T12 x,T12 y,T12 z,T8 x,T8 y,T8 z,Neck x,Neck y,Neck z,Head x,Head y,Head z,Right Shoulder x,Right Shoulder y,Right Shoulder z,Right Upper Arm x,Right Upper Arm y,Right Upper Arm z,Right Forearm x,Right Forearm y,Right Forearm z,Right Hand x,Right Hand y,Right Hand z,Left Shoulder x,Left Shoulder y,Left Shoulder z,Left Upper Arm x,Left Upper Arm y,Left Upper Arm z,Left Forearm x,Left Forearm y,Left Forearm z,Left Hand x,Left Hand y,Left Hand z,Right Upper Leg x,Right Upper Leg y,Right Upper Leg z,Right Lower Leg x,Right Lower Leg y,Right Lower Leg z,Right Foot x,Right Foot y,Right Foot z,Right Toe x,Right Toe y,Right Toe z,Left Upper Leg x,Left Upper Leg y,Left Upper Leg z,Left Lower Leg x,Left Lower Leg y,Left Lower Leg z,Left Foot x,Left Foot y,Left Foot z,Left Toe x,Left Toe y,Left Toe z
0,0,0.137635211208896,-0.154962360850994,-0.0822163345195204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.156470318100909,-0.0675741484466162,-0.0310716912807028,-0.487211265771942,-0.280409951605973,0.199651180398709,0.0153288116110151,-0.00745310931356859,0.0135284565853251,0,0,0,-0.153653495229907,-0.00777134477983332,-0.015525147670731,-0.163979658233436,0.0796642600416528,0.0473286507976187,-0.0331344992074223,0.00178065667028357,-0.0362804885991981,0,0,0
1,1,0.202232542517537,-0.118749628400192,-0.014681755695559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.247744970892169,-0.129204915481221,-0.0375397559299291,-0.398561784758193,-0.191780920660367,0.111377837231624,0.00348206917044104,0.014705841723377,0.0151272322046072,0,0,0,-0.220309930694138,0.0275346088812758,0.00196646396470967,-0.196314259737633,0.197794728214016,0.0286738258283119,-0.044683972898152,0.0304833097652197,0.0344681768410329,0,0,0
2,2,0.268059679338582,-0.10927652216315,0.0746437222959599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.263275944610105,-0.18130171254028,-0.0377307431908047,-0.175421591354251,-0.178178804472564,0.154481148415165,-0.0376119301587981,0.0186228532743703,0.059652109264448,0,0,0,-0.253952045926002,0.106072766652718,0.020545721688725,-0.132230363956423,0.288681444987696,0.0255411783088579,-0.0835477222451028,0.158656762462122,0.145554623330407,0,0,0
3,3,0.360513778943823,-0.103976289514132,0.211989479975161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.232026289688726,-0.306666151839151,-0.00564281682924417,0.147915917293109,-0.0529441055738742,0.132981445690039,-0.0302009037280549,0.0163596069778222,0.136098223687398,0,0,0,-0.161720993486172,0.186419370646524,0.0415764362803497,-0.00581779412285852,0.256673762365701,0.0289968437915444,-0.136047264045136,0.234804512105928,0.258759465140308,0,0,0
4,4,0.372060947150071,-0.151021475059342,0.288586567527252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.170376611876837,-0.176405213137331,0.0157736103923902,0.52823066126715,0.152687470688099,-0.0480481574205207,-0.0974140210242076,0.00402541070848444,0.199566039542702,0,0,0,-0.0503911468330183,0.239059481090085,0.0548135114333341,0.174855626752046,0.155377001621851,0.0449363957776239,-0.280974545657786,0.49278914080112,0.646493628906549,0,0,0
5,5,0.327737603683025,-0.164018844446897,0.410983459646467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0488719535709958,0.0369334723982796,0.0288394358015331,0.900912499929322,0.278725821634523,-0.305840340456093,-0.390988004229224,0.114265778016037,0.348407837287462,0,0,0,0.107022120341271,0.173366183217014,0.141531632744412,0.515853550879871,-0.119392494947466,-0.00536424358729626,-0.346830890871143,0.739094065689274,0.649207391164099,0,0,0
6,6,0.292481547622646,-0.21031239689118,0.464290987495291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259395031169261,0.178469465514854,0.0364437118972862,1.33861991887369,0.514367164324396,-0.64486076591715,-0.660865448273697,-0.841636230755763,0.637873881366499,0,0,0,0.321104922606338,0.0240564548558791,0.204915722926799,0.651921557830056,-0.391770584793854,-0.161417303004283,-0.371224711043748,0.308379382054839,0.306882148943293,0,0,0
7,7,0.257677566475797,-0.302966260584095,0.488380323214061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.588097449196909,0.244335783408518,0.0821668535839013,1.38291845380354,0.699530665053465,-0.39559988378071,-0.0971880335451716,-0.116215311208074,-0.0148772565115269,0,0,0,0.484597144589267,-0.0593161381634309,0.21271319715205,0.652067132134112,-0.51052354165039,-0.13087660256291,-0.149784275967409,-0.0142196702098267,0.0546408540796932,0,0,0
8,8,0.18399499470966,-0.250925411680471,0.446387108161794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.904437163038324,0.268838578982364,0.0514185031280121,1.23928960472708,0.694419675724509,-0.189339652588091,0.0842392371631397,0.0702299442461871,-0.109645716156246,0,0,0,0.607142530076694,-0.151322245916996,0.151184917240123,0.588582894966301,-0.545600525880292,-0.143137754463501,0.0919258424943921,-0.269026499032173,-0.298958162929566,0,0,0
9,9,0.11681116385785,-0.232439617715937,0.335362086552385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.10606806400291,0.262217443478957,-0.0533429779196908,0.942851635830877,0.591781433641941,-0.235232848725484,0.513950803183976,0.328424120190791,-0.581033390014785,0,0,0,0.611467785894018,-0.32909836319788,-0.0532406418119518,0.380975129623366,-0.535742692390947,-0.108508342817656,0.157930314998949,-0.290281647601586,-0.36617567454064,0,0,0
