,Frame,Pelvis x,Pelvis y,Pelvis z,L5 x,L5 y,L5 z,L3 x,L3 y,L3 z,T12 x,T12 y,T12 z,T8 x,T8 y,T8 z,Neck x,Neck y,Neck z,Head x,Head y,Head z,Right Shoulder x,Right Shoulder y,Right Shoulder z,Right Upper Arm x,Right Upper Arm y,Right Upper Arm z,Right Forearm x,Right Forearm y,Right Forearm z,Right Hand x,Right Hand y,Right Hand z,Left Shoulder x,Left Shoulder y,Left Shoulder z,Left Upper Arm x,Left Upper Arm y,Left Upper Arm z,Left Forearm x,Left Forearm y,Left Forearm z,Left Hand x,Left Hand y,Left Hand z,Right Upper Leg x,Right Upper Leg y,Right Upper Leg z,Right Lower Leg x,Right Lower Leg y,Right Lower Leg z,Right Foot x,Right Foot y,Right Foot z,Right Toe x,Right Toe y,Right Toe z,Left Upper Leg x,Left Upper Leg y,Left Upper Leg z,Left Lower Leg x,Left Lower Leg y,Left Lower Leg z,Left Foot x,Left Foot y,Left Foot z,Left Toe x,Left Toe y,Left Toe z
0,0,28.1986023438301,-72.1316415241173,-33.0654440288925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-169.683021563546,-72.6116872195061,-83.2770409697928,100.030244163299,-76.7176195007511,69.4849902935632,10.1017363526939,32.3961269076335,-12.6491284443069,0,0,0,165.084688176782,-75.6840075532059,89.2707422170986,-123.032608572931,-72.2830518555702,-81.382358172128,-0.140853615311217,-29.5278896678291,-170.405257828778,0,0,0
1,1,28.2764371778244,-72.1555213965363,-33.1167957127374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-169.566289394604,-72.5894060246965,-83.3491071322862,100.206073400928,-76.7045634929964,69.2765931606675,10.0960051442094,32.397219951251,-12.649724000894,0,0,0,164.990921163763,-75.6783521406576,89.3742602187444,-123.077488749463,-72.2647499547675,-81.2986027101723,-0.155109032584416,-29.5331707266789,-170.396092251395,0,0,0
2,2,28.3582808359683,-72.1806849334381,-33.1696909257193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-169.474755580759,-72.5639327659428,-83.4061590647376,100.31840393509,-76.7026454561326,69.1576081881717,10.0968361389451,32.3981702432076,-12.6474014292661,0,0,0,164.924716194548,-75.673800530709,89.4701827920156,-123.128161135104,-72.2472655473037,-81.2051791640488,-0.158238398461254,-29.5320122143798,-170.393955177446,0,0,0
3,3,28.430523181694,-72.2024225589184,-33.2076745566438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-169.437365882374,-72.5297812977135,-83.428378620187,100.242086835136,-76.7160245674022,69.2571011186223,10.1213268309562,32.3911642364738,-12.6414927125022,0,0,0,164.865060692738,-75.670219674725,89.5676473443043,-123.159507805462,-72.2290728397011,-81.1344009859688,-0.143069572332228,-29.5209945315525,-170.40036342976,0,0,0
4,4,28.4799037267026,-72.2198075333786,-33.2216802002841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-169.415185284611,-72.4993757233423,-83.4462032390986,100.053150506247,-76.7463304587276,69.5136092814388,10.1671161122175,32.3810108158306,-12.6325750012303,0,0,0,164.80721428605,-75.6689792067879,89.66744999061,-123.196335136358,-72.2089870312794,-81.0749680839902,-0.090915638817211,-29.4837926241439,-170.426380706606,0,0,0
5,5,28.5101792638294,-72.225336936918,-33.2185625529495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-169.389248720358,-72.4710008397885,-83.4605876099195,99.7670253849788,-76.7903127111974,69.9052372392258,10.2750885790736,32.3478326242035,-12.6166257068175,0,0,0,164.724652471948,-75.6743287595544,89.786615066189,-123.239950739889,-72.1883189414174,-81.040332939363,0.0186557764963031,-29.3948478559664,-170.483962221099,0,0,0
6,6,28.5004694601737,-72.2127312246127,-33.1748308081583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-169.325814948613,-72.4561197365433,-83.5031821923385,99.6952430842647,-76.8180765481255,70.1329701995803,10.4210414353682,32.2848145836239,-12.5826052502808,0,0,0,164.586534894258,-75.6922585525234,89.9555630273607,-123.314435461676,-72.1555429796478,-81.0145074012945,0.173826515645601,-29.2837062074109,-170.56245906762,0,0,0
7,7,28.455282736378,-72.1812692532377,-33.0964775489097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-169.201110333626,-72.4584331090792,-83.6034300445418,99.909482265317,-76.8282243807129,70.1287120602035,10.5669208812754,32.1982599889199,-12.5426171954299,0,0,0,164.413838783874,-75.7246881688347,90.1635232904844,-123.415800199996,-72.1093606240883,-80.9995338490602,0.339923515589078,-29.1605567203286,-170.639875453829,0,0,0
8,8,28.3933799018568,-72.1359267356015,-32.9986137759498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-169.010459491229,-72.4791163398377,-83.7691108301419,100.28461286029,-76.8234289644728,69.9868429939383,10.687940322887,32.1146268778368,-12.5077566564038,0,0,0,164.201292802625,-75.7697302866175,90.4126920706947,-123.534553857137,-72.0594353532797,-80.9965254008316,0.497288917078862,-29.0423747254363,-170.707403971719,0,0,0
9,9,28.3222010517243,-72.0813422142784,-32.8830699457827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-168.758067776672,-72.5157304501711,-83.9962035538419,100.758030578777,-76.8071228276655,69.7423971852465,10.7707441453197,32.0496124376996,-12.4863237835251,0,0,0,163.9453805549,-75.8259289796867,90.6830636999465,-123.671779330786,-72.005351399988,-80.9878954807258,0.625411639506483,-28.9481099058277,-170.761002571018,0,0,0
