,Frame,CoM pos x,CoM pos y,CoM pos z,CoM vel x,CoM vel y,CoM vel z,CoM acc x,CoM acc y,CoM acc z
0,0,0.0439158050255003,0.0183181139717726,0.949207601521781,0.0100807886200973,-0.00166386491369959,-0.0137204393320723,-0.0881165167112179,-0.000693504482936403,0.0523469241500879
1,1,0.0441178847071983,0.0183112088531373,0.949123924555661,0.00937501892224073,-0.00174761919961878,-0.0135437524437398,-0.178820480827222,0.00496690101234815,0.0184792360696197
2,2,0.0443210176337231,0.0183038012998103,0.949035977737137,0.00878885208863298,-0.00183954568674253,-0.0133253425124158,-0.152979456623987,0.00476288126767138,0.0524090311958662
3,3,0.0445235999709018,0.0182966373181128,0.948950188849666,0.00814644748989158,-0.00201333811326469,-0.013134283248934,-0.140156585190929,0.0382024849471083,0.0358788934629826
4,4,0.0447240309073507,0.0182904649424202,0.94887298222478,0.00754615555624954,-0.00160356521435838,-0.0129139289244497,-0.144831183700996,-0.0222920262433194,0.0472096445589147
5,5,0.0449207124138934,0.0182860338923771,0.948810778615761,0.00743469010378929,-0.00185732076139723,-0.0127183337587287,-0.18042875478643,0.0579390846601118,0.0104403931246122
6,6,0.045113736130251,0.0182830596275329,0.948766417371749,0.00732670042800755,-0.00173529578046756,-0.0126360856382295,-0.127312133704453,-0.0209829504784171,0.0156267171488032
7,7,0.0453041736367317,0.0182810456633222,0.94873560980555,0.00707183850486494,-0.00156451174790883,-0.0125898480973603,-0.158030724198523,0.0238320831134944,-0.0218313328544277
8,8,0.0454918969852509,0.0182804234024063,0.94871408234051,0.00674046503263253,-0.00115633329475456,-0.0126136002113381,-0.083640233783776,0.0261544712872392,0.00803587275842142
9,9,0.0456767763743503,0.0182816230027688,0.948697562311938,0.00661999809947692,-0.000626641720432838,-0.0126243628410766,-0.0554341819779943,0.00403994061091451,0.0141912914886614
10,10,0.045858680521416,0.0182850737967828,0.948681778224076,0.00699322981600056,0.000135353061684006,-0.0125687462905958,-0.0611286052375133,0.0152659689497205,0.00774994526899916
11,11,0.0460318382500822,0.0182845183684696,0.948665215178282,0.00815715136792935,0.00120392751915444,-0.0125735088000708,-0.0381889865981881,-0.00755608889016926,0.0307960381145502
12,12,0.0461963381919498,0.0182796685871566,0.948650716705258,0.0103705492282289,0.00211491767199841,-0.0126466626315238,-0.0857147213005438,0.00524525348896333,0.0104143712187433
13,13,0.0463608379410069,0.0182799091039423,0.948640547718461,0.0131075369158395,0.00275013511063063,-0.0125624213739383,-0.107474282319561,0.0257668609080602,-0.00732793282848198
14,14,0.046533995567957,0.0182946269141772,0.9486369701149,0.0160451669842777,0.00279938369760828,-0.0120902106059324,-0.117713894553848,0.076524096505928,-0.0106885413078579
15,15,0.0467244698346294,0.0183332116781733,0.948642243063733,0.0177152385210762,0.00267649349567678,-0.0111366089817694,-0.172129062993485,0.161452325069308,0.0932673012519726
16,16,0.046946712058292,0.0184029719478186,0.948658379212733,0.0179759088290558,0.00230406865212377,-0.00927836751631717,-0.177729687033216,0.197999762555583,0.137500028535559
