,Frame,T8_Head Lateral Bending,T8_Head Axial Bending,T8_Head Flexion/Extension,T8_LeftUpperArm Lateral Bending,T8_LeftUpperArm Axial Bending,T8_LeftUpperArm Flexion/Extension,T8_RightUpperArm Lateral Bending,T8_RightUpperArm Axial Bending,T8_RightUpperArm Flexion/Extension,Pelvis_T8 Lateral Bending,Pelvis_T8 Axial Bending,Pelvis_T8 Flexion/Extension,Vertical_Pelvis Lateral Bending,Vertical_Pelvis Axial Bending,Vertical_Pelvis Flexion/Extension,Vertical_T8 Lateral Bending,Vertical_T8 Axial Bending,Vertical_T8 Flexion/Extension
0,0,0,0,0,90.0,90.0,90.0,90.0,1.68760489417698,1.68760489417698,0,0,-6.31676242321572,-0.0660942845988408,0,-3.36243441049505,-0.0656930134036773,0.00727203339866186,-9.67920100262028
1,1,0,0,0,90.0,174.948847471982,174.948847471982,90.0,-2.02486829727734,-2.02486829727734,0,0,-6.31676242321572,-0.0830669557211931,0,-3.35778196473606,-0.0825626400259103,0.00913945635994438,-9.67455097288512
2,2,0,0,0,90.0,-90.0,-90.0,90.0,90.0,90.0,0,0,-6.31676242321572,-0.100687330539397,0,-3.3551399929067,-0.100076037911538,0.0110781447851484,-9.67191209098095
3,3,0,0,0,90.0,165.148937531142,165.148937531142,90.0,0.0,0.0,0,0,-6.31676242321572,-0.117982940484613,0,-3.35148892853171,-0.117266642527466,0.0129811028430469,-9.66826463589242
4,4,0,0,0,90.0,5.05115252801793,5.05115252801793,90.0,-90.0,-90.0,0,0,-6.31676242321572,-0.133980415340056,0,-3.34380984388881,-0.133166993193325,0.0147412350171342,-9.66058939791987
5,5,0,0,0,90.0,-177.469506960041,-177.469506960041,90.0,-2.53049303995912,-2.53049303995912,0,0,-6.31676242321572,-0.147705769535675,0,-3.329084367355,-0.146809017644181,0.0162513774943837,-9.64586761104045
6,6,0,0,0,90.0,0.0,0.0,90.0,-3.3722866834339,-3.3722866834339,0,0,-6.31676242321572,-0.158829425239131,0,-3.30651510971619,-0.157865139031344,0.0174752674709821,-9.62330160745641
7,7,0,0,0,89.9999987925817,-1.68760489417697,-1.68760489417698,90.0,0.0,0.0,0,0,-6.31676242321572,-0.167999989225592,0,-3.27811535716809,-0.166980026324321,0.0184842677928477,-9.59490471522753
8,8,0,0,0,90.0,-90.0,-90.0,90.0,-0.843985497738322,-0.843985497738322,0,0,-6.31676242321572,-0.175710938848017,0,-3.24508290979096,-0.174644160882212,0.0193326733307694,-9.56187479714162
9,9,0,0,0,90.0,0.0,0.0,90.0,2.53049303995912,2.53049303995912,0,0,-6.31676242321572,-0.182456015733855,0,-3.2086154032049,-0.181348286722198,0.020074808246716,-9.52540959608314
10,10,0,0,0,90.0,0.0,0.0,90.0,1.26586381389443,1.26586381389443,0,0,-6.31676242321572,-0.188729074276888,0,-3.16991035909806,-0.187583259933303,0.0207650092893602,-9.48670677409896
11,11,0,0,0,90.0,0.0,0.0,90.0,-1.68760489417698,-1.68760489417698,0,0,-6.31676242321572,-0.194664309758949,0,-3.13061265963526,-0.193482461068036,0.021418041383454,-9.4474112462419
12,12,0,0,0,90.0,-5.05115252801793,-5.05115252801793,90.0,10.0249878620757,10.0249878620757,0,0,-6.31676242321572,-0.199935525864707,0,-3.08992444916391,-0.198721674238513,0.0219980142521981,-9.40672502079733
13,13,0,0,0,89.9999987925817,-90.0,-90.0,90.0,0.0,0.0,0,0,-6.31676242321572,-0.204343600745104,0,-3.04537865372764,-0.203102986524749,0.0224830190915787,-9.36218092606665
14,14,0,0,0,90.0,5.05115252801793,5.05115252801793,90.0,-1.68760489417697,-1.68760489417698,0,0,-6.31676242321572,-0.207685825283793,0,-2.99450775741113,-0.206424919520295,0.022850752374423,-9.31131134395446
15,15,0,0,0,90.0,0.0,0.0,90.0,90.0,90.0,0,0,-6.31676242321572,-0.209754506391541,0,-2.9348440392298,-0.208481041104973,0.0230783622021989,-9.25164844988677
16,16,0,0,0,90.0,90.0,90.0,90.0,3.3722866834339,3.3722866834339,0,0,-6.31676242321572,-0.209614601943429,0,-2.86264765161351,-0.208341986054759,0.0230629689977646,-9.17945200627833
17,17,0,0,0,89.9999987925817,-3.3722866834339,-3.3722866834339,90.0,90.0,90.0,0,0,-6.31676242321572,-0.207390351466484,0,-2.7795641215475,-0.206131239604234,0.0228182424170127,-9.09636759104769
18,18,0,0,0,90.0,178.312395105823,178.312395105823,90.0,-1.26586381389443,-1.26586381389443,0,0,-6.31676242321572,-0.204461211744979,0,-2.6912035834481,-0.203219883476781,0.0224959594161925,-9.00800590167128
19,19,0,0,0,90.0,90.0,90.0,90.0,-7.55237227989766,-7.55237227989766,0,0,-6.31676242321572,-0.202213160395691,0,-2.6031753961434,-0.200985480646725,0.0222486142661889,-8.9199768418937
20,20,0,0,0,90.0,-5.05115252801793,-5.05115252801793,90.0,176.207339700359,176.207339700359,0,0,-6.31676242321572,-0.202040094400546,0,-2.52108787546924,-0.200813465381213,0.0222295724288112,-8.83788925445219
21,21,0,0,0,90.0,0.0,0.0,90.0,-2.53049303995912,-2.53049303995912,0,0,-6.31676242321572,-0.202921094721087,0,-2.44819134874849,-0.201689116914437,0.0223265057723015,-8.76499306820887
22,22,0,0,0,90.0,177.469506960041,177.469506960041,90.0,-4.04469123538627,-4.04469123538627,0,0,-6.31676242321572,-0.203922536716284,0,-2.38074645222158,-0.202684478888182,0.0224366908991431,-8.69754856050522
23,23,0,0,0,90.0,2.53049303995912,2.53049303995912,90.0,-180.0,180.0,0,0,-6.31676242321572,-0.206579691956455,0,-2.31387533859019,-0.205325501826491,0.0227290483741501,-8.6306784878276
24,24,0,0,0,90.0,0.0,0.0,90.0,-0.843985497738322,-0.843985497738322,0,0,-6.31676242321572,-0.212432755161768,0,-2.24269921393717,-0.211143029496929,0.0233730407400738,-8.55950470367826
25,25,0,0,0,90.0,90.0,90.0,90.0,-2.53049303995912,-2.53049303995912,0,0,-6.31676242321572,-0.223028406728961,0,-2.16233945630899,-0.221674351920125,0.0245388449882857,-8.47914934933378
26,26,0,0,0,90.0,0.0,0.0,90.0,-2.53049303995912,-2.53049303995912,0,0,-6.31676242321572,-0.239580593631862,0,-2.06833072971376,-0.238126045713021,0.0263600303263295,-8.38514793025327
27,27,0,0,0,90.0,-10.0249878620757,-10.0249878620757,90.0,165.148937531142,165.148937531142,0,0,-6.31676242321572,-0.261072898100306,0,-1.96392627265342,-0.25948786382866,0.0287247678747781,-8.28075374203497
28,28,0,0,0,90.0,-2.53049303995912,-2.53049303995912,90.0,-90.0,-90.0,0,0,-6.31676242321572,-0.285719064832559,0,-1.85582817669659,-0.283984395599581,0.0314365258483279,-8.17266850705809
29,29,0,0,0,90.0,174.948847471982,174.948847471982,90.0,-3.79266029964088,-3.79266029964088,0,0,-6.31676242321572,-0.311737671650223,0,-1.75074017396349,-0.309845034230677,0.0342993025680904,-8.06759533956692
30,30,0,0,0,90.0,0.0,0.0,90.0,0.843985497738322,0.843985497738322,0,0,-6.31676242321572,-0.337348363612551,0,-1.65536684759449,-0.335300233847061,0.0371172108518494,-7.97223787781004
31,31,0,0,0,90.0,180.0,-180.0,90.0,-2.53049303995912,-2.53049303995912,0,0,-6.31676242321572,-0.363894303159324,0,-1.5712922933375,-0.361685001943876,0.040038038586863,-7.88818108892187
32,32,0,0,0,90.0,180.0,-180.0,90.0,-3.79266029964088,-3.79266029964088,0,0,-6.31676242321572,-0.392591829329605,0,-1.49405927344908,-0.390208292426754,0.0431956227552059,-7.81096878739544
33,33,0,0,0,90.0,-90.0,-90.0,90.0,-2.53049303995912,-2.53049303995912,0,0,-6.31676242321572,-0.421458380159217,0,-1.42130553855842,-0.418899580147898,0.046371826283492,-7.73823747885127
34,34,0,0,0,90.0,10.0249878620757,10.0249878620757,90.0,0.0,0.0,0,0,-6.31676242321572,-0.448501204033324,0,-1.3506611129167,-0.445778212495787,0.0493473851340029,-7.66761550578228
35,35,0,0,0,90.0,180.0,-180.0,90.0,-1.01275036963637,-1.01275036963637,0,0,-6.31676242321572,-0.471719411998942,0,-1.27974805315269,-0.468855449278591,0.0519021335532118,-7.59672283699785
36,36,0,0,0,89.9999982924527,90.0,90.0,89.9999987925817,0.0,0.0,0,0,-6.31676242321572,-0.489280538553761,0,-1.20762730872689,-0.486309951450369,0.0538344325080078,-7.52461819885221
37,37,0,0,0,90.0,90.0,90.0,90.0,-0.843985497738322,-0.843985497738322,0,0,-6.31676242321572,-0.502512916814153,0,-1.13587640534708,-0.499461987452457,0.0552904339890598,-7.452879820546
38,38,0,0,0,90.0,-2.53049303995912,-2.53049303995912,90.0,90.0,90.0,0,0,-6.31676242321572,-0.514153087186711,0,-1.06589075172297,-0.511031482615968,0.0565712444865439,-7.38290546124311
39,39,0,0,0,90.0,0.0,0.0,90.0,0.0,0.0,0,0,-6.31676242321572,-0.526940265328194,0,-0.99907034399998,-0.52374102100754,0.0579782697637401,-7.31609775891748
