,Frame,L5S1 Lateral Bending,L5S1 Axial Bending,L5S1 Flexion/Extension,L4L3 Lateral Bending,L4L3 Axial Rotation,L4L3 Flexion/Extension,L1T12 Lateral Bending,L1T12 Axial Rotation,L1T12 Flexion/Extension,T9T8 Lateral Bending,T9T8 Axial Rotation,T9T8 Flexion/Extension,T1C7 Lateral Bending,T1C7 Axial Rotation,T1C7 Flexion/Extension,C1 Head Lateral Bending,C1 Head Axial Rotation,C1 Head Flexion/Extension,Right T4 Shoulder Abduction/Adduction,Right T4 Shoulder Internal/External Rotation,Right T4 Shoulder Flexion/Extension,Right Shoulder Abduction/Adduction,Right Shoulder Internal/External Rotation,Right Shoulder Flexion/Extension,Right Elbow Ulnar Deviation/Radial Deviation,Right Elbow Pronation/Supination,Right Elbow Flexion/Extension,Right Wrist Ulnar Deviation/Radial Deviation,Right Wrist Pronation/Supination,Right Wrist Flexion/Extension,Left T4 Shoulder Abduction/Adduction,Left T4 Shoulder Internal/External Rotation,Left T4 Shoulder Flexion/Extension,Left Shoulder Abduction/Adduction,Left Shoulder Internal/External Rotation,Left Shoulder Flexion/Extension,Left Elbow Ulnar Deviation/Radial Deviation,Left Elbow Pronation/Supination,Left Elbow Flexion/Extension,Left Wrist Ulnar Deviation/Radial Deviation,Left Wrist Pronation/Supination,Left Wrist Flexion/Extension,Right Hip Abduction/Adduction,Right Hip Internal/External Rotation,Right Hip Flexion/Extension,Right Knee Abduction/Adduction,Right Knee Internal/External Rotation,Right Knee Flexion/Extension,Right Ankle Abduction/Adduction,Right Ankle Internal/External Rotation,Right Ankle Dorsiflexion/Plantarflexion,Right Ball Foot Abduction/Adduction,Right Ball Foot Internal/External Rotation,Right Ball Foot Flexion/Extension,Left Hip Abduction/Adduction,Left Hip Internal/External Rotation,Left Hip Flexion/Extension,Left Knee Abduction/Adduction,Left Knee Internal/External Rotation,Left Knee Flexion/Extension,Left Ankle Abduction/Adduction,Left Ankle Internal/External Rotation,Left Ankle Dorsiflexion/Plantarflexion,Left Ball Foot Abduction/Adduction,Left Ball Foot Internal/External Rotation,Left Ball Foot Flexion/Extension
0,0,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495348,-0.0509366654385934,0.0180670587125479,12.6150241695543,0.0481532781731443,-0.00711427155938235,-12.6150349239717,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-1.59142904486457,6.13420800954221,-4.73145735816453,0.01837881287143,1.26691990405978,4.19943727696546,2.86376645048826,-10.8539013246311,4.27194649624162,-1.27574280452797,0.00958259718687379,-0.426595579440269,-1.23432676247883,2.52620234192069,-1.11108110709252,0.000859454504656351,1.53198046646817,3.50181436894245,1.81955814990448,2.45021787827163,1.53179710217826,0.0,0.0,0.0
1,1,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,-0.0511039168921382,0.0179703167260725,12.6148600213561,0.0483463385703256,-0.00697784715669165,-12.6148707149397,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-1.62285265282366,6.08796827726085,-4.73152536088672,0.0310565058847924,1.35339888783523,4.2285592847173,2.87296751229455,-10.9091567315857,4.32883740637202,-1.00018272954358,0.00649185495279776,-0.334441751920678,-1.17982440499096,2.47919150293192,-1.11600894512729,-0.0579285770337812,1.64463456976609,3.50562306539324,1.84724630235254,2.39231266887983,1.5269430518885,0.0,0.0,0.0
2,2,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,-0.0512747619128078,0.017874047993223,12.6146929167745,0.0485429750743259,-0.00684110718870152,-12.6147035496318,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-1.6555277333581,6.04101754328551,-4.73360962152656,0.0442004288480009,1.44166735783487,4.2591549510818,2.88278745038733,-10.9663591461345,4.38771435820415,-0.704212214417763,0.00380597617254438,-0.235464220890365,-1.12356464716727,2.43075911272011,-1.12346361976042,-0.118354145399141,1.76043830159749,3.50966580961109,1.87570258154128,2.33302621132485,1.52249366493651,0.0,0.0,0.0
3,3,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.2692626097445,0,0,4.88473757495349,-0.0514438268855565,0.0177774534835578,12.6145273810407,0.048737859400128,-0.00670443155591692,-12.6145379519479,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-1.68758312835208,5.99442464916825,-4.73466099513804,0.0572162277742178,1.52904401738075,4.28901206097375,2.89241855703073,-11.02260491332,4.44558515928871,-0.418447019500425,0.00182083388554253,-0.1399059449753,-1.06819425394978,2.38303850874575,-1.12969040013271,-0.177908485058267,1.87468524801641,3.51375558450015,1.90374142227322,2.27442218524659,1.51779711844209,0.0,0.0,0.0
4,4,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,-0.0516057199693321,0.0176797221791745,12.6143679305823,0.0489256473183388,-0.0065681918357672,-12.6143784370124,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-1.71714613890829,5.94926313861627,-4.73163357794299,0.0694967207444102,1.6128473299359,4.31591797646373,2.90103788399226,-11.0749871441599,4.4994604314163,-0.173503492291604,0.00059500102928673,-0.0580064910793308,-1.01635950882389,2.33815226525513,-1.13093071015142,-0.234090119959675,1.98266627138116,3.51768679952237,1.93017795156029,2.21856562466775,1.51220632279745,0.0,0.0,0.0
5,5,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.2692626097445,0,0,4.88473757495349,-0.0517550315705654,0.017580032824882,12.6142190734349,0.0491009787479942,-0.00643275297688551,-12.6142295115879,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-1.74234293806015,5.90661001927942,-4.72148439254335,0.0804228366436274,1.69039546753815,4.3376597690859,2.90780875134677,-11.1205961220803,4.54635324710887,0.0,0.0,0.0,-0.97070610131793,2.29821429123848,-1.12342247091181,-0.284404177114906,2.07966985453801,3.52123699265868,1.95382813455043,2.1675227453923,1.50507852329228,0.0,0.0,0.0
6,6,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.2692626097445,0,0,4.88473757495348,-0.0518906830532832,0.0174778471547647,12.614081834146,0.0492628687979131,-0.00629780368055435,-12.6140921997115,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-1.76315575381871,5.86554580688035,-4.70391206086634,0.0907847122499025,1.76038470770968,4.35293160852124,2.91286718226682,-11.1571107369912,4.58540045116954,0.0816495062420608,-0.000190258064962183,0.0272949879608205,-0.931736487426237,2.26497724660579,-1.10628555610802,-0.328711221625239,2.16314245063235,3.52419571383873,1.97464414261586,2.1219991945065,1.49637336283958,0.0,0.0,0.0
7,7,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,-0.0520162415496346,0.0173736938432907,12.6139531895097,0.0494148549406027,-0.00616308990740908,-12.6139634790932,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-1.78083289321685,5.82535773827688,-4.68095019555109,0.100969331731934,1.82460210601021,4.36320651592577,2.91674139894708,-11.1864664069269,4.61859689448401,0.0918559542261158,-0.00019702090820936,0.0307062003238018,-0.897685257137046,2.23701730204009,-1.08202019583102,-0.368687740055077,2.23622053908538,3.52667607902424,1.99341791977184,2.08061975547941,1.48652796418262,0.0,0.0,0.0
8,8,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,-0.0521332585944965,0.017268349849202,12.6138315723623,0.0495583534497992,-0.00602906188020859,-12.6138417834609,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-1.795398681463,5.78743219650609,-4.65306065608251,0.109750412195723,1.88500206035648,4.3704425296533,2.91918256919742,-11.2121364014156,4.64724456961062,0.0612373662025596,-0.000128264476836295,0.0204706688419592,-0.867795918742801,2.21168282496228,-1.05193482193406,-0.40456402327559,2.30272663386138,3.52893717934069,2.01022508201716,2.04232971027068,1.4756176947221,0.0,0.0,0.0
9,9,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.2692626097445,0,0,4.88473757495349,-0.0522432926756481,0.0171625957937229,12.6137154184278,0.0496947868926818,-0.005896172052014,-12.6137255494276,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-1.80687662315549,5.75315328337857,-4.62070585381371,0.11590817966894,1.94353952258101,4.37660099133359,2.91995050683207,-11.2375938437164,4.67264618079467,0.0204124370640519,-4.27253129325519e-05,0.00682362692667994,-0.841312141102834,2.18632540846268,-1.01734029677502,-0.436567426140117,2.36648369829561,3.53124583281402,2.02514016397811,2.00607395818117,1.46371691520854,0.0,0.0,0.0
