,Frame,L5S1 Lateral Bending,L5S1 Axial Bending,L5S1 Flexion/Extension,L4L3 Lateral Bending,L4L3 Axial Rotation,L4L3 Flexion/Extension,L1T12 Lateral Bending,L1T12 Axial Rotation,L1T12 Flexion/Extension,T9T8 Lateral Bending,T9T8 Axial Rotation,T9T8 Flexion/Extension,T1C7 Lateral Bending,T1C7 Axial Rotation,T1C7 Flexion/Extension,C1 Head Lateral Bending,C1 Head Axial Rotation,C1 Head Flexion/Extension,Right T4 Shoulder Abduction/Adduction,Right T4 Shoulder Internal/External Rotation,Right T4 Shoulder Flexion/Extension,Right Shoulder Abduction/Adduction,Right Shoulder Internal/External Rotation,Right Shoulder Flexion/Extension,Right Elbow Ulnar Deviation/Radial Deviation,Right Elbow Pronation/Supination,Right Elbow Flexion/Extension,Right Wrist Ulnar Deviation/Radial Deviation,Right Wrist Pronation/Supination,Right Wrist Flexion/Extension,Left T4 Shoulder Abduction/Adduction,Left T4 Shoulder Internal/External Rotation,Left T4 Shoulder Flexion/Extension,Left Shoulder Abduction/Adduction,Left Shoulder Internal/External Rotation,Left Shoulder Flexion/Extension,Left Elbow Ulnar Deviation/Radial Deviation,Left Elbow Pronation/Supination,Left Elbow Flexion/Extension,Left Wrist Ulnar Deviation/Radial Deviation,Left Wrist Pronation/Supination,Left Wrist Flexion/Extension,Right Hip Abduction/Adduction,Right Hip Internal/External Rotation,Right Hip Flexion/Extension,Right Knee Abduction/Adduction,Right Knee Internal/External Rotation,Right Knee Flexion/Extension,Right Ankle Abduction/Adduction,Right Ankle Internal/External Rotation,Right Ankle Dorsiflexion/Plantarflexion,Right Ball Foot Abduction/Adduction,Right Ball Foot Internal/External Rotation,Right Ball Foot Flexion/Extension,Left Hip Abduction/Adduction,Left Hip Internal/External Rotation,Left Hip Flexion/Extension,Left Knee Abduction/Adduction,Left Knee Internal/External Rotation,Left Knee Flexion/Extension,Left Ankle Abduction/Adduction,Left Ankle Internal/External Rotation,Left Ankle Dorsiflexion/Plantarflexion,Left Ball Foot Abduction/Adduction,Left Ball Foot Internal/External Rotation,Left Ball Foot Flexion/Extension
0,0,0,0,-2.84254309044707,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495348,-0.0497070299091375,0.00694253199617872,12.6150289951036,0.0469908330044115,-0.0176309172779372,-12.6150392365579,0,0,0,90.0,1.68760489417698,1.68760489417698,0,90,0,0,0,0,0,0,0,90.0,90.0,90.0,0,90,0,0,0,0,-1.58600446386017,6.26551166204061,-4.73327478320178,0.018329469368176,1.26557405291425,4.1994374922408,2.85580351675266,-10.6404011834533,4.27726836657857,-1.27570743817005,8.25752566936264e-05,-0.426701344205705,-1.23409464920606,2.55014063743546,-1.11133892071563,0.000857849786824649,1.53192797086055,3.50181436933544,1.81890770090028,2.49887414041065,1.53256948619485,0.0,0.0,0.0
1,1,0,0,-2.84254309044708,0,0,-7.08969429797762,0,0,-1.26926260974451,0,0,4.88473757495348,-0.0498702758057258,0.00680940528316875,12.6148648785879,0.0471792630823409,-0.0175365219485941,-12.6148750621231,0,0,0,90.0,-2.02486829727734,-2.02486829727734,0,90,0,0,0,0,0,0,0,90.0,174.948847471982,174.948847471982,0,90,0,0,0,0,-1.61732074521516,6.22186787424577,-4.73341531750246,0.0309719653311702,1.35110892674217,4.22855990365117,2.86476486490144,-10.6921225069603,4.3342643534481,-1.00016568882309,0.000653118697319057,-0.334492714243005,-1.17960057147963,2.50217395289522,-1.116245533837,-0.0578201811739439,1.64817670054151,3.50562485266852,1.84659012693886,2.44155334524375,1.52773661141963,0.0,0.0,0.0
2,2,0,0,-2.84254309044708,0,0,-7.08969429797762,0,0,-1.26926260974451,0,0,4.88473757495349,-0.0500370293101283,0.00667597052825607,12.6146978064764,0.0473711837307188,-0.0174425885298282,-12.614707932195,0,0,0,90.0,90.0,90.0,0,90,0,0,0,0,0,0,0,90.0,-90.0,-90.0,0,90,0,0,0,0,-1.64987941319592,6.17767463212405,-4.73557733544402,0.0440783618704246,1.43838468707877,4.25915621378175,2.87433141326562,-10.7456256158116,4.3932522460287,-0.704206267397739,0.000911789810529805,-0.235482006928446,-1.12334863283073,2.45279153615856,-1.1236796119864,-0.118132170146887,1.76768358861267,3.50967327876318,1.87504016792078,2.38288030261699,1.52330949093609,0.0,0.0,0.0
3,3,0,0,-2.84254309044707,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495348,-0.0502020456440264,0.00654259834043943,12.6145323029805,0.0475613944550188,-0.0173483369680761,-12.6145423697167,0,0,0,90.0,0.0,0.0,0,90,0,0,0,0,0,0,0,90.0,165.148937531142,165.148937531142,0,90,0,0,0,0,-1.68182282290677,6.13376015686227,-4.73670612465373,0.057055993348403,1.52476495792912,4.28901419154959,2.88370905476009,-10.7982174851611,4.45123309284928,-0.418445771987475,0.00079904469133473,-0.139909676186152,-1.06798660483177,2.40410097420393,-1.1298867067607,-0.177574036157472,1.8855889684428,3.51377248120019,1.90307324064929,2.324866009683,1.51863493866294,0.0,0.0,0.0
4,4,0,0,-2.84254309044708,0,0,-7.08969429797762,0,0,-1.26926260974451,0,0,4.88473757495348,-0.0503600622197108,0.00640965121718052,12.6143728834909,0.0477446791761147,-0.0172529755169352,-12.6143828888377,0,0,0,90.0,-90.0,-90.0,0,90,0,0,0,0,0,0,0,90.0,5.05115252801793,5.05115252801793,0,90,0,0,0,0,-1.71129235396729,6.09095051125041,-4.73374967331458,0.0692996463209486,1.60761729863997,4.31592113934384,2.89208948285824,-10.8472080865348,4.50521040283464,-0.173503403374064,0.000419344848192401,-0.0580067570410542,-1.0161615041093,2.35821444221093,-1.13110861982187,-0.233649069632057,1.99702933743138,3.51771608546381,1.92950546559257,2.26952212169952,1.5130644151381,0.0,0.0,0.0
5,5,0,0,-2.84254309044708,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495349,-0.0505057991035879,0.00627748519763847,12.6142240549906,0.0479158063222892,-0.0171557024452497,-12.6142339953283,0,0,0,90.0,-2.53049303995912,-2.53049303995912,0,90,0,0,0,0,0,0,0,90.0,-177.469506960041,-177.469506960041,0,90,0,0,0,0,-1.73642864367039,6.05007005076426,-4.72365843842047,0.0801924761814556,1.68431275088733,4.33766402584088,2.89865160028275,-10.8899100937529,4.5521898199863,0.0,0.0,0.0,-0.970519495001119,2.31724793534331,-1.12358367793862,-0.283867246607428,2.09713767525171,3.52128026419101,1.95315380414543,2.2188610128479,1.50595364229035,0.0,0.0,0.0
6,6,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.2692626097445,0,0,4.88473757495348,-0.0506382034525448,0.0061457964899282,12.6140868417987,0.0480738145399628,-0.0170559924192601,-12.6140967130213,0,0,0,90.0,-3.3722866834339,-3.3722866834339,0,90,0,0,0,0,0,0,0,90.0,0.0,0.0,0,90,0,0,0,0,-1.75721520892263,6.01018149099309,-4.7061301656241,0.0905228381133353,1.75349414911766,4.35293705179346,2.90353591263267,-10.9240422195444,4.59130724403985,0.0816494969770827,-0.000229154886562987,0.0272950156758327,-0.931562796508877,2.28296798541376,-1.10643181358494,-0.328089598545282,2.18334856384895,3.52425356656203,1.97397048264877,2.17358481794578,1.49726207208773,0.0,0.0,0.0
7,7,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.2692626097445,0,0,4.88473757495348,-0.0507607568609177,0.0060143372762876,12.6139582213775,0.0482221564462786,-0.0169543615640584,-12.6139680202516,0,0,0,90.0,0.0,0.0,0,90,0,0,0,0,0,0,0,89.9999987925817,-1.68760489417697,-1.68760489417698,0,90,0,0,0,0,-1.77489115439532,5.9707329225957,-4.68320207086441,0.10067670343617,1.81692047881617,4.36321326477454,2.90726199218522,-10.9514014646902,4.62456193240614,0.0918559410349078,-0.00024624878566955,0.0307062397845964,-0.89752517525289,2.2539703010988,-1.08215298095797,-0.367989534280035,2.25890003202002,3.5267489102599,1.9927467689965,2.13235365900972,1.48742770732588,0.0,0.0,0.0
8,8,0,0,-2.84254309044708,0,0,-7.08969429797762,0,0,-1.26926260974451,0,0,4.88473757495348,-0.0508749737000761,0.00588354696285405,12.6138366268496,0.0483622143981964,-0.0168515681968878,-12.613846350991,0,0,0,90.0,-0.843985497738322,-0.843985497738322,0,90,0,0,0,0,0,0,0,90.0,-90.0,-90.0,0,90,0,0,0,0,-1.78947944290449,5.93312588603601,-4.65533601737624,0.109431279228821,1.87663855699195,4.37045051653436,2.90957722115493,-10.9754183359936,4.65325634330061,0.0612373622941015,-0.000150143405888245,0.02047068053399,-0.867649653542911,2.22761564324886,-1.05205546230808,-0.403796891884668,2.32762902933257,3.52902493058306,2.00955816577764,2.09411733957719,1.4765259721824,0.0,0.0,0.0
9,9,0,0,-2.84254309044707,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495348,-0.0509823751331395,0.00575386712971422,12.6137204942303,0.0484953769012752,-0.0167483742080684,-12.6137301421015,0,0,0,90.0,2.53049303995912,2.53049303995912,0,90,0,0,0,0,0,0,0,90.0,0.0,0.0,0,90,0,0,0,0,-1.801002030041,5.89876167063167,-4.6229945279446,0.115570190997951,1.93469434463085,4.37660991205395,2.9102373669782,-10.9995220458156,4.67869370682534,0.0204124369192914,-4.51563272574606e-05,0.00682362735972166,-0.841179513418468,2.20126398288822,-1.01744995798094,-0.435738524731198,2.39337365128603,3.53134808332212,2.02447908825562,2.05782547635248,1.4646312999673,0.0,0.0,0.0
