,Frame,Pelvis q0,Pelvis q1,Pelvis q2,Pelvis q3,L5 q0,L5 q1,L5 q2,L5 q3,L3 q0,L3 q1,L3 q2,L3 q3,T12 q0,T12 q1,T12 q2,T12 q3,T8 q0,T8 q1,T8 q2,T8 q3,Neck q0,Neck q1,Neck q2,Neck q3,Head q0,Head q1,Head q2,Head q3,Right Shoulder q0,Right Shoulder q1,Right Shoulder q2,Right Shoulder q3,Right Upper Arm q0,Right Upper Arm q1,Right Upper Arm q2,Right Upper Arm q3,Right Forearm q0,Right Forearm q1,Right Forearm q2,Right Forearm q3,Right Hand q0,Right Hand q1,Right Hand q2,Right Hand q3,Left Shoulder q0,Left Shoulder q1,Left Shoulder q2,Left Shoulder q3,Left Upper Arm q0,Left Upper Arm q1,Left Upper Arm q2,Left Upper Arm q3,Left Forearm q0,Left Forearm q1,Left Forearm q2,Left Forearm q3,Left Hand q0,Left Hand q1,Left Hand q2,Left Hand q3,Right Upper Leg q0,Right Upper Leg q1,Right Upper Leg q2,Right Upper Leg q3,Right Lower Leg q0,Right Lower Leg q1,Right Lower Leg q2,Right Lower Leg q3,Right Foot q0,Right Foot q1,Right Foot q2,Right Foot q3,Right Toe q0,Right Toe q1,Right Toe q2,Right Toe q3,Left Upper Leg q0,Left Upper Leg q1,Left Upper Leg q2,Left Upper Leg q3,Left Lower Leg q0,Left Lower Leg q1,Left Lower Leg q2,Left Lower Leg q3,Left Foot q0,Left Foot q1,Left Foot q2,Left Foot q3,Left Toe q0,Left Toe q1,Left Toe q2,Left Toe q3
0,0,0.0485962707225906,0.680931842232747,0.0442111711071748,-0.729393995762719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.494086172831513,0.361284129165225,0.731036263179043,-0.301560298692076,0.108322662725182,-0.76628354987587,-0.0140482886132909,-0.633149561728349,0.11543209607125,0.215699853702904,-0.117253320260413,0.962497097760327,0,0,0,0,0.345094766351499,-0.643724556795153,-0.45683094541052,-0.507773359414433,0.0600366930632797,-0.754768005884741,0.0942217777492955,-0.646407850645829,0.964392603300762,-0.112665729815963,0.193549622799362,0.140683629246762,0,0,0,0
1,1,0.048590974031664,0.680919696439426,0.0441908417638606,-0.729406919180025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.494152044105701,0.361272198172207,0.731013781630598,-0.301521155476878,0.108332572754868,-0.766286008896385,-0.0140943994111167,-0.633143865290662,0.115401309896614,0.215703864092501,-0.117253192922861,0.962499906202127,0,0,0,0,0.345065971856159,-0.643738242174908,-0.456839395731829,-0.507767975689587,0.0600200716216936,-0.754750781308241,0.094239767605575,-0.646426883196216,0.964391391601942,-0.112687848019128,0.193539929074987,0.140687556544763,0,0,0,0
2,2,0.0485674693446639,0.680885214202047,0.0441621983032163,-0.729442407763296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.494220073211108,0.361246328979222,0.730991330140174,-0.301495081708047,0.10836358108899,-0.766281505205837,-0.0141490486653404,-0.633142790762805,0.115363600042189,0.215699924710176,-0.117253816888782,0.962505233591144,0,0,0,0,0.345073533130406,-0.643715104372659,-0.456871968047051,-0.507762863892399,0.0599822157880592,-0.754720834778469,0.0942786290998594,-0.646459693589242,0.964390270132281,-0.112692225537772,0.193536654892381,0.14069624156529,0,0,0,0
3,3,0.048530539119528,0.680844021414058,0.0441488887590728,-0.729484119702987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.494296461222389,0.361217330197533,0.730965737361613,-0.301466647560528,0.108447337554446,-0.766259587876826,-0.0142250400779682,-0.633153273069775,0.115339391026866,0.215719168499087,-0.117254409040711,0.962503750008346,0,0,0,0,0.345108732567461,-0.64367246269178,-0.456924933072241,-0.50774533874267,0.0599544130496877,-0.754686135140687,0.0942800130132544,-0.646502579212566,0.964388184695212,-0.112709591442146,0.193533283523254,0.140701262915179,0,0,0,0
4,4,0.0485199885679533,0.680763327651446,0.0441029212247754,-0.729562906659692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.494307276399928,0.361217670690219,0.730968278555518,-0.301442343782026,0.108516133753617,-0.766240959100407,-0.0143153959248593,-0.633161994083323,0.115323826076517,0.215709936487202,-0.117246891695512,0.962508599871971,0,0,0,0,0.345146391325572,-0.64361446097266,-0.456979536662545,-0.507744125769561,0.0599498221317725,-0.754635364223035,0.0942935280119996,-0.646560296078708,0.964390613377303,-0.112695189112066,0.19353727281694,0.140690664975782,0,0,0,0
5,5,0.0484873270710882,0.68061219625621,0.0440951618791158,-0.729706539726522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.494304859863974,0.361224500204586,0.7309658758577,-0.30144394885018,0.108587522387183,-0.766201321743575,-0.0143718820659451,-0.63319644151408,0.115298105049854,0.215716156274935,-0.117237435427431,0.962511439219441,0,0,0,0,0.345157364110208,-0.643563204450622,-0.457041191119535,-0.507746142769964,0.0599406859497767,-0.754589575310065,0.0942524923525532,-0.646620564695076,0.964385567833133,-0.112715225685746,0.193541985417687,0.140702716158423,0,0,0,0
6,6,0.0484588284271186,0.680424343357062,0.0440428204011385,-0.729886761686835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.494324802002115,0.36126137775935,0.730907559099604,-0.301508452810274,0.108610026353338,-0.76614404167256,-0.0143894056170009,-0.633261489900619,0.115263625613759,0.215688809166732,-0.117240756703487,0.962521292844061,0,0,0,0,0.345120554036878,-0.643541309687032,-0.45706496521931,-0.507777513756418,0.0599436499400868,-0.754543012652422,0.0942174717143229,-0.646679726690909,0.964383230060404,-0.112731785042966,0.193534146929864,0.140716254183437,0,0,0,0
7,7,0.0484232737221022,0.680174027065147,0.0440051943360236,-0.730124662190961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49434798745183,0.361288547679365,0.730852488170222,-0.301571373232698,0.10857256009104,-0.766080404085458,-0.0143784894333247,-0.633345145014276,0.115233176069506,0.215685529299442,-0.117239158328111,0.96252586839953,0,0,0,0,0.345067384881917,-0.643542662760677,-0.457071695663928,-0.507805874444707,0.0599350261707494,-0.75447938784071,0.0942201155703526,-0.646754370517377,0.964386439648634,-0.112739879217353,0.193525390379574,0.140699814976148,0,0,0,0
8,8,0.0483945030990735,0.679924704225393,0.0439850268197154,-0.730359970199268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.494375529264036,0.361310253842126,0.730803863145169,-0.301618053414479,0.108531728570791,-0.766000977594252,-0.0143566287567073,-0.633448698340148,0.115195141636863,0.215668993343273,-0.117261858538467,0.962531361143972,0,0,0,0,0.345001117039327,-0.643535427880272,-0.457080053136268,-0.507852544868605,0.0599239223241341,-0.754424730928199,0.0942116900371416,-0.646820381835291,0.964381391379358,-0.112759923154937,0.193530100641933,0.140711875251631,0,0,0,0
9,9,0.0483637444990965,0.679685953884784,0.0439550468535182,-0.730586001895646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.494415406086873,0.361331146947176,0.730742527984128,-0.301676260692079,0.108526611110666,-0.765920630942194,-0.0143895505622881,-0.633545975137212,0.115140027339277,0.215659955069017,-0.117283374950489,0.962537359194002,0,0,0,0,0.344963714717759,-0.643501008065899,-0.457109622501295,-0.507894950913101,0.0598975243656742,-0.754366477961818,0.0942243122065701,-0.646888925930522,0.964379393078629,-0.11275955968715,0.193533146153882,0.140721672972702,0,0,0,0
