,Frame,T8_Head Lateral Bending,T8_Head Axial Bending,T8_Head Flexion/Extension,T8_LeftUpperArm Lateral Bending,T8_LeftUpperArm Axial Bending,T8_LeftUpperArm Flexion/Extension,T8_RightUpperArm Lateral Bending,T8_RightUpperArm Axial Bending,T8_RightUpperArm Flexion/Extension,Pelvis_T8 Lateral Bending,Pelvis_T8 Axial Bending,Pelvis_T8 Flexion/Extension,Vertical_Pelvis Lateral Bending,Vertical_Pelvis Axial Bending,Vertical_Pelvis Flexion/Extension,Vertical_T8 Lateral Bending,Vertical_T8 Axial Bending,Vertical_T8 Flexion/Extension
0,0,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.756309725469671,-0.0713039418593985,-5.40949704963366,-0.764322168139111,-0.072499459116096,-11.7262545093567
1,1,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,-0.801064529495072,-0.0758087145224513,-5.42995853207852,-0.809583806397832,-0.0770828681942662,-11.7467153446068
2,2,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,-0.847070813569173,-0.0804643064330011,-5.45042084059448,-0.856113951146261,-0.0818200074796724,-11.7671769425764
3,3,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.89246788586809,-0.0850941995309508,-5.47085641913115,-0.902032073806795,-0.0865313915749552,-11.7876117724561
4,4,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.935394222023572,-0.0895190932157631,-5.49124033920523,-0.945456494482781,-0.0910346759769501,-11.8079949378312
5,5,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.973987468249382,-0.0935569285698797,-5.51155010877374,-0.984504387721151,-0.0951446814110313,-11.8283039852687
6,6,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,-1.00767552377093,-0.097154514202253,-5.5321705261872,-1.01859767848528,-0.0988073375726206,-11.8489237323683
7,7,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.03769829392463,-0.100427478612242,-5.55312161118082,-1.04898926336449,-0.102140201173976,-11.8698741854836
8,8,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,-1.06491075729943,-0.103444870849314,-5.57383443096318,-1.07654185352563,-0.105213349465509,-11.8905864041178
9,9,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,-1.09016788557298,-0.106275887699101,-5.5937390569366,-1.1021181691224,-0.108097007430781,-11.9104904498497
10,10,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.11432468852873,-0.108990036037397,-5.61226470973458,-1.12658100294447,-0.110861714757678,-11.9290155316305
11,11,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.13712309571985,-0.111556436297409,-5.62927200749409,-1.14966879781447,-0.113475993701418,-11.9460222761949
12,12,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.15799142620626,-0.113923513728952,-5.64514327878729,-1.17080408224572,-0.115887429191174,-11.9618930258143
13,13,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,-1.17731451331687,-0.116130713489903,-5.66008949680809,-1.19037612883936,-0.118136161416709,-11.9768387475015
14,14,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.1954774459606,-0.118218360680728,-5.67432134925923,-1.2087745669685,-0.120263236244499,-11.9910701217158
15,15,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.21286554199772,-0.120227553594647,-5.68804926822753,-1.22638934391373,-0.122310495500825,-12.0047975723529
16,16,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.22940176110647,-0.12214524091693,-5.70106808023305,-1.24314193806812,-0.124264598505734,-12.0178159299796
17,17,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.24482832990522,-0.123941543671108,-5.71323839406771,-1.2587712042892,-0.1260950970333,-12.029985811659
18,18,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,-1.25925976521957,-0.125633256836402,-5.72486908005737,-1.2733935612175,-0.127819138053094,-12.0416160848674
19,19,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,-1.27281075422837,-0.127237663291129,-5.73626893548576,-1.28712565417938,-0.129454371571618,-12.0530155436224
20,20,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.28559613565549,-0.128772474111702,-5.74774669025747,-1.30008432952302,-0.131018889220396,-12.0644929141858
21,21,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,-1.29730752575096,-0.130205316902104,-5.75925787160314,-1.31195755787858,-0.132479737417728,-12.0760037326529
22,22,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.30786790128414,-0.131523156504866,-5.77059734533604,-1.32266683656996,-0.133823592050774,-12.0873428690518
23,23,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.31773936188511,-0.132773336609695,-5.78183262077122,-1.33267959436965,-0.135098634723782,-12.0985778213052
