,Frame,Pelvis x,Pelvis y,Pelvis z,L5 x,L5 y,L5 z,L3 x,L3 y,L3 z,T12 x,T12 y,T12 z,T8 x,T8 y,T8 z,Neck x,Neck y,Neck z,Head x,Head y,Head z,Right Shoulder x,Right Shoulder y,Right Shoulder z,Right Upper Arm x,Right Upper Arm y,Right Upper Arm z,Right Forearm x,Right Forearm y,Right Forearm z,Right Hand x,Right Hand y,Right Hand z,Left Shoulder x,Left Shoulder y,Left Shoulder z,Left Upper Arm x,Left Upper Arm y,Left Upper Arm z,Left Forearm x,Left Forearm y,Left Forearm z,Left Hand x,Left Hand y,Left Hand z,Right Upper Leg x,Right Upper Leg y,Right Upper Leg z,Right Lower Leg x,Right Lower Leg y,Right Lower Leg z,Right Foot x,Right Foot y,Right Foot z,Right Toe x,Right Toe y,Right Toe z,Left Upper Leg x,Left Upper Leg y,Left Upper Leg z,Left Lower Leg x,Left Lower Leg y,Left Lower Leg z,Left Foot x,Left Foot y,Left Foot z,Left Toe x,Left Toe y,Left Toe z
0,0,39.4837335927138,87.9727218007936,-132.609576537093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-161.129127227718,72.3244767605149,138.172080267491,-130.827091076367,-76.819438263309,-40.6786030667047,-13.5525751886145,-28.0415340120191,171.432269377631,0,0,0,173.151890656889,-73.3889879974061,80.1207642529499,-136.297134814766,-73.9424278937734,-43.6669223481369,-12.6690674982279,24.71165198262,18.1434090590645,0,0,0
1,1,39.4923480696258,87.970077932217,-132.602213278447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-161.12078163697,72.3227463054938,138.180156992402,-130.837657716042,-76.8191898688747,-40.6656743428377,-13.5510505973199,-28.0405282453516,171.433413423104,0,0,0,173.161681749729,-73.3867582768307,80.1132477308374,-136.306689396068,-73.9414163761326,-43.660659854376,-12.6675005737633,24.7137864198579,18.1433226515063,0,0,0
2,2,39.4980265807921,87.9678891726357,-132.596334564475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-161.118804864518,72.3230092357581,138.17987181212,-130.846273670303,-76.8173590111655,-40.6580082873284,-13.5510863920326,-28.0406952581944,171.434396244375,0,0,0,173.167785066099,-73.3838684202127,80.1110904945353,-136.310788064888,-73.9419144261204,-43.6577976090096,-12.6682229645604,24.7131839236605,18.1415390378729,0,0,0
3,3,39.5282047655518,87.9653697951976,-132.566283257039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-161.119584555851,72.3241082354252,138.179977399275,-130.85397046671,-76.8190072490414,-40.6540305258335,-13.550276429549,-28.0402712977923,171.434114132846,0,0,0,173.177581607918,-73.3797367283269,80.1025461576694,-136.323007707606,-73.9411343847343,-43.6459151893637,-12.6682330472551,24.7128531928581,18.1411538290512,0,0,0
4,4,39.5237085500038,87.9647125783551,-132.57270054178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-161.120472357461,72.3246094652406,138.178376069421,-130.862502190266,-76.8197457907577,-40.6450846862951,-13.5496043443305,-28.0402810862836,171.435364688578,0,0,0,173.183338766514,-73.3784538642823,80.095247134175,-136.330875595067,-73.940304194406,-43.6376190320863,-12.6694852386605,24.7135056106934,18.142865132412,0,0,0
5,5,39.4947026844784,87.9643856640106,-132.603300584719,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-161.12280579736,72.3255737711831,138.173272243919,-130.872381535535,-76.8185148214003,-40.6320773684287,-13.5483768639107,-28.0414194063744,171.436099998797,0,0,0,173.188525131094,-73.3799248554462,80.0874013839837,-136.336311091182,-73.9401147389077,-43.6346152800141,-12.6683512737289,24.7145434163021,18.1433293618854,0,0,0
6,6,39.5117965802752,87.9638533826192,-132.587003556201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-161.11746177547,72.3292717987551,138.177128258811,-130.886372540182,-76.8192364143376,-40.6153044007408,-13.5498271955342,-28.0418991481978,171.43654612759,0,0,0,173.18829483066,-73.3807843119937,80.0858058090991,-136.338616323299,-73.9379483588753,-43.6378897719413,-12.6701760456177,24.7145118149526,18.1446164977875,0,0,0
7,7,39.5950858924885,87.9668811330517,-132.504255470278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-161.118164947482,72.3316556456822,138.173242391789,-130.893963457746,-76.8195225801217,-40.6058235664957,-13.5484611538199,-28.0426029014309,171.43574838641,0,0,0,173.199634812162,-73.3802599951444,80.0753455732019,-136.350208610123,-73.93725869385,-43.6358417300255,-12.670591761938,24.7152212952273,18.1450057534305,0,0,0
8,8,39.6669923065069,87.9682492947799,-132.431893669928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-161.112713777047,72.3308504841229,138.17430744342,-130.892169418422,-76.8199120081521,-40.6070937572232,-13.5485030930627,-28.0431943692662,171.43557233411,0,0,0,173.202485758396,-73.3782204702208,80.0714155092682,-136.352985430058,-73.9352308103379,-43.643796571252,-12.670450829569,24.7168125273271,18.1421253006602,0,0,0
9,9,39.6860947600672,87.9708472998943,-132.414548087334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-161.103973166733,72.3321930844912,138.18350272602,-130.902747596562,-76.8196597304358,-40.5941512811673,-13.5468393980189,-28.0417520145644,171.43518229288,0,0,0,173.206900199383,-73.3759861993115,80.0635047250664,-136.357210953529,-73.9337552888713,-43.6487774864875,-12.6708935845179,24.7153853207831,18.1422904626577,0,0,0
