,Frame,Pelvis x,Pelvis y,Pelvis z,L5 x,L5 y,L5 z,L3 x,L3 y,L3 z,T12 x,T12 y,T12 z,T8 x,T8 y,T8 z,Neck x,Neck y,Neck z,Head x,Head y,Head z,Right Shoulder x,Right Shoulder y,Right Shoulder z,Right Upper Arm x,Right Upper Arm y,Right Upper Arm z,Right Forearm x,Right Forearm y,Right Forearm z,Right Hand x,Right Hand y,Right Hand z,Left Shoulder x,Left Shoulder y,Left Shoulder z,Left Upper Arm x,Left Upper Arm y,Left Upper Arm z,Left Forearm x,Left Forearm y,Left Forearm z,Left Hand x,Left Hand y,Left Hand z,Right Upper Leg x,Right Upper Leg y,Right Upper Leg z,Right Lower Leg x,Right Lower Leg y,Right Lower Leg z,Right Foot x,Right Foot y,Right Foot z,Right Toe x,Right Toe y,Right Toe z,Left Upper Leg x,Left Upper Leg y,Left Upper Leg z,Left Lower Leg x,Left Lower Leg y,Left Lower Leg z,Left Foot x,Left Foot y,Left Foot z,Left Toe x,Left Toe y,Left Toe z
0,0,0.604995139975975,-3.52867550815471,-4.02107598196777,0.607600722156042,-6.37105951707334,-4.05126441469108,0.620904203509742,-13.4603474819157,-4.12837300366933,0.624367578564763,-14.7295351537847,-4.14259372154581,0.612873819203361,-9.84508192474281,-4.08863429685883,0.745547396254441,2.74408999778198,-3.9409642483457,0.612873819203361,-9.84508192474281,-4.08863429685883,0.612873819203361,-9.84508192474281,-4.08863429685883,0.612873819203361,-9.84508192474281,-4.08863429685883,0.612873819203361,-9.84508192474281,-4.08863429685883,0.612873819203361,-9.84508192474281,-4.08863429685883,0.612873819203361,-9.84508192474281,-4.08863429685883,0.612873819203361,-9.84508192474281,-4.08863429685883,0.612873819203361,-9.84508192474281,-4.08863429685883,0.612873819203361,-9.84508192474281,-4.08863429685883,1.51068399682303,-1.47242613657746,0.513300131648825,1.2267791897384,6.12125496703894,1.47630409043146,-0.997311510938298,-3.26909852441774,-4.00691626262387,-0.997311510938298,-3.26909852441774,-4.00691626262387,0.730431790488608,-0.531338979622681,-5.22609967179423,1.16768647928517,2.16546332250439,-5.73779805812755,2.43216449452208,-1.67134652816335,-0.195453013667643,2.43216449452208,-1.67134652816335,-0.195453013667643
1,1,0.540354257421954,-3.5220740768976,-4.02926315536587,0.542678335976636,-6.36449026446807,-4.05622585226935,0.55455231315347,-13.4538604280005,-4.12509374801491,0.557644107664722,-14.7230632603567,-4.13779446582564,0.547384146342464,-9.83855250770415,-4.08960221342451,0.672651224656627,2.75069874544094,-3.95677135402608,0.547384146342464,-9.83855250770415,-4.08960221342451,0.547384146342464,-9.83855250770415,-4.08960221342451,0.547384146342464,-9.83855250770415,-4.08960221342451,0.547384146342464,-9.83855250770415,-4.08960221342451,0.547384146342464,-9.83855250770415,-4.08960221342451,0.547384146342464,-9.83855250770415,-4.08960221342451,0.547384146342464,-9.83855250770415,-4.08960221342451,0.547384146342464,-9.83855250770415,-4.08960221342451,0.547384146342464,-9.83855250770415,-4.08960221342451,1.50208348904641,-1.46427834111409,0.475849732778394,1.20678735607888,6.14176317433822,1.49499717602673,-1.00491634095049,-3.21130511530952,-4.00860504639813,-1.00491634095049,-3.21130511530952,-4.00860504639813,0.718925972188757,-0.518386517530344,-5.22726350430163,1.1435023404324,2.18914977405211,-5.7594145400734,2.42537624511205,-1.64887944610689,-0.191629268197137,2.42537624511205,-1.64887944610689,-0.191629268197137
2,2,0.473386453896304,-3.51654394147849,-4.03792982142664,0.475420221254005,-6.35898963513875,-4.06155077483494,0.485816691829407,-13.448435167121,-4.12188220610346,0.48852418676994,-14.7176518996984,-4.13300846029384,0.479539980930712,-9.83308840442702,-4.09079017606129,0.597170815774559,2.75621954147971,-3.97332798448085,0.479539980930712,-9.83308840442702,-4.09079017606129,0.479539980930712,-9.83308840442702,-4.09079017606129,0.479539980930712,-9.83308840442702,-4.09079017606129,0.479539980930712,-9.83308840442702,-4.09079017606129,0.479539980930712,-9.83308840442702,-4.09079017606129,0.479539980930712,-9.83308840442702,-4.09079017606129,0.479539980930712,-9.83308840442702,-4.09079017606129,0.479539980930712,-9.83308840442702,-4.09079017606129,0.479539980930712,-9.83308840442702,-4.09079017606129,1.49332582786994,-1.45797145600741,0.438190530441791,1.18641998875744,6.16411322527376,1.51335168621396,-1.0127397688608,-3.15208476331358,-4.01040971229961,-1.0127397688608,-3.15208476331358,-4.01040971229961,0.706675272754977,-0.506332288752652,-5.22945283436838,1.11938344163414,2.21419163981745,-5.78190861853019,2.41868737198699,-1.62643380040365,-0.18775248216831,2.41868737198699,-1.62643380040365,-0.18775248216831
3,3,0.407581412581041,-3.51049265609279,-4.04636711741786,0.409330316172338,-6.35296354606169,-4.06670436398035,0.418275975588923,-13.4424734366124,-4.11864776173232,0.420606038530835,-14.7117020386625,-4.12822695571265,0.412874703408513,-9.82709350587128,-4.09187870707203,0.522979392892065,2.76225290986806,-3.98952174187416,0.412874703408513,-9.82709350587128,-4.09187870707203,0.412874703408513,-9.82709350587128,-4.09187870707203,0.412874703408513,-9.82709350587128,-4.09187870707203,0.412874703408513,-9.82709350587128,-4.09187870707203,0.412874703408513,-9.82709350587128,-4.09187870707203,0.412874703408513,-9.82709350587128,-4.09187870707203,0.412874703408513,-9.82709350587128,-4.09187870707203,0.412874703408513,-9.82709350587128,-4.09187870707203,0.412874703408513,-9.82709350587128,-4.09187870707203,1.48463968072828,-1.45075264929078,0.400634268334501,1.16624961888288,6.18555207970578,1.53186521849003,-1.02045593055299,-3.09357823606952,-4.0121681237049,-1.02045593055299,-3.09357823606952,-4.0121681237049,0.694796499122089,-0.493829465186048,-5.23113329911348,1.09521724990972,2.23854185533218,-5.80397985747851,2.41195118720281,-1.60397675797669,-0.183906243644174,2.41195118720281,-1.60397675797669,-0.183906243644173
4,4,0.346428684776248,-3.50232515725197,-4.05386902579599,0.347912713504655,-6.34481608783562,-4.07115467804242,0.355509713536233,-13.4343771675221,-4.11530288686487,0.3574889446998,-14.703615210195,-4.12344435071766,0.350922210317523,-9.81897085583235,-4.09255128437164,0.453949370131461,2.77040438273934,-4.00424352589817,0.350922210317523,-9.81897085583235,-4.09255128437164,0.350922210317523,-9.81897085583235,-4.09255128437164,0.350922210317523,-9.81897085583235,-4.09255128437164,0.350922210317523,-9.81897085583235,-4.09255128437164,0.350922210317523,-9.81897085583235,-4.09255128437164,0.350922210317523,-9.81897085583235,-4.09255128437164,0.350922210317523,-9.81897085583235,-4.09255128437164,0.350922210317523,-9.81897085583235,-4.09255128437164,0.350922210317523,-9.81897085583235,-4.09255128437164,1.476250212783,-1.43986869853073,0.363492008913241,1.14684760128908,6.20332667608882,1.55103757791223,-1.02773856923257,-3.03792623813375,-4.01371693304535,-1.02773856923257,-3.03792623813375,-4.01371693304535,0.684407073306069,-0.479530537074773,-5.23077059467362,1.07089395006671,2.26015436905534,-5.82432608237382,2.40502094508806,-1.58147548585709,-0.18017426178019,2.40502094508806,-1.58147548585709,-0.18017426178019
5,5,0.293417801652837,-3.49044412558984,-4.05973158007842,0.294671692249573,-6.33294979829702,-4.07437185188381,0.301098187246938,-13.4225485334403,-4.11176228891736,0.302773024657203,-14.6917935207862,-4.11865732354705,0.297216844810876,-9.80712281553112,-4.09249352250701,0.393952648536229,2.78228387084602,-4.01638663221469,0.297216844810876,-9.80712281553112,-4.09249352250701,0.297216844810876,-9.80712281553112,-4.09249352250701,0.297216844810876,-9.80712281553112,-4.09249352250701,0.297216844810876,-9.80712281553112,-4.09249352250701,0.297216844810876,-9.80712281553112,-4.09249352250701,0.297216844810876,-9.80712281553112,-4.09249352250701,0.297216844810876,-9.80712281553112,-4.09249352250701,0.297216844810876,-9.80712281553112,-4.09249352250701,0.297216844810876,-9.80712281553112,-4.09249352250701,1.46837920817464,-1.42256600492891,0.327074217231967,1.12878389319603,6.21468389225915,1.57137052223692,-1.03426107508645,-2.98726941826472,-4.01489167938907,-1.03426107508645,-2.98726941826472,-4.01489167938907,0.67662533084513,-0.462087562190625,-5.22683025947385,1.04630606190264,2.27698416670497,-5.84164335739579,2.39774984169329,-1.55889715300279,-0.176640367585412,2.39774984169329,-1.55889715300279,-0.176640367585412
6,6,0.250002787657323,-3.47352550961344,-4.06335123714475,0.251067445191867,-6.31604143640648,-4.07582489553798,0.256533324751808,-13.4056663635496,-4.10768025609047,0.257958486037784,-14.6749161814374,-4.11355432621371,0.253231357616725,-9.79022714721769,-4.09126423170375,0.344568020800199,2.79922678066064,-4.02518275160303,0.253231357616725,-9.79022714721769,-4.09126423170375,0.253231357616725,-9.79022714721769,-4.09126423170375,0.253231357616725,-9.79022714721769,-4.09126423170375,0.253231357616725,-9.79022714721769,-4.09126423170375,0.253231357616725,-9.79022714721769,-4.09126423170375,0.253231357616725,-9.79022714721769,-4.09126423170375,0.253231357616725,-9.79022714721769,-4.09126423170375,0.253231357616725,-9.79022714721769,-4.09126423170375,0.253231357616725,-9.79022714721769,-4.09126423170375,1.46151777142885,-1.39690834998198,0.2901445572231,1.11201082254325,6.21825418862419,1.59403340965262,-1.03984555419753,-2.94231361791378,-4.01557244266123,-1.03984555419753,-2.94231361791378,-4.01557244266123,0.672112642414906,-0.440768911780784,-5.21705540643388,1.02121168931925,2.28838038502262,-5.85401483471583,2.39008722998162,-1.53600384341688,-0.173322313603876,2.39008722998162,-1.53600384341688,-0.173322313603876
7,7,0.213857736125492,-3.45262953859469,-4.06520049037297,0.214764553351411,-6.29515275250625,-4.07587030398491,0.21942989540001,-13.3847962928567,-4.10311722412369,0.220647039518982,-14.6540495435016,-4.10814122993183,0.216610693518501,-9.76934748399,-4.0890763837162,0.303213894076564,2.82016882634829,-4.03137343835611,0.216610693518501,-9.76934748399,-4.0890763837162,0.216610693518501,-9.76934748399,-4.0890763837162,0.216610693518501,-9.76934748399,-4.0890763837162,0.216610693518501,-9.76934748399,-4.0890763837162,0.216610693518501,-9.76934748399,-4.0890763837162,0.216610693518501,-9.76934748399,-4.0890763837162,0.216610693518501,-9.76934748399,-4.0890763837162,0.216610693518501,-9.76934748399,-4.0890763837162,0.216610693518501,-9.76934748399,-4.0890763837162,1.45550843170481,-1.36473044640227,0.25249510476285,1.09614422251558,6.21587326964651,1.61869576466296,-1.04470900183703,-2.90163162131561,-4.0158664706979,-1.04470900183703,-2.90163162131561,-4.0158664706979,0.670127593311801,-0.416472883258451,-5.2024678884963,0.995687138069471,2.29570975994785,-5.86230569872422,2.38213086450327,-1.512817452365,-0.170164545837217,2.38213086450327,-1.512817452365,-0.170164545837217
8,8,0.182802178284165,-3.42973554075859,-4.06618814476659,0.183573645854115,-6.27226410858625,-4.07530813559091,0.187551868861702,-13.361921323571,-4.09859570683515,0.188590419359269,-14.6311770960674,-4.102889397189,0.185147091710064,-9.74646546744089,-4.08659548815305,0.267521787249906,2.84312043177508,-4.03611532013112,0.185147091710064,-9.74646546744089,-4.08659548815305,0.185147091710064,-9.74646546744089,-4.08659548815305,0.185147091710064,-9.74646546744089,-4.08659548815305,0.185147091710064,-9.74646546744089,-4.08659548815305,0.185147091710064,-9.74646546744089,-4.08659548815305,0.185147091710064,-9.74646546744089,-4.08659548815305,0.185147091710064,-9.74646546744089,-4.08659548815305,0.185147091710064,-9.74646546744089,-4.08659548815305,0.185147091710064,-9.74646546744089,-4.08659548815305,1.44960191026357,-1.32893523628759,0.215978551065751,1.08124881571807,6.20959495283911,1.64360978318683,-1.04911716285126,-2.8641644944541,-4.0159498659397,-1.04911716285126,-2.8641644944541,-4.0159498659397,0.669683410483872,-0.390296703848982,-5.18645122485905,0.970102059443977,2.29995272375759,-5.86938428804052,2.37395648069376,-1.48969487196704,-0.167140910576064,2.37395648069376,-1.48969487196704,-0.167140910576064
9,9,0.154655092324902,-3.40682428139081,-4.06722171067624,0.155304669473871,-6.24935697737388,-4.07493711018927,0.1586621841408,-13.3390247353406,-4.09463670969731,0.159539261252552,-14.6082824520151,-4.09826864168373,0.156631943998374,-9.72356344601344,-4.08448564419448,0.23512298035392,2.86608953699623,-4.04056349653381,0.156631943998374,-9.72356344601344,-4.08448564419448,0.156631943998374,-9.72356344601344,-4.08448564419448,0.156631943998374,-9.72356344601344,-4.08448564419448,0.156631943998374,-9.72356344601344,-4.08448564419448,0.156631943998374,-9.72356344601344,-4.08448564419448,0.156631943998374,-9.72356344601344,-4.08448564419448,0.156631943998374,-9.72356344601344,-4.08448564419448,0.156631943998374,-9.72356344601344,-4.08448564419448,0.156631943998374,-9.72356344601344,-4.08448564419448,1.44305501162597,-1.29242622553749,0.182447214387992,1.06739112019428,6.20147205561987,1.66702655521353,-1.05333603692917,-2.82885333947201,-4.01599933256077,-1.05333603692917,-2.82885333947201,-4.01599933256077,0.669789964002229,-0.363337389545296,-5.17238956327672,0.944824985875361,2.30208727282455,-5.87811976795597,2.36563979270849,-1.46699299666079,-0.16422509166981,2.36563979270849,-1.46699299666079,-0.16422509166981
