,Frame,Pelvis x,Pelvis y,Pelvis z,L5 x,L5 y,L5 z,L3 x,L3 y,L3 z,T12 x,T12 y,T12 z,T8 x,T8 y,T8 z,Neck x,Neck y,Neck z,Head x,Head y,Head z,Right Shoulder x,Right Shoulder y,Right Shoulder z,Right Upper Arm x,Right Upper Arm y,Right Upper Arm z,Right Forearm x,Right Forearm y,Right Forearm z,Right Hand x,Right Hand y,Right Hand z,Left Shoulder x,Left Shoulder y,Left Shoulder z,Left Upper Arm x,Left Upper Arm y,Left Upper Arm z,Left Forearm x,Left Forearm y,Left Forearm z,Left Hand x,Left Hand y,Left Hand z,Right Upper Leg x,Right Upper Leg y,Right Upper Leg z,Right Lower Leg x,Right Lower Leg y,Right Lower Leg z,Right Foot x,Right Foot y,Right Foot z,Right Toe x,Right Toe y,Right Toe z,Left Upper Leg x,Left Upper Leg y,Left Upper Leg z,Left Lower Leg x,Left Lower Leg y,Left Lower Leg z,Left Foot x,Left Foot y,Left Foot z,Left Toe x,Left Toe y,Left Toe z
0,0,-0.0129704481501081,0.00532123378906513,0.426616977128939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.239110624131572,-0.0843272095957175,0.0479788082445829,0.0229736519213374,-0.0025420065587675,-0.0223852756592624,0.0224103459883227,0.0402227063032181,0.071737961151829,0,0,0,-0.171476416574419,-0.0441271838364836,-0.0377069506657719,-0.128060665617778,0.0350050477931833,0.0402388808576024,0.000482675637169389,0.00959270327874732,0.102230878020185,0,0,0
1,1,0.0603727747774185,0.00703343628980908,0.466557127750114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.246395464426032,-0.0682023809854337,0.0646696413311947,-0.0647173058678172,0.00502172272192833,-0.0697167965391046,-0.0139112185204201,-0.0287085271436813,0.0960039787663138,0,0,0,-0.201541101228913,-0.013448097601516,-0.0139592439941261,-0.175138207413989,0.0585154908275841,0.0555230640158904,0.0410921144308917,0.0227956283470502,0.0616561221780518,0,0,0
2,2,0.0627588876524596,0.00731231242519118,0.466103351728314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.247920728597655,-0.0505978029759342,0.0125330076676349,-0.151157542299082,0.0294015350440656,-0.0780470968172846,0.00428959728177047,0.0442811910963995,0.0850212576042377,0,0,0,-0.223502552699134,-0.0235677656604705,0.021200730615254,-0.174614921695151,0.0582877527125877,0.0977705504534452,0.0367682304659212,0.0402667532346671,0.136822283527149,0,0,0
3,3,0.079463430202777,0.00331530822995424,0.484473376363578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.21799700254304,0.0022777427205245,0.049245362573048,-0.198538248041391,-0.0324005752440712,-0.0363047631041429,0.00224995014594317,-0.0237240183570663,0.114228574623422,0,0,0,-0.276804763819055,-0.0367014488629736,0.0701470889564639,-0.18315636702709,0.0758441811609001,0.0838193486383769,0.00303767291460998,-0.00953475785220228,0.130627925299574,0,0,0
4,4,0.106350302267859,-0.0348354897093699,0.454729076682723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.133026493943663,0.058798352945498,0.0381156330216381,-0.230487432117394,-0.0250327052343748,0.0375462778379791,-0.0290522500692933,0.0186211764228903,0.0899161397091266,0,0,0,-0.213199836586015,-0.0326679729353151,0.042556073198357,-0.175576793552448,0.0563747068194339,0.0977364031108117,0.0208392554897577,0.00675204422064101,0.096128720675825,0,0,0
5,5,0.0581580823485263,-0.0683036255881169,0.453381241841525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1508292926002,0.0493116185814199,0.00190753162847201,-0.281347897079751,-0.0720320470626588,0.0119105642796153,-0.0105896442431026,-0.0115763610813494,0.0864981890508911,0,0,0,-0.179841037541809,0.00356693653439828,0.0385687522486933,-0.169370197826152,0.0370337625604959,0.0693756264030529,0.036634401039955,-0.00101268941664658,0.0669960597002657,0,0,0
6,6,0.0581564057941883,-0.100835290436235,0.351341218959654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.12529557756692,0.0589001676959171,0.00349477334543558,-0.300624820200601,-0.0619388963437746,-0.0380850592955504,0.0264503872132118,0.0331860662221936,0.0721008107034287,0,0,0,-0.148168605325737,0.00513047530913656,0.0247262493052709,-0.162162689262882,0.0179125889949339,0.0832825661085188,0.0409460774699107,-0.0208134430035515,0.095369344802462,0,0,0
7,7,0.0966875114185811,-0.119846923659368,0.285712819582143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.108860643870357,0.027662979282321,0.0044895529333786,-0.266286745319319,-0.0380541218856828,-0.0342880494236777,0.00130496122177852,0.00722521921654247,0.136058845315242,0,0,0,-0.141778900024284,0.0294462695929136,0.00140470311099961,-0.108182704903905,-0.0250869500522144,0.0818940701011144,0.0478316026723588,0.00772556326530862,0.113010070567068,0,0,0
8,8,-0.0021949209415284,-0.111988032288714,0.206879518618289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0558813452858478,-0.0243994072283159,0.00818708716709438,-0.249585218276546,-0.0348083545017531,-0.0519806082952243,-0.0580023930470266,-0.0456931763649959,0.0733530536306102,0,0,0,-0.101980782191238,-0.00738628111442985,-0.00110588950979285,-0.143291125561709,0.0140245831133369,0.0686470451041199,0.0338345243388785,-0.00209070818900595,0.0669359442276001,0,0,0
9,9,-0.0161776833557117,-0.107125918926635,0.18712823011486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00336876308577524,-0.0764313430125754,0.0118523105287434,-0.176248077735273,-0.112332526503169,-0.0371490596418731,0.0459689441977005,-0.02297769586064,0.0785200603301988,0,0,0,-0.0773871844638301,-0.0292711918784338,0.0082239004306448,-0.155399653871077,-0.00235781238903019,0.0971632614885038,-0.0381790500568597,0.0701696517515461,0.149562239722499,0,0,0
10,10,-0.00693210031814894,-0.0634680664595194,0.0958094704532435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0482717827275186,-0.0720569387998915,0.0327821328577222,-0.0879788508010198,-0.137912403206429,-0.0292037681294044,0.0087033966130973,0.0112570826973005,0.0952658758568337,0,0,0,-0.0307565205047062,-0.0415998151795997,-0.0175182161670087,-0.0747865851829854,0.0201991112212015,-0.00374870372485603,0.0402142262072757,0.0255931639091553,0.0845481671898227,0,0,0
11,11,-0.0322175882764398,-0.0242456120953908,0.124123247955145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0854469437310566,-0.150183314571634,0.018093814785459,-0.0188402566335954,-0.136795584499351,-0.0321171704808823,0.0272973631992943,-0.0412843516362129,0.101531398052133,0,0,0,0.0267321300832832,-0.0281446167549826,-0.0121462808279471,-0.0911503153991734,-0.0306964089260297,0.0249552556814159,0.0274162327382473,0.0140248726326161,0.142024904623721,0,0,0
12,12,-0.0287999584271092,-0.0263329349697242,0.0892026684578848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0690947263293988,-0.116796482518019,0.05143404073692,0.0474610929629882,-0.0727501550915716,-0.091710929192022,0.0309954010200053,0.0249623120753581,0.0725216403894198,0,0,0,0.0383429273570482,-0.0117130058669698,-0.068598403393791,-0.0166331424456071,-0.0767614187350637,0.0512231458245562,0.0703255987268836,-0.0136606162341573,0.0316711533270517,0,0,0
13,13,-0.0421950076255425,0.0314084175337543,0.0818005568128903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0448383817110612,-0.111290854485397,-0.00253012970642175,0.0805746505876659,-0.00127992857555572,-0.0772703366774987,0.0310232083129457,0.00180745031047522,0.0822684161697307,0,0,0,0.0484310182566205,-0.0179826116184178,-0.0474552036912783,0.0621824452208533,-0.088121469017693,0.0350465294628624,-0.0193477038246136,0.04298535811757,0.148740785261639,0,0,0
14,14,-0.0683854196566111,-0.0355734302653476,0.0858336353735893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0607282491968099,-0.142683662268022,-0.00160648187668677,0.0981146727860235,0.0257309606066944,-0.0896592831021579,-0.00264183044660197,-0.000343546604296852,0.0774046361129788,0,0,0,0.0298823847828521,0.0291058306127894,-0.0802361478569775,0.0733735143128262,-0.0729272997794094,0.00650864747427882,0.040123491029562,-0.0186641727886168,0.118197361147619,0,0,0
15,15,-0.0184587088365278,-0.055099642370999,0.0736638922544124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0336714991785725,-0.079262173144402,-0.0037694937159678,0.115759376461819,0.0288514324027808,-0.107356308542125,0.0129032301544041,0.00594954115777616,0.0955830080380267,0,0,0,0.0529402572337048,-0.024766939502479,-0.0807555425932946,0.137716652173293,-0.0475483361182498,0.00476099744858693,-0.0199208314901923,0.000819105468749699,0.0788721281745417,0,0,0
16,16,-0.0500393429573531,-0.115667586007546,0.14634505879118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0590134346372062,-0.0117457756769159,-0.019373561086196,0.132205115283169,0.0396082483527264,-0.158704436973037,-0.00238831982712466,-0.0249293593811057,0.0872099864781646,0,0,0,0.0361622179298509,-0.1392495107771,-0.054016825733699,0.119589223862274,-0.0989625191553601,-0.0511111069954211,0.039721928707034,0.0042666740000117,0.112790815634712,0,0,0
17,17,-0.0407473575778935,-0.145893617876512,0.13217454422173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0788435934026263,0.0146323918870945,-0.0699956864219011,0.185945575080145,0.036744202954375,-0.144084744631911,-0.0191201544605141,0.0253625462144373,0.0811348067893416,0,0,0,0.0123160246440547,-0.180896978828677,-0.0288026208153074,0.160309680815663,-0.105144237113317,0.00419663490846212,-0.0166338065692617,-0.0192462454169992,0.107216334250017,0,0,0
18,18,-0.0662860217405601,-0.106914078690655,0.160774889501132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833290714956671,-0.000662652499807889,-0.017911113651218,0.188136444911244,0.0118087527474378,-0.149588255138521,0.00308268549343207,-0.0635313149051792,0.065711027543399,0,0,0,0.0376132467756573,-0.170185410323827,-0.00951791615743147,0.160865309823833,-0.106605943998968,0.00416420949634322,0.061842863132236,0.0242068617961125,0.101346406980472,0,0,0
19,19,-0.0661343094050426,-0.106429933863877,0.160425665302672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119938276775233,0.0355131197035941,0.00194604249465868,0.174948594361524,-0.0240537457103568,-0.103873513640506,0.0153935343881658,0.000577570262801736,0.0958684608347369,0,0,0,0.114444719315483,-0.082294227984819,-0.0737701259435397,0.14163785274701,-0.104474143861955,0.0187622493050039,0.0160768342394414,-0.0354066166614856,0.0490031334116328,0,0,0
20,20,-0.0131663494784506,-0.0762576883002153,0.126456013146269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.129479790521934,0.0196423464614567,-0.0148396149870855,0.143301149235037,-0.010154758403525,-0.0636298558964334,0.0171622451794889,0.0222167309590805,0.0862765782784667,0,0,0,0.191598410982239,-0.0811559713106435,-0.0257341846893695,0.0709061482755544,-0.113285255683077,0.0488290915012399,0.00677771603644489,0.0238852481597178,0.0904007439525145,0,0,0
21,21,-0.00997544320764406,-0.0259970533722563,0.104138716983678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074899937975411,-0.0414057838408324,0.0157438821180875,0.143817290495369,0.0128370128795121,-0.0583806285055104,0.0160515599643017,-0.0239565933280971,0.105685339411584,0,0,0,0.146241409861691,-0.133892025521228,0.034574457340133,0.151511121155506,-0.038287286224236,0.0184199397064582,0.0279110598878196,-0.0030610718757821,0.0897031544469904,0,0,0
22,22,0.00757759897925426,-0.0337091728847795,0.0887055731284025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0113811588151998,-0.0706604439513547,-0.0235649925108863,0.0599212877458572,-0.0419146596689227,-0.0488418003323492,0.0402123864593084,0.0584783254864675,0.0538908424218416,0,0,0,0.155412660027555,-0.140732279610403,0.055844680855353,0.0843278106042075,-0.0120223678766075,0.00608311148453211,0.0053374198042952,0.0238927930660805,0.0903932691649203,0,0,0
23,23,0.0382294232318264,0.0109444170731632,0.138722881065009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.050697643386674,-0.116137160832097,0.0237360240005788,-0.0775838949569542,-0.0231230192675635,-0.0379722531594542,0.0401465402016506,0.0349636824684433,0.0636271301837805,0,0,0,0.189503098383945,-0.0820617327833804,-0.0257105650090175,0.135470123017683,-0.0898776328957503,0.0470569547064308,0.0496811621979426,-0.00589236868401271,0.0836363989725459,0,0,0
24,24,0.0383920451709433,-0.0422319909623434,0.12649098132005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0493805424220457,-0.115294430376845,0.0237255035827921,-0.128143897120889,-0.0694904305685453,-0.0634923222176695,0.0394503647784633,-0.0111566575150186,0.0830110968169464,0,0,0,0.195707625316105,-0.0562721615908535,-0.048961381362215,0.117381996357654,-0.140924846086499,-0.00885211307249101,0.0185781087059335,-0.00854901330987479,0.066627895471429,0,0,0
25,25,-0.0104670051652564,-0.0220589012790787,0.138059944305366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0359069256860224,-0.0589641261621608,0.0123618549460289,-0.107038403356428,-0.168883366824187,-0.0688902393483524,-0.0145851339456006,-0.0294669709711032,0.10104453130468,0,0,0,0.158962624999223,-0.0601059495635572,-0.0895060495697706,0.0854897147664698,-0.154493285442787,-0.00800818829914185,0.00740194536445055,0.0031804123491349,0.118742445419437,0,0,0
26,26,0.0648256844347551,-0.0801370808344229,0.0973971572996284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.053641914629541,-0.0903285475772862,-0.0210926797335329,-0.105548675678891,-0.193431821766974,-0.074337372839782,-0.0137742157033292,-0.0312564430147638,0.101095369443987,0,0,0,0.106643709668426,-0.0390533582990713,-0.0307733208909955,0.10274209762317,-0.105360138602639,0.00559648611527841,0.0531694792256607,-0.00236503207075075,0.106657962925855,0,0,0
27,27,0.0623621506737005,-0.0768677504069307,0.131705913249663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0521950692358726,-0.0175132878029133,-0.0560515911764661,-0.0681986968397734,-0.200474969024323,-0.0421882016812418,-0.0122572925147561,-0.0098143718439385,0.0914928471792535,0,0,0,0.0727411510910783,0.0223844828921856,-0.0516241232991792,0.147478439158608,-0.0774307030288542,0.0184832164043165,0.023985777875489,0.0189797382692666,0.0842949214528232,0,0,0
28,28,0.0510264355323525,-0.0958898003506651,0.167654761075131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00708462384202205,-0.00604518192449492,-0.0258304958879574,0.0145084427104136,-0.0920223021715354,-0.0748728975597768,-0.0268809648503094,-0.0419113076723499,0.0830780429909481,0,0,0,0.0651902225462651,-0.00156881138624367,-0.0283469358130901,0.112955659014121,-0.0386861703089401,0.00529570924645206,0.0451635651921953,-0.00824589002217466,0.0835986625586624,0,0,0
29,29,-0.0152685927098684,-0.0677841968315744,0.194753509423364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0160146123172632,0.00995463534619358,0.0253515687071797,0.0466289827790447,0.0114941981089249,-0.0885977564211373,-0.0101897388379001,0.00961380808727863,0.0819402282726429,0,0,0,0.043288893289517,-0.0105970687653705,0.00676593954385396,0.100030512972166,-0.0551060036624345,-0.00847421782258984,0.0270792894851303,-0.000850199156211644,0.112674751000313,0,0,0
30,30,-0.0255603056270379,-0.0871404598686346,0.230804766811573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00825741656231421,-0.0366033844425316,0.00973240680736609,0.0631024521787512,0.085898000974098,-0.0901575574870339,0.0390844641225509,-0.00635368899432795,0.11463407100409,0,0,0,0.000896108328582099,-0.104829846198498,0.0241840215974864,0.0479808943240029,-0.0142335829905757,0.0775130583241648,0.0210792229480436,0.018052580039093,0.0842749682278257,0,0,0
