,Frame,T8_Head Lateral Bending,T8_Head Axial Bending,T8_Head Flexion/Extension,T8_LeftUpperArm Lateral Bending,T8_LeftUpperArm Axial Bending,T8_LeftUpperArm Flexion/Extension,T8_RightUpperArm Lateral Bending,T8_RightUpperArm Axial Bending,T8_RightUpperArm Flexion/Extension,Pelvis_T8 Lateral Bending,Pelvis_T8 Axial Bending,Pelvis_T8 Flexion/Extension,Vertical_Pelvis Lateral Bending,Vertical_Pelvis Axial Bending,Vertical_Pelvis Flexion/Extension,Vertical_T8 Lateral Bending,Vertical_T8 Axial Bending,Vertical_T8 Flexion/Extension
0,0,0,0,0,90.0,-0.202768148029267,-0.202768148029267,90.0,-1.89840971455271,-1.89840971455271,0,0,-6.31676242321572,0.729862965463086,0,2.74440434127491,0.725431590556666,-0.0803075363809134,-3.57286648249095
1,1,0,0,0,90.0,0.583558878195707,0.583558878195706,90.0,-1.26586381389443,-1.26586381389443,0,0,-6.31676242321572,0.745420706231827,0,2.7633560033563,0.740894861795865,-0.0820195586729788,-3.55393672704134
2,2,0,0,0,90.0,2.39720907196138,2.39720907196138,90.0,90.0,90.0,0,0,-6.31676242321572,0.757614973468962,0,2.78337438360429,0.753015082685956,-0.0833614621944718,-3.53393584045745
3,3,0,0,0,90.0,90.0,90.0,90.0,2.53049303995912,2.53049303995912,0,0,-6.31676242321572,0.766153304995337,0,2.80569835746844,0.76150156728789,-0.0843010570871406,-3.51162428452963
4,4,0,0,0,90.0,-0.839453022944634,-0.839453022944635,90.0,2.8463133481306,2.8463133481306,0,0,-6.31676242321572,0.772485089717676,0,2.83171396276977,0.767794903668052,-0.0849978364224254,-3.48561797791101
5,5,0,0,0,89.9999987925817,-90.0,-90.0,90.0,4.10767486213786,4.10767486213786,0,0,-6.31676242321572,0.777057930708973,0,2.85957001352937,0.772339977037805,-0.0855010546013591,-3.45776869030696
6,6,0,0,0,90.0,-3.98218998931137,-3.98218998931137,90.0,-90.0,-90.0,0,0,-6.31676242321572,0.780309401134726,0,2.88741591762985,0.775571703552498,-0.0858588632419529,-3.42992761936641
7,7,0,0,0,90.0,-9.47977455668178,-9.47977455668178,90.0,90.0,90.0,0,0,-6.31676242321572,0.782666850110338,0,2.91340083231471,0.777914837366569,-0.0861182894748122,-3.40394622154456
8,8,0,0,0,90.0,-1.12868380755729,-1.12868380755729,90.0,3.08306608392934,3.08306608392934,0,0,-6.31676242321572,0.782524480441002,0,2.93522753916638,0.7777733322105,-0.0861026223504698,-3.38211930200349
9,9,0,0,0,90.0,90.0,90.0,90.0,-2.29352573907152,-2.29352573907152,0,0,-6.31676242321572,0.77958626875918,0,2.95413355615558,0.774852962257879,-0.0857792859640206,-3.36320890419235
10,10,0,0,0,90.0,-3.42321155174445,-3.42321155174445,90.0,-1.10767307494745,-1.10767307494745,0,0,-6.31676242321572,0.7762403514162,0,2.97356754148839,0.771527362328843,-0.0854110840285492,-3.34376995023051
11,11,0,0,0,90.0,-3.27719902448869,-3.27719902448869,90.0,90.0,90.0,0,0,-6.31676242321572,0.77487663713559,0,2.99697658064985,0.77017192892134,-0.0852610140677112,-3.32035889210905
12,12,0,0,0,90.0,90.0,90.0,90.0,-0.896726231174989,-0.896726231174988,0,0,-6.31676242321572,0.777884382721366,0,3.0278078802056,0.773161410586665,-0.0855920016081821,-3.28953205019982
13,13,0,0,0,90.0,-1.59330400972044,-1.59330400972044,90.0,0.0791293134157087,0.0791293134157087,0,0,-6.31676242321572,0.78583850870245,0,3.06983688659319,0.781067236638599,-0.0864673161222493,-3.24751491551723
14,14,0,0,0,90.0,0.0398737745022433,0.0398737745022431,90.0,0.237386732842674,0.237386732842674,0,0,-6.31676242321572,0.797122512958114,0,3.12076992422234,0.792282720594446,-0.0877090738874638,-3.1965989267717
15,15,0,0,0,90.0,-90.0,-90.0,90.0,0.44839057371804,0.44839057371804,0,0,-6.31676242321572,0.810849376391114,0,3.17494990081418,0.805926229356245,-0.0892196672239436,-3.14244001774852
16,16,0,0,0,90.0,-2.37128968489673,-2.37128968489673,90.0,176.522584056077,176.522584056077,0,0,-6.31676242321572,0.826155964824237,0,3.22671495019427,0.821139869773567,-0.0909041157163068,-3.09069888476329
17,17,0,0,0,90.0,-90.0,-90.0,90.0,-2.8857791124231,-2.8857791124231,0,0,-6.31676242321572,0.842203180998635,0,3.27039667804631,0.837089639768155,-0.0926700820511467,-3.04704271093409
18,18,0,0,0,90.0,-2.29568596416827,-2.29568596416827,90.0,90.0,90.0,0,0,-6.31676242321572,0.860451686805811,0,3.30471666619248,0.855227331171313,-0.0946783136935673,-3.01275237978033
19,19,0,0,0,90.0,90.0,90.0,90.0,90.0,90.0,0,0,-6.31676242321572,0.881478332118444,0,3.33344846575599,0.876126290470106,-0.0969923006480909,-2.98405554070928
20,20,0,0,0,90.0,-2.80314457442494,-2.80314457442494,90.0,-2.03672279671744,-2.03672279671744,0,0,-6.31676242321572,0.903130325061835,0,3.35849549657808,0.897646798431764,-0.0993751342317598,-2.95904539251114
21,21,0,0,0,89.9999985212207,1.73722246223856,1.73722246223856,90.0,176.46345910222,176.46345910222,0,0,-6.31676242321572,0.923254459039767,0,3.38176117451354,0.91764872419009,-0.101589849828438,-2.93581479739723
22,22,0,0,0,90.0,-90.0,-90.0,90.0,-1.30540857710289,-1.30540857710289,0,0,-6.31676242321572,0.93969853438245,0,3.40515070045485,0.933992938260371,-0.103399583341916,-2.91245451298308
23,23,0,0,0,90.0,-5.63518144285796,-5.63518144285796,90.0,90.0,90.0,0,0,-6.31676242321572,0.95210782049644,0,3.42740634261197,0.946326864878418,-0.104765283965468,-2.890221279446
24,24,0,0,0,90.0,90.0,90.0,90.0,0.316514235175885,0.316514235175885,0,0,-6.31676242321572,0.961925720349931,0,3.44725436146222,0.956085141905894,-0.10584579715128,-2.87039119810231
25,25,0,0,0,90.0,-5.62232417191451,-5.6223241719145,90.0,0.0,0.0,0,0,-6.31676242321572,0.96969743666285,0,3.46658067922718,0.963809661357846,-0.10670112108095,-2.85107920997175
26,26,0,0,0,90.0,0.645371577758779,0.645371577758779,90.0,-4.42244085972539,-4.42244085972539,0,0,-6.31676242321572,0.975967971787191,0,3.48727277367301,0.970042115988968,-0.107391233855942,-2.8303987613442
27,27,0,0,0,90.0,-0.372562169930278,-0.372562169930279,90.0,90.0,90.0,0,0,-6.31676242321572,0.98128265572032,0,3.51121847280793,0.975324524131891,-0.107976151041105,-2.80646299159442
28,28,0,0,0,90.0,90.0,90.0,90.0,-6.92940043664849,-6.92940043664849,0,0,-6.31676242321572,0.984385876351182,0,3.53919886263947,0.978408899023503,-0.108317682467649,-2.77848842443466
29,29,0,0,0,90.0,-1.84900673678287,-1.84900673678287,90.0,0.633009153427971,0.633009153427971,0,0,-6.31676242321572,0.98492118046376,0,3.56996146764779,0.978940952251347,-0.108376596542986,-2.7477268256946
30,30,0,0,0,90.0,-1.86135774194106,-1.86135774194106,90.0,90.0,90.0,0,0,-6.31676242321572,0.984779182192528,0,3.60234046961272,0.978799816331182,-0.108360968608068,-2.71534755674704
31,31,0,0,0,90.0,-1.05081902659104,-1.05081902659104,90.0,0.633009153427971,0.633009153427971,0,0,-6.31676242321572,0.985846392215269,0,3.63516581092384,0.979860545219031,-0.108478422808065,-2.68252422292832
32,32,0,0,0,90.0,-1.09531368092978,-1.09531368092978,90.0,2.95154927794874,2.95154927794875,0,0,-6.31676242321572,0.990005271757863,0,3.66726351256764,0.983994167970016,-0.108936138362901,-2.65043436516811
33,33,0,0,0,90.0,0.618174166529378,0.618174166529378,90.0,-0.422015641371097,-0.422015641371097,0,0,-6.31676242321572,0.998742224391605,0,3.69925907572323,0.992678061061701,-0.109897708533507,-2.61845538800555
34,34,0,0,0,90.0,-90.0,-90.0,90.0,0.422015641371097,0.422015641371098,0,0,-6.31676242321572,1.01079962387776,0,3.73192923846367,1.00466223546161,-0.111224728229572,-2.5858083541565
35,35,0,0,0,90.0,90.0,90.0,90.0,0.0,0.0,0,0,-6.31676242321572,1.02393942569168,0,3.76432775853672,1.01772223810134,-0.112670886626793,-2.5534353554788
36,36,0,0,0,89.9999985212207,-0.890133720772861,-0.890133720772861,90.0,-1.89840971455271,-1.89840971455271,0,0,-6.31676242321572,1.03592164998504,0,3.79551250754303,1.02963169272593,-0.113989652969308,-2.52227416700217
