,Frame,L5S1 Lateral Bending,L5S1 Axial Bending,L5S1 Flexion/Extension,L4L3 Lateral Bending,L4L3 Axial Rotation,L4L3 Flexion/Extension,L1T12 Lateral Bending,L1T12 Axial Rotation,L1T12 Flexion/Extension,T9T8 Lateral Bending,T9T8 Axial Rotation,T9T8 Flexion/Extension,T1C7 Lateral Bending,T1C7 Axial Rotation,T1C7 Flexion/Extension,C1 Head Lateral Bending,C1 Head Axial Rotation,C1 Head Flexion/Extension,Right T4 Shoulder Abduction/Adduction,Right T4 Shoulder Internal/External Rotation,Right T4 Shoulder Flexion/Extension,Right Shoulder Abduction/Adduction,Right Shoulder Internal/External Rotation,Right Shoulder Flexion/Extension,Right Elbow Ulnar Deviation/Radial Deviation,Right Elbow Pronation/Supination,Right Elbow Flexion/Extension,Right Wrist Ulnar Deviation/Radial Deviation,Right Wrist Pronation/Supination,Right Wrist Flexion/Extension,Left T4 Shoulder Abduction/Adduction,Left T4 Shoulder Internal/External Rotation,Left T4 Shoulder Flexion/Extension,Left Shoulder Abduction/Adduction,Left Shoulder Internal/External Rotation,Left Shoulder Flexion/Extension,Left Elbow Ulnar Deviation/Radial Deviation,Left Elbow Pronation/Supination,Left Elbow Flexion/Extension,Left Wrist Ulnar Deviation/Radial Deviation,Left Wrist Pronation/Supination,Left Wrist Flexion/Extension,Right Hip Abduction/Adduction,Right Hip Internal/External Rotation,Right Hip Flexion/Extension,Right Knee Abduction/Adduction,Right Knee Internal/External Rotation,Right Knee Flexion/Extension,Right Ankle Abduction/Adduction,Right Ankle Internal/External Rotation,Right Ankle Dorsiflexion/Plantarflexion,Right Ball Foot Abduction/Adduction,Right Ball Foot Internal/External Rotation,Right Ball Foot Flexion/Extension,Left Hip Abduction/Adduction,Left Hip Internal/External Rotation,Left Hip Flexion/Extension,Left Knee Abduction/Adduction,Left Knee Internal/External Rotation,Left Knee Flexion/Extension,Left Ankle Abduction/Adduction,Left Ankle Internal/External Rotation,Left Ankle Dorsiflexion/Plantarflexion,Left Ball Foot Abduction/Adduction,Left Ball Foot Internal/External Rotation,Left Ball Foot Flexion/Extension
0,0,0,0,-2.84254309044708,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495348,-0.00904337328149708,-0.0283995747171198,12.6109318041816,0.0150256650131657,0.0257400047363037,-12.6109261878111,0,0,0,90.0,-1.89840971455271,-1.89840971455271,0,90,0,0,0,0,0,0,0,90.0,-0.202768148029267,-0.202768148029267,0,90,0,0,0,0,-1.19213252262387,-1.95387938005645,3.06840028767821,-0.0396040643802072,0.907087232180996,4.81912484583808,-0.542559745353803,8.83073855917482,7.24973101524686,0.0,0.0,0.0,-1.09485358518316,1.3722562427057,2.26160178771959,-0.182252245122219,0.653671042888866,0.545774557661105,0.277379380036676,-1.39215498909574,0.242651478407576,0.274905992471786,0.00186569168970752,-0.7776783809742
1,1,0,0,-2.84254309044708,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495348,-0.00908066705288905,-0.0284087431875002,12.6109410573045,0.0150640649764352,0.0257408072622932,-12.6109354222337,0,0,0,90.0,-1.26586381389443,-1.26586381389443,0,90,0,0,0,0,0,0,0,90.0,0.583558878195707,0.583558878195706,0,90,0,0,0,0,-1.18478436082004,-1.96313429447657,3.09029739615289,-0.022375194979072,0.835126082329059,4.86152670416088,-0.54863351653176,8.87078982543035,7.2916774971855,0.0,0.0,0.0,-1.10001991272833,1.36040185398532,2.28679265925546,-0.204519522903091,0.718954880032516,0.583151761588113,0.2896983009882,-1.40213198044042,0.272757413558861,0.275644646147272,0.00187224041199686,-0.778317474692055
2,2,0,0,-2.84254309044707,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495348,-0.00912032646702608,-0.0284179717969222,12.6109524254854,0.0151047875918307,0.0257411514165738,-12.6109467706551,0,0,0,90.0,90.0,90.0,0,90,0,0,0,0,0,0,0,90.0,2.39720907196138,2.39720907196138,0,90,0,0,0,0,-1.18202235942612,-1.97420690430429,3.1038822412507,-0.00583818501111388,0.774157890157435,4.8855618007316,-0.550840930511062,8.90077693556329,7.32534660542167,0.0,0.0,0.0,-1.10490367774351,1.34918985597698,2.32114209653781,-0.218866723365116,0.762278570484044,0.636850022308843,0.298980989332712,-1.38891887440356,0.310814028531953,0.27446717673591,0.00186648957753574,-0.779256183551392
3,3,0,0,-2.84254309044707,0,0,-7.08969429797762,0,0,-1.26926260974451,0,0,4.88473757495349,-0.00916097436568959,-0.0284272796889547,12.6109666992205,0.0151464934597473,0.0257413563408358,-12.61096102417,0,0,0,90.0,2.53049303995912,2.53049303995912,0,90,0,0,0,0,0,0,0,90.0,90.0,90.0,0,90,0,0,0,0,-1.18551500762442,-1.99160846093896,3.10866986567584,0.0118058530760726,0.719601361541522,4.88799069982383,-0.549894416966265,8.925608681477,7.35022720546698,0.0,0.0,0.0,-1.10945834790517,1.33579177731434,2.37155850113351,-0.224071565031749,0.778452230012087,0.716845455737167,0.305081236694897,-1.33953621994782,0.360713058845653,0.270491758239854,0.00184340653418683,-0.780930575648771
4,4,0,0,-2.84254309044707,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495348,-0.0092012817275303,-0.0284369175877971,12.6109834633144,0.0151879401757662,0.0257419569790443,-12.6109777681008,0,0,0,90.0,2.8463133481306,2.8463133481306,0,90,0,0,0,0,0,0,0,90.0,-0.839453022944634,-0.839453022944635,0,90,0,0,0,0,-1.19404530133263,-2.01707167638928,3.10958883744014,0.0314608608376951,0.659316868427857,4.87601499324162,-0.548858817985005,8.95714005753129,7.37032809018071,0.0,0.0,0.0,-1.11394601676068,1.31704038414259,2.44133974285125,-0.222581689140445,0.77781542805459,0.826424840212338,0.309783874188852,-1.25914759629145,0.424153949421275,0.263260309274698,0.00179883521248765,-0.782981396279759
5,5,0,0,-2.84254309044707,0,0,-7.08969429797763,0,0,-1.2692626097445,0,0,4.88473757495348,-0.0092433049698512,-0.0284468615145397,12.611001545235,0.0152311287839071,0.0257424812586245,-12.6109958290192,0,0,0,90.0,4.10767486213786,4.10767486213786,0,90,0,0,0,0,0,0,0,89.9999987925817,-90.0,-90.0,0,90,0,0,0,0,-1.20513874651034,-2.04383265409886,3.10738298220935,0.0505038190699917,0.600192697121762,4.85448389542631,-0.546641310597103,8.98801770461213,7.38641920898607,0.0,0.0,0.0,-1.11846790923846,1.2971773853712,2.52012523661563,-0.216180492519722,0.768130040301591,0.950582917385707,0.31322734709194,-1.16723324978586,0.495315658757807,0.254095619799938,0.00174014664063321,-0.784755054745605
6,6,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.2692626097445,0,0,4.88473757495348,-0.00928910749508004,-0.0284570877117232,12.6110197662065,0.0152780671897294,0.0257424558005834,-12.6110140272504,0,0,0,90.0,-90.0,-90.0,0,90,0,0,0,0,0,0,0,90.0,-3.98218998931137,-3.98218998931137,0,90,0,0,0,0,-1.21631063064657,-2.06512954549988,3.10278396343817,0.0663051408925305,0.549114323353092,4.82824033842664,-0.542143377102325,9.01088885257268,7.39926731509214,0.0,0.0,0.0,-1.12309977908859,1.28044712459313,2.59755519820784,-0.206716465277038,0.757160916497609,1.07432009721313,0.315601144258346,-1.08327049444393,0.568366280852388,0.24432034418418,0.00167499854788268,-0.785597614522345
7,7,0,0,-2.84254309044707,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495348,-0.00934075993424612,-0.0284675725619955,12.6110369391195,0.0153307703792372,0.0257414057878473,-12.6110311747825,0,0,0,90.0,90.0,90.0,0,90,0,0,0,0,0,0,0,90.0,-9.47977455668178,-9.47977455668178,0,90,0,0,0,0,-1.22506287697693,-2.07420386718016,3.09651147648712,0.0762271947201033,0.512962876080681,4.80212225611833,-0.534263086866323,9.01840078303969,7.40963497345044,0.0,0.0,0.0,-1.12789182655904,1.27109519580853,2.66327022004169,-0.19610006214782,0.752681399495159,1.18264359198262,0.317155591009811,-1.0267317953652,0.637462658857317,0.235257043048089,0.00161133814989382,-0.784854734278051
8,8,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.2692626097445,0,0,4.88473757495348,-0.00939865085508003,-0.0284779753434506,12.6110536808334,0.0153895434317494,0.0257389137140216,-12.6110478883937,0,0,0,90.0,3.08306608392934,3.08306608392934,0,90,0,0,0,0,0,0,0,90.0,-1.12868380755729,-1.12868380755729,0,90,0,0,0,0,-1.23239349776017,-2.06828139183625,3.08312572811797,0.0791994733746015,0.497229597502746,4.76978665329542,-0.521800810518597,9.00185853751777,7.41530813495846,0.0,0.0,0.0,-1.13241210663214,1.27020211747098,2.71680379613661,-0.182774664907859,0.755637410429347,1.27929130680501,0.318005444441312,-0.999599060451609,0.705347759638354,0.226406361803706,0.00154436522566044,-0.781639756489362
9,9,0,0,-2.84254309044707,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495348,-0.00946140668368652,-0.0284883109372399,12.6110707718768,0.0154530495099358,0.0257352937814299,-12.6110649492116,0,0,0,90.0,-2.29352573907152,-2.29352573907152,0,90,0,0,0,0,0,0,0,90.0,90.0,90.0,0,90,0,0,0,0,-1.23995757264078,-2.05186575731225,3.06213952128869,0.0769995751102269,0.497327235398711,4.72799790100743,-0.505486199161006,8.96616568370986,7.41576360274853,0.0,0.0,0.0,-1.13660769635195,1.27494382836109,2.76506334932914,-0.165527365630742,0.76082923792998,1.37425864398485,0.318024573375939,-0.988895393968462,0.775908934602357,0.216886496588094,0.00146948903636048,-0.776388669345241
