,Frame,Pelvis x,Pelvis y,Pelvis z,L5 x,L5 y,L5 z,L3 x,L3 y,L3 z,T12 x,T12 y,T12 z,T8 x,T8 y,T8 z,Neck x,Neck y,Neck z,Head x,Head y,Head z,Right Shoulder x,Right Shoulder y,Right Shoulder z,Right Upper Arm x,Right Upper Arm y,Right Upper Arm z,Right Forearm x,Right Forearm y,Right Forearm z,Right Hand x,Right Hand y,Right Hand z,Left Shoulder x,Left Shoulder y,Left Shoulder z,Left Upper Arm x,Left Upper Arm y,Left Upper Arm z,Left Forearm x,Left Forearm y,Left Forearm z,Left Hand x,Left Hand y,Left Hand z,Right Upper Leg x,Right Upper Leg y,Right Upper Leg z,Right Lower Leg x,Right Lower Leg y,Right Lower Leg z,Right Foot x,Right Foot y,Right Foot z,Right Toe x,Right Toe y,Right Toe z,Left Upper Leg x,Left Upper Leg y,Left Upper Leg z,Left Lower Leg x,Left Lower Leg y,Left Lower Leg z,Left Foot x,Left Foot y,Left Foot z,Left Toe x,Left Toe y,Left Toe z
0,0,0.729862965463085,2.74440434127491,-177.247922438151,0.72902688109292,-0.0979084816697781,-177.284116431153,0.734799406774989,-7.18702581395633,-177.374805251989,0.737038888916249,-8.45618373641542,-177.391260236076,0.730444810286675,-3.5718462090789,-177.32837982942,0.724631052237839,9.03841854841406,-177.19565576266,0.730444810286675,-3.5718462090789,-177.32837982942,0.730444810286675,-3.5718462090789,-177.32837982942,0.730444810286675,-3.5718462090789,-177.32837982942,0.730444810286675,-3.5718462090789,-177.32837982942,0.730444810286675,-3.5718462090789,-177.32837982942,0.730444810286675,-3.5718462090789,-177.32837982942,0.730444810286675,-3.5718462090789,-177.32837982942,0.730444810286675,-3.5718462090789,-177.32837982942,0.730444810286675,-3.5718462090789,-177.32837982942,1.93108586768773,-0.258069310469164,-179.239790670837,2.04882162883139,4.52645298309745,-178.167691118656,2.13926771025102,-3.08352738129548,-169.591920093775,2.13926771025102,-3.08352738129548,-169.591920093775,-0.377263571750783,0.474087077845888,-178.648999899746,-0.571161830905009,1.01339978270421,-179.306336164007,-0.274931316668037,0.777669428995992,-177.911652126817,0.0,0.0,-177.90978629137
1,1,0.745420706231828,2.7633560033563,-177.205971941289,0.744554570665724,-0.0789469022931061,-177.242937382693,0.750419125978557,-7.16803942015995,-177.335553831953,0.75270058008493,-8.43719284549566,-177.352357754707,0.745987704727463,-3.55287251208671,-177.288142571664,0.740345668073798,9.05736514429729,-177.151984539186,0.745987704727463,-3.55287251208671,-177.288142571664,0.745987704727463,-3.55287251208671,-177.288142571664,0.745987704727463,-3.55287251208671,-177.288142571664,0.745987704727463,-3.55287251208671,-177.288142571664,0.745987704727463,-3.55287251208671,-177.288142571664,0.745987704727463,-3.55287251208671,-177.288142571664,0.745987704727463,-3.55287251208671,-177.288142571664,0.745987704727463,-3.55287251208671,-177.288142571664,0.745987704727463,-3.55287251208671,-177.288142571664,1.93940342622637,-0.260408544033167,-179.208198116427,2.03493811498416,4.56916018114216,-178.206043671923,2.1294114657212,-3.08308807221277,-169.589877917188,2.1294114657212,-3.08308807221277,-169.589877917188,-0.366658920199065,0.468183680386851,-178.596136610305,-0.5843755585301,1.04407319627041,-179.318907505631,-0.275670080140703,0.778308467145394,-177.913882546344,0.0,0.0,-177.912010158162
2,2,0.757614973468948,2.78337438360429,-177.162367128835,0.756721540588613,-0.0589206038664442,-177.199937233745,0.762648749791384,-7.14799332065522,-177.294062931963,0.764961342094671,-8.41714315916688,-177.311139807837,0.758161999551589,-3.53283654219068,-177.245880095919,0.752658003483974,9.07738336327311,-177.107032093421,0.758161999551589,-3.53283654219068,-177.245880095919,0.758161999551589,-3.53283654219068,-177.245880095919,0.758161999551589,-3.53283654219068,-177.245880095919,0.758161999551589,-3.53283654219068,-177.245880095919,0.758161999551589,-3.53283654219068,-177.245880095919,0.758161999551589,-3.53283654219068,-177.245880095919,0.758161999551589,-3.53283654219068,-177.245880095919,0.758161999551589,-3.53283654219068,-177.245880095919,0.758161999551589,-3.53283654219068,-177.245880095919,1.94863119927834,-0.253270495418288,-179.176484383995,2.02329904576695,4.60254928056343,-178.233808475868,2.11835870301887,-3.08304064214266,-169.587278188894,2.11835870301887,-3.08304064214266,-169.587278188894,-0.358949712456273,0.454109167348442,-178.542258341305,-0.592333900622496,1.08316235441681,-179.308624763829,-0.274492563216523,0.77924724202269,-177.916382133052,0.0,0.0,-177.914515492255
3,3,0.766153304995338,2.80569835746844,-177.112457215774,0.765234998557538,-0.0365910112337102,-177.150450698925,0.771191491241176,-7.12564969424165,-177.245630644423,0.773523178899434,-8.39479699326351,-177.262897798705,0.766673519039991,-3.51050009195244,-177.196909293886,0.761274512903407,9.09971339536175,-177.056179972838,0.766673519039991,-3.51050009195244,-177.196909293886,0.766673519039991,-3.51050009195244,-177.196909293886,0.766673519039991,-3.51050009195244,-177.196909293886,0.766673519039991,-3.51050009195244,-177.196909293886,0.766673519039991,-3.51050009195244,-177.196909293886,0.766673519039991,-3.51050009195244,-177.196909293886,0.766673519039991,-3.51050009195244,-177.196909293886,0.766673519039991,-3.51050009195244,-177.196909293886,0.766673519039991,-3.51050009195244,-177.196909293886,1.96009655348437,-0.234729468781826,-179.144475455386,2.0130939044779,4.62548301972728,-178.255407521349,2.1056548256711,-3.0841765408349,-169.583512257039,2.1056548256711,-3.0841765408349,-169.583512257039,-0.35423351785376,0.426209607807189,-178.479965000971,-0.593843149913285,1.13507823736034,-179.262963018949,-0.270516884670233,0.780921872601796,-177.919580488019,0.0,0.0,-177.917736928729
4,4,0.772485089717676,2.83171396276978,-177.054254679016,0.771541799288225,-0.0105712007740421,-177.092562128821,0.777503454328388,-7.09961940023347,-177.188521027808,0.779846230623813,-8.36876480519658,-177.205928334392,0.772970861162605,-3.48447515521358,-177.139402296035,0.767663688123475,9.12573960891116,-176.997279813235,0.772970861162605,-3.48447515521358,-177.139402296035,0.772970861162605,-3.48447515521358,-177.139402296035,0.772970861162605,-3.48447515521358,-177.139402296035,0.772970861162605,-3.48447515521358,-177.139402296035,0.772970861162605,-3.48447515521358,-177.139402296035,0.772970861162605,-3.48447515521358,-177.139402296035,0.772970861162605,-3.48447515521358,-177.139402296035,0.772970861162605,-3.48447515521358,-177.139402296035,0.772970861162605,-3.48447515521358,-177.139402296035,1.97414397440763,-0.208250870493606,-179.112055740454,2.00286951214691,4.64212931519433,-178.282625111119,2.09226719167375,-3.08702531145885,-169.578469869985,2.09226719167375,-3.08702531145885,-169.578469869985,-0.351273534743426,0.382622996823149,-178.40420586567,-0.59028693845651,1.20112996840168,-179.187220850171,-0.263284892603759,0.78297313070176,-177.923600631692,0.0,0.0,-177.921801644639
5,5,0.777057930708983,2.85957001352937,-176.994738222994,0.776090321091896,0.0172879063507377,-177.033272426745,0.782039820425558,-7.07175269233155,-177.129791169278,0.784387657904085,-8.34089672695808,-177.147298782355,0.777504854505779,-3.45661232806296,-177.080387327594,0.772274206217382,9.15360927714688,-176.937260932745,0.777504854505779,-3.45661232806296,-177.080387327594,0.777504854505779,-3.45661232806296,-177.080387327594,0.777504854505779,-3.45661232806296,-177.080387327594,0.777504854505779,-3.45661232806296,-177.080387327594,0.777504854505779,-3.45661232806296,-177.080387327594,0.777504854505779,-3.45661232806296,-177.080387327594,0.777504854505779,-3.45661232806296,-177.080387327594,0.777504854505779,-3.45661232806296,-177.080387327594,0.777504854505779,-3.45661232806296,-177.080387327594,1.98879946931041,-0.176725573198006,-179.079479740756,1.99386921113927,4.65420164376012,-178.308817208864,2.07887748215598,-3.09039916296309,-169.57306350174,2.07887748215598,-3.09039916296309,-169.57306350174,-0.349965811059506,0.331838716261261,-178.326081233029,-0.583371114131498,1.27469791925555,-179.100171265084,-0.254119454978754,0.784747337191823,-177.927797982736,0.0,0.0,-177.926057687366
6,6,0.780309401134723,2.88741591762985,-176.940887165387,0.779318936136101,0.045135992719056,-176.979582609465,0.785245714394528,-7.04389919566652,-177.076497022237,0.78759453914099,-8.31304225745306,-177.094075150711,0.780716316433592,-3.42876159074369,-177.026892117637,0.775544564719731,9.18147023405448,-176.88305438477,0.780716316433592,-3.42876159074369,-177.026892117637,0.780716316433592,-3.42876159074369,-177.026892117637,0.780716316433592,-3.42876159074369,-177.026892117637,0.780716316433592,-3.42876159074369,-177.026892117637,0.780716316433592,-3.42876159074369,-177.026892117637,0.780716316433592,-3.42876159074369,-177.026892117637,0.780716316433592,-3.42876159074369,-177.026892117637,0.780716316433592,-3.42876159074369,-177.026892117637,0.780716316433592,-3.42876159074369,-177.026892117637,2.0020855758677,-0.143042093362442,-179.047005128315,1.9873380179264,4.66341665031657,-178.327339848794,2.06616769856026,-3.09311084357415,-169.568206257515,2.06616769856026,-3.09311084357415,-169.568206257515,-0.350167837009496,0.282346867723468,-178.256690055332,-0.574859552762223,1.34916831935951,-179.020592371181,-0.244343311669023,0.785590471685717,-177.931528246507,0.0,0.0,-177.929853104291
7,7,0.782666850110325,2.91340083231472,-176.899681180053,0.781655790117527,0.0711224939560239,-176.938493540342,0.787555915725688,-7.01790877317129,-177.035693103427,0.789903568588423,-8.28705113174182,-177.053321777025,0.783035799944173,-3.40277316597045,-176.985943616697,0.77790294542843,9.20747004146555,-176.841592712743,0.783035799944173,-3.40277316597045,-176.985943616697,0.783035799944173,-3.40277316597045,-176.985943616697,0.783035799944173,-3.40277316597045,-176.985943616697,0.783035799944173,-3.40277316597045,-176.985943616697,0.783035799944173,-3.40277316597045,-176.985943616697,0.783035799944173,-3.40277316597045,-176.985943616697,0.783035799944173,-3.40277316597045,-176.985943616697,0.783035799944173,-3.40277316597045,-176.985943616697,0.783035799944173,-3.40277316597045,-176.985943616697,2.01202127174007,-0.110086591110156,-179.014893278208,1.98452110348115,4.67149260946664,-178.331549385468,2.05482014552484,-3.09397360857555,-169.56481183353,2.05482014552484,-3.09397360857555,-169.56481183353,-0.351698054606569,0.242636725281959,-178.207131256487,-0.566582225325752,1.4179376695254,-178.967269883648,-0.235279116741835,0.784848117815713,-177.93414741855,0.0,0.0,-177.932535942796
8,8,0.782524480441001,2.93522753916638,-176.871040898489,0.781498821568807,0.0929490994933434,-176.909846220286,0.787360464595635,-6.99608246529043,-177.007021715437,0.789700750593914,-8.26522488457164,-177.024645037772,0.782860450538746,-3.38094669789675,-176.957285697425,0.777721764615107,9.22931373381094,-176.812974958242,0.782860450538746,-3.38094669789675,-176.957285697425,0.782860450538746,-3.38094669789675,-176.957285697425,0.782860450538746,-3.38094669789675,-176.957285697425,0.782860450538746,-3.38094669789675,-176.957285697425,0.782860450538746,-3.38094669789675,-176.957285697425,0.782860450538746,-3.38094669789675,-176.957285697425,0.782860450538746,-3.38094669789675,-176.957285697425,0.782860450538746,-3.38094669789675,-176.957285697425,0.782860450538746,-3.38094669789675,-176.957285697425,2.01790703530189,-0.0748476603405814,-178.980132697419,1.98620506183653,4.67491760750877,-178.313207552225,2.0447045023216,-3.09390318007191,-169.56335929868,2.0447045023216,-3.09390318007191,-169.56335929868,-0.355669818210581,0.210844283776692,-178.178318105617,-0.55817061099211,1.48287888639169,-178.942118597976,-0.226427431380102,0.78163365360684,-177.935563489873,0.0,0.0,-177.934018993518
9,9,0.779586268759175,2.95413355615558,-176.850315947247,0.778551704821374,0.111853128526767,-176.888975595162,0.784359069354195,-6.97718345221241,-176.985780740061,0.786684583557652,-8.24632678694498,-177.00333604683,0.779892580340311,-3.36204511082917,-176.936235265397,0.774703818077459,9.2482399046389,-176.792583487851,0.779892580340311,-3.36204511082917,-176.936235265397,0.779892580340311,-3.36204511082917,-176.936235265397,0.779892580340311,-3.36204511082917,-176.936235265397,0.779892580340311,-3.36204511082917,-176.936235265397,0.779892580340311,-3.36204511082917,-176.936235265397,0.779892580340311,-3.36204511082917,-176.936235265397,0.779892580340311,-3.36204511082917,-176.936235265397,0.779892580340311,-3.36204511082917,-176.936235265397,0.779892580340311,-3.36204511082917,-176.936235265397,2.02107056375152,-0.0353979518837448,-178.942551865003,1.99156109723082,4.67254539666201,-178.276742519467,2.03536603060648,-3.0936913573538,-169.563239827174,2.03536603060648,-3.0936913573538,-169.563239827174,-0.362177038699531,0.181312168608577,-178.162848118907,-0.54844912249981,1.54839736694003,-178.932612237269,-0.216906409955601,0.776383106525095,-177.936206504204,0.0,0.0,-177.934736891536
