,Frame,Pelvis x,Pelvis y,Pelvis z,L5 x,L5 y,L5 z,L3 x,L3 y,L3 z,T12 x,T12 y,T12 z,T8 x,T8 y,T8 z,Neck x,Neck y,Neck z,Head x,Head y,Head z,Right Shoulder x,Right Shoulder y,Right Shoulder z,Right Upper Arm x,Right Upper Arm y,Right Upper Arm z,Right Forearm x,Right Forearm y,Right Forearm z,Right Hand x,Right Hand y,Right Hand z,Left Shoulder x,Left Shoulder y,Left Shoulder z,Left Upper Arm x,Left Upper Arm y,Left Upper Arm z,Left Forearm x,Left Forearm y,Left Forearm z,Left Hand x,Left Hand y,Left Hand z,Right Upper Leg x,Right Upper Leg y,Right Upper Leg z,Right Lower Leg x,Right Lower Leg y,Right Lower Leg z,Right Foot x,Right Foot y,Right Foot z,Right Toe x,Right Toe y,Right Toe z,Left Upper Leg x,Left Upper Leg y,Left Upper Leg z,Left Lower Leg x,Left Lower Leg y,Left Lower Leg z,Left Foot x,Left Foot y,Left Foot z,Left Toe x,Left Toe y,Left Toe z
0,0,0.0549462560799407,0.277573375747174,0.0380138139414736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16211661559811,0.232302184426348,0.162887044052951,0.412169447875522,0.54945488495327,0.142861546315014,0.0103074198367994,0.0648812707931967,0.012271865498084,0,0,0,-0.17542882406136,0.0473558687902324,0.0774351404122662,-1.09603718804444,0.273082172323076,-0.163455749863244,-0.0309755193240908,0.0633115966673139,-0.0276168454446584,0,0,0
1,1,0.0670125211653952,0.271181618455306,-0.0198071556068129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335379675566339,0.167501591007136,0.0938727665496355,0.473189904446873,0.291415214831179,0.117946921531416,0.0324774216217679,0.0196982473771198,-0.00516928999719823,0,0,0,-0.209909841639853,-0.00147159921162834,0.0487177685564788,-0.916165502135122,0.0891097598701126,-0.183950139557378,-0.0152939206938596,0.111581359536684,-0.0038351467238158,0,0,0
2,2,0.0183462402701957,0.301781479316085,-0.116296448239265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.431660619976387,0.103084025440169,0.0378552240299062,0.543464329879426,0.0558344906039523,0.067627885363045,0.0481366071396733,0.0472806680365468,-0.0200445219953043,0,0,0,-0.293271665224133,0.00184407844689427,0.0373852075594066,-0.763776477283273,-0.0505716764703362,-0.189332787991903,0.0278116585969792,-0.0367995428763328,0.0143941548062347,0,0,0
3,3,-0.051099434321146,0.195124062083802,-0.154747254701855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.378914245165275,0.0573532483793531,0.023963326759489,0.482969991020108,-0.0800055599832847,0.0231772155710104,0.0214935866975883,-0.0192246729192909,-0.0481841341583262,0,0,0,-0.380745949078371,0.0499787202715287,-0.0459768966753558,-0.630952075271864,-0.136461936891484,-0.148050300371725,-0.0568349240280493,0.01336784724066,-0.0319964445685557,0,0,0
4,4,-0.0519146485530593,0.114308061680303,-0.199362896847006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.259510898214694,0.0137855741862567,-0.0184214591583416,0.365851407172937,-0.101288526974167,0.0509127515569752,-0.062959734845228,-0.103766551412046,-0.00657042492165161,0,0,0,-0.504510197311634,0.0258030191598081,-0.0876862660249387,-0.44202421205666,-0.0566568735164071,-0.00378713434039568,0.000996063228163183,0.0278237133241658,-0.0185698691032581,0,0,0
5,5,-0.0722844253410515,-0.0155985087117425,-0.182769320605468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0431111949141898,0.10952514587484,-0.0851715083957103,0.218435306185354,-4.78602136842819e-05,0.0746189325381295,-0.00537564432075768,0.0266876417147465,-0.0307914495449495,0,0,0,-0.445870255284041,0.144447694868729,-0.082212698465618,-0.289258703822919,0.148733369158158,0.0202397980748401,-0.0119199568779624,0.0224025414345927,0.000801807895783213,0,0,0
6,6,-0.135338042017414,-0.067685959573769,-0.224649717858455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0230282352880775,0.130238948359705,-0.097084096999362,0.104318177538109,0.197310681885387,-0.0433142310097665,0.0264742850669714,0.0216887529687397,-0.00520903640426162,0,0,0,-0.376253309883299,0.163615993365137,-0.0885098813277878,-0.0272582030891047,0.288113086891295,0.0118200433761935,0.0174413539940969,0.0421461856169752,-0.00445475422593589,0,0,0
7,7,-0.105865679747711,-0.0910470771868333,-0.184618890292038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00902259696862698,0.31205162047444,-0.0467289752143802,0.0262096966902839,0.249010758220585,0.0139117264662723,0.0229677724484179,0.00373793731766724,0.0400441224633337,0,0,0,-0.28906023793056,0.231021229361861,-0.116450335796213,0.0582509162027692,0.225137040589164,0.00462617948489275,0.0326890550370348,-0.0350332964402004,0.0143433946212426,0,0,0
8,8,-0.104632662076522,-0.134069635048304,-0.149771754367384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0801797803687337,0.256165351283065,-0.0355898649587409,-0.0614210992118509,0.168832430014263,0.0056809604385144,0.022880368514552,0.0140727209954523,0.0173833992943848,0,0,0,-0.236348007287535,0.253350803404518,-0.104396713026592,0.19633396845337,0.115894039287213,-0.0424247683993659,0.033478842630206,0.0234153111750564,2.71875910442532e-05,0,0,0
9,9,-0.122796017013243,-0.0960342557809876,-0.0853301848536603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0996681993629988,0.22332898552994,-0.00463734824623963,-0.215139668005703,0.0616647461063744,-0.0286828955470142,-0.0393118948715885,0.0393610744839228,0.0770376206274115,0,0,0,-0.24048154086572,0.180860226399432,-0.0994959230837562,0.282601022158925,0.0530818813740346,-0.0496560874217629,0.0208076585094136,-0.0483719527945893,0.000172442276436868,0,0,0
