,Frame,Pelvis x,Pelvis y,Pelvis z,L5 x,L5 y,L5 z,L3 x,L3 y,L3 z,T12 x,T12 y,T12 z,T8 x,T8 y,T8 z,Neck x,Neck y,Neck z,Head x,Head y,Head z,Right Shoulder x,Right Shoulder y,Right Shoulder z,Right Upper Arm x,Right Upper Arm y,Right Upper Arm z,Right Forearm x,Right Forearm y,Right Forearm z,Right Hand x,Right Hand y,Right Hand z,Left Shoulder x,Left Shoulder y,Left Shoulder z,Left Upper Arm x,Left Upper Arm y,Left Upper Arm z,Left Forearm x,Left Forearm y,Left Forearm z,Left Hand x,Left Hand y,Left Hand z,Right Upper Leg x,Right Upper Leg y,Right Upper Leg z,Right Lower Leg x,Right Lower Leg y,Right Lower Leg z,Right Foot x,Right Foot y,Right Foot z,Right Toe x,Right Toe y,Right Toe z,Left Upper Leg x,Left Upper Leg y,Left Upper Leg z,Left Lower Leg x,Left Lower Leg y,Left Lower Leg z,Left Foot x,Left Foot y,Left Foot z,Left Toe x,Left Toe y,Left Toe z
0,0,-44.2050582550424,78.2152178318892,-29.4722010675509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-173.089975904552,72.4332067710134,-54.018744786307,-142.256731954877,-78.3380419573053,147.944640893862,-19.2324418497834,-20.3464488338852,20.8979137050725,0,0,0,150.245883122056,-75.4415114394811,-86.7184594832067,-129.81195351528,-74.7684380298928,123.927637288011,-13.2982715754351,23.909443720546,-164.21560994151,0,0,0
1,1,-44.2152098980866,78.1848338453812,-29.4388484144236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-173.099984549953,72.424520483625,-53.9925938251259,-142.478738453969,-78.3199495181104,148.098889812824,-19.2258677058613,-20.3498741512579,20.8962081227814,0,0,0,150.177387048099,-75.4583014878049,-86.5956862736809,-129.949070100244,-74.7549966584466,124.044145965895,-13.2957860844356,23.9063538508895,-164.215018840398,0,0,0
2,2,-44.1961789114244,78.1496886596829,-29.3693302715552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-173.082885061351,72.4045390415366,-53.924627695419,-142.713313417981,-78.3039568130685,148.260337162388,-19.2181178143968,-20.3476782869341,20.8981631942523,0,0,0,150.02467268176,-75.4777219917877,-86.3751163893976,-130.095631914863,-74.7327800829654,124.200300527386,-13.2885822017391,23.9004113602876,-164.21282862777,0,0,0
3,3,-44.1589935964836,78.1152985692023,-29.2805810643297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-173.041295743593,72.3747762995678,-53.8325101058242,-142.925040573941,-78.2869658810233,148.415526086816,-19.2102578130521,-20.3444620843554,20.8993384445081,0,0,0,149.81508320771,-75.5037322552622,-86.0913843516556,-130.248623432113,-74.6978583135917,124.398914198203,-13.2825358801002,23.8975684882575,-164.211239485637,0,0,0
4,4,-44.1125284231274,78.0825068624373,-29.1815852034172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-172.968941175332,72.345088473182,-53.7185725796701,-143.09889488233,-78.2684262232447,148.560425843545,-19.1965633442354,-20.3500309533725,20.9000101167211,0,0,0,149.582669676439,-75.5183835224988,-85.783872173349,-130.394881046375,-74.6569191544865,124.619194599551,-13.2727865771331,23.8925642047718,-164.208027538788,0,0,0
5,5,-44.0605334497465,78.0514303583913,-29.0796737689678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-172.873134306937,72.3122629415718,-53.598046674891,-143.232244904518,-78.2519669996469,148.682517324286,-19.1821637244897,-20.3537523634917,20.8996993607298,0,0,0,149.340521284167,-75.522814163917,-85.4732463639129,-130.544345231961,-74.6122476831759,124.849994324616,-13.2640527644739,23.888251024055,-164.204792255613,0,0,0
6,6,-44.0110661522707,78.0243197712954,-28.9850647329194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-172.764448107338,72.2793173303168,-53.4744243267004,-143.324145082058,-78.2344080227288,148.769413251923,-19.1677045591963,-20.357953584668,20.8979822845892,0,0,0,149.114070365511,-75.5159412553794,-85.1918706093082,-130.692901653343,-74.5642756782575,125.063474298227,-13.2540827814693,23.8822993218089,-164.199562697735,0,0,0
7,7,-43.9666820579725,78.0008058416832,-28.9020126331007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-172.651593467711,72.2468237481967,-53.3473281662295,-143.375339370959,-78.2194267735339,148.8078911396,-19.1512064537736,-20.3638982748384,20.8957833831483,0,0,0,148.911906348591,-75.5067267771978,-84.9499818092755,-130.856335898503,-74.51881768544,125.267142006258,-13.2441904839398,23.8748860853966,-164.195729582815,0,0,0
8,8,-43.9196529938396,77.9805403830325,-28.8245561342446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-172.546425580568,72.2161345811022,-53.2211398097,-143.413103150956,-78.2124290596874,148.827580950867,-19.1379389263159,-20.3677602511883,20.8964997477535,0,0,0,148.746759543575,-75.494516331284,-84.7596437405524,-131.028950322662,-74.4729016951424,125.451445140029,-13.2332040432293,23.8682427811772,-164.190526645267,0,0,0
9,9,-43.8725387074074,77.9601623380742,-28.7559484258097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-172.437661882466,72.1881664350583,-53.0816204538566,-143.408116202963,-78.2182210468674,148.81657037595,-19.1284721168667,-20.3763203351567,20.8942329346335,0,0,0,148.613948762694,-75.4870218125551,-84.6045888728837,-131.191142713155,-74.4315245930142,125.612872090558,-13.225054892681,23.8573929787456,-164.185401828366,0,0,0
