,Frame,Pelvis q0,Pelvis q1,Pelvis q2,Pelvis q3,L5 q0,L5 q1,L5 q2,L5 q3,L3 q0,L3 q1,L3 q2,L3 q3,T12 q0,T12 q1,T12 q2,T12 q3,T8 q0,T8 q1,T8 q2,T8 q3,Neck q0,Neck q1,Neck q2,Neck q3,Head q0,Head q1,Head q2,Head q3,Right Shoulder q0,Right Shoulder q1,Right Shoulder q2,Right Shoulder q3,Right Upper Arm q0,Right Upper Arm q1,Right Upper Arm q2,Right Upper Arm q3,Right Forearm q0,Right Forearm q1,Right Forearm q2,Right Forearm q3,Right Hand q0,Right Hand q1,Right Hand q2,Right Hand q3,Left Shoulder q0,Left Shoulder q1,Left Shoulder q2,Left Shoulder q3,Left Upper Arm q0,Left Upper Arm q1,Left Upper Arm q2,Left Upper Arm q3,Left Forearm q0,Left Forearm q1,Left Forearm q2,Left Forearm q3,Left Hand q0,Left Hand q1,Left Hand q2,Left Hand q3,Right Upper Leg q0,Right Upper Leg q1,Right Upper Leg q2,Right Upper Leg q3,Right Lower Leg q0,Right Lower Leg q1,Right Lower Leg q2,Right Lower Leg q3,Right Foot q0,Right Foot q1,Right Foot q2,Right Foot q3,Right Toe q0,Right Toe q1,Right Toe q2,Right Toe q3,Left Upper Leg q0,Left Upper Leg q1,Left Upper Leg q2,Left Upper Leg q3,Left Lower Leg q0,Left Lower Leg q1,Left Lower Leg q2,Left Lower Leg q3,Left Foot q0,Left Foot q1,Left Foot q2,Left Foot q3,Left Toe q0,Left Toe q1,Left Toe q2,Left Toe q3
0,0,0.755662727895581,-0.133705782241838,0.63946817876833,0.0466589091945304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3111519327731,-0.701317643285027,0.397449505962849,0.503360634295719,0.643663247476501,-0.00619880316138364,-0.761500287946375,0.0760033561427366,0.959705856097632,-0.130112488516645,-0.201074574171056,0.146984440420903,0,0,0,0,0.553629189836211,0.447983455514856,-0.639081464482219,0.290483089871911,0.643718274957377,-0.110944122009762,-0.756172928830083,0.0389959739193231,0.157185253957273,0.188242487949158,0.140455601665812,-0.959233957713025,0,0,0,0
1,1,0.75576741940331,-0.134068148337552,0.639256686915918,0.0468212302602764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.310950479146561,-0.701476993928406,0.397262488625683,0.503410708704753,0.643446491271972,-0.00648436697109857,-0.761735398991876,0.0754569266367335,0.959711278287957,-0.13005429479504,-0.201092573024824,0.146975915736278,0,0,0,0,0.55364574848292,0.448253585586928,-0.638737295128567,0.290791636755757,0.643485547094884,-0.111010459157721,-0.756370730022116,0.0388116915812939,0.15718385578672,0.188219130161906,0.140432809379809,-0.959242107379993,0,0,0,0
2,2,0.755911796009636,-0.134456704378332,0.638988143383639,0.0470415126918215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.310698411994174,-0.701761617442963,0.396960555353034,0.503407833234591,0.643236186555801,-0.00678420475340106,-0.761969360070383,0.0748590487846731,0.959720274901606,-0.129989886318487,-0.201066664556218,0.147009590850155,0,0,0,0,0.553752576091938,0.448647959146123,-0.638218388037603,0.291119189330153,0.643190644253254,-0.110909870419677,-0.756635324611472,0.0388301601679209,0.157186007672974,0.18817624198499,0.140370413401463,-0.959259301745748,0,0,0,0
3,3,0.756066325120171,-0.134829619027399,0.638708295938516,0.0472905757157136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.310462012060782,-0.702110104864543,0.396637027555781,0.503322767303434,0.643025681691602,-0.00699989978042783,-0.762191924930954,0.0743803983463526,0.959731651504142,-0.129927749014908,-0.201031276602885,0.147038644459426,0,0,0,0,0.553944451711177,0.449084636404291,-0.63758204985686,0.291474979139468,0.642817362449335,-0.110625195636429,-0.756979951389857,0.0391057261522157,0.15718730183412,0.18815862814951,0.140319685675808,-0.959269966488499,0,0,0,0
4,4,0.756220695705503,-0.135192183088139,0.638428692877816,0.0475619294065399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.310318981779792,-0.702450252978275,0.396314177070229,0.50319066435205,0.642815389241198,-0.0070760117177776,-0.762395859448859,0.0741003300133831,0.959739433179466,-0.129801913425335,-0.201060585893527,0.14705891496822,0,0,0,0,0.55412477402669,0.449597764254085,-0.636935497018675,0.291754619201088,0.642415066142675,-0.110187022599347,-0.757360883077921,0.0395751895387184,0.157194523955682,0.188125890380594,0.140238550942577,-0.959287068523485,0,0,0,0
5,5,0.75637303257799,-0.135527825421599,0.638157089149228,0.0478285865759359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.310282411203895,-0.702764522363043,0.396059204243952,0.502975106878053,0.642634257543615,-0.00706871286573383,-0.762562818959578,0.0739539821119291,0.959751537938693,-0.129675199738707,-0.201072574794706,0.147075312892635,0,0,0,0,0.554299755415932,0.450130133247936,-0.636323134941125,0.291937514250452,0.641987927640487,-0.109713434117708,-0.757764176793096,0.0400988217663924,0.157204119742184,0.188097558493304,0.140166613587028,-0.959301565546772,0,0,0,0
6,6,0.756508415602243,-0.135824827617574,0.637914803269699,0.0480763673234756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.310311747595044,-0.703055038581084,0.395841083459318,0.502722655821293,0.642472092787965,-0.00706650909774993,-0.762705734289578,0.0738893586358736,0.959764904286423,-0.129549596005909,-0.201086870237354,0.147079234744152,0,0,0,0,0.554449038408476,0.450631006393439,-0.63580896549062,0.292001574116477,0.641551414723598,-0.109363234471017,-0.758160616886648,0.0405455819324979,0.157227192153154,0.188054676035299,0.140086025001067,-0.959317963173991,0,0,0,0
7,7,0.756627180830928,-0.136077836306211,0.637703862304274,0.0482899129868229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.310353631515345,-0.703343928819324,0.39561810316606,0.502468165803093,0.642358350913163,-0.00714916960759603,-0.762807942271893,0.073815185381901,0.959779017382231,-0.129404642180306,-0.201112447027374,0.147079774359524,0,0,0,0,0.554596308264042,0.451040827738478,-0.635392016453053,0.291996732859474,0.641114585879925,-0.109147353450558,-0.758546159762904,0.0408248271974558,0.157237645184071,0.188001078844313,0.140002385810674,-0.959338964734396,0,0,0,0
8,8,0.756737496058948,-0.136270363246032,0.637518606404379,0.0484641790134389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.310358368078338,-0.703641671305146,0.395362618435673,0.502249421811853,0.642303223053028,-0.00725393785418729,-0.762864712110338,0.0736979040279395,0.959788295993849,-0.129285354117029,-0.201128212629015,0.147102570231508,0,0,0,0,0.55471979746419,0.451358263948026,-0.6350890245921,0.291930804660571,0.640672852161529,-0.109111365804543,-0.758918510262777,0.0409353287027925,0.157258342796183,0.187953803173062,0.139912565141098,-0.959357939253863,0,0,0,0
9,9,0.756852168849225,-0.136413224403203,0.637343135401651,0.0485793626197248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.310335363483822,-0.703962390788531,0.395034987495199,0.502071980079876,0.642343797205707,-0.00727928956482057,-0.762834958735226,0.0736497377199113,0.959791287779101,-0.129194735485012,-0.201184404915626,0.147085823399259,0,0,0,0,0.554822519272959,0.451612355583907,-0.634832091301745,0.291901470097386,0.640269347243416,-0.109145342925705,-0.75925256909261,0.0409633180344503,0.157279990130687,0.187867275957733,0.139842319739062,-0.959381580466662,0,0,0,0
