,Frame,CoM pos x,CoM pos y,CoM pos z,CoM vel x,CoM vel y,CoM vel z,CoM acc x,CoM acc y,CoM acc z
0,0,0.0524055404710986,0.089922315973112,1.00400239458716,0.00446799500944878,-0.00209192476339007,-0.0052539071427875,-0.0238536845414372,-0.00185981996860746,-0.00235359388526918
1,1,0.0524989778420202,0.0898872550176764,1.00395700680392,0.00408973170223867,-0.00275166267485299,-0.00493200442603017,-0.0666600030701272,0.0369440197008503,0.0202864760226921
2,2,0.0525952965057385,0.0898522133208677,1.00391023674086,0.00334616289967957,-0.00340001347901723,-0.00462079016393216,-0.0443012361812251,0.0481312516628429,0.0452986427371557
3,3,0.0526901696724968,0.0898171632876907,1.00386416535427,0.00263649785014016,-0.00388591172766766,-0.0043198578381062,-0.00881899433377603,0.015084979364412,0.036979523394894
4,4,0.0527792710941681,0.0897820773194943,1.00382087282419,0.00201343155718071,-0.00421928176635414,-0.00400611521033994,-0.00962139079036033,0.0226765435407227,-0.00294711449314564
5,5,0.0528582750209087,0.0897469278127251,1.00378243861861,0.00146916301871436,-0.00453018399450007,-0.00370774351990463,-6.72736778521585e-05,0.00371080891619493,0.0373580499148787
6,6,0.0529271182704379,0.0897124148423992,1.00374986340104,0.00102454950345025,-0.00475029352175653,-0.00338691176269316,-0.0377902978836614,0.056207589277626,0.0387810065589415
7,7,0.0529886857781491,0.0896785569176198,1.00372175938704,0.000739052485312256,-0.00421331507676435,-0.00305087579000246,-0.0757567747361625,-0.0210029604116606,0.0335901674126663
8,8,0.0530430740307976,0.0896443038870719,1.0036966231598,0.000492594954826715,-0.00422070199049029,-0.00271486525685823,-0.105790706270343,0.0506110942959909,0.0418597671467841
9,9,0.0530903791921619,0.089608605363352,1.00367295158868,0.000357150622815335,-0.00408692369417601,-0.00243226894987628,-0.103669823660986,0.0356000521237829,0.0595647692441127
