,Frame,L5S1 Lateral Bending,L5S1 Axial Bending,L5S1 Flexion/Extension,L4L3 Lateral Bending,L4L3 Axial Rotation,L4L3 Flexion/Extension,L1T12 Lateral Bending,L1T12 Axial Rotation,L1T12 Flexion/Extension,T9T8 Lateral Bending,T9T8 Axial Rotation,T9T8 Flexion/Extension,T1C7 Lateral Bending,T1C7 Axial Rotation,T1C7 Flexion/Extension,C1 Head Lateral Bending,C1 Head Axial Rotation,C1 Head Flexion/Extension,Right T4 Shoulder Abduction/Adduction,Right T4 Shoulder Internal/External Rotation,Right T4 Shoulder Flexion/Extension,Right Shoulder Abduction/Adduction,Right Shoulder Internal/External Rotation,Right Shoulder Flexion/Extension,Right Elbow Ulnar Deviation/Radial Deviation,Right Elbow Pronation/Supination,Right Elbow Flexion/Extension,Right Wrist Ulnar Deviation/Radial Deviation,Right Wrist Pronation/Supination,Right Wrist Flexion/Extension,Left T4 Shoulder Abduction/Adduction,Left T4 Shoulder Internal/External Rotation,Left T4 Shoulder Flexion/Extension,Left Shoulder Abduction/Adduction,Left Shoulder Internal/External Rotation,Left Shoulder Flexion/Extension,Left Elbow Ulnar Deviation/Radial Deviation,Left Elbow Pronation/Supination,Left Elbow Flexion/Extension,Left Wrist Ulnar Deviation/Radial Deviation,Left Wrist Pronation/Supination,Left Wrist Flexion/Extension,Right Hip Abduction/Adduction,Right Hip Internal/External Rotation,Right Hip Flexion/Extension,Right Knee Abduction/Adduction,Right Knee Internal/External Rotation,Right Knee Flexion/Extension,Right Ankle Abduction/Adduction,Right Ankle Internal/External Rotation,Right Ankle Dorsiflexion/Plantarflexion,Right Ball Foot Abduction/Adduction,Right Ball Foot Internal/External Rotation,Right Ball Foot Flexion/Extension,Left Hip Abduction/Adduction,Left Hip Internal/External Rotation,Left Hip Flexion/Extension,Left Knee Abduction/Adduction,Left Knee Internal/External Rotation,Left Knee Flexion/Extension,Left Ankle Abduction/Adduction,Left Ankle Internal/External Rotation,Left Ankle Dorsiflexion/Plantarflexion,Left Ball Foot Abduction/Adduction,Left Ball Foot Internal/External Rotation,Left Ball Foot Flexion/Extension
0,0,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,0.0035683826333312,0.00864678284738488,12.5965728768329,-0.0055886345647818,-0.00965744972413141,-12.5965721543958,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-0.0821274010176132,2.07843362265875,2.39504563943698,0.0644114248951703,-0.0919399084444662,-0.715996239374634,0.679285025853722,-5.76300193092105,0.518508105886919,-0.972662342994918,0.0119463394145037,-1.26017926722408,0.383410468585083,6.5177777165207,4.91575211521898,-0.291408477627007,1.08184420775962,1.38605650357055,0.0154771060026749,5.21613779299235,0.462936334601465,0.311894658310648,-0.00303504292995838,-1.11505104713734
1,1,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495348,0.00343936378401693,0.00865691899570555,12.5965663476747,-0.00545869755082829,-0.0096390042066421,-12.5965656459865,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-0.102015125065853,2.0837374310412,2.37970041796243,0.0811073388483175,-0.0849203096237359,-0.709466028184244,0.672837139180742,-5.76560956124029,0.543617622601539,-0.967561226890363,0.0117858235551541,-1.25027295246426,0.40717847356242,6.48239185267995,4.89982342468406,-0.315137784130391,1.154810202257,1.39212458919778,0.0249884262542443,5.16576736417583,0.49151540585456,0.309767812538038,-0.00297880817716702,-1.10190955113642
2,2,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,0.0033089855746885,0.00866719670872334,12.5965593659563,-0.00532739921086028,-0.00962039996530807,-12.5965586852134,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-0.122222769999178,2.08903073878447,2.36403323590696,0.0981882373017374,-0.0774339972751098,-0.703070644383789,0.666134830899956,-5.76870749067256,0.569301942973743,-0.962303608805097,0.0116214429648275,-1.24018566970838,0.431430375374186,6.4466995517705,4.88371762793564,-0.339584636601773,1.22953029680151,1.3982643942378,0.0351226266665839,5.11391641722635,0.520666058779431,0.307421195100464,-0.00292022164706471,-1.08848537247881
3,3,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,0.00317928471056368,0.00867743061085349,12.5965525825279,-0.00519678517052974,-0.00960190224549974,-12.5965519226021,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-0.142265567599619,2.09431906445575,2.34852061654123,0.11507982502394,-0.0701836137298195,-0.696610031080078,0.659563015023521,-5.771555414129,0.594699781340912,-0.957124515556564,0.0114605963364991,-1.23018874319095,0.455428456701882,6.41117405436059,4.86767871007398,-0.363638295703453,1.30337886906112,1.40440012118324,0.0450000338084287,5.06280052158968,0.549517106121215,0.305185420113943,-0.00286360677653435,-1.07520237664854
4,4,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,0.00305229776193659,0.0086874351432094,12.5965466481138,-0.00506890087526981,-0.00958377606756577,-12.5965460085529,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-0.161658924530718,2.09960845472278,2.3336391781924,0.131207459773692,-0.063871394183262,-0.689884017969984,0.653505392240385,-5.77341353245743,0.618949494794939,-0.952258923412946,0.0113104890414549,-1.22055352515122,0.478435533210063,6.37628790141668,4.85195177048403,-0.38619076165479,1.37372971097331,1.41045232213671,0.0537356064010727,5.01463622899633,0.577200125394739,0.303390986103414,-0.00281310012535981,-1.0624844720124
5,5,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,0.00293006115268912,0.00869702453630072,12.5965422133585,-0.00494579157248221,-0.00956628619668395,-12.5965415933872,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-0.179918431986221,2.10490546469604,2.31986564506037,0.145996189091716,-0.0591992161056213,-0.682692331998061,0.648344616787628,-5.77354251359727,0.641189149920011,-0.947941762813665,0.0111781516262233,-1.21155139189845,0.49971493817868,6.34251295104108,4.8367829970336,-0.406136610761322,1.43795608667233,1.4163382178048,0.0604393456520295,4.97164098930445,0.602849116959931,0.30236828621483,-0.00277267205035473,-1.0507556022449
6,6,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,0.00281251502309449,0.00870611679737148,12.5965394828778,-0.00482737763711262,-0.00954933524804404,-12.5965388817396,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-0.197132607507078,2.11039177202477,2.30719677486216,0.159331767154557,-0.0568017900884474,-0.674798841593737,0.644185142842257,-5.77101423108268,0.661201570359468,-0.944263118871513,0.0110667293868053,-1.20309897413593,0.519238034336146,6.30915710480963,4.8220572250142,-0.423088042655022,1.49560253611775,1.42230933506089,0.0646359406504906,4.93449644060938,0.626349529072743,0.302397957997161,-0.00274533561784699,-1.04029316849922
7,7,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.2692626097445,0,0,4.88473757495349,0.00269830130963944,0.00871483583151235,12.596538021132,-0.0047122951231039,-0.00953274665748416,-12.5965374382871,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-0.213624624952712,2.11606393513277,2.29531467980373,0.171596861826104,-0.0562104990633079,-0.666336964848376,0.640769389432249,-5.76632252845697,0.679560768615361,-0.941066262245763,0.0109711663300054,-1.19501540575018,0.537496670065564,6.27590447790959,4.80761221628892,-0.437786730739947,1.54841913846636,1.4284140089756,0.0669083509715834,4.90172621109069,0.648283589550588,0.303259505062401,-0.00272807150017226,-1.03081460870339
8,8,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,0.00258750917063579,0.00872330364816455,12.5965375211932,-0.00460066259894681,-0.00951666533389385,-12.596536956078,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-0.229262503753992,2.12165131283901,2.28422471933095,0.182961838289361,-0.0564721544767724,-0.657660549189951,0.637937560736064,-5.76086121342607,0.696591758444995,-0.938215911782707,0.0108861671021928,-1.18742581236259,0.554535738272123,6.24379064954541,4.79362487609951,-0.450823476885476,1.5970873289732,1.43426360064696,0.0679524831251242,4.87231077901835,0.668830516101226,0.304531618388631,-0.00271583155999816,-1.02190391564482
9,9,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,0.0024802280469712,0.00873164113386597,12.5965376794897,-0.00449259867271945,-0.00950123510181187,-12.5965371315175,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,-0.243914589304603,2.12688341733186,2.27393287642411,0.193597196661684,-0.0566337084006296,-0.649123267131827,0.635531128261308,-5.75602394649098,0.712619835612832,-0.935576834885725,0.0108065293037362,-1.18045530071326,0.570400693682443,6.21385108735177,4.78027269892659,-0.462789389456418,1.64228873584875,1.43947071485229,0.0684662450965328,4.84522997728041,0.688168116830309,0.30579306124411,-0.00270370392936375,-1.01314506388333
