,Frame,Pelvis x,Pelvis y,Pelvis z,L5 x,L5 y,L5 z,L3 x,L3 y,L3 z,T12 x,T12 y,T12 z,T8 x,T8 y,T8 z,Neck x,Neck y,Neck z,Head x,Head y,Head z,Right Shoulder x,Right Shoulder y,Right Shoulder z,Right Upper Arm x,Right Upper Arm y,Right Upper Arm z,Right Forearm x,Right Forearm y,Right Forearm z,Right Hand x,Right Hand y,Right Hand z,Left Shoulder x,Left Shoulder y,Left Shoulder z,Left Upper Arm x,Left Upper Arm y,Left Upper Arm z,Left Forearm x,Left Forearm y,Left Forearm z,Left Hand x,Left Hand y,Left Hand z,Right Upper Leg x,Right Upper Leg y,Right Upper Leg z,Right Lower Leg x,Right Lower Leg y,Right Lower Leg z,Right Foot x,Right Foot y,Right Foot z,Right Toe x,Right Toe y,Right Toe z,Left Upper Leg x,Left Upper Leg y,Left Upper Leg z,Left Lower Leg x,Left Lower Leg y,Left Lower Leg z,Left Foot x,Left Foot y,Left Foot z,Left Toe x,Left Toe y,Left Toe z
0,0,-0.08354609895245,0.00722039578454304,-0.0102277990054542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0727395015840748,-0.0301193320448489,-0.00563549706242483,0.00402661646732626,0.0147272096015617,-0.0285911969432746,-0.00510196012024379,-0.00134095464897569,0.000978070440023515,0,0,0,0.0146617983277263,0.00540192360302776,0.0113960862132192,0.0134025788299526,-0.0127852667500699,-0.000105620099644099,-0.0142938961554994,0.0122421257806013,0.00355343541260744,0,0,0
1,1,-0.0545226657691238,-0.00653013945139892,-0.0198931241135671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0445554893988547,-0.00220011064546548,0.0103695545979985,-0.0191920057835593,-0.00280179241880152,0.00189468696336093,-0.00633291739266031,-0.00089113736366506,0.000961903605004366,0,0,0,-0.0423080356758265,0.0237809799702848,0.0197055396071839,0.0865403153301754,0.0205513774857367,0.0341218974659103,-0.0143403099200065,-0.0305564678891892,0.0268539391347087,0,0,0
2,2,-0.0780917606605008,-0.00350789030694105,-0.0301338103784712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0422986238450265,-0.02645503289989,0.0106913561459212,0.011721593197771,0.0468170114703195,0.0137374924181213,0.0460365576590158,0.00548845365610237,-0.0083167236971331,0,0,0,-0.00693038539859234,-0.00383241007385522,0.0375235337511004,0.0375101286939794,0.00191188654469236,0.0175510087925321,-0.012019620075894,-0.0206465107527795,-0.00598623202089321,0,0,0
3,3,-0.0422071417708107,-0.0626853507613248,-0.0691291219884587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0355827105144998,-0.0253695699633884,0.0340692529244624,0.0147842293687958,0.0526491691859405,-0.0200618979825062,0.0141509652713312,0.00788330633210328,0.00692788169124192,0,0,0,-0.0143965022042346,0.0367921506467885,0.0472927389732387,0.0363491608402725,0.0349869027071931,0.0204820598862199,0.00688486695734451,0.014842412153443,0.00687680657461343,0,0,0
4,4,-0.00637278358639262,-0.0559587809935776,-0.0888640125999682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00641964556786171,0.0272511686158279,0.0193248011853697,0.0199391241629589,0.026126448685656,0.0280900848301329,-0.00122622524424063,-0.00685615397107769,-0.0203536415036307,0,0,0,0.00541058250416795,0.0462328878381681,0.0211338111018815,-0.0124116045930919,0.0480427793329517,0.0411837978496781,0.00171763350826637,0.0259801440990659,0.0280900431002618,0,0,0
5,5,-0.0159852919870744,-0.0427091414081391,-0.0691298973840109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00268206829643382,0.0273178530535271,0.0731565926731168,-0.0458749180316041,-0.00391516144652854,0.0180965968220121,0.0122164513823436,0.00961720539589808,0.00689560763880692,0,0,0,-0.0479555019168153,0.000685615679387949,0.0547125165132218,-0.0371809706292962,0.0462543830144799,0.0422229207888698,0.0044046024997052,0.0363851288363963,-0.0047487146255154,0,0,0
6,6,-0.00995735029702613,-0.0202050121925914,-0.0194439547780778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0235963727018762,0.00172602457178955,0.0805663974599735,0.0142941393019996,-0.0160134965959098,0.0196179489375172,0.0150629922295444,-0.0111492596899501,0.0172773088850473,0,0,0,-0.08654200383485,0.00532210273708721,0.0719061417910343,-0.0359929713178699,0.0106831801714571,0.0393246189791814,-0.0117251942714596,-0.00974681201047559,-0.0387981335305305,0,0,0
7,7,-0.0701419622042884,0.0108234749245046,-0.000294238634037214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0443436713329259,-0.00139912563811399,0.0104706471945502,-0.0352332075245702,-0.0176030512404491,-0.00135532538568306,0.0100324993989685,0.0109873984801157,0.00686476462046137,0,0,0,-0.0962281382323554,0.00174535135593727,0.0181292074046997,-0.061919743348967,0.0275810762305023,0.024633353458773,-0.0249419946673646,0.0241173381909344,0.024813663562588,0,0,0
8,8,-0.0850267592035797,0.0025046953920013,0.0296119866489057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0671312805254261,-0.00289955510192168,0.017561586925634,-0.0339676198238606,-0.0190460270855141,-0.00134034794544924,-0.0137266893600548,0.00508341264129448,0.000831635034598932,0,0,0,-0.101039778246386,0.0109325494586216,0.0405372747831851,-0.0365781455012072,-0.0069480725974248,0.0207035678895,0.00618246515206693,-0.0177320080582551,-0.00261965533656117,0,0,0
9,9,-0.130315483114483,0.00849235626485935,0.00922262712809108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0717362488956692,-0.0280051669679503,-0.00547349719068357,-0.0194138256719565,0.00221740550190633,0.0214973417759587,-0.010826539390741,-0.0161597637094842,0.0112188120794539,0,0,0,-0.0839311220447878,-0.00262019616574308,0.0494534951910186,-0.0636856854970322,0.0443005259348349,0.00894812974017256,-0.00321634034723579,0.0265528424973944,0.0281411272122902,0,0,0
10,10,-0.0723047583329639,0.0130227030048434,-0.000339759435668441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0180482394656281,-0.0222822789138894,0.00377968223255465,-0.0159534283611218,0.00781041162046712,-0.012293787555862,0.0103052601597667,-0.00817007477871166,0.0172167505167682,0,0,0,-0.0639991289675249,0.00716064470383214,0.023303012814667,-0.0140453835090655,0.0107392515614952,0.00399692704957744,-0.0197465881978054,-0.020044053379621,-0.00591620217294242,0,0,0
11,11,-0.0585341110938199,0.0224194244698958,-0.0302566922464642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0412043088723066,-0.0243388790309291,0.0108609371388688,0.00692903444329218,0.0168849221026822,-0.00895462314073825,0.0277938965480781,0.0213617372256157,0.0128132000654695,0,0,0,-0.062904996876759,-0.0253499587315485,0.0359394880019313,-0.0632067473871296,0.00774671488969038,0.00605332824005522,-0.0453807595178074,-0.00089596463645706,-0.0208729311938605,0,0,0
12,12,-0.0297640925649073,0.00838542603878647,-0.0398319751223983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0126178018452884,-0.0187221871699918,0.0201153830499727,0.0142282608346254,-0.00276777769919619,0.00536751663194401,0.00423209047629193,0.0149827890579902,0.00677730544308908,0,0,0,-0.0831355968529547,0.0210918329102514,0.0143576284445928,-0.0617411195845879,0.00422029286867836,0.0404368831178399,0.0014108636619499,0.00384211448494921,-0.0142276389361822,0,0,0
13,13,0.0137311591430926,-0.0291904393830862,-0.0290588054832153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00596380354914872,0.00458280645284047,0.0502567690868538,-0.0512849573183907,-0.0330304323234322,-0.00459089487704212,-0.011418328002025,0.000345136370155132,-0.0205099440984817,0,0,0,-0.048296070121465,-0.00710888205215261,0.0322150726739956,-0.014621411195774,0.0238299434192403,0.0227115733301009,-0.0269324515824239,-0.00894804622087013,0.0153004472053127,0,0,0
14,14,-0.0093006219500015,-0.0587003298599784,-0.0488270310117436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00828386316433834,0.0299298206982847,0.0499621801601684,-0.0524936224411125,-0.0407613960808249,0.0292340922900891,0.0372591129213753,-0.00661936295217351,0.00194111812207254,0,0,0,-0.0715831562542488,0.0153787635958701,0.0456927699266991,-0.0384119006110253,-0.0128665205839444,0.0208103946652098,-0.0286136909659028,0.0131628550491714,0.00366065874562871,0,0,0
15,15,-0.00270811496546064,-0.036188277395217,0.000821035905849143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0565000077853539,-0.0237676018464868,0.0413730697007253,-0.0884572744862629,-0.020616946266358,0.0311379207162048,-0.0180236102166959,-0.0112855637295184,0.0111150441603112,0,0,0,-0.089737836843971,0.0298708082036428,0.0367512528574672,-0.0868121023052809,0.0160637585753285,0.0601773359402031,-0.0060640747592329,0.0150208016026975,0.00699172170803664,0,0,0
