,Frame,Pelvis x,Pelvis y,Pelvis z,L5 x,L5 y,L5 z,L3 x,L3 y,L3 z,T12 x,T12 y,T12 z,T8 x,T8 y,T8 z,Neck x,Neck y,Neck z,Head x,Head y,Head z,Right Shoulder x,Right Shoulder y,Right Shoulder z,Right Upper Arm x,Right Upper Arm y,Right Upper Arm z,Right Forearm x,Right Forearm y,Right Forearm z,Right Hand x,Right Hand y,Right Hand z,Left Shoulder x,Left Shoulder y,Left Shoulder z,Left Upper Arm x,Left Upper Arm y,Left Upper Arm z,Left Forearm x,Left Forearm y,Left Forearm z,Left Hand x,Left Hand y,Left Hand z,Right Upper Leg x,Right Upper Leg y,Right Upper Leg z,Right Lower Leg x,Right Lower Leg y,Right Lower Leg z,Right Foot x,Right Foot y,Right Foot z,Right Toe x,Right Toe y,Right Toe z,Left Upper Leg x,Left Upper Leg y,Left Upper Leg z,Left Lower Leg x,Left Lower Leg y,Left Lower Leg z,Left Foot x,Left Foot y,Left Foot z,Left Toe x,Left Toe y,Left Toe z
0,0,-1.90215986898234,-68.6292477990747,6.0919560667775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-162.514186044304,-65.9148833791686,-88.7944273812912,-127.003558254933,-86.5771812823833,-49.1181915044796,3.81790491974188,34.041545548496,-11.5006357694069,0,0,0,169.627110744976,67.8800273178391,-100.821139729459,121.013000685404,77.4082227880793,113.118122673072,-11.4111952130101,28.2515416783538,-8.84167447596265,0,0,0
1,1,-1.90247967278647,-68.6265822305172,6.0901830695242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-162.520659989783,-65.9161260351316,-88.7887806875712,-126.979424071268,-86.5745820094435,-49.1391372999653,3.82027266814371,34.0405558439396,-11.4981834706401,0,0,0,169.641446911718,67.8785607529006,-100.817641866253,121.013416061359,77.4056849905656,113.100350225383,-11.4065963477424,28.2511385053887,-8.83993083806456,0,0,0
2,2,-1.89726971700261,-68.6272024653529,6.08311293508521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-162.522049880057,-65.9157375501949,-88.7889878079541,-126.967985999263,-86.5709132269579,-49.1482142870369,3.82139803815172,34.0391048592654,-11.4980244563105,0,0,0,169.654110910776,67.8765060237108,-100.816950979092,121.015907419643,77.4026575247013,113.086992156017,-11.4010062728284,28.2496832113486,-8.83838545850615,0,0,0
3,3,-1.89349678261295,-68.6341992131322,6.07887428510578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-162.51608014783,-65.9140505291978,-88.7961323274076,-126.952577332983,-86.5680237180482,-49.1589522686938,3.82233561367962,34.0386068470832,-11.4981628387543,0,0,0,169.67053405471,67.8757724650393,-100.816119680166,121.019787866922,77.3974921400858,113.074535084644,-11.397768244274,28.2494359848117,-8.83906231718896,0,0,0
4,4,-1.88252068377955,-68.6417972035172,6.06715091415084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-162.510515805156,-65.908264086265,-88.8007030390658,-126.929683989605,-86.5639341917421,-49.1799424043653,3.82231919065861,34.0379772341669,-11.4977925339234,0,0,0,169.685389439333,67.8769022248106,-100.816706183318,121.024530957083,77.3930289366963,113.064938371803,-11.3924327941356,28.2485501683039,-8.83875834586478,0,0,0
5,5,-1.87731458840104,-68.654787923984,6.05841200383326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-162.504437165199,-65.9023148910185,-88.8046877999096,-126.887223163982,-86.5634061081874,-49.2208885109795,3.82173519743684,34.0390334603726,-11.4998849142988,0,0,0,169.707243646437,67.8780768991816,-100.812926450751,121.025091724847,77.3897427787462,113.053589741698,-11.3896770842593,28.2482164023439,-8.83675496506995,0,0,0
6,6,-1.87098870216418,-68.6658487142292,6.05183160349635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-162.495015306903,-65.8998653307906,-88.8168715104098,-126.878883520057,-86.5614956137845,-49.2361297503829,3.8200054160761,34.0397381297394,-11.5033365048753,0,0,0,169.722636399031,67.8784672074848,-100.814025069609,121.027897542774,77.3850201047899,113.045995615896,-11.3905187020115,28.2507124379105,-8.83801690179967,0,0,0
7,7,-1.8759370183493,-68.6749485675742,6.05072939439963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-162.485869443486,-65.8946822586028,-88.8273346892999,-126.869376879788,-86.5610760654198,-49.2512506768145,3.82075919553363,34.0413672745749,-11.5022024039787,0,0,0,169.737552656421,67.8824012194746,-100.81026175503,121.03150169035,77.3813747601324,113.038057783064,-11.3884028668392,28.2523858946884,-8.83886408878622,0,0,0
8,8,-1.87510243746615,-68.6787944393068,6.04300806265777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-162.480559102826,-65.8917889560365,-88.8342037109962,-126.84303686909,-86.5574306838349,-49.285312931544,3.81922136532623,34.0422926645206,-11.503786741505,0,0,0,169.748504990495,67.8832702824186,-100.802124258218,121.033160795067,77.3774690346308,113.032115773558,-11.3871304827684,28.2519098827807,-8.84015386360674,0,0,0
9,9,-1.87495936925515,-68.6837934540638,6.03528781651315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-162.471798418787,-65.8881329211616,-88.8461093364848,-126.812415038026,-86.5559428009004,-49.3176536371905,3.81978412310521,34.0437028919791,-11.5045205585541,0,0,0,169.762693993064,67.8828610667904,-100.789765118734,121.034643748312,77.3745101364839,113.026826106012,-11.3857351130907,28.251732604379,-8.84057091183059,0,0,0
