,Frame,T8_Head Lateral Bending,T8_Head Axial Bending,T8_Head Flexion/Extension,T8_LeftUpperArm Lateral Bending,T8_LeftUpperArm Axial Bending,T8_LeftUpperArm Flexion/Extension,T8_RightUpperArm Lateral Bending,T8_RightUpperArm Axial Bending,T8_RightUpperArm Flexion/Extension,Pelvis_T8 Lateral Bending,Pelvis_T8 Axial Bending,Pelvis_T8 Flexion/Extension,Vertical_Pelvis Lateral Bending,Vertical_Pelvis Axial Bending,Vertical_Pelvis Flexion/Extension,Vertical_T8 Lateral Bending,Vertical_T8 Axial Bending,Vertical_T8 Flexion/Extension
0,0,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.72299036103615,-0.0590964568727422,4.68827862793989,0.716485641475885,-0.0589225257519768,-1.6284804519254
1,1,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.696461193337898,-0.0567218774054832,4.67128421758473,0.690217789627126,-0.056556787690196,-1.64547512546276
2,2,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.669526447513762,-0.0543264276996117,4.65397535909725,0.663546659830511,-0.0541701171995938,-1.6627842385227
3,3,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.642788108740831,-0.0519649980117426,4.63683640110056,0.637068197006761,-0.0518171936611714,-1.67992343673796
4,4,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.616848827167425,-0.0496909061049789,4.62035057262334,0.611379183726105,-0.0495511444444253,-1.69640948647129
5,5,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.592311869533144,-0.0475559807859186,4.60500004894475,0.587077182649152,-0.0474236269452117,-1.71176020886653
6,6,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.569774863731831,-0.0456110680712495,4.5913485777774,0.564754225635339,-0.0454853239228328,-1.72541185347815
7,7,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.548836596879922,-0.0438176193289229,4.57907300442235,0.544013341366444,-0.0436978533525443,-1.73768758035956
8,8,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.528602741857526,-0.0420940581318476,4.56732400819619,0.523969179607208,-0.0419799537309855,-1.74943671833198
9,9,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.508179304058933,-0.0403608606812903,4.55525170831119,0.503736497216906,-0.0402523910068797,-1.76150915502441
10,10,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.486672790137977,-0.0385405144586946,4.54200550317568,0.48243033143666,-0.0384379182401239,-1.77475549765726
11,11,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.465077267502123,-0.0367117385400498,4.52735994307627,0.461036084436887,-0.0366150440675668,-1.78940118950386
12,12,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.443990309860703,-0.0349275414623969,4.51187919263761,0.440145496397829,-0.0348365856993517,-1.80488206230945
13,13,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.421924890528637,-0.0330743081964161,4.49589563602796,0.418284048266839,-0.0329891946661365,-1.820865739573
14,14,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.397394773732007,-0.0310396424704766,4.47974032030807,0.393977878065315,-0.0309607288850812,-1.83702118019385
15,15,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.36891441197325,-0.0287123436374708,4.46374218173267,0.36575368079651,-0.0286402298534682,-1.85301945192463
16,16,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.334281799202837,-0.025922892649363,4.44758957574978,0.331428112049067,-0.025858589761589,-1.86917220384906
17,17,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.294493000806634,-0.0227525329856451,4.43104954202556,0.291988294758456,-0.0226968177573402,-1.88571238535896
18,18,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.252858007892203,-0.0194632631930774,4.41457152440193,0.250715379771185,-0.0194162191054359,-1.90219053597021
19,19,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,0.212683951820167,-0.0163118477094461,4.39861315408568,0.210888232976905,-0.0162729212483549,-1.91814901426644
20,20,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,0.177275081851984,-0.0135499486789377,4.38364112330595,0.175783398477105,-0.0135180032043449,-1.93312112404076
21,21,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.146412960672715,-0.0111599686325576,4.37146065138337,0.145184375978876,-0.0111339191285737,-1.94530165252968
