,Frame,L5S1 Lateral Bending,L5S1 Axial Bending,L5S1 Flexion/Extension,L4L3 Lateral Bending,L4L3 Axial Rotation,L4L3 Flexion/Extension,L1T12 Lateral Bending,L1T12 Axial Rotation,L1T12 Flexion/Extension,T9T8 Lateral Bending,T9T8 Axial Rotation,T9T8 Flexion/Extension,T1C7 Lateral Bending,T1C7 Axial Rotation,T1C7 Flexion/Extension,C1 Head Lateral Bending,C1 Head Axial Rotation,C1 Head Flexion/Extension,Right T4 Shoulder Abduction/Adduction,Right T4 Shoulder Internal/External Rotation,Right T4 Shoulder Flexion/Extension,Right Shoulder Abduction/Adduction,Right Shoulder Internal/External Rotation,Right Shoulder Flexion/Extension,Right Elbow Ulnar Deviation/Radial Deviation,Right Elbow Pronation/Supination,Right Elbow Flexion/Extension,Right Wrist Ulnar Deviation/Radial Deviation,Right Wrist Pronation/Supination,Right Wrist Flexion/Extension,Left T4 Shoulder Abduction/Adduction,Left T4 Shoulder Internal/External Rotation,Left T4 Shoulder Flexion/Extension,Left Shoulder Abduction/Adduction,Left Shoulder Internal/External Rotation,Left Shoulder Flexion/Extension,Left Elbow Ulnar Deviation/Radial Deviation,Left Elbow Pronation/Supination,Left Elbow Flexion/Extension,Left Wrist Ulnar Deviation/Radial Deviation,Left Wrist Pronation/Supination,Left Wrist Flexion/Extension,Right Hip Abduction/Adduction,Right Hip Internal/External Rotation,Right Hip Flexion/Extension,Right Knee Abduction/Adduction,Right Knee Internal/External Rotation,Right Knee Flexion/Extension,Right Ankle Abduction/Adduction,Right Ankle Internal/External Rotation,Right Ankle Dorsiflexion/Plantarflexion,Right Ball Foot Abduction/Adduction,Right Ball Foot Internal/External Rotation,Right Ball Foot Flexion/Extension,Left Hip Abduction/Adduction,Left Hip Internal/External Rotation,Left Hip Flexion/Extension,Left Knee Abduction/Adduction,Left Knee Internal/External Rotation,Left Knee Flexion/Extension,Left Ankle Abduction/Adduction,Left Ankle Internal/External Rotation,Left Ankle Dorsiflexion/Plantarflexion,Left Ball Foot Abduction/Adduction,Left Ball Foot Internal/External Rotation,Left Ball Foot Flexion/Extension
0,0,0,0,-2.84254309044707,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495348,-0.202481098357142,-0.15178855891161,12.5727409839914,0.230666338149639,0.104073843287843,-12.5722632809572,0,0,0,90.0,90.0,90.0,0,90,0,0,0,0,0,0,0,90.0,-0.843985497738322,-0.843985497738322,0,90,0,0,0,0,1.14595946843343,1.28694382772115,3.92364999693273,0.206539293116218,0.344244306101017,1.47141904620923,-0.359832450886477,0.169202832444547,2.64422652813703,0.0,0.0,0.0,-1.42716112142713,2.28352002025666,3.71361926262718,0.112555877856114,1.16642357009552,1.63968705031689,0.0841319207267548,9.8828573903803,1.42020710245344,0.791853992773712,0.0071299933672422,-1.03175835578412
1,1,0,0,-2.84254309044707,0,0,-7.08969429797762,0,0,-1.26926260974451,0,0,4.88473757495348,-0.204493450535691,-0.152114998679973,12.5726532801969,0.232701329021655,0.103954782354328,-12.572170722593,0,0,0,90.0,-90.0,-90.0,0,90,0,0,0,0,0,0,0,90.0,0.0,0.0,0,90,0,0,0,0,1.11445191507582,1.27281119680772,3.9097745139909,0.22133844781723,0.349644065075935,1.45458288517782,-0.393520652087223,0.150274504318278,2.62713144081394,0.0,0.0,0.0,-1.36383692794617,2.24524764725666,3.70517661623566,0.0484516760398353,1.25823813405633,1.62573905035593,0.0843169878736266,9.8585027116431,1.4176687555232,0.817187824998117,0.00713069220994039,-1.00374541321916
2,2,0,0,-2.84254309044707,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495348,-0.206736538617336,-0.152477692468194,12.5725752083825,0.234969431759156,0.103820849386326,-12.5720872358784,0,0,0,90.0,90.0,90.0,0,90,0,0,0,0,0,0,0,90.0,0.0,0.0,0,90,0,0,0,0,1.08110516124253,1.25911937485951,3.89633802464266,0.238256515860367,0.353993758074078,1.43914206579156,-0.428072824981695,0.130864522312937,2.61119444340729,0.0,0.0,0.0,-1.29868796510167,2.20556650379505,3.69630365760261,-0.0175555678706053,1.35178944121163,1.61123486367859,0.0843306275711255,9.8345417592985,1.41504466014389,0.843105112370823,0.0071207420897335,-0.975360391920324
3,3,0,0,-2.84254309044707,0,0,-7.08969429797762,0,0,-1.26926260974451,0,0,4.88473757495348,-0.208864450813272,-0.152821378384216,12.5724935991283,0.23712097712083,0.103693455197919,-12.5720004830276,0,0,0,90.0,-0.316514235175885,-0.316514235175885,0,90,0,0,0,0,0,0,0,90.0,90.0,90.0,0,90,0,0,0,0,1.04867120385017,1.24521398895343,3.8827035912569,0.254116369454728,0.358879018590787,1.42300591581028,-0.462197500384208,0.111696548158142,2.5947032136663,0.0,0.0,0.0,-1.23443726454772,2.16659843306548,3.68764581382146,-0.0826865683237045,1.44442246441288,1.59718618143338,0.0844404096036283,9.81038204209938,1.41248190187513,0.86872715332191,0.00709460904096791,-0.947157900655265
4,4,0,0,-2.84254309044707,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495348,-0.210531243108329,-0.153091043943663,12.5723949391801,0.238806318079711,0.103594262245686,-12.5718977864176,0,0,0,90.0,0.316514235175885,0.316514235175885,0,90,0,0,0,0,0,0,0,90.0,0.0,0.0,0,90,0,0,0,0,1.01990149808886,1.23044249335961,3.86823019006929,0.265739322324568,0.365882904416772,1.40408157699284,-0.49460463587486,0.0934952936822811,2.57594396571821,0.0,0.0,0.0,-1.17380908502145,2.13046553496677,3.67984992371018,-0.144153896975098,1.53348820769663,1.58458654720879,0.084913870879975,9.78543146260959,1.41012704339182,0.893175457582158,0.00704800925421165,-0.919692821570119
5,5,0,0,-2.84254309044707,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495348,-0.211390941785898,-0.153231901710252,12.5722654200759,0.239675826989874,0.10354515887843,-12.5717661755672,0,0,0,90.0,90.0,90.0,0,90,0,0,0,0,0,0,0,90.0,0.0,0.0,0,90,0,0,0,0,0.99754693140136,1.21415367379125,3.85227286312157,0.269944437948058,0.376584841001743,1.38027500360556,-0.52400551737672,0.0769861049201422,2.55320148602152,0.0,0.0,0.0,-1.11952886606314,2.09929007110969,3.6735639485204,-0.199162808459842,1.61634301288079,1.57441288974201,0.0860184692041718,9.75909827533094,1.40812601977636,0.915571737551165,0.0069778709397708,-0.893520297049191
6,6,0,0,-2.84254309044707,0,0,-7.08969429797762,0,0,-1.26926260974451,0,0,4.88473757495348,-0.211427029882551,-0.153243475797041,12.5720992742633,0.239713268689612,0.103549295628156,-12.5715999176563,0,0,0,90.0,-0.105505699048716,-0.105505699048716,0,90,0,0,0,0,0,0,0,90.0,-1.26586381389443,-1.26586381389443,0,90,0,0,0,0,0.982556924644865,1.19256073739927,3.83450380513538,0.265718214176069,0.392722986751384,1.35030040882375,-0.548071103916674,0.0641243796884277,2.5242302350167,0.0,0.0,0.0,-1.07244706220917,2.07266473295673,3.66961858503913,-0.246634820064506,1.68746366251076,1.56754107061899,0.0848944592997534,9.73865660773679,1.40610459022284,0.93800960773369,0.00688293401291961,-0.86783285353868
7,7,0,0,-2.84254309044707,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495348,-0.210870105781935,-0.153162707447499,12.5719051731689,0.239151767980192,0.103592493649269,-12.5714071272115,0,0,0,90.0,90.0,90.0,0,90,0,0,0,0,0,0,0,90.0,0.0,0.0,0,90,0,0,0,0,0.973094672952075,1.16609951256326,3.81534358503884,0.255170944053433,0.413233204369157,1.31555458742968,-0.567663133249341,0.0544273004161916,2.49016773864088,0.0,0.0,0.0,-1.03074914463772,2.04917533529474,3.66758411266041,-0.288415130229188,1.74862436048226,1.56328407269694,0.0813601717166823,9.7245004259518,1.40396237281695,0.961074568623648,0.00676467299535554,-0.842260330694146
8,8,0,0,-2.84254309044708,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495348,-0.209744842678362,-0.152991043957314,12.5716908488922,0.238015734998209,0.103670756352847,-12.5711954856096,0,0,0,90.0,90.0,90.0,0,90,0,0,0,0,0,0,0,90.0,0.0,0.0,0,90,0,0,0,0,0.967733473592788,1.14045253331029,3.79526882618739,0.239810092798432,0.435488497468039,1.27796745709586,-0.586279588953371,0.0449616883003763,2.45437705660373,0.0,0.0,0.0,-0.993163852963626,2.02943277025629,3.66621732479718,-0.326096992697322,1.80812763789121,1.56027191823961,0.0797047052636679,9.70571975874484,1.40225917391723,0.981626949800654,0.00662974695343049,-0.818014912937195
9,9,0,0,-2.84254309044708,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495348,-0.208075897933931,-0.152729929578947,12.5714641436241,0.236329563974195,0.10378008679008,-12.5709727826931,0,0,0,90.0,179.366990846572,179.366990846572,0,90,0,0,0,0,0,0,0,90.0,-0.316514235175885,-0.316514235175885,0,90,0,0,0,0,0.965050458042332,1.12130229530992,3.77476025409138,0.221151904784728,0.456864186904686,1.23946619232596,-0.60741888320657,0.032794164000119,2.42022692613971,0.0,0.0,0.0,-0.958419791846499,2.01404683004055,3.66427384322781,-0.361281696388951,1.87427262853892,1.55714427806514,0.0842228459051572,9.67140674201005,1.40155768001719,0.99652788523978,0.00649070789583312,-0.79630985712895
