,Frame,Pelvis q0,Pelvis q1,Pelvis q2,Pelvis q3,L5 q0,L5 q1,L5 q2,L5 q3,L3 q0,L3 q1,L3 q2,L3 q3,T12 q0,T12 q1,T12 q2,T12 q3,T8 q0,T8 q1,T8 q2,T8 q3,Neck q0,Neck q1,Neck q2,Neck q3,Head q0,Head q1,Head q2,Head q3,Right Shoulder q0,Right Shoulder q1,Right Shoulder q2,Right Shoulder q3,Right Upper Arm q0,Right Upper Arm q1,Right Upper Arm q2,Right Upper Arm q3,Right Forearm q0,Right Forearm q1,Right Forearm q2,Right Forearm q3,Right Hand q0,Right Hand q1,Right Hand q2,Right Hand q3,Left Shoulder q0,Left Shoulder q1,Left Shoulder q2,Left Shoulder q3,Left Upper Arm q0,Left Upper Arm q1,Left Upper Arm q2,Left Upper Arm q3,Left Forearm q0,Left Forearm q1,Left Forearm q2,Left Forearm q3,Left Hand q0,Left Hand q1,Left Hand q2,Left Hand q3,Right Upper Leg q0,Right Upper Leg q1,Right Upper Leg q2,Right Upper Leg q3,Right Lower Leg q0,Right Lower Leg q1,Right Lower Leg q2,Right Lower Leg q3,Right Foot q0,Right Foot q1,Right Foot q2,Right Foot q3,Right Toe q0,Right Toe q1,Right Toe q2,Right Toe q3,Left Upper Leg q0,Left Upper Leg q1,Left Upper Leg q2,Left Upper Leg q3,Left Lower Leg q0,Left Lower Leg q1,Left Lower Leg q2,Left Lower Leg q3,Left Foot q0,Left Foot q1,Left Foot q2,Left Foot q3,Left Toe q0,Left Toe q1,Left Toe q2,Left Toe q3
0,0,0.822527138808681,0.000802427905619497,-0.568664849117924,0.00829164702273133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293563830459189,0.617778846281557,-0.552227027877579,0.476670624451153,0.0138160448738395,-0.714660140121723,0.013931323549925,-0.699196624169046,0.954573960692416,0.0635734800682656,0.277442785928763,-0.0881615944507077,0,0,0,0,0.371714493013092,-0.56881402613111,0.605307832411395,0.414585778074881,0.662577915283649,0.109293211842261,0.74081665710061,0.0153681679406864,0.959984213196254,-0.0763253446430673,0.254239454555581,-0.0892583437352848,0,0,0,0
1,1,0.822495553082833,0.000927717020264631,-0.568707366279276,0.00849329381244797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29348047940743,0.617871718907687,-0.552116841532753,0.476729210849034,0.0139836378996414,-0.714585520028034,0.0137544394265879,-0.699273056704901,0.954584030127182,0.0637449877138513,0.277379554229942,-0.0881276849957318,0,0,0,0,0.37166323014636,-0.568951737777188,0.605206771259675,0.414590312789543,0.662625649551504,0.109190716960828,0.740787567725102,0.0154407056171587,0.959986072050674,-0.076334171422666,0.254225088769345,-0.0892717199461921,0,0,0,0
2,2,0.822471367191814,0.00103007585725507,-0.568739491918333,0.00867060700488431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293434962936157,0.617922391833354,-0.552048426383759,0.476770778388126,0.0141166648398057,-0.714555368598034,0.0136124998413582,-0.699303971695855,0.954593329749748,0.0639819701644078,0.277311776837664,-0.0880685001479346,0,0,0,0,0.371610417128284,-0.569090687553733,0.6051164954034,0.41457871895705,0.662667175908101,0.109123817971915,0.740759329210513,0.0154862039507905,0.959990223655003,-0.0763444512964031,0.254202249713225,-0.0892833214200954,0,0,0,0
3,3,0.822450030078512,0.00107848234417535,-0.568767959097038,0.00882006826952646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293394978086335,0.617945532025812,-0.551998292716621,0.476823438099462,0.0141437011109494,-0.714538506157925,0.0135418383496192,-0.699322027073793,0.954597336292358,0.0642043544730402,0.277265493862209,-0.0880089332032893,0,0,0,0,0.371567963025781,-0.569244093268978,0.605004090249261,0.414570213489724,0.662697578421532,0.10908209113287,0.740737654886565,0.0155159138135517,0.959990591061008,-0.0763423100523922,0.254194507040611,-0.0893032438413179,0,0,0,0
4,4,0.822448016977491,0.00109971035195839,-0.568768563734486,0.00896498267402415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293359622301881,0.617949334447237,-0.551911513856728,0.476940701693083,0.0140823177902038,-0.714519883959247,0.0135697472033749,-0.699341751730409,0.954598940766975,0.0643803221457998,0.277239607504213,-0.0879445077186952,0,0,0,0,0.371525316722103,-0.569399978230851,0.604873187301878,0.414585372521168,0.662730485849268,0.109041892830267,0.740714108159883,0.0155170456883917,0.95998559079112,-0.0763702802601088,0.254196646897091,-0.0893269862510439,0,0,0,0
5,5,0.822458084675893,0.00112314236751611,-0.568752245726765,0.00907306360859457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293341793491723,0.617963291709738,-0.551785614189325,0.477079236882128,0.0140788946826952,-0.714471744159056,0.0135839994748094,-0.699390725189503,0.954592380923444,0.0645041018768002,0.277246109398449,-0.0879045047048305,0,0,0,0,0.371518823530026,-0.569531713974709,0.604740696024555,0.414603522792116,0.662776288538033,0.109025062959675,0.740675819202553,0.0155067032929669,0.959990497108968,-0.0763732096981545,0.254173958357445,-0.089336315089583,0,0,0,0
6,6,0.822460885823312,0.0011658355619429,-0.5687465452367,0.00917057247357333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293375117330143,0.617976006303048,-0.551676082660666,0.477168938621787,0.0142621639821171,-0.71442394935872,0.0134674446254602,-0.699438088179716,0.954582082411429,0.064570006890469,0.277280443778861,-0.0878596474328348,0,0,0,0,0.371512630740869,-0.569658439931677,0.604645134112455,0.414574346539602,0.662823369584948,0.108995450484828,0.740638526404172,0.0154837240844183,0.959987786760225,-0.0764026329178072,0.254167629072618,-0.0893582860513522,0,0,0,0
7,7,0.822451780985965,0.0011845131242453,-0.56875766013487,0.00929456398011399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293529047290432,0.617963536314543,-0.551604211284713,0.477173511707603,0.0144827052438139,-0.714342167713676,0.013306836105925,-0.699520154668754,0.954573725166752,0.0646201752355884,0.27731008332713,-0.0878200083061523,0,0,0,0,0.371525201856735,-0.569780865877676,0.604565763669782,0.414510586913496,0.662865438235288,0.109029296106036,0.740597304272444,0.015416104830704,0.959988789951361,-0.0764231378899968,0.254157125128547,-0.0893598506554253,0,0,0,0
8,8,0.822449763725669,0.00121590536128453,-0.568758484420608,0.00941775564119129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.293793662366036,0.617887024262436,-0.551537674760903,0.477186653754062,0.0145633841606873,-0.714244722914073,0.0132585751288945,-0.699618891838077,0.954556752932612,0.0647130228759094,0.277375394620538,-0.0877298156849247,0,0,0,0,0.371527283942021,-0.569895246206678,0.604517267192334,0.414422199337834,0.662890294676249,0.109069745772428,0.740571252803821,0.0153123251583137,0.959983829978972,-0.0764489395561087,0.254157272997278,-0.0893906393434892,0,0,0,0
9,9,0.822428696585674,0.00124681655198732,-0.568787192820246,0.00951912624878431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294080935135699,0.617802938694775,-0.551411292480745,0.477264621624657,0.0145181275452901,-0.714143353217076,0.0133040910073015,-0.699722442251868,0.954532990027034,0.0649039123376681,0.277446189856113,-0.0876234263632865,0,0,0,0,0.371535919019804,-0.569997111019661,0.604480942856999,0.41432733922596,0.662913300449816,0.109121979897589,0.740545656770464,0.0151815621187537,0.95999334583444,-0.0764291104330427,0.254124557568853,-0.0893984131427775,0,0,0,0
10,10,0.822388557489615,0.00129536565958263,-0.568844195344477,0.00957412976997876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29424521255284,0.617810773087312,-0.551208027008329,0.477388012531292,0.0145086166417474,-0.714040801535821,0.0133263716990635,-0.699826865447851,0.954526648600282,0.0652307199359686,0.27743576807643,-0.0874827118943507,0,0,0,0,0.371560883966894,-0.570068957025392,0.604465836193778,0.414228133540297,0.662966463230841,0.109183586140084,0.740492083677987,0.0150295428743799,0.960014282277832,-0.0763695463217936,0.254067305010922,-0.0893872179993867,0,0,0,0
11,11,0.82234623588701,0.00133667803232319,-0.568905042792671,0.00958821669411991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294284199489322,0.617932134453628,-0.550947686490331,0.477507417629783,0.0146669622324516,-0.713912977445381,0.0132175369586874,-0.699956025454948,0.954532844924447,0.0656369589185674,0.277364425393893,-0.0873373523200651,0,0,0,0,0.371597845106863,-0.570101678340673,0.604486843282816,0.414119275285588,0.663052784289442,0.109310009289402,0.740401418125453,0.0147670969722372,0.960052674850091,-0.0762606213874701,0.253970868179599,-0.0893419120843223,0,0,0,0
12,12,0.82227836629603,0.00129130041846263,-0.569003830808411,0.00955308275448224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.294279730075899,0.618112524697983,-0.550658150159598,0.477610666694905,0.0148407080271203,-0.713782167299597,0.0130937314368043,-0.700088083906165,0.954539175305783,0.0660049768486956,0.277294731714485,-0.0872120267001683,0,0,0,0,0.371661986808598,-0.570111326373791,0.604562355349059,0.413938161561121,0.663188501686905,0.109627737417789,0.740242417994779,0.0142805119017414,0.960105599766108,-0.0760760533891782,0.25384449657864,-0.0892896576050483,0,0,0,0
