,Frame,T8_Head Lateral Bending,T8_Head Axial Bending,T8_Head Flexion/Extension,T8_LeftUpperArm Lateral Bending,T8_LeftUpperArm Axial Bending,T8_LeftUpperArm Flexion/Extension,T8_RightUpperArm Lateral Bending,T8_RightUpperArm Axial Bending,T8_RightUpperArm Flexion/Extension,Pelvis_T8 Lateral Bending,Pelvis_T8 Axial Bending,Pelvis_T8 Flexion/Extension,Vertical_Pelvis Lateral Bending,Vertical_Pelvis Axial Bending,Vertical_Pelvis Flexion/Extension,Vertical_T8 Lateral Bending,Vertical_T8 Axial Bending,Vertical_T8 Flexion/Extension
0,0,0,0,0,90.0,5.05115252801793,5.05115252801793,90.0,0.0,0.0,0,0,-6.31676242321572,-0.290198723433502,0,4.06841997426254,-0.288436856657272,0.0319294130290344,-2.24842281821681
1,1,0,0,0,90.0,14.8510624688579,14.8510624688579,90.0,0.0,0.0,0,0,-6.31676242321572,-0.287874010826787,0,4.06201313865361,-0.286126258180483,0.0316736298636888,-2.254828371332
2,2,0,0,0,90.0,90.0,90.0,90.0,0.0,0.0,0,0,-6.31676242321572,-0.285502497410762,0,4.05578954699446,-0.283769143032311,0.0314126974113605,-2.26105066530751
3,3,0,0,0,90.0,16.0273540691674,16.0273540691674,90.0,0.0,0.0,0,0,-6.31676242321572,-0.283154721044193,0,4.04947421901302,-0.281435620812076,0.031154376799584,-2.26736471916851
4,4,0,0,0,90.0,169.362343857294,169.362343857294,90.0,3.3722866834339,3.3722866834339,0,0,-6.31676242321572,-0.280901228941937,0,4.04279218228995,-0.279195810419043,0.0309064301729354,-2.27404554283436
5,5,0,0,0,90.0,4.42244085972539,4.42244085972539,90.0,0.0,0.0,0,0,-6.31676242321572,-0.278812575842286,0,4.03546847184419,-0.277119838230838,0.0306766204923733,-2.28136813761139
6,6,0,0,0,89.9999987925817,-7.96670046675116,-7.96670046675116,90.0,90.0,90.0,0,0,-6.31676242321572,-0.276567034072647,0,4.02717771801062,-0.274887929891261,0.0304295488033317,-2.28965770126163
7,7,0,0,0,90.0,90.0,90.0,90.0,-10.0249878620757,-10.0249878620757,0,0,-6.31676242321572,-0.274117593714781,0,4.01810323372598,-0.272453360893731,0.0301600427366129,-2.29873089826787
8,8,0,0,0,90.0,14.8510624688579,14.8510624688579,90.0,90.0,90.0,0,0,-6.31676242321572,-0.271946865101228,0,4.00873310088808,-0.270295811484531,0.0299212027478481,-2.30809989987305
9,9,0,0,0,90.0,-8.79280571171115,-8.79280571171115,90.0,90.0,90.0,0,0,-6.31676242321572,-0.270537428511546,0,3.99955542322776,-0.268894932043455,0.029766125914009,-2.31727684784887
10,10,0,0,0,90.0,168.346737691074,168.346737691074,90.0,-5.05115252801793,-5.05115252801793,0,0,-6.31676242321572,-0.27037183759072,0,3.9910583259846,-0.268730346478947,0.0297479063555019,-2.32577385961226
11,11,0,0,0,90.0,3.79266029964088,3.79266029964088,90.0,-10.0249878620757,-10.0249878620757,0,0,-6.31676242321572,-0.271990335986901,0,3.98340165645361,-0.270339018444273,0.0299259857428103,-2.33343136687326
12,12,0,0,0,90.0,148.254157456364,148.254157456364,90.0,-10.0249878620757,-10.0249878620757,0,0,-6.31676242321572,-0.275071239223753,0,3.97626011063841,-0.273401216506991,0.0302649700590782,-2.34057452117274
13,13,0,0,0,90.0,90.0,90.0,90.0,-2.53049303995912,-2.53049303995912,0,0,-6.31676242321572,-0.278804084930332,0,3.96939403180573,-0.277111398870058,0.0306756862570811,-2.34744257313136
14,14,0,0,0,90.0,161.661896908972,161.661896908972,90.0,-3.3722866834339,-3.3722866834339,0,0,-6.31676242321572,-0.28237828283489,0,3.96256362584328,-0.280663896621128,0.0310689470531231,-2.35427489328621
15,15,0,0,0,89.9999987925817,90.0,90.0,90.0,-10.0249878620757,-10.0249878620757,0,0,-6.31676242321572,-0.284983110757189,0,3.95552898657039,-0.283252909751704,0.0313555504441085,-2.36131094295806
16,16,0,0,0,90.0,12.4604663685245,12.4604663685245,90.0,-10.0249878620757,-10.0249878620757,0,0,-6.31676242321572,-0.286720108145881,0,3.94799589040154,-0.284979361237566,0.0315466684533609,-2.36884498683176
17,17,0,0,0,90.0,4.42244085972539,4.42244085972539,90.0,180.0,180.0,0,0,-6.31676242321572,-0.28812929504181,0,3.94012415565156,-0.286379992477492,0.031701718235845,-2.37671749466466
18,18,0,0,0,90.0,8.17355325695414,8.17355325695414,90.0,90.0,90.0,0,0,-6.31676242321572,-0.289057733596531,0,3.93235497835508,-0.287302794162814,0.0318038723401211,-2.38448718337582
19,19,0,0,0,90.0,90.0,90.0,90.0,3.3722866834339,3.3722866834339,0,0,-6.31676242321572,-0.289352757627751,0,3.92512962730145,-0.287596027001597,0.031836333205419,-2.39171269728294
20,20,0,0,0,90.0,1.26586381389443,1.26586381389443,90.0,0.0,0.0,0,0,-6.31676242321572,-0.288861968846808,0,3.91888941485597,-0.287108217968198,0.0317823327629162,-2.39795263890434
21,21,0,0,0,89.9999987925817,90.0,90.0,89.9999987925817,90.0,90.0,0,0,-6.31676242321572,-0.287094502641596,0,3.91327995639591,-0.285351482656343,0.0315878622652631,-2.40356112586126
22,22,0,0,0,90.0,90.0,90.0,90.0,90.0,90.0,0,0,-6.31676242321572,-0.284152019721641,0,3.90800724994804,-0.282426864551818,0.0312641073422297,-2.40883222817454
23,23,0,0,0,90.0,17.1899348451505,17.1899348451505,90.0,-10.0249878620757,-10.0249878620757,0,0,-6.31676242321572,-0.280771250895009,0,3.90360305838263,-0.279066621512428,0.0308921289860187,-2.41323459707002
24,24,0,0,0,90.0,90.0,90.0,90.0,-90.0,-90.0,0,0,-6.31676242321572,-0.277689111273998,0,3.90059893967643,-0.276003194589831,0.0305530083119025,-2.41623707311671
25,25,0,0,0,90.0,90.0,90.0,90.0,10.0249878620757,10.0249878620757,0,0,-6.31676242321572,-0.275642584998291,0,3.89952629414471,-0.273969093452875,0.0303278338688851,-2.41730863794729
26,26,0,0,0,90.0,24.8931305303547,24.8931305303547,90.0,0.0,0.0,0,0,-6.31676242321572,-0.274797906077271,0,3.90100324014963,-0.273129542856073,0.0302348958684772,-2.41583124822679
27,27,0,0,0,90.0,90.0,90.0,90.0,0.0,0.0,0,0,-6.31676242321572,-0.274663697254788,0,3.90467539728906,-0.272996148859544,0.0302201291940783,-2.41215902071194
28,28,0,0,0,90.0,10.0249878620757,10.0249878620757,90.0,0.0,0.0,0,0,-6.31676242321572,-0.274990481484589,0,3.90961542446351,-0.273320949074691,0.0302560844785736,-2.40721916495423
29,29,0,0,0,90.0,14.8510624688579,14.8510624688579,90.0,-6.72136933936946,-6.72136933936946,0,0,-6.31676242321572,-0.275529017209733,0,3.91489596788319,-0.273856215171855,0.0303153382761135,-2.40193890447164
30,30,0,0,0,90.0,3.3722866834339,3.3722866834339,90.0,180.0,180.0,0,0,-6.31676242321572,-0.276030420655766,0,3.919589615262,-0.274354574431971,0.0303705065025706,-2.39724552101892
31,31,0,0,0,90.0,13.6618245680999,13.6618245680999,90.0,10.0249878620757,10.0249878620757,0,0,-6.31676242321572,-0.276574500952771,0,3.92369641419684,-0.2748953514375,0.0304303703664589,-2.39313900901705
32,32,0,0,0,90.0,2.53049303995912,2.53049303995912,90.0,0.0,0.0,0,0,-6.31676242321572,-0.277327227564447,0,3.92783466261413,-0.275643507996433,0.030513191098148,-2.38900115849867
33,33,0,0,0,90.0,3.79266029964088,3.79266029964088,90.0,90.0,90.0,0,0,-6.31676242321572,-0.278169253088064,0,3.93200425933355,-0.276480421303302,0.0306058371905733,-2.38483200816402
34,34,0,0,0,90.0,3.79266029964088,3.79266029964088,90.0,10.0249878620757,10.0249878620757,0,0,-6.31676242321572,-0.278981295228414,0,3.93620507821098,-0.277287533265337,0.0306951842940713,-2.38063162105809
35,35,0,0,0,90.0,20.5887129614572,20.5887129614572,90.0,0.0,0.0,0,0,-6.31676242321572,-0.279644137993798,0,3.94043697557289,-0.277946351690975,0.030768115347213,-2.3764000770698
36,36,0,0,0,90.0,-3.79266029964088,-3.79266029964088,90.0,0.0,0.0,0,0,-6.31676242321572,-0.280101223662755,0,3.94493248987618,-0.278400662239968,0.030818407428672,-2.3719048069358
37,37,0,0,0,90.0,-3.79266029964088,-3.79266029964088,90.0,19.4712206344907,19.4712206344907,0,0,-6.31676242321572,-0.280432333306476,0,3.949691687019,-0.278729761606191,0.0308548386611981,-2.36714578691657
38,38,0,0,0,90.0,90.0,90.0,90.0,-19.4712206344907,-19.4712206344907,0,0,-6.31676242321572,-0.280722698954248,0,3.95436571705606,-0.279018364346779,0.030886786927219,-2.36247191237975
39,39,0,0,0,89.9999987925817,90.0,90.0,90.0,0.0,0.0,0,0,-6.31676242321572,-0.281057374303095,0,3.95860572807182,-0.279351007769309,0.0309236104899458,-2.35823208079316
40,40,0,0,0,90.0,-1.26586381389443,-1.26586381389443,90.0,0.0,0.0,0,0,-6.31676242321572,-0.281521234249719,0,3.96206286206956,-0.279812051466387,0.0309746479417493,-2.35477519583771
