,Frame,T8_Head Lateral Bending,T8_Head Axial Bending,T8_Head Flexion/Extension,T8_LeftUpperArm Lateral Bending,T8_LeftUpperArm Axial Bending,T8_LeftUpperArm Flexion/Extension,T8_RightUpperArm Lateral Bending,T8_RightUpperArm Axial Bending,T8_RightUpperArm Flexion/Extension,Pelvis_T8 Lateral Bending,Pelvis_T8 Axial Bending,Pelvis_T8 Flexion/Extension,Vertical_Pelvis Lateral Bending,Vertical_Pelvis Axial Bending,Vertical_Pelvis Flexion/Extension,Vertical_T8 Lateral Bending,Vertical_T8 Axial Bending,Vertical_T8 Flexion/Extension
0,0,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.0463543321287081,0.00406544715383737,5.03151611927916,-0.045906918341968,0.00405080049389773,-1.28524628812451
1,1,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.0600982828157769,0.00514239557658385,4.90859586164441,-0.059532319311124,0.00512508347695096,-1.40816653626636
2,2,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.0694446947607393,0.00576478132602833,4.76174619843109,-0.0688101904554607,0.00574700066797489,-1.55501619297467
3,3,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.0754085494196362,0.00603550635392055,4.59071446851159,-0.0747441907967064,0.00601887456507836,-1.72604791982481
4,4,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.0821527132122464,0.00632261102911083,4.41394128503141,-0.0814566835055431,0.00630733649188376,-1.90282109989465
5,5,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,-0.0938191340635849,0.00695258948822717,4.24987074411403,-0.0930536767126939,0.00693798615970336,-2.06689163278696
6,6,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.114536634361217,0.00822288219826438,4.11694898957827,-0.113631243700244,0.00820771252828347,-2.19981336883591
7,7,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.142695547587607,0.00999241892135693,4.01548055178134,-0.141595243312566,0.00997593481799969,-2.30128177572305
8,8,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.175510922333535,0.012038830460767,3.93316872407731,-0.174185201788999,0.0120208765549252,-2.38359356018809
9,9,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.21534221852664,0.0145324766182345,3.86955698012389,-0.213741821786176,0.0145125822084053,-2.44720524059256
10,10,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.264548805218389,0.0176442287951571,3.82418537662006,-0.262605658747394,0.0176216146638156,-2.49257674806599
11,11,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.325493119902393,0.0215525894617832,3.79658813381821,-0.323119498402828,0.0215261104550812,-2.52017384394219
12,12,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,-0.401787736181659,0.026748134137258,3.81710113887027,-0.398841967220191,0.0267142163365867,-2.49966059826498
13,13,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.491922491614533,0.0333388888829454,3.88597013768241,-0.48825107365645,0.0332921964939345,-2.43079121983888
14,14,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.590511418309813,0.0407578858271576,3.95763813593701,-0.586023224295683,0.0406951837514202,-2.35912269472612
15,15,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.692017580844562,0.0481140204483611,3.98663635336983,-0.686719450871854,0.04803731790836,-2.3301238506813
16,16,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.790842135003845,0.0541727418346768,3.92759209606264,-0.784876588918915,0.0540925332385213,-2.38916751358618
17,17,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.898317346798378,0.0588204524709403,3.75401967754702,-0.891839142692345,0.0587530045928229,-2.56273942750701
18,18,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.01854733357743,0.0621236877764088,3.49641232206439,-1.01170388070918,0.0620832516679191,-2.82034639800579
19,19,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.13505674482072,0.0632659550279947,3.19479911749359,-1.12808555710176,0.0632615170803807,-3.12195946291341
20,20,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.23095697121402,0.0620509063607836,2.88898491400418,-1.22411757948132,0.0620831127517914,-3.42777381041272
21,21,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.28883750502398,0.0588926830051084,2.61856825240788,-1.28234431180237,0.0589539506812515,-3.69819083720885
22,22,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,-1.33364240079612,0.0553391858809789,2.37772902358287,-1.32753928502041,0.0554224643005605,-3.93903045481997
23,23,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.37671698496421,0.0514168167873279,2.13993531686783,-1.37104478008745,0.0515177894943486,-4.1768245630249
24,24,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.37995576369851,0.0460884645261768,1.91357970534366,-1.37486986529145,0.0461991194655019,-4.40318067347592
25,25,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.30531965510286,0.038890952979686,1.70703927448807,-1.30102678814799,0.038999848007994,-4.60972169242841
26,26,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.11482701115086,0.0297448918206965,1.52870715929629,-1.11154286589051,0.0298384328138278,-4.7880544117469
27,27,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.775103621822226,0.0185424695691232,1.37070939379945,-0.773055859591803,0.0186064481138807,-4.94605269815537
28,28,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-0.31137015718175,0.00667120762440418,1.22766270299977,-0.310633251993169,0.00669607247857052,-5.0890996773252
29,29,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.226389062430087,-0.00439220468662925,1.11166709734047,0.225903808650543,-0.00440956155151787,-5.20509530727936
30,30,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,0.788132518850196,-0.0142318948700689,1.03462348174143,0.786559975330579,-0.014290258959497,-5.2821387462014
31,31,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,1.32377441833058,-0.0232950301374534,1.00813123836918,1.32120033959267,-0.0233917568253496,-5.30863066164954
32,32,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,1.88866654593389,-0.0342481162793254,1.03865312636888,1.88488234846413,-0.034388298293115,-5.27810816604502
33,33,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,2.51619499607264,-0.0491369843624886,1.11824044452167,2.51076636578588,-0.0493305355844966,-5.19851965133471
34,34,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,3.12332342416073,-0.0674778537586042,1.23671713845688,3.1158698906178,-0.067728173615069,-5.08004089672756
35,35,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,3.62698370788396,-0.0877262334422286,1.38410309524788,3.61729574428971,-0.0880266483042593,-4.93265191345357
36,36,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,3.94402764478599,-0.106895135303474,1.55062730190895,3.93222569440698,-0.107226764239829,-4.76612411605055
37,37,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,4.01863696445079,-0.121516208502756,1.72994275508879,4.00522418464094,-0.121851074243295,-4.58680545130406
38,38,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,3.90605835651429,-0.131653470256668,1.92852575615622,3.89153059492907,-0.131965757339408,-4.38821998565868
39,39,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,3.68972376258764,-0.138994974844446,2.15590829997082,3.67439042754787,-0.139263645742891,-4.16083553767896
40,40,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,3.45318617753207,-0.146094709370505,2.42181578984553,3.4370748976097,-0.1463021342746,-3.8949261111634
41,41,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,3.28020233646596,-0.156761971828356,2.73623912629662,3.26292087353348,-0.156889486635613,-3.58049968270843
42,42,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,3.17543451697163,-0.1741481306823,3.14059654701949,3.15624440336216,-0.174154091489327,-3.17613675620022
43,43,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,3.08313566710034,-0.195300554996373,3.62832346806645,3.06162406940381,-0.195123842712223,-2.68840236598032
44,44,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,2.99688027048909,-0.216425928264382,4.13757442025915,2.97305080933728,-0.216018070283323,-2.17914311415558
45,45,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,2.91047628872998,-0.233948068147068,4.60653796548242,2.88472472968595,-0.233296262297297,-1.71017205356972
46,46,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,2.81780826203712,-0.244483022943883,4.97344960987207,2.7909016798307,-0.243629484148753,-1.34325562374509
47,47,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,2.70946491253564,-0.245986113184244,5.20506297972197,2.68239525343801,-0.245017870070669,-1.11164157437905
48,48,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,2.58966650370968,-0.241296419164591,5.34276327364575,2.56311408274481,-0.240282809873516,-0.973943480740235
49,49,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,2.47274518554898,-0.234428578817686,5.43673812231572,2.44694918670233,-0.233401503744292,-0.879971765414209
50,50,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,2.37330203208821,-0.229129377287113,5.53707544946355,2.3480897819577,-0.228081362092731,-0.779636796237419
51,51,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,2.30639630308855,-0.228940874929069,5.69370164794902,2.28120563766388,-0.227824853369191,-0.623010695417396
52,52,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,2.28322325739429,-0.235156571459104,5.90845369812055,2.25734954725733,-0.233913266152019,-0.408255910918052
53,53,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,2.29466355829671,-0.245869510091817,6.14769500048596,2.26761170541496,-0.244456604315507,-0.16900971354485
54,54,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,2.32554399588953,-0.259692614065749,6.408078870711,2.29697135060091,-0.25807042165362,0.0913807956717717
55,55,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,2.36029259090853,-0.274978746609937,6.68651356983498,2.33003751155696,-0.273114039440481,0.369823254292345
56,56,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,2.38285512841148,-0.289745236967161,6.98022378522964,2.35097387631633,-0.287616960057386,0.663541376576522
57,57,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,2.38722819271714,-0.303432161763045,7.29823790832378,2.35383829356127,-0.301018009861852,0.981563183623767
58,58,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,2.38425798369697,-0.317267176424583,7.64252359676124,2.34934145916565,-0.314533109582831,1.32585698767812
59,59,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,2.38258630855144,-0.331772768720683,7.99983707924229,2.3460674213825,-0.328685895539562,1.68317935918083
60,60,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,2.39064017069313,-0.347647055781579,8.3568208002557,2.35236623937779,-0.344173915026671,2.04017325966569
61,61,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,2.41666197745835,-0.365759318046843,8.70002600758769,2.37638469948809,-0.361863811276683,2.3833906646803
62,62,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,2.48216169467774,-0.39033220211244,9.04203192368656,2.43916705162307,-0.385918118694491,2.7254141333597
63,63,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,2.58145258837394,-0.42151896563893,9.39152042599492,2.53500846731841,-0.416468586654864,3.07492655582679
64,64,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,2.68147540365976,-0.453479706167086,9.72943690414273,2.63149312415503,-0.447751182858196,3.41286943465363
65,65,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,2.74867653139198,-0.479410661982359,10.037071608341,2.69581853212163,-0.473070255920562,3.72052694106862
66,66,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,2.74911881645135,-0.491721172570137,10.2959180524155,2.69488705356784,-0.484972432717158,3.9793845960031
67,67,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,2.68190704125443,-0.4894741009982,10.5084680316565,2.62790879467873,-0.482555401087706,4.19193239300026
68,68,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,2.56861205261314,-0.476647926893745,10.6871526303207,2.51601646578249,-0.46974605966234,4.37060518686399
69,69,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,2.40911183939815,-0.45285001741908,10.8283290423659,2.35913260855479,-0.446169238623717,4.51176061434238
70,70,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,2.20360722828375,-0.417962227557622,10.9283718930485,2.15747192690624,-0.411715335433108,4.61177469315746
71,71,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,1.9525351219065,-0.372157887373316,10.9837915167376,1.91145247552921,-0.366555725925351,4.66716007349582
