,Frame,L5S1 Lateral Bending,L5S1 Axial Bending,L5S1 Flexion/Extension,L4L3 Lateral Bending,L4L3 Axial Rotation,L4L3 Flexion/Extension,L1T12 Lateral Bending,L1T12 Axial Rotation,L1T12 Flexion/Extension,T9T8 Lateral Bending,T9T8 Axial Rotation,T9T8 Flexion/Extension,T1C7 Lateral Bending,T1C7 Axial Rotation,T1C7 Flexion/Extension,C1 Head Lateral Bending,C1 Head Axial Rotation,C1 Head Flexion/Extension,Right T4 Shoulder Abduction/Adduction,Right T4 Shoulder Internal/External Rotation,Right T4 Shoulder Flexion/Extension,Right Shoulder Abduction/Adduction,Right Shoulder Internal/External Rotation,Right Shoulder Flexion/Extension,Right Elbow Ulnar Deviation/Radial Deviation,Right Elbow Pronation/Supination,Right Elbow Flexion/Extension,Right Wrist Ulnar Deviation/Radial Deviation,Right Wrist Pronation/Supination,Right Wrist Flexion/Extension,Left T4 Shoulder Abduction/Adduction,Left T4 Shoulder Internal/External Rotation,Left T4 Shoulder Flexion/Extension,Left Shoulder Abduction/Adduction,Left Shoulder Internal/External Rotation,Left Shoulder Flexion/Extension,Left Elbow Ulnar Deviation/Radial Deviation,Left Elbow Pronation/Supination,Left Elbow Flexion/Extension,Left Wrist Ulnar Deviation/Radial Deviation,Left Wrist Pronation/Supination,Left Wrist Flexion/Extension,Right Hip Abduction/Adduction,Right Hip Internal/External Rotation,Right Hip Flexion/Extension,Right Knee Abduction/Adduction,Right Knee Internal/External Rotation,Right Knee Flexion/Extension,Right Ankle Abduction/Adduction,Right Ankle Internal/External Rotation,Right Ankle Dorsiflexion/Plantarflexion,Right Ball Foot Abduction/Adduction,Right Ball Foot Internal/External Rotation,Right Ball Foot Flexion/Extension,Left Hip Abduction/Adduction,Left Hip Internal/External Rotation,Left Hip Flexion/Extension,Left Knee Abduction/Adduction,Left Knee Internal/External Rotation,Left Knee Flexion/Extension,Left Ankle Abduction/Adduction,Left Ankle Internal/External Rotation,Left Ankle Dorsiflexion/Plantarflexion,Left Ball Foot Abduction/Adduction,Left Ball Foot Internal/External Rotation,Left Ball Foot Flexion/Extension
0,0,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.2692626097445,0,0,4.88473757495348,0.0182974769963498,-0.021655363831181,12.6111705136246,-0.0139048501311623,0.0180970157022059,-12.6111760309972,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,0.851695230727642,-1.2672126794716,4.28188765840854,-0.395316559532484,2.07968931320816,1.63570002588065,0.258620561791829,-5.84747971668785,2.4019955394919,0.0166557041536351,6.42024817599138e-05,0.00843687071428747,1.1942464301865,0.92804700431442,2.91138656320322,-0.726152424262819,3.85280412014258,1.49862025072362,-1.82831901296953,0.572446952016739,3.54809228286581,0.229968169354399,0.000122414976836554,-0.0239137811034806
1,1,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.2692626097445,0,0,4.88473757495349,0.0174957560007974,-0.0216162971599676,12.6112106035285,-0.0130920361903685,0.0182363438957151,-12.611215857493,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,0.866410330722517,-1.22362869432046,4.18718322083781,-0.407824093665304,2.13497010877183,1.71009131525828,0.113592964894965,-6.00889676863004,2.69448653911607,0.0,0.0,0.0,1.16441001565217,1.08967556179103,2.96728637671682,-0.649517181878304,3.83308918938727,1.846511850643,-1.84745863887006,0.400338774324003,3.92262245698091,0.0,0.0,0.0
2,2,0,0,-2.84254309044708,0,0,-7.08969429797764,0,0,-1.2692626097445,0,0,4.88473757495349,0.016654084494489,-0.0215778363407704,12.6112481680838,-0.0122381491445674,0.0183852328710552,-12.6112531445587,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,0.889023660917273,-1.13992370857898,4.0603740555871,-0.408420660695706,2.24241599531967,1.78537566468899,-0.123932221069545,-6.25768482840615,3.08994199333307,0.0,0.0,0.0,1.10853239724964,1.27169405460077,3.01034680275456,-0.540399634535675,3.81686698748061,2.2297484614383,-1.84628956650256,0.160925004164788,4.36552761559259,-0.0932129325866159,-0.000545552903384032,0.0172927174987063
3,3,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,0.0159001169631613,-0.0215453695507829,12.6112773809509,-0.0114727958522863,0.0185206446137025,-12.6112821078789,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,0.919268612630094,-1.02453362820296,3.9058646663191,-0.400907867084043,2.39636174400506,1.8656720370672,-0.434214670931242,-6.579564377913,3.57511277197892,0.0,0.0,0.0,1.03150230314748,1.47590313723765,3.04282689564381,-0.405641252110455,3.80016651505361,2.64825045015396,-1.82783546736529,-0.128892222085744,4.86481091552236,-0.104840230389953,-0.000859202540345581,0.0195817481149999
4,4,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,0.0152205560934525,-0.0215169285367284,12.6113025311891,-0.0107827892703278,0.0186435359580573,-12.6113070321968,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,0.953070668507503,-0.900157978835096,3.7378307867453,-0.391217378824984,2.55748942859469,1.94315682364016,-0.776952590315045,-6.91698372120659,4.11444517838642,0.0,0.0,0.0,0.941527385659062,1.67869711192644,3.07789974416931,-0.25410019238626,3.769945327775,3.09605722159461,-1.7819907922522,-0.436328512926003,5.40552495117068,-0.0698732244018462,-0.000741119801839072,0.0131567861557701
5,5,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,0.0146021886239825,-0.0214909551302944,12.6113279493439,-0.010154936674543,0.0187552654325535,-12.6113322437896,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,0.98640059258219,-0.789557934816252,3.57042299322138,-0.38529053218811,2.68644439487279,2.01007247732137,-1.11439014391193,-7.21329180362657,4.67040536394675,0.0,0.0,0.0,0.847001817431765,1.85659598350915,3.1288520281631,-0.0943709682205543,3.71300124650181,3.56707248701953,-1.69980468564665,-0.728764278288012,5.97272671634369,-0.0232828612568288,-0.000303276610361833,0.00442596167716577
6,6,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,0.0140318647909155,-0.0214661942703291,12.6113580000163,-0.00957604254248702,0.0188574881820275,-12.6113621029967,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,1.01524830982224,-0.715560692516024,3.417756574329,-0.389102638886595,2.7438410964708,2.05873774821243,-1.41153145353813,-7.41284207888455,5.20347528010439,0.0,0.0,0.0,0.756514488693369,1.98626692745348,3.20909965258834,0.065237859746389,3.61595100670465,4.0550394724712,-1.5735933894835,-0.973681867595201,6.55170390437029,0.0,0.0,0.0
7,7,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495348,0.0135188333701961,-0.021444835214526,12.6113915165249,-0.00905509487916185,0.0189503785659568,-12.6113954467624,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,1.04273724451642,-0.675141044006468,3.28380258895618,-0.404485145326977,2.69260944473457,2.09444884951161,-1.67735381162975,-7.48967855733049,5.71917949804443,0.0,0.0,0.0,0.664526136387412,2.07783074591283,3.30473254549476,0.234120706712265,3.47635159895156,4.53037134457633,-1.45691099486458,-1.0800346665934,7.14815159326509,0.0,0.0,0.0
8,8,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,0.0130719933203534,-0.0214285137666463,12.6114254819245,-0.00860084769216712,0.0190336222706181,-12.611429261529,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,1.07158075180961,-0.653093073449386,3.15912459119868,-0.427571666389047,2.55898720677464,2.12244423260421,-1.93868211713366,-7.48093065363418,6.24179838850687,0.0,0.0,0.0,0.565564694416341,2.14697586421855,3.40689623502819,0.417885267364112,3.30319029173939,4.99720609069619,-1.3573329077771,-1.06978280434145,7.77245723618485,0.0,0.0,0.0
9,9,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.26926260974451,0,0,4.88473757495349,0.0126776964592765,-0.0214152389197316,12.6114614989157,-0.00819976029940886,0.019108232316757,-12.6114651453291,0,0,0,90,0,0,0,90,0,0,0,0,0,0,0,90,0,0,0,90,0,0,0,0,1.09713852328153,-0.65402881227486,3.03768362000794,-0.45572653895354,2.39853734069578,2.13495464621514,-2.18798578911339,-7.42652491602122,6.75945817806773,0.0,0.0,0.0,0.468479177559316,2.17890519529015,3.53676688510527,0.602780013618705,3.10008598965643,5.49962002016833,-1.19799722042962,-1.08178860527575,8.41688946490229,0.0,0.0,0.0
