,Frame,L5S1 Lateral Bending,L5S1 Axial Bending,L5S1 Flexion/Extension,L4L3 Lateral Bending,L4L3 Axial Rotation,L4L3 Flexion/Extension,L1T12 Lateral Bending,L1T12 Axial Rotation,L1T12 Flexion/Extension,T9T8 Lateral Bending,T9T8 Axial Rotation,T9T8 Flexion/Extension,T1C7 Lateral Bending,T1C7 Axial Rotation,T1C7 Flexion/Extension,C1 Head Lateral Bending,C1 Head Axial Rotation,C1 Head Flexion/Extension,Right T4 Shoulder Abduction/Adduction,Right T4 Shoulder Internal/External Rotation,Right T4 Shoulder Flexion/Extension,Right Shoulder Abduction/Adduction,Right Shoulder Internal/External Rotation,Right Shoulder Flexion/Extension,Right Elbow Ulnar Deviation/Radial Deviation,Right Elbow Pronation/Supination,Right Elbow Flexion/Extension,Right Wrist Ulnar Deviation/Radial Deviation,Right Wrist Pronation/Supination,Right Wrist Flexion/Extension,Left T4 Shoulder Abduction/Adduction,Left T4 Shoulder Internal/External Rotation,Left T4 Shoulder Flexion/Extension,Left Shoulder Abduction/Adduction,Left Shoulder Internal/External Rotation,Left Shoulder Flexion/Extension,Left Elbow Ulnar Deviation/Radial Deviation,Left Elbow Pronation/Supination,Left Elbow Flexion/Extension,Left Wrist Ulnar Deviation/Radial Deviation,Left Wrist Pronation/Supination,Left Wrist Flexion/Extension,Right Hip Abduction/Adduction,Right Hip Internal/External Rotation,Right Hip Flexion/Extension,Right Knee Abduction/Adduction,Right Knee Internal/External Rotation,Right Knee Flexion/Extension,Right Ankle Abduction/Adduction,Right Ankle Internal/External Rotation,Right Ankle Dorsiflexion/Plantarflexion,Right Ball Foot Abduction/Adduction,Right Ball Foot Internal/External Rotation,Right Ball Foot Flexion/Extension,Left Hip Abduction/Adduction,Left Hip Internal/External Rotation,Left Hip Flexion/Extension,Left Knee Abduction/Adduction,Left Knee Internal/External Rotation,Left Knee Flexion/Extension,Left Ankle Abduction/Adduction,Left Ankle Internal/External Rotation,Left Ankle Dorsiflexion/Plantarflexion,Left Ball Foot Abduction/Adduction,Left Ball Foot Internal/External Rotation,Left Ball Foot Flexion/Extension
0,0,0,0,-2.84254309044707,0,0,-7.08969429797763,0,0,-1.2692626097445,0,0,4.88473757495348,0.0178560359619689,-0.0176604114317761,12.6111711361313,-0.0135693843896163,0.0211329117197331,-12.6111763904935,0,0,0,90.0,10.0249878620757,10.0249878620757,0,90,0,0,0,0,0,0,0,90.0,0.0,0.0,0,90,0,0,0,0,0.849317792673864,-1.2036174805823,4.28235901536536,-0.39515547477093,2.09097359511173,1.63573893855014,0.258393328729398,-5.83664073859306,2.40201998042288,0.016655703973063,6.17499097337668e-05,0.00843687107076498,1.19270477315292,0.988713236579306,2.91201801917745,-0.725904034205939,3.87179611017608,1.49874056104,-1.82481331289927,0.459260741567541,3.54989486966599,0.229968149323922,0.000218398274060571,-0.0239139737278854
1,1,0,0,-2.84254309044707,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495348,0.0170736544448519,-0.0177963753847032,12.6112111726806,-0.0127761782554931,0.021094784192312,-12.6112161761896,0,0,0,90.0,0.0,0.0,0,90,0,0,0,0,0,0,0,90.0,90.0,90.0,0,90,0,0,0,0,0.864097563261984,-1.16036285986549,4.1876602969471,-0.407642453741403,2.14714072013347,1.71013461058359,0.113467376723433,-6.00355671896638,2.69449182677976,0.0,0.0,0.0,1.16284862274355,1.1499604201173,2.96789815456457,-0.649179894117334,3.85401891404684,1.84663042222072,-1.84312918752998,0.27391198032494,3.92465612427126,0.0,0.0,0.0
2,2,0,0,-2.84254309044708,0,0,-7.08969429797763,0,0,-1.2692626097445,0,0,4.88473757495348,0.0162522866718036,-0.0179416695896843,12.6112486837939,-0.0119428903157029,0.0210572481208559,-12.6112534230398,0,0,0,90.0,-10.0249878620757,-10.0249878620757,0,90,0,0,0,0,0,0,0,90.0,90.0,90.0,0,90,0,0,0,0,0.886792026208053,-1.0769690550594,4.06086125381825,-0.408222387560523,2.255140818202,1.78542099594741,-0.123752041709431,-6.26436522221005,3.08994920776232,0.0,0.0,0.0,1.10700250668933,1.32991731251991,3.01090928138421,-0.539990459071535,3.83789273852901,2.22984754193973,-1.84093113572568,0.0203386651843965,4.36778635234727,-0.0932129283411263,-0.000517419831074726,0.0172927403831722
3,3,0,0,-2.84254309044708,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495348,0.0155165076545332,-0.018073812271456,12.6112778510243,-0.0111960007489058,0.0210255621729454,-12.6112823526182,0,0,0,90.0,0.0,0.0,0,90,0,0,0,0,0,0,0,90.0,4.42244085972539,4.42244085972539,0,90,0,0,0,0,0.917133255603555,-0.961910081642785,3.90636588446905,-0.400695342765973,2.40941406000409,1.86571767763284,-0.433369633200124,-6.60664122140031,3.5752151733948,0.0,0.0,0.0,1.03004786859679,1.53066364184414,3.0433191436337,-0.405208025734565,3.81890917096835,2.64831672646949,-1.82124859248649,-0.283954012169402,4.8672755824024,-0.104840224267068,-0.00082337167719075,0.019581780896793
4,4,0,0,-2.84254309044708,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495348,0.0148533405443257,-0.018193736890792,12.6113029619406,-0.0105226403881878,0.0209978052229232,-12.6113072483832,0,0,0,90.0,0.0,0.0,0,90,0,0,0,0,0,0,0,90.0,-3.79266029964088,-3.79266029964088,0,90,0,0,0,0,0.951043102435393,-0.838020461276448,3.73834650378978,-0.39099240929616,2.57075502692744,1.94320208673326,-0.774950048011449,-6.97273262438848,4.11482219810409,0.0,0.0,0.0,0.940169068452306,1.72925569277765,3.07831456253761,-0.253729302617227,3.78366939405817,3.09608760955253,-1.77406353553025,-0.604253400169134,5.40812491087314,-0.0698732225596522,-0.000725074858791934,0.013156795939318
5,5,0,0,-2.84254309044707,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495348,0.0142498905739649,-0.0183027688982862,12.6113283458068,-0.00990993458145279,0.0209724563364511,-12.6113324355333,0,0,0,90.0,-5.05115252801793,-5.05115252801793,0,90,0,0,0,0,0,0,0,90.0,169.975012137924,169.975012137924,0,90,0,0,0,0,0.984485809214519,-0.728123482441695,3.57095080557465,-0.385053450228908,2.69995873578133,2.01011788872207,-1.11068943297145,-7.30404095206286,4.67128498630881,0.0,0.0,0.0,0.845739109905034,1.90283008306607,3.12919326357916,-0.094188138358525,3.71887272557394,3.56707731306267,-1.69057467639539,-0.905688887776683,5.97533708491491,-0.0232828611873621,-0.000301478065022143,0.00442596204259654
6,6,0,0,-2.84254309044707,0,0,-7.08969429797762,0,0,-1.2692626097445,0,0,4.88473757495348,0.0136933249879616,-0.0184025231941032,12.6113583661152,-0.00934500599308808,0.0209482903733963,-12.6113622735028,0,0,0,90.0,90.0,90.0,0,90,0,0,0,0,0,0,0,90.0,-1.26586381389443,-1.26586381389443,0,90,0,0,0,0,1.01344240098524,-0.655029604632577,3.41829192245312,-0.388851478632107,2.75781944237026,2.05878518208459,-1.40571322064023,-7.54088377239437,5.20504606775072,0.0,0.0,0.0,0.75532811901162,2.02861911918401,3.20937882032413,0.065074541948065,3.61133772764414,4.05504209227197,-1.5633141577481,-1.15327308066524,6.55415412965287,0.0,0.0,0.0
7,7,0,0,-2.84254309044707,0,0,-7.08969429797763,0,0,-1.2692626097445,0,0,4.88473757495348,0.0131926694942464,-0.0184931700132071,12.6113918563435,-0.0088366258318509,0.0209274438682371,-12.611395599222,0,0,0,90.0,-5.05115252801793,-5.05115252801793,0,90,0,0,0,0,0,0,0,90.0,10.0249878620757,10.0249878620757,0,90,0,0,0,0,1.04102493347726,-0.615404609018897,3.28434528891824,-0.404214920231327,2.70739236319369,2.09450099559526,-1.66900202455093,-7.65687891338622,5.72161491010512,0.0,0.0,0.0,0.663421018871974,2.11614005612419,3.3049543374551,0.233389216879613,3.45785888018901,4.53040900884403,-1.44558505072535,-1.26136443585691,7.15043921139908,0.0,0.0,0.0
8,8,0,0,-2.84254309044707,0,0,-7.08969429797762,0,0,-1.26926260974451,0,0,4.88473757495348,0.0127566084968953,-0.0185744028439763,12.611425799651,-0.00839333699673547,0.0209115134038615,-12.6114293990764,0,0,0,90.0,-90.0,-90.0,0,90,0,0,0,0,0,0,0,90.0,7.55237227989766,7.55237227989766,0,90,0,0,0,0,1.06995211723675,-0.594032257749916,3.1596760636404,-0.427278330889781,2.57482268906349,2.12250327874948,-1.92718508951742,-7.69179257797791,6.24534497374868,0.0,0.0,0.0,0.564565129632532,2.18058649548641,3.4070618278924,0.416296835257802,3.26678885012478,4.99733833317764,-1.34486074311774,-1.25338126537417,7.77461207126263,0.0,0.0,0.0
9,9,0,0,-2.84254309044708,0,0,-7.08969429797762,0,0,-1.26926260974451,0,0,4.88473757495349,0.0123718230011694,-0.018647210151751,12.6114617977646,-0.00800192542711768,0.0208985558761867,-12.6114652703474,0,0,0,90.0,2.53049303995912,2.53049303995912,0,90,0,0,0,0,0,0,0,90.0,90.0,90.0,0,90,0,0,0,0,1.09559674286266,-0.595881341121882,3.03823957829334,-0.455410190827996,2.41551504568562,2.1350221194278,-2.17276986897141,-7.68417726914552,6.76434411657591,0.0,0.0,0.0,0.467586900663501,2.20780586444122,3.53688481394504,0.600005215478003,3.04231395296378,5.49992251926457,-1.18509201519677,-1.25717002437986,8.41870330436538,0.0,0.0,0.0
