,Frame,Pelvis x,Pelvis y,Pelvis z,L5 x,L5 y,L5 z,L3 x,L3 y,L3 z,T12 x,T12 y,T12 z,T8 x,T8 y,T8 z,Neck x,Neck y,Neck z,Head x,Head y,Head z,Right Shoulder x,Right Shoulder y,Right Shoulder z,Right Upper Arm x,Right Upper Arm y,Right Upper Arm z,Right Forearm x,Right Forearm y,Right Forearm z,Right Hand x,Right Hand y,Right Hand z,Left Shoulder x,Left Shoulder y,Left Shoulder z,Left Upper Arm x,Left Upper Arm y,Left Upper Arm z,Left Forearm x,Left Forearm y,Left Forearm z,Left Hand x,Left Hand y,Left Hand z,Right Upper Leg x,Right Upper Leg y,Right Upper Leg z,Right Lower Leg x,Right Lower Leg y,Right Lower Leg z,Right Foot x,Right Foot y,Right Foot z,Right Toe x,Right Toe y,Right Toe z,Left Upper Leg x,Left Upper Leg y,Left Upper Leg z,Left Lower Leg x,Left Lower Leg y,Left Lower Leg z,Left Foot x,Left Foot y,Left Foot z,Left Toe x,Left Toe y,Left Toe z
0,0,-0.0461757106075934,5.03151775748814,7.50083214780415,-0.0460313670932315,2.18897558689965,7.50312373729145,-0.0461665516904219,-4.90071642218911,7.50882591129304,-0.0462657757139432,-6.1699786190497,7.50985450467091,-0.0460093523230096,-1.2852426258748,7.50591391286824,-0.0325925045079221,11.3259148969692,7.47765786049091,-0.0460093523230096,-1.2852426258748,7.50591391286824,-0.0460093523230096,-1.2852426258748,7.50591391286824,-0.0460093523230096,-1.2852426258748,7.50591391286824,-0.0460093523230096,-1.2852426258748,7.50591391286824,-0.0460093523230096,-1.2852426258748,7.50591391286824,-0.0460093523230096,-1.2852426258748,7.50591391286824,-0.0460093523230096,-1.2852426258748,7.50591391286824,-0.0460093523230096,-1.2852426258748,7.50591391286824,-0.0460093523230096,-1.2852426258748,7.50591391286824,-0.910857414863276,0.730188955451977,6.30071219717891,-0.429698083525829,2.3829865112223,8.36738970624023,-0.682226387692352,-0.088801979534664,2.54917269176933,-0.698882029971581,-0.080364953348208,2.54913398078167,1.10992206862639,2.13897017001951,6.51397506559915,0.13865901750885,3.65514553736442,2.66344965361919,-1.68722533068737,0.0917419353386581,2.19580179764427,-1.45725645931151,0.0678327753902556,2.19628757857598
1,1,-0.0598778704929082,4.90859854871602,7.54004818918912,-0.0596970737828342,2.06605700520718,7.54301954688641,-0.0598883175794001,-5.02363344208062,7.55041594871916,-0.0600199131277274,-6.2928953569958,7.55175057631101,-0.0596762885540551,-1.40816044360608,7.54663824683693,-0.0472682493906219,11.2030296796332,7.51521370540254,-0.0596762885540551,-1.40816044360608,7.54663824683693,-0.0596762885540551,-1.40816044360608,7.54663824683693,-0.0596762885540551,-1.40816044360608,7.54663824683693,-0.0596762885540551,-1.40816044360608,7.54663824683693,-0.0596762885540551,-1.40816044360608,7.54663824683693,-0.0596762885540551,-1.40816044360608,7.54663824683693,-0.0596762885540551,-1.40816044360608,7.54663824683693,-0.0596762885540551,-1.40816044360608,7.54663824683693,-0.0596762885540551,-1.40816044360608,7.54663824683693,-0.938169565534549,0.702086667269801,6.38412186811649,-0.440497356871376,2.43020247651784,8.50508248390337,-0.522904473848663,-0.320658295504776,2.5224206236701,-0.522904473848663,-0.320658295504776,2.5224206236701,1.06397736824311,1.96244927372379,6.3927281500745,0.159203494781569,3.82813147923766,2.56453985322603,-1.68380026668246,-0.104559231075313,2.27984913445521,-1.68380026668246,-0.104559231075313,2.27984913445521
2,2,-0.0692050066312976,4.76174967994213,7.57171190399098,-0.0690048541171964,1.91920865616312,7.57514580167518,-0.0692479180184564,-5.17048049510412,7.5836973814682,-0.0694040601643305,-6.43974217581325,7.58524103158372,-0.0689915527971609,-1.55500815897895,7.57932899500116,-0.057523896913471,11.0562138234517,7.54569990403276,-0.0689915527971609,-1.55500815897895,7.57932899500116,-0.0689915527971609,-1.55500815897895,7.57932899500116,-0.0689915527971609,-1.55500815897895,7.57932899500116,-0.0689915527971609,-1.55500815897895,7.57932899500116,-0.0689915527971609,-1.55500815897895,7.57932899500116,-0.0689915527971609,-1.55500815897895,7.57932899500116,-0.0689915527971609,-1.55500815897895,7.57932899500116,-0.0689915527971609,-1.55500815897895,7.57932899500116,-0.0689915527971609,-1.55500815897895,7.57932899500116,-0.968766939051529,0.682804326961088,6.49971741788379,-0.463770151422989,2.48814695257064,8.72666912895611,-0.271921692486175,-0.635164704565767,2.48702791998224,-0.271921692486175,-0.635164704565767,2.48702791998224,0.997082172732659,1.77446104521702,6.24501157552838,0.189585242077236,4.02570256322384,2.43662320555143,-1.65168881845644,-0.342646211309902,2.40185388120437,-1.74490177798143,-0.325344900518178,2.4018726255773
3,3,-0.0751666282968901,4.59071842751809,7.5991013686907,-0.0749603723336883,1.74817777550144,7.60283072074616,-0.0752522648992299,-5.3415104467993,7.61212290225838,-0.0754269867015233,-6.61077195934083,7.61380097193228,-0.0749594939063119,-1.72603858577823,7.60737533618104,-0.0642574083088485,10.8852086464526,7.57230421411893,-0.0749594939063119,-1.72603858577823,7.60737533618104,-0.0749594939063119,-1.72603858577823,7.60737533618104,-0.0749594939063119,-1.72603858577823,7.60737533618104,-0.0749594939063119,-1.72603858577823,7.60737533618104,-0.0749594939063119,-1.72603858577823,7.60737533618104,-0.0749594939063119,-1.72603858577823,7.60737533618104,-0.0749594939063119,-1.72603858577823,7.60737533618104,-0.0749594939063119,-1.72603858577823,7.60737533618104,-0.0749594939063119,-1.72603858577823,7.60737533618104,-1.00341185914107,0.667605822726831,6.64239136616682,-0.496542291272807,2.55617258770654,9.0213742044518,0.0548998682754662,-1.01936202602852,2.44465486096668,0.0548998682754662,-1.01936202602852,2.44465486096668,0.913415394046216,1.57236101451994,6.07206594377866,0.227616475180407,4.24494310143746,2.28510579076173,-1.59730653698126,-0.614386676432584,2.54965235077882,-1.70214954539354,-0.594788047308515,2.54992953885318
4,4,-0.0819090526446334,4.41394580437971,7.62251451157186,-0.0816968383996228,1.57140560988027,7.62657802188724,-0.0820463529290635,-5.51828146858476,7.63670823402784,-0.0822425338265595,-6.78754277397251,7.63853846985611,-0.081711170768753,-1.90281019266315,7.63153153226097,-0.071700695989557,10.7084576079224,7.59485869863823,-0.081711170768753,-1.90281019266315,7.63153153226097,-0.081711170768753,-1.90281019266315,7.63153153226097,-0.081711170768753,-1.90281019266315,7.63153153226097,-0.081711170768753,-1.90281019266315,7.63153153226097,-0.081711170768753,-1.90281019266315,7.63153153226097,-0.081711170768753,-1.90281019266315,7.63153153226097,-0.081711170768753,-1.90281019266315,7.63153153226097,-0.081711170768753,-1.90281019266315,7.63153153226097,-0.081711170768753,-1.90281019266315,7.63153153226097,-1.04248444552567,0.660427508708514,6.78991536671903,-0.535001400212595,2.62995219857969,9.3278318702365,0.418828050018532,-1.44453250907888,2.39133486378556,0.418828050018532,-1.44453250907888,2.39133486378556,0.81778171123276,1.36093120778434,5.89736474058627,0.2703788555111,4.48433876556153,2.14654700981735,-1.51413279760049,-0.907810437447345,2.72518164518515,-1.58401186968873,-0.894638192393206,2.72555884000465
5,5,-0.0935611642660307,4.24987642073208,7.64227054609574,-0.0933320564804287,1.40733710931189,7.64691177193778,-0.0937646515647118,-5.68234776297243,7.65848797201377,-0.0939948857871877,-6.95160866905282,7.66058033338034,-0.0933646452373399,-2.06687761528142,7.65257131952216,-0.0840635677228413,10.5444075380409,7.61321916920257,-0.0933646452373399,-2.06687761528142,7.65257131952216,-0.0933646452373399,-2.06687761528142,7.65257131952216,-0.0933646452373399,-2.06687761528142,7.65257131952216,-0.0933646452373399,-2.06687761528142,7.65257131952216,-0.0933646452373399,-2.06687761528142,7.65257131952216,-0.0933646452373399,-2.06687761528142,7.65257131952216,-0.0933646452373399,-2.06687761528142,7.65257131952216,-0.0933646452373399,-2.06687761528142,7.65257131952216,-0.0933646452373399,-2.06687761528142,7.65257131952216,-1.08633582580546,0.665179932817135,6.92005464449496,-0.575524338566558,2.70505098392078,9.5846806547979,0.781145253460955,-1.88196593502363,2.32389412400764,0.781145253460955,-1.88196593502363,2.32389412400764,0.714788733970083,1.14505232520807,5.74433268519567,0.315266720446625,4.74230780424842,2.05750952847326,-1.39562840896378,-1.21103255466086,2.93031259624573,-1.41891534338174,-1.20660044032583,2.93050622650508
6,6,-0.114241082403631,4.11695718731363,7.65870346391148,-0.113974484838427,1.27441973173044,7.664370235613,-0.114535721286211,-5.8152605060351,7.67851006466191,-0.114822932330707,-7.08452057357706,7.68106666257852,-0.114030326079178,-2.19979272808059,7.67128211186353,-0.105541807630978,10.4115071114153,7.62725777325087,-0.114030326079178,-2.19979272808059,7.67128211186353,-0.114030326079178,-2.19979272808059,7.67128211186353,-0.114030326079178,-2.19979272808059,7.67128211186353,-0.114030326079178,-2.19979272808059,7.67128211186353,-0.114030326079178,-2.19979272808059,7.67128211186353,-0.114030326079178,-2.19979272808059,7.67128211186353,-0.114030326079178,-2.19979272808059,7.67128211186353,-0.114030326079178,-2.19979272808059,7.67128211186353,-0.114030326079178,-2.19979272808059,7.67128211186353,-1.13530967799082,0.685738627059719,7.01056589051706,-0.614689095047347,2.77691236742998,9.73056479624176,1.10309993965514,-2.3030025586603,2.24008732010525,1.10309993965514,-2.3030025586603,2.24008732010525,0.608837415148841,0.929719031392318,5.63634087667257,0.360044680680225,5.0171973431133,2.05456372426524,-1.23520807502006,-1.51227521109013,3.16687289456744,-1.23520807502006,-1.51227521109013,3.16687289456744
7,7,-0.142345253067526,4.01549296433726,7.67292154027445,-0.142025576957666,1.1729586229816,7.67998211103396,-0.142756310854231,-5.91671383738733,7.69760519598329,-0.143119975010414,-7.18597249768704,7.70079242224582,-0.142110425856831,-2.30125003625677,7.68859571585194,-0.13449764611884,10.3100598724366,7.63826190896341,-0.142110425856831,-2.30125003625677,7.68859571585194,-0.142110425856831,-2.30125003625677,7.68859571585194,-0.142110425856831,-2.30125003625677,7.68859571585194,-0.142110425856831,-2.30125003625677,7.68859571585194,-0.142110425856831,-2.30125003625677,7.68859571585194,-0.142110425856831,-2.30125003625677,7.68859571585194,-0.142110425856831,-2.30125003625677,7.68859571585194,-0.142110425856831,-2.30125003625677,7.68859571585194,-0.142110425856831,-2.30125003625677,7.68859571585194,-1.19081591745244,0.718410012880022,7.06575553764379,-0.654118474764868,2.84653452268301,9.73266751513576,1.38906059615973,-2.7138519307853,2.13364269001991,1.38906059615973,-2.7138519307853,2.13364269001991,0.494821178070135,0.729317307116257,5.56490450801251,0.410818421977791,5.29399955757537,2.13174656118933,-1.07692243505078,-1.83299608693851,3.34238736875957,-1.07692243505078,-1.83299608693851,3.34238736875957
8,8,-0.175097546729524,3.93318711959741,7.68471526658798,-0.174716794567536,1.09065726854119,7.69340015672138,-0.17564703758129,-5.9990039758513,7.71508293335028,-0.176100166706527,-7.268260606425,7.71900520142924,-0.174836407250614,-2.38354591015612,7.70399704420441,-0.168100547412883,10.2277668054874,7.64633306281306,-0.174836407250614,-2.38354591015612,7.70399704420441,-0.174836407250614,-2.38354591015612,7.70399704420441,-0.174836407250614,-2.38354591015612,7.70399704420441,-0.174836407250614,-2.38354591015612,7.70399704420441,-0.174836407250614,-2.38354591015612,7.70399704420441,-0.174836407250614,-2.38354591015612,7.70399704420441,-0.174836407250614,-2.38354591015612,7.70399704420441,-0.174836407250614,-2.38354591015612,7.70399704420441,-0.174836407250614,-2.38354591015612,7.70399704420441,-1.25260450790932,0.760581120859026,7.10042287014442,-0.696371387855277,2.91680655184552,9.63187249142655,1.66523605091765,-3.13343009516755,2.00616222576332,1.66523605091765,-3.13343009516755,2.00616222576332,0.369570900294956,0.5405944023055,5.51448853589072,0.469752120960831,5.57368184151061,2.26481866204469,-0.924929364031757,-2.18096179572862,3.45536905802324,-0.924929364031757,-2.18096179572862,3.45536905802324
9,9,-0.214851295535326,3.86958422755059,7.69244466060672,-0.214395929676095,1.02706107170839,7.70310112145796,-0.215567130053685,-6.06258344774724,7.72971127358959,-0.216128628955892,-7.33183705142774,7.73452565366441,-0.214557152570003,-2.44713393482889,7.71610521836205,-0.208750634604774,10.1641714380238,7.64956791647399,-0.214557152570003,-2.44713393482889,7.71610521836205,-0.214557152570003,-2.44713393482889,7.71610521836205,-0.214557152570003,-2.44713393482889,7.71610521836205,-0.214557152570003,-2.44713393482889,7.71610521836205,-0.214557152570003,-2.44713393482889,7.71610521836205,-0.214557152570003,-2.44713393482889,7.71610521836205,-0.214557152570003,-2.44713393482889,7.71610521836205,-0.214557152570003,-2.44713393482889,7.71610521836205,-0.214557152570003,-2.44713393482889,7.71610521836205,-1.31855441972304,0.817698526114248,7.10804720280072,-0.739471898536079,2.98597487976859,9.47738942461127,1.9254307980625,-3.55231298733601,1.86803824335581,1.9254307980625,-3.55231298733601,1.86803824335581,0.240215950192073,0.342232292881077,5.49787556696429,0.529157133896641,5.87850319372226,2.46293684689608,-0.713797976651212,-2.52479162919318,3.64369874426801,-0.713797976651212,-2.52479162919318,3.64369874426801
