,Frame,Pelvis x,Pelvis y,Pelvis z,L5 x,L5 y,L5 z,L3 x,L3 y,L3 z,T12 x,T12 y,T12 z,T8 x,T8 y,T8 z,Neck x,Neck y,Neck z,Head x,Head y,Head z,Right Shoulder x,Right Shoulder y,Right Shoulder z,Right Upper Arm x,Right Upper Arm y,Right Upper Arm z,Right Forearm x,Right Forearm y,Right Forearm z,Right Hand x,Right Hand y,Right Hand z,Left Shoulder x,Left Shoulder y,Left Shoulder z,Left Upper Arm x,Left Upper Arm y,Left Upper Arm z,Left Forearm x,Left Forearm y,Left Forearm z,Left Hand x,Left Hand y,Left Hand z,Right Upper Leg x,Right Upper Leg y,Right Upper Leg z,Right Lower Leg x,Right Lower Leg y,Right Lower Leg z,Right Foot x,Right Foot y,Right Foot z,Right Toe x,Right Toe y,Right Toe z,Left Upper Leg x,Left Upper Leg y,Left Upper Leg z,Left Lower Leg x,Left Lower Leg y,Left Lower Leg z,Left Foot x,Left Foot y,Left Foot z,Left Toe x,Left Toe y,Left Toe z
0,0,0.018774931923184,-0.00721461713930599,-0.012432897219944,-0.0522499291740541,0.00202962328194053,-0.0179279735182703,-0.0755979609732003,-0.000880830810856872,-0.015926042043702,-0.096979767996084,-0.0041521037216143,-0.0162831383036455,-0.118337656129561,-0.00742033012453651,-0.016642050848309,-0.148168701336919,-0.0111389256945217,-0.014084246026317,-0.167162723924938,-0.0122948285126328,-0.00807489808197364,-0.118337656129561,-0.00742033012453651,-0.016642050848309,-0.118337656129561,-0.00742033012453651,-0.016642050848309,-0.118337656129561,-0.00742033012453651,-0.016642050848309,-0.118337656129561,-0.00742033012453651,-0.016642050848309,-0.118337656129561,-0.00742033012453651,-0.016642050848309,-0.118337656129561,-0.00742033012453651,-0.016642050848309,-0.118337656129561,-0.00742033012453651,-0.016642050848309,-0.118337656129561,-0.00742033012453651,-0.016642050848309,0.00608844361467195,-0.023843840245264,-0.0267682310619359,0.00609461671993505,-0.033229962429723,-0.0307298934176483,-0.0572122041724073,-0.0326530780413694,0.010268702182523,-0.0572122041724073,-0.0326530780413694,0.010268702182523,-0.0135087743290232,0.0449532610828154,0.00369102954201312,0.154009631657054,-0.0217563289059467,-0.0119338164401413,-0.037497178537304,-0.000567085586758315,0.0199379621478177,-0.037497178537304,-0.000567085586758315,0.0199379621478177
1,1,0.0234181880777949,-0.00324188500807423,-0.0110910933811225,-0.0581888017632305,0.00624838116545472,-0.0164399660725278,-0.0849781007784629,0.00226489603050391,-0.014210810087503,-0.109507512598042,-0.00197816738320555,-0.0146822998298055,-0.134009480535729,-0.00621708618738326,-0.0151558040993779,-0.168237324530101,-0.0113066597396987,-0.0123076816736599,-0.190038597494664,-0.0133572441677191,-0.0054685371129974,-0.134009480535729,-0.00621708618738326,-0.0151558040993779,-0.134009480535729,-0.00621708618738326,-0.0151558040993779,-0.134009480535729,-0.00621708618738326,-0.0151558040993779,-0.134009480535729,-0.00621708618738326,-0.0151558040993779,-0.134009480535729,-0.00621708618738326,-0.0151558040993779,-0.134009480535729,-0.00621708618738326,-0.0151558040993779,-0.134009480535729,-0.00621708618738326,-0.0151558040993779,-0.134009480535729,-0.00621708618738326,-0.0151558040993779,0.0100778826552124,-0.0206991516548163,-0.0266590883282546,0.00326678853299101,-0.0341756057438595,-0.0287169353377834,-0.061715239411469,-0.0359029489803081,0.0127596062405494,-0.061715239411469,-0.0359029489803081,0.0127596062405494,-0.0119853502059951,0.0497225608674443,0.00325407911394441,0.166064756283235,-0.0266255286474259,-0.0117730899687924,-0.038544595839355,-0.00214393984458728,0.0218195348938843,-0.038544595839355,-0.00214393984458728,0.0218195348938843
2,2,0.0297535213504008,0.0017195712874005,-0.00934758257589126,-0.0634341445970531,0.0104459362531175,-0.0137170994125493,-0.0942444298476126,0.00535142876563198,-0.0112726284724932,-0.122448358712094,0.000164171802612382,-0.0119225873121442,-0.150620725236041,-0.00501781021077418,-0.0125747410265208,-0.189986056758103,-0.0115269020466848,-0.0094515174611172,-0.215074164123364,-0.0146278486318586,-0.00168593011778521,-0.150620725236041,-0.00501781021077418,-0.0125747410265208,-0.150620725236041,-0.00501781021077418,-0.0125747410265208,-0.150620725236041,-0.00501781021077418,-0.0125747410265208,-0.150620725236041,-0.00501781021077418,-0.0125747410265208,-0.150620725236041,-0.00501781021077418,-0.0125747410265208,-0.150620725236041,-0.00501781021077418,-0.0125747410265208,-0.150620725236041,-0.00501781021077418,-0.0125747410265208,-0.150620725236041,-0.00501781021077418,-0.0125747410265208,0.0144191812510073,-0.0113292075632628,-0.0258731390900579,0.00339575949263476,-0.0341560254758193,-0.0259536113925832,-0.0647608922629353,-0.038765672615356,0.0130508810003556,-0.0647608922629353,-0.038765672615356,0.0130508810003556,-0.00888026158014448,0.0520940128618532,0.00247447536205091,0.179448035078292,-0.0321686757068565,-0.0114649461030559,-0.0365447610656574,-0.00663956037973163,0.0214146439511546,-0.0365447610656574,-0.00663956037973163,0.0214146439511546
3,3,0.0378355716973654,0.00763084250563533,-0.00722168370310726,-0.0683754321648704,0.0147793309757031,-0.0100092071852479,-0.10401973465401,0.00834635290676116,-0.00733688444657146,-0.136639135811993,0.00205656449869313,-0.00822924684610971,-0.169222023647596,-0.00422659096056821,-0.00912398923426452,-0.21476362681507,-0.01244580452184,-0.00570964659879563,-0.243807197735252,-0.0168820553953777,0.00314340895682404,-0.169222023647596,-0.00422659096056821,-0.00912398923426452,-0.169222023647596,-0.00422659096056821,-0.00912398923426452,-0.169222023647596,-0.00422659096056821,-0.00912398923426452,-0.169222023647596,-0.00422659096056821,-0.00912398923426452,-0.169222023647596,-0.00422659096056821,-0.00912398923426452,-0.169222023647596,-0.00422659096056821,-0.00912398923426452,-0.169222023647596,-0.00422659096056821,-0.00912398923426452,-0.169222023647596,-0.00422659096056821,-0.00912398923426452,0.0195210076016104,0.00266767211527369,-0.0244279091728177,0.0055332014514847,-0.0335177110260294,-0.0221873360519366,-0.0667931474998355,-0.0415007502865815,0.0118495317730698,-0.0667931474998355,-0.0415007502865815,0.0118495317730698,-0.00432082606257892,0.0528953491216995,0.00137089541239152,0.193364796958863,-0.0384466974875843,-0.0108308620715159,-0.0317396284397,-0.013557842315327,0.0192410604628061,-0.0317396284397,-0.013557842315327,0.0192410604628061
4,4,0.0459825567276726,0.0142156288311458,-0.00462141845176743,-0.0722161979422681,0.0194696501717501,-0.00561535041737348,-0.11205814481987,0.0118973053148385,-0.0027726456268983,-0.148509887810253,0.00470279330468462,-0.00390010713664038,-0.184920818465902,-0.00248393338631927,-0.00503008129293644,-0.235825619721927,-0.0121588800240265,-0.00139804687370377,-0.268307651875758,-0.0177994025561687,0.00837585899602894,-0.184920818465902,-0.00248393338631927,-0.00503008129293644,-0.184920818465902,-0.00248393338631927,-0.00503008129293644,-0.184920818465902,-0.00248393338631927,-0.00503008129293644,-0.184920818465902,-0.00248393338631927,-0.00503008129293644,-0.184920818465902,-0.00248393338631927,-0.00503008129293644,-0.184920818465902,-0.00248393338631927,-0.00503008129293644,-0.184920818465902,-0.00248393338631927,-0.00503008129293644,-0.184920818465902,-0.00248393338631927,-0.00503008129293644,0.0244281029449348,0.0184974242897895,-0.0224551388785048,0.00797966382360013,-0.0324236310402816,-0.0179994716695145,-0.0682418423995996,-0.0438576276538775,0.00996160066359562,-0.0682418423995996,-0.0438576276538775,0.00996160066359562,0.00138844873632206,0.0527615866073515,0.000198973994487746,0.207694118254155,-0.0447242128086805,-0.0100942040645647,-0.0266687195634887,-0.0210342035702945,0.0166303110535035,-0.0266687195634887,-0.0210342035702945,0.0166303110535035
5,5,0.0525126940503065,0.0211976304484476,-0.00145480851086876,-0.0741599754048314,0.0247379786797973,-0.000834590135675628,-0.116113789967405,0.0166519228508112,0.00205102036936577,-0.15449065861939,0.00910664082023475,0.000767003111325507,-0.192824552386466,0.00156965756241874,-0.000519549772863775,-0.246427620499599,-0.00876164141210658,0.00316730392714979,-0.28064548009031,-0.0150594282121234,0.0133677988850281,-0.192824552386466,0.00156965756241874,-0.000519549772863775,-0.192824552386466,0.00156965756241874,-0.000519549772863775,-0.192824552386466,0.00156965756241874,-0.000519549772863775,-0.192824552386466,0.00156965756241874,-0.000519549772863775,-0.192824552386466,0.00156965756241874,-0.000519549772863775,-0.192824552386466,0.00156965756241874,-0.000519549772863775,-0.192824552386466,0.00156965756241874,-0.000519549772863775,-0.192824552386466,0.00156965756241874,-0.000519549772863775,0.0281852085188934,0.0333659858692807,-0.0200865685090898,0.00903569602304037,-0.0310367541643678,-0.0139713805989874,-0.0695368142396575,-0.045585750377137,0.00819312977683655,-0.0695368142396575,-0.045585750377137,0.00819312977683655,0.00794305520617898,0.0523277422791774,-0.00078565416213891,0.222315075293375,-0.0502658404892162,-0.00947833827259442,-0.0238715560390293,-0.0272040620635553,0.0149139223479115,-0.0238715560390293,-0.0272040620635553,0.0149139223479115
6,6,0.0557442012742514,0.0283005475420561,0.0023701244305918,-0.0734102980281459,0.0308054013383835,0.00403401263309588,-0.113940799718829,0.0232578423756261,0.00676504592506022,-0.151011492151919,0.0162718896449914,0.00547425519284963,-0.188040668104796,0.00929367693609189,0.00418107275562621,-0.239825214169012,-0.000349601544942462,0.00767042801675646,-0.272890635924336,-0.00634167046113406,0.0174756075090202,-0.188040668104796,0.00929367693609189,0.00418107275562621,-0.188040668104796,0.00929367693609189,0.00418107275562621,-0.188040668104796,0.00929367693609189,0.00418107275562621,-0.188040668104796,0.00929367693609189,0.00418107275562621,-0.188040668104796,0.00929367693609189,0.00418107275562621,-0.188040668104796,0.00929367693609189,0.00418107275562621,-0.188040668104796,0.00929367693609189,0.00418107275562621,-0.188040668104796,0.00929367693609189,0.00418107275562621,0.0298370655613992,0.0444792937627435,-0.0174539383665435,0.00700184746386475,-0.0295200490440798,-0.0106844251940261,-0.0711079002974392,-0.0464345641162531,0.00735016121769617,-0.0711079002974392,-0.0464345641162531,0.00735016121769617,0.0150384857366123,0.0522288330975456,-0.00132735432796694,0.237106744405731,-0.0543361993482626,-0.00920663088599716,-0.0258876594683274,-0.0302028357140308,0.0154234209706947,-0.0258876594683274,-0.0302028357140308,0.0154234209706947
7,7,0.0540581753474519,0.0362057729430162,0.00805648060372767,-0.0703075851247949,0.0387307377789269,0.0103345855602017,-0.103701461402374,0.0331586723128871,0.0125786742955785,-0.134243160457551,0.0279849631468895,0.0115108020984175,-0.164750653437789,0.0228169698749857,0.0104409654127384,-0.20741695788071,0.0156977172439409,0.0133081669434814,-0.234663352968883,0.0113065187360176,0.0213795379060491,-0.164750653437789,0.0228169698749857,0.0104409654127384,-0.164750653437789,0.0228169698749857,0.0104409654127384,-0.164750653437789,0.0228169698749857,0.0104409654127384,-0.164750653437789,0.0228169698749857,0.0104409654127384,-0.164750653437789,0.0228169698749857,0.0104409654127384,-0.164750653437789,0.0228169698749857,0.0104409654127384,-0.164750653437789,0.0228169698749857,0.0104409654127384,-0.164750653437789,0.0228169698749857,0.0104409654127384,0.0273015463647762,0.0508427148166501,-0.0142368130452535,0.000173251250307818,-0.0278714680238312,-0.00819453920538793,-0.0733823381342956,-0.0461363839587322,0.00773876370110389,-0.0733823381342956,-0.0461363839587322,0.00773876370110389,0.0240007556494361,0.0524576575555945,-0.00053221593421143,0.24890798457912,-0.0603678518865996,-0.00850284573294659,-0.0339029838156261,-0.0281765403605912,0.0183540646708652,-0.0339029838156261,-0.0281765403605912,0.0183540646708652
8,8,0.0485758045305854,0.0450975065283177,0.0155429411345368,-0.0653828143777214,0.0483665981090683,0.018266502663475,-0.0868930219365634,0.0459226547552961,0.0197379505590277,-0.106565634261275,0.0435766729261638,0.0190751962979879,-0.126216213255106,0.0412332063454694,0.0184111499120243,-0.15369912828741,0.0381106568604517,0.0202911725653303,-0.17125032886033,0.0363381647779263,0.0255086708193157,-0.126216213255106,0.0412332063454694,0.0184111499120243,-0.126216213255106,0.0412332063454694,0.0184111499120243,-0.126216213255106,0.0412332063454694,0.0184111499120243,-0.126216213255106,0.0412332063454694,0.0184111499120243,-0.126216213255106,0.0412332063454694,0.0184111499120243,-0.126216213255106,0.0412332063454694,0.0184111499120243,-0.126216213255106,0.0412332063454694,0.0184111499120243,-0.126216213255106,0.0412332063454694,0.0184111499120243,0.0212154901037489,0.0543189577583363,-0.0103473656772394,-0.0103171255603366,-0.0259823653397606,-0.00611414773062564,-0.0760735695652734,-0.0448582461313122,0.00882157582379066,-0.0760735695652734,-0.0448582461313122,0.00882157582379066,0.0350328700182364,0.0525908710130788,0.00142933786611328,0.257799411594071,-0.0688510522248464,-0.00721807201984797,-0.0462245146795883,-0.0223682307239559,0.0228181690319801,-0.0462245146795883,-0.0223682307239559,0.0228181690319801
9,9,0.0417254434017346,0.0539536590513932,0.0230248556763491,-0.0581253568180505,0.0581247528816805,0.0258135724360248,-0.0662720503290504,0.0593843770674476,0.0264290098323175,-0.073722755488526,0.0603673839309119,0.0262337083058327,-0.0811651158314022,0.0613491186371148,0.0260378575731766,-0.0915738896632939,0.0629585008048774,0.0268241825597555,-0.0982212132121099,0.0643242956057647,0.0288426266917542,-0.0811651158314022,0.0613491186371148,0.0260378575731766,-0.0811651158314022,0.0613491186371148,0.0260378575731766,-0.0811651158314022,0.0613491186371148,0.0260378575731766,-0.0811651158314022,0.0613491186371148,0.0260378575731766,-0.0811651158314022,0.0613491186371148,0.0260378575731766,-0.0811651158314022,0.0613491186371148,0.0260378575731766,-0.0811651158314022,0.0613491186371148,0.0260378575731766,-0.0811651158314022,0.0613491186371148,0.0260378575731766,0.0147020883398316,0.0563999723180939,-0.00626624937091967,-0.0219119826244205,-0.0238558124752479,-0.00435935014360337,-0.0785407382483462,-0.0430016780027335,0.0101394945133624,-0.0785407382483462,-0.0430016780027335,0.0101394945133624,0.0461458058602927,0.0526392757302905,0.00321644121982982,0.268522736968737,-0.0746369566118331,-0.00651666400444078,-0.0610733211138494,-0.0155588830458191,0.0285228474305209,-0.0610733211138494,-0.0155588830458191,0.0285228474305209
