,Frame,Pelvis x,Pelvis y,Pelvis z,L5 x,L5 y,L5 z,L3 x,L3 y,L3 z,T12 x,T12 y,T12 z,T8 x,T8 y,T8 z,Neck x,Neck y,Neck z,Head x,Head y,Head z,Right Shoulder x,Right Shoulder y,Right Shoulder z,Right Upper Arm x,Right Upper Arm y,Right Upper Arm z,Right Forearm x,Right Forearm y,Right Forearm z,Right Hand x,Right Hand y,Right Hand z,Left Shoulder x,Left Shoulder y,Left Shoulder z,Left Upper Arm x,Left Upper Arm y,Left Upper Arm z,Left Forearm x,Left Forearm y,Left Forearm z,Left Hand x,Left Hand y,Left Hand z,Right Upper Leg x,Right Upper Leg y,Right Upper Leg z,Right Lower Leg x,Right Lower Leg y,Right Lower Leg z,Right Foot x,Right Foot y,Right Foot z,Right Toe x,Right Toe y,Right Toe z,Left Upper Leg x,Left Upper Leg y,Left Upper Leg z,Left Lower Leg x,Left Lower Leg y,Left Lower Leg z,Left Foot x,Left Foot y,Left Foot z,Left Toe x,Left Toe y,Left Toe z
0,0,-0.0219539016790345,0.189707616055475,-0.0794094970349271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155285515785838,0.0661323495166514,0.106851091121889,-0.586278659536735,-0.118141610085021,0.190519702560033,-0.797220073999999,-0.708380075258254,1.26890099636631,0,0,0,0.233267422437511,0.576184392858496,0.180991459058077,1.08579089608331,-0.31714154486157,-0.136901004048026,-1.50301891910302,0.811301560590295,2.3689371485548,0,0,0
1,1,0.0814468909720277,0.339593275489624,-0.0730102591632438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.300231931590371,0.227270387072453,-0.0725248993751446,-0.715552498180329,0.461038085410969,-0.338816068279767,-1.59831724447625,-0.965887092021755,1.72267186451807,0,0,0,0.0153995947218301,-0.0874843169032313,0.00992044381762724,1.15656087600855,-1.00283191590476,-0.661373135426702,-1.30882671657481,0.786678402743569,1.39882061352718,0,0,0
2,2,0.171312280505035,0.487136181844937,-0.146190363916531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.566774740195374,0.472230633169799,-0.32628569641717,-0.503663164012426,0.721092979327268,-0.732536275157264,-1.65032252516996,-0.636362923065261,1.93034245351465,0,0,0,0.437231799155298,-1.14807685222466,-0.104965287052156,0.917934088437952,-1.66919720286945,-0.441631700968587,-0.506962600988389,-0.00900633185325576,0.771441720861466,0,0,0
3,3,0.268769357794819,0.596544223214522,-0.182440218420199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.376925693791303,1.00988074351734,-0.406726418731019,-0.34654351532285,0.77851615363677,-0.704860281006281,-1.08796333271252,-1.09436961512654,1.80072208977635,0,0,0,1.07075335512359,-1.29082383136693,-0.0725131185913295,0.946217473821959,-1.62279334805493,0.0420359491967535,-0.147195742939693,-0.366719202291152,0.307416068872824,0,0,0
4,4,0.383363060750547,0.617961203986145,-0.0252319974403363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278242988168614,1.23153989213667,-0.0528511688658657,-0.416441553384125,0.599557303676843,0.464216339003473,0.716526303047893,-0.533400973311313,-0.653831744664325,0,0,0,1.35019532582221,-0.592151161677073,-0.0655591959306001,0.90721063236401,-0.965228177989896,0.234783892865845,-0.0282492789850812,1.09065243494345,-0.431455924494532,0,0,0
5,5,0.468999206352422,0.625097895601804,0.302337903710551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.759867964264007,1.15463383858134,0.767484638014938,-0.0388136532824649,-0.453891053857934,1.50795506448779,0.611405758730644,0.134229762802755,-0.674520574387452,0,0,0,1.34902681727224,0.0538971937409122,-0.148353136132952,0.783103637532136,-0.100950803179128,0.126207564929402,0.471521280713762,0.576121963399678,-0.952086648796826,0,0,0
6,6,0.526463073009797,0.677657475226471,0.814003528665689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.696633830281018,0.338462334625242,1.30668787082601,0.404286490189755,-1.04611069787254,1.03277792700075,0.420646560414503,0.311827006756065,-0.30724650240869,0,0,0,1.10875006934843,0.323778470113097,-0.205314462205882,0.827082717671058,0.757352735789154,-0.192032450863486,0.981842208583645,-1.62535482504749,-0.722297172585124,0,0,0
7,7,0.560355520694064,0.913366186414449,1.1686329715347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131005880607682,-0.359550011442729,1.06555700904796,0.144510816440702,-0.777183988171607,0.318727632368509,-0.228963579871384,-0.304409596336864,0.384778903786342,0,0,0,0.682756613357487,0.157719703970171,-0.175556405959135,0.972928465957423,0.899120641668652,-0.518380336318289,-0.167506436187904,-0.696549946762077,0.847043543596067,0,0,0
8,8,0.492034534755998,1.14198334996333,1.32571667676355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.869297010873664,-0.621153788281626,0.600067638696382,-0.371128076814799,-0.514636782305177,0.0155872251349258,-0.445715274404316,-0.456146332475304,0.494500992365671,0,0,0,0.351889486880698,-0.308309038424581,-0.0745534856724799,0.82883476853357,0.567647445153611,-0.505365522870299,-1.77762501672071,1.19266511096491,1.81768320832734,0,0,0
9,9,0.484468577803584,1.36274957453541,1.11956094526094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.44712488865062,-0.172159150344557,0.334882591630532,-0.663696708609905,-0.362787803992093,0.0617752492499744,-0.416779994448763,-0.328058881090609,0.285104833796771,0,0,0,-0.153186252795143,-0.129074625900866,-0.00128569792696887,0.436923083656027,0.472439324541656,-0.128099561283905,-1.54342163258769,2.34770356320403,1.61734164816987,0,0,0
