,Frame,Pelvis x,Pelvis y,Pelvis z,L5 x,L5 y,L5 z,L3 x,L3 y,L3 z,T12 x,T12 y,T12 z,T8 x,T8 y,T8 z,Neck x,Neck y,Neck z,Head x,Head y,Head z,Right Shoulder x,Right Shoulder y,Right Shoulder z,Right Upper Arm x,Right Upper Arm y,Right Upper Arm z,Right Forearm x,Right Forearm y,Right Forearm z,Right Hand x,Right Hand y,Right Hand z,Left Shoulder x,Left Shoulder y,Left Shoulder z,Left Upper Arm x,Left Upper Arm y,Left Upper Arm z,Left Forearm x,Left Forearm y,Left Forearm z,Left Hand x,Left Hand y,Left Hand z,Right Upper Leg x,Right Upper Leg y,Right Upper Leg z,Right Lower Leg x,Right Lower Leg y,Right Lower Leg z,Right Foot x,Right Foot y,Right Foot z,Right Toe x,Right Toe y,Right Toe z,Left Upper Leg x,Left Upper Leg y,Left Upper Leg z,Left Lower Leg x,Left Lower Leg y,Left Lower Leg z,Left Foot x,Left Foot y,Left Foot z,Left Toe x,Left Toe y,Left Toe z
0,0,-5.31800225612939,-74.7593469359627,14.8148742374681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-156.879025001232,-68.7547041457982,-90.3143381717645,-134.143448969041,-86.3901170493276,-35.3366317689287,2.98182426632014,33.6334111351106,-4.81939191057891,0,0,0,175.73897015656,72.0074653006067,-83.9235701156398,121.836042943543,72.0940100978394,121.428529341494,-15.4241546785206,27.5665818622159,1.75358665226059,0,0,0
1,1,-5.32656856493053,-74.9058001255052,14.8557935308115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-156.900123014614,-68.7416989950498,-90.1685081462905,-134.136080161668,-86.3657996922578,-35.2657936672254,3.23689068312291,33.440640328396,-4.70513576956354,0,0,0,176.441105983906,71.9417821575306,-83.3929979586735,122.016577322038,72.0363481519844,121.597106711989,-15.5282828622412,27.3118580313135,1.80301262760078,0,0,0
2,2,-5.32580084538979,-75.0502989723766,14.8840318490618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-156.930836848319,-68.7239833635743,-89.9978703458461,-134.170987774861,-86.333348663131,-35.0534272992739,3.62259001474406,33.1610495854248,-4.51939236363801,0,0,0,177.184499713829,71.8088638980269,-82.8572898661095,122.251524135804,71.9630797093376,121.814198032614,-15.6046160066257,27.0012101892348,1.88673274699002,0,0,0
3,3,-5.34689139825341,-75.1950910502191,14.92424754862,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-156.976757132492,-68.6930089756699,-89.7967361151662,-134.537386000247,-86.2793427407502,-34.432499943674,4.12062127394556,32.7651684755098,-4.27662357076027,0,0,0,178.024342831038,71.5909204024614,-82.257229814756,122.535820015789,71.8806499099203,122.016305555174,-15.6185246470779,26.6694574418926,2.02496773719985,0,0,0
4,4,-5.38512031190553,-75.3622866643841,14.9744618754167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-157.011335452156,-68.6679805375603,-89.6050662501508,-135.283440801197,-86.2066572599332,-33.4078098632597,4.62449196770365,32.328246551274,-4.06117786828604,0,0,0,178.899572148106,71.371777589726,-81.6011042746722,122.924963443476,71.7876070386398,122.257117283867,-15.4828220285706,26.3581593693702,2.29547444191834,0,0,0
5,5,-5.4094606262272,-75.5641808095886,15.0056435942118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-157.061874881973,-68.6642173283362,-89.4349670449229,-136.068201564498,-86.1363897395491,-32.3427173643889,5.07362116744397,31.932908625145,-3.8924175130726,0,0,0,179.764217987529,71.1911030016765,-80.9219589318161,123.394832330365,71.687252637235,122.55246892785,-15.2748469500646,26.0757392987053,2.63978864810733,0,0,0
6,6,-5.39925984018694,-75.7833396363463,14.9998987403625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-157.134683800688,-68.7002779428516,-89.2907428074423,-136.716403452083,-86.0771859395053,-31.4945022032893,5.48043769332253,31.5683324048827,-3.74759003493606,0,0,0,-179.407899204793,71.0381653308559,-80.2715314866938,123.91230034891,71.5740685261976,122.93101818527,-15.0547053109285,25.8358404130245,2.95634158502557,0,0,0
7,7,-5.37971888459435,-75.9792872768145,14.9865053466827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-157.219968726345,-68.7615336301491,-89.1372912651798,-137.49735955704,-86.0336105910974,-30.6521743679624,5.8698838044871,31.1999436619309,-3.62689526309636,0,0,0,-178.633780395263,70.8829151808448,-79.6696155738547,124.431602145119,71.4341766463576,123.448690001936,-14.8286215733045,25.631236500373,3.22912033456201,0,0,0
8,8,-5.3892275207505,-76.1162210154407,15.0029469000455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-157.336289002984,-68.8217543809922,-88.956302788981,-138.341585520258,-86.0035948404193,-29.8807714806072,6.24592528130644,30.8022882639987,-3.53351385889771,0,0,0,-177.924665730656,70.7183926762879,-79.0957572288354,124.972138875381,71.2498388083745,124.120872136622,-14.5846461100097,25.3603546628546,3.5274571342343,0,0,0
9,9,-5.48043578162441,-76.185338440169,15.106152947408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-157.496259892556,-68.8636594691103,-88.7807974706964,-139.306724402102,-85.9814010624144,-29.0711338866673,6.60016260474948,30.3845404053747,-3.47120080764237,0,0,0,-177.266952975854,70.5266983076093,-78.4982016458226,125.568980284881,71.0302737616931,124.930990823448,-14.3071813069689,25.0202004865208,3.94267282861062,0,0,0
