,Frame,Pelvis q0,Pelvis q1,Pelvis q2,Pelvis q3,L5 q0,L5 q1,L5 q2,L5 q3,L3 q0,L3 q1,L3 q2,L3 q3,T12 q0,T12 q1,T12 q2,T12 q3,T8 q0,T8 q1,T8 q2,T8 q3,Neck q0,Neck q1,Neck q2,Neck q3,Head q0,Head q1,Head q2,Head q3,Right Shoulder q0,Right Shoulder q1,Right Shoulder q2,Right Shoulder q3,Right Upper Arm q0,Right Upper Arm q1,Right Upper Arm q2,Right Upper Arm q3,Right Forearm q0,Right Forearm q1,Right Forearm q2,Right Forearm q3,Right Hand q0,Right Hand q1,Right Hand q2,Right Hand q3,Left Shoulder q0,Left Shoulder q1,Left Shoulder q2,Left Shoulder q3,Left Upper Arm q0,Left Upper Arm q1,Left Upper Arm q2,Left Upper Arm q3,Left Forearm q0,Left Forearm q1,Left Forearm q2,Left Forearm q3,Left Hand q0,Left Hand q1,Left Hand q2,Left Hand q3,Right Upper Leg q0,Right Upper Leg q1,Right Upper Leg q2,Right Upper Leg q3,Right Lower Leg q0,Right Lower Leg q1,Right Lower Leg q2,Right Lower Leg q3,Right Foot q0,Right Foot q1,Right Foot q2,Right Foot q3,Right Toe q0,Right Toe q1,Right Toe q2,Right Toe q3,Left Upper Leg q0,Left Upper Leg q1,Left Upper Leg q2,Left Upper Leg q3,Left Lower Leg q0,Left Lower Leg q1,Left Lower Leg q2,Left Lower Leg q3,Left Foot q0,Left Foot q1,Left Foot q2,Left Foot q3,Left Toe q0,Left Toe q1,Left Toe q2,Left Toe q3
0,0,0.790781031268964,0.0416283445651042,-0.606131936317081,0.0744077770832404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.275599546929749,0.650423626806883,-0.493535235108392,0.507362756940242,0.0792845030092225,-0.720690940492841,-0.0502987992880872,-0.686868667697329,0.955748470373526,0.0370435754787214,0.287910068803059,-0.0477538184466488,0,0,0,0,0.370414058583388,-0.615745374164625,0.524287388666879,0.45691770975036,0.640773501046887,0.0961779596271204,0.756200938848347,0.0912099803911704,0.961817266421001,-0.133928311283049,0.234073239739819,0.0466955232223566,0,0,0,0
1,1,0.789994440216446,0.0419525374749733,-0.607123421294007,0.074497787502556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.274999465205538,0.651031586969831,-0.492858270321735,0.507566638265045,0.0798525324319636,-0.720763794979506,-0.0506905006466859,-0.686697603064938,0.956198027633142,0.0388314830538636,0.286232701263589,-0.04741612174858,0,0,0,0,0.371759089460569,-0.616139828056955,0.524465835235087,0.455085134185415,0.640247357953598,0.0963730606730867,0.756615633707328,0.0912597207950892,0.962201743200123,-0.134940729007665,0.231832026236476,0.047039522197991,0,0,0,0
2,2,0.789221632730245,0.0422722498412304,-0.608099004309118,0.074551138705094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.274317276488334,0.65173366914759,-0.492102914480461,0.507767641622897,0.0810347032690697,-0.720839268185327,-0.0516865972385399,-0.686405581252103,0.956840198754465,0.0415158916552047,0.283803794584491,-0.0467832338240301,0,0,0,0,0.372998930390797,-0.616669039000803,0.524999855310152,0.452731980524313,0.639569740949387,0.096629925734782,0.757150982931039,0.0912994685690241,0.962713267491144,-0.135794375394649,0.229089706208423,0.0475495396091352,0,0,0,0
3,3,0.78844637595055,0.0425059695927425,-0.609085280354391,0.0745699406935327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273511193092489,0.652561236164971,-0.491298893650424,0.507918160145743,0.0826613641294016,-0.721060584335502,-0.0531832941423117,-0.685864614790838,0.957733559824315,0.0449848169739408,0.280384284532738,-0.0459069451731656,0,0,0,0,0.374124452286445,-0.617498237286018,0.525834352128442,0.449694402090675,0.638821175678226,0.097304767158988,0.75773554247941,0.0909732678134553,0.963310909814256,-0.136229443659811,0.226128687527918,0.0483678239108474,0,0,0,0
4,4,0.787552463798271,0.0427017302764176,-0.610230368496144,0.0745424467114873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272716441658506,0.653360125009206,-0.490470670224042,0.508118894695971,0.0843790218556057,-0.721452434956128,-0.0548833453700945,-0.685109030131375,0.958685567267859,0.0485822589457136,0.276615363418939,-0.0452292819823878,0,0,0,0,0.375249520202276,-0.618478875694028,0.52646698145441,0.446658925072023,0.637903865614247,0.0983574995388986,0.758462218798088,0.0902193059978714,0.963979625597523,-0.135653544814211,0.223245034368238,0.0500305091131811,0,0,0,0
5,5,0.786482053027384,0.0429326869910714,-0.611607908270129,0.0744213087428409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272229027202946,0.653976552401633,-0.489741120291641,0.508290921375249,0.0860701872925916,-0.721842123738381,-0.0566297851172935,-0.684345628095813,0.95951317496612,0.0518619266420745,0.273201232634464,-0.0447872093171343,0,0,0,0,0.376442323154382,-0.619456417920348,0.52676249462174,0.443943913006255,0.636837536552583,0.0995283594890749,0.759317992027087,0.0892650249482077,0.964631975050682,-0.134593691222277,0.220551974222593,0.0522160670627478,0,0,0,0
6,6,0.785329403701997,0.0432237513418973,-0.613092073381,0.0742128328416698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272208941618451,0.654332122992461,-0.489081801679283,0.508478865036974,0.0872716467758614,-0.722184890274632,-0.0578799816590136,-0.683726956943486,0.960253689021277,0.0548645106618596,0.270053735627165,-0.0444265468461819,0,0,0,0,0.377706693259748,-0.620315682058338,0.526942985955474,0.441448975547134,0.635603341033157,0.100467401858074,0.760315767514425,0.088513432315821,0.965214845794003,-0.13335872031122,0.218260977225761,0.0542023892118175,0,0,0,0
7,7,0.784297718758259,0.0435106040147474,-0.614413609508007,0.0740258883108147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272361192570484,0.654634630574938,-0.48831404699587,0.508745784002299,0.0875334414840758,-0.72255876181669,-0.0583692188064787,-0.683256735524654,0.960981846636519,0.0577900418266449,0.266871484016869,-0.044201951533552,0,0,0,0,0.378883789017521,-0.621137135185496,0.527154565813604,0.439025964443052,0.634136329047834,0.100614841314253,0.761505166291265,0.0886433956973587,0.965745794591682,-0.131976230561512,0.216327074431287,0.0558563484597493,0,0,0,0
8,8,0.783567498144773,0.0436907478100113,-0.615341248136993,0.073947567560747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272562003848772,0.654981080456224,-0.487531357762116,0.508942937372126,0.086915766960636,-0.722952403972078,-0.0580921462354494,-0.682942730827701,0.961754646233531,0.0606734439726475,0.2634355874975,-0.0441409660583258,0,0,0,0,0.379799815411409,-0.622081057017677,0.527268966956539,0.436754731168209,0.632323978157381,0.100057057191742,0.762961578501699,0.0896917035380007,0.966403262139501,-0.130478636462494,0.213818604648629,0.0576338846437869,0,0,0,0
9,9,0.783170211503916,0.0437012659760858,-0.615828688372779,0.0740921435920286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272933127926234,0.655243250214202,-0.487054343564795,0.508863299073334,0.0857280374570348,-0.723378456632272,-0.0573709668101658,-0.682702632367376,0.962552646889026,0.0634520519246882,0.259821827672382,-0.0442589757954274,0,0,0,0,0.380251567054494,-0.623414208273075,0.527113761123273,0.434643018476468,0.63017913079387,0.0990397318073158,0.764679340892966,0.0912737653814993,0.967157342288175,-0.128894368157103,0.210616332299706,0.0602799940616642,0,0,0,0
