,Frame,T8_Head Lateral Bending,T8_Head Axial Bending,T8_Head Flexion/Extension,T8_LeftUpperArm Lateral Bending,T8_LeftUpperArm Axial Bending,T8_LeftUpperArm Flexion/Extension,T8_RightUpperArm Lateral Bending,T8_RightUpperArm Axial Bending,T8_RightUpperArm Flexion/Extension,Pelvis_T8 Lateral Bending,Pelvis_T8 Axial Bending,Pelvis_T8 Flexion/Extension,Vertical_Pelvis Lateral Bending,Vertical_Pelvis Axial Bending,Vertical_Pelvis Flexion/Extension,Vertical_T8 Lateral Bending,Vertical_T8 Axial Bending,Vertical_T8 Flexion/Extension
0,0,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.54016938679401,0.07216905816555,2.68509569578049,-1.53221300370397,0.0722348798822506,-3.63166172205497
1,1,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.52698087459589,0.0719331663632117,2.69945620319606,-1.5190506236322,0.0719967813146918,-3.61730124744465
2,2,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,-1.51343087188367,0.0717063480640423,2.7150598086216,-1.50552576222834,0.0717676052983374,-3.60169767347705
3,3,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.50005526983151,0.0714640795243127,2.73003681036478,-1.49217699788428,0.0715230663560527,-3.58672070520736
4,4,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.48739174014786,0.071184228313841,2.7425183932417,-1.47954442623169,0.0712412713067537,-3.57423916080863
5,5,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.47597934558123,0.0708467414476403,2.75063652709621,-1.46816930507299,0.0709024052540826,-3.56612107308984
6,6,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.46622817676191,0.0704459464565086,2.75327528707914,-1.45846234156237,0.0705009370150809,-3.56348236754658
7,7,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.45778103816507,0.0699994164711017,2.75168176293054,-1.45006441423987,0.0700542735021128,-3.56507595194167
8,8,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,-1.45002595954136,0.0695219603924101,2.7475322820971,-1.44236193498504,0.0695769993768461,-3.56922549674882
9,9,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.44235078194071,0.0690273172839939,2.74250254553764,-1.43474124457413,0.0690826339800977,-3.57425529911743
10,10,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,-1.43414356666026,0.0685284756971539,2.73826772649452,-1.42658898641885,0.0685839520979956,-3.57849018406064
11,11,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.42514594714531,0.0679926883939076,2.73401538896572,-1.41765039726623,0.0680482884455901,-3.58274259184132
12,12,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.41576616325715,0.0674120170826073,2.72862843284237,-1.40833458307899,0.0674678423900486,-3.58812962347347
13,13,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.40639220294948,0.0668354255458099,2.72332454302269,-1.39902414407086,0.0668914567740786,-3.59343358763216
14,14,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.39741184957022,0.0663109415494235,2.71932134996042,-1.39010157864183,0.0663670448497477,-3.59743684776833
15,15,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.38921252863094,0.0658857399359648,2.71783647727227,-1.38194912104995,0.0659416721016198,-3.59892177446047
16,16,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.38188959475521,0.0655880725477215,2.71990195736857,-1.37465901914138,0.0656434908448893,-3.59685633198844
17,17,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.37518362066439,0.0653848554116133,2.72470567174396,-1.36797548611462,0.0654394964758773,-3.59205264322794
18,18,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,-1.36894989775842,0.0652314179009477,2.73069917266508,-1.36175872558905,0.0652851770184055,-3.5860591616129
19,19,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.36304455890335,0.0650838442186779,2.73633412967204,-1.35586969957473,0.0651367746961701,-3.58042422313008
20,20,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.35732473484379,0.064898861831107,2.74006229395823,-1.35017029712507,0.0649511754295289,-3.57669608197806
21,21,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.3519694760927,0.0646912181986907,2.74211995916806,-1.34483794496141,0.0647431078069109,-3.57463844264125
22,22,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.34707449672362,0.0644902515988724,2.74353950176069,-1.33996513105278,0.0645418035281572,-3.57321892500614
23,23,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.34237279122464,0.0642750765885276,2.74396666196881,-1.33528714960308,0.0643264035850476,-3.57279179142551
24,24,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.33759756427813,0.0640248969763227,2.74304693944904,-1.33053949520378,0.064076137711448,-3.57371154478184
25,25,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.3324823222654,0.0637190605228571,2.74042557512691,-1.32545794833922,0.0637703784931459,-3.57633294662615
26,26,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.32706547682132,0.0633417486190294,2.73531796436227,-1.32008265871885,0.0633933864086009,-3.58144060342101
27,27,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.32152671825962,0.0629077394849481,2.72796007832128,-1.31459168966841,0.062959915797161,-3.58879854206091
28,28,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,-1.31581104525824,0.0624421026382693,2.71952790449411,-1.30892728542694,0.0624949078180848,-3.59723077191525
29,29,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.30986227318821,0.0619694417039806,2.71119757104148,-1.30303055804037,0.0620228424097633,-3.60556116181753
30,30,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.30362293161587,0.0615138533823165,2.70414536085822,-1.29684138935639,0.0615676978557101,-3.61261342601362
31,31,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.2970587810031,0.0610797044417765,2.69864933793219,-1.29032506029284,0.061133816107353,-3.61810950004932
32,32,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.29020743181588,0.0606506758058198,2.69392506045062,-1.28352097438609,0.0607049598174444,-3.62283382768776
33,33,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.28311846977596,0.060219555039039,2.68955527649621,-1.27647950932792,0.0602739605370977,-3.62720366169071
34,34,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.27584176395084,0.0597793233677497,2.68512286596121,-1.26925130489294,0.0598338420028517,-3.63163612296434
35,35,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.26842745239871,0.0593231716648178,2.68021084518946,-1.2618872468242,0.0593778361196644,-3.63654819591547
36,36,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,-1.26049815135743,0.0588360423223525,2.67492572407938,-1.25401161228926,0.0588908574494726,-3.6418333723077
37,37,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.25202038176483,0.0583227406740534,2.66954543292663,-1.24559039455045,0.0583776826044711,-3.64721372122167
38,38,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.24356039310605,0.0578063377003786,2.66391051093883,-1.23718729847619,0.057861421218439,-3.65284870080848
39,39,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.23568452511709,0.0573097884063161,2.65786184843168,-1.22936613194497,0.0573650671517856,-3.65889741821411
40,40,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.22895919509032,0.0568558888002806,2.65124064724765,-1.22269079788194,0.0569114556016788,-3.66551866916124
41,41,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,-1.2238322569443,0.0564641762782025,2.64400315076307,-1.21760699584538,0.0565201482261822,-3.67275620826475
42,42,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,-1.21992615343447,0.0561191091507496,2.6362561800945,-1.21373888274113,0.0561755773453474,-3.68050321622578
43,43,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.21656925279201,0.0557909073386401,2.62806668849153,-1.21041811053123,0.0558479263138169,-3.68869274308246
44,44,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.21308996090669,0.0554501141805497,2.61950124443538,-1.20697633327897,0.0555077007184268,-3.69725822352651
45,45,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.20881673620681,0.0550676484050028,2.61062607029149,-1.20274521631352,0.0551257801895244,-3.70613343824754
46,46,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321572,-1.20332001420848,0.0546074997876365,2.60063372924,-1.19729916018193,0.0546661980550925,-3.71612582775077
47,47,0,0,0,90,0,0,90,0,0,0,0,-6.31676242321573,-1.19704794860413,0.0540899576896553,2.5894797447122,-1.19108408163115,0.0541492631024126,-3.72727986628995
